symbol,date,open,high,low,close,volume,year,month,week,weekday
"DXG","2009-12-22","4.84","4.84","4.84","4.84","10110","2009","12","52","Tuesday"
"DXG","2009-12-23","5.04","5.04","5.04","5.04","2610","2009","12","52","Wednesday"
"DXG","2009-12-24","5.3","5.3","5.3","5.3","3600","2009","12","52","Thursday"
"DXG","2009-12-25","5.55","5.55","5.55","5.55","15520","2009","12","52","Friday"
"DXG","2009-12-28","5.8","5.8","5.8","5.8","22110","2009","12","53","Monday"
"DXG","2009-12-29","6.05","6.05","6.05","6.05","38610","2009","12","53","Tuesday"
"DXG","2009-12-30","6.36","6.36","6.36","6.36","6900","2009","12","53","Wednesday"
"DXG","2009-12-31","6.66","6.66","6.66","6.66","16600","2009","12","53","Thursday"
"DXG","2010-01-04","6.96","6.96","6.96","6.96","9500","2010","01","2","Monday"
"DXG","2010-01-05","7.26","7.26","7.26","7.26","20500","2010","01","2","Tuesday"
"DXG","2010-01-06","7.62","7.62","7.31","7.31","94440","2010","01","2","Wednesday"
"DXG","2010-01-07","7.06","7.57","7.06","7.47","45500","2010","01","2","Thursday"
"DXG","2010-01-08","7.77","7.82","7.52","7.52","23530","2010","01","2","Friday"
"DXG","2010-01-11","7.82","7.87","7.62","7.77","14590","2010","01","3","Monday"
"DXG","2010-01-12","8.07","8.07","7.42","7.42","31540","2010","01","3","Tuesday"
"DXG","2010-01-13","7.06","7.06","7.06","7.06","9910","2010","01","3","Wednesday"
"DXG","2010-01-14","7.01","7.26","6.91","7.11","53980","2010","01","3","Thursday"
"DXG","2010-01-15","6.81","7.16","6.76","7.16","15060","2010","01","3","Friday"
"DXG","2010-01-18","7.26","7.37","6.81","6.81","43440","2010","01","4","Monday"
"DXG","2010-01-19","6.86","6.86","6.86","6.86","1430","2010","01","4","Tuesday"
"DXG","2010-01-20","6.66","6.96","6.66","6.66","1260","2010","01","4","Wednesday"
"DXG","2010-01-21","6.46","6.46","6.36","6.36","23690","2010","01","4","Thursday"
"DXG","2010-01-22","6.46","6.51","6.05","6.05","25790","2010","01","4","Friday"
"DXG","2010-01-25","5.8","6.15","5.75","6.1","39940","2010","01","5","Monday"
"DXG","2010-01-26","6.3","6.41","6.3","6.41","27290","2010","01","5","Tuesday"
"DXG","2010-01-27","6.56","6.56","6.15","6.36","10730","2010","01","5","Wednesday"
"DXG","2010-01-28","6.15","6.36","6.1","6.15","5940","2010","01","5","Thursday"
"DXG","2010-01-29","6.25","6.3","6.15","6.25","12380","2010","01","5","Friday"
"DXG","2010-02-01","6.36","6.41","6.21","6.36","3930","2010","02","6","Monday"
"DXG","2010-02-02","6.25","6.51","6.25","6.41","12750","2010","02","6","Tuesday"
"DXG","2010-02-03","6.41","6.41","6.36","6.41","1010","2010","02","6","Wednesday"
"DXG","2010-02-04","6.21","6.46","6.21","6.46","6600","2010","02","6","Thursday"
"DXG","2010-02-05","6.15","6.41","6.15","6.15","26670","2010","02","6","Friday"
"DXG","2010-02-08","6.25","6.25","5.85","5.95","18040","2010","02","7","Monday"
"DXG","2010-02-09","5.95","5.95","5.7","5.95","12680","2010","02","7","Tuesday"
"DXG","2010-02-10","5.95","6.05","5.7","5.95","6400","2010","02","7","Wednesday"
"DXG","2010-02-11","6.05","6.05","5.95","6.05","4530","2010","02","7","Thursday"
"DXG","2010-02-12","6.25","6.36","5.85","6.25","12020","2010","02","7","Friday"
"DXG","2010-02-22","6.25","6.3","5.95","6.3","8050","2010","02","9","Monday"
"DXG","2010-02-23","6","6.25","6","6.25","4960","2010","02","9","Tuesday"
"DXG","2010-02-24","6","6.05","6","6.05","3510","2010","02","9","Wednesday"
"DXG","2010-02-25","5.95","6.1","5.85","5.85","6930","2010","02","9","Thursday"
"DXG","2010-02-26","6","6.05","5.85","5.85","2800","2010","02","9","Friday"
"DXG","2010-03-01","6","6.05","5.85","6","8210","2010","03","10","Monday"
"DXG","2010-03-02","6","6.05","6","6.05","12780","2010","03","10","Tuesday"
"DXG","2010-03-03","6.21","6.21","6.15","6.15","8110","2010","03","10","Wednesday"
"DXG","2010-03-04","6.25","6.25","6.05","6.15","12170","2010","03","10","Thursday"
"DXG","2010-03-05","6.15","6.15","5.85","6.15","21810","2010","03","10","Friday"
"DXG","2010-03-08","6.25","6.25","6.15","6.25","23050","2010","03","11","Monday"
"DXG","2010-03-09","6.36","6.36","6.15","6.15","3580","2010","03","11","Tuesday"
"DXG","2010-03-10","6.25","6.46","6.21","6.46","288980","2010","03","11","Wednesday"
"DXG","2010-03-11","6.76","6.76","6.76","6.76","221670","2010","03","11","Thursday"
"DXG","2010-03-12","7.06","7.06","7.06","7.06","100110","2010","03","11","Friday"
"DXG","2010-03-15","7.42","7.42","7.37","7.42","86950","2010","03","12","Monday"
"DXG","2010-03-16","7.11","7.62","7.06","7.06","115140","2010","03","12","Tuesday"
"DXG","2010-03-17","6.91","7.21","6.91","6.91","74320","2010","03","12","Wednesday"
"DXG","2010-03-18","7.06","7.06","6.66","6.96","57130","2010","03","12","Thursday"
"DXG","2010-03-19","7.01","7.06","6.96","7.01","100290","2010","03","12","Friday"
"DXG","2010-03-22","6.91","6.96","6.91","6.96","12480","2010","03","13","Monday"
"DXG","2010-03-23","6.81","6.96","6.81","6.81","17420","2010","03","13","Tuesday"
"DXG","2010-03-24","6.91","6.91","6.86","6.86","4450","2010","03","13","Wednesday"
"DXG","2010-03-25","6.86","6.86","6.71","6.81","33050","2010","03","13","Thursday"
"DXG","2010-03-26","6.91","6.96","6.81","6.86","69020","2010","03","13","Friday"
"DXG","2010-03-29","6.91","6.91","6.86","6.91","19060","2010","03","14","Monday"
"DXG","2010-03-30","6.86","6.91","6.76","6.76","34860","2010","03","14","Tuesday"
"DXG","2010-03-31","6.71","6.76","6.66","6.66","23400","2010","03","14","Wednesday"
"DXG","2010-04-01","6.56","6.81","6.46","6.81","43260","2010","04","14","Thursday"
"DXG","2010-04-02","6.66","6.86","6.61","6.71","23680","2010","04","14","Friday"
"DXG","2010-04-05","6.96","7.01","6.86","7.01","54510","2010","04","15","Monday"
"DXG","2010-04-06","7.16","7.16","6.96","7.01","20710","2010","04","15","Tuesday"
