symbol,date,open,high,low,close,volume
"EME","2017-07-26","8.61","8.61","6.82","6.82","400"
"EME","2017-07-31","9.38","9.38","9.38","9.38","100"
"EME","2017-08-01","10.74","10.74","10.74","10.74","100"
"EME","2017-08-02","12.28","12.28","12.28","12.28","400000"
"EME","2017-08-10","10.48","14.07","10.48","14.07","900"
"EME","2017-08-11","15.26","15.26","15.26","15.26","500"
"EME","2017-08-14","17.48","17.48","17.48","17.48","200"
"EME","2017-08-15","20.03","20.03","20.03","20.03","500"
"EME","2017-08-17","23.02","23.02","17.14","17.14","1100"
"EME","2017-08-18","20.29","20.29","20.29","20.29","400"
"EME","2017-08-21","23.02","23.02","23.02","23.02","1000"
"EME","2017-08-22","19.61","23.87","19.61","23.87","1100"
"EME","2017-08-23","17.05","17.05","17.05","17.05","1000"
"EME","2017-08-24","14.49","14.49","14.49","14.49","500"
"EME","2017-08-25","16.62","16.62","12.87","12.87","1100"
"EME","2017-08-29","15.17","15.17","15.17","15.17","100"
"EME","2017-08-30","17.39","17.39","13.64","13.64","1100"
"EME","2017-08-31","16.03","16.03","16.03","16.03","100"
"EME","2017-09-01","17.9","17.9","17.9","17.9","100"
"EME","2017-09-06","17.05","17.05","17.05","17.05","6000"
"EME","2017-09-11","17.05","17.05","17.05","17.05","3000"
"EME","2017-09-12","17.05","17.05","14.49","14.49","6000"
"EME","2017-09-13","13.55","13.55","13.55","13.55","200"
"EME","2017-09-19","15.52","15.52","15.52","15.52","1000"
"EME","2017-09-20","17.82","17.82","17.82","17.82","2100"
"EME","2017-09-21","15.34","15.34","15.34","15.34","1000"
"EME","2017-09-25","17.05","17.05","17.05","17.05","5000"
"EME","2017-09-26","17.05","17.05","17.05","17.05","10000"
"EME","2017-09-27","18.75","18.75","18.75","18.75","10900"
"EME","2017-09-28","17.05","17.05","15.94","15.94","2000"
"EME","2017-10-03","15.34","15.34","15.34","15.34","1000"
"EME","2017-10-05","17.05","17.05","17.05","17.05","15000"
"EME","2017-10-06","17.05","17.9","17.05","17.9","10600"
"EME","2017-10-10","15.34","15.34","15.34","15.34","500"
"EME","2017-10-11","17.05","17.05","17.05","17.05","54000"
"EME","2017-10-12","15.34","17.05","15.34","17.05","30100"
"EME","2017-10-13","14.66","14.66","14.66","14.66","100"
"EME","2017-10-16","16.79","16.79","13.72","13.72","2300"
"EME","2017-10-23","16.2","16.2","16.2","16.2","100"
"EME","2017-10-24","17.05","17.05","17.05","17.05","30100"
"EME","2017-10-25","17.05","17.05","17.05","17.05","30000"
"EME","2017-10-26","15.34","15.34","15.34","15.34","11400"
"EME","2017-10-27","13.64","13.64","13.64","13.64","100"
"EME","2017-10-31","15.69","15.69","15.69","15.69","100"
"EME","2017-11-06","17.05","17.05","17.05","17.05","55000"
"EME","2017-11-07","17.05","17.05","17.05","17.05","400"
"EME","2017-11-09","14.49","14.49","14.49","14.49","300"
"EME","2017-11-15","16.62","16.62","16.62","16.62","100"
"EME","2017-11-16","17.05","17.05","17.05","17.05","100"
"EME","2017-11-17","17.05","17.05","17.05","17.05","35000"
"EME","2017-11-24","19.61","19.61","19.61","19.61","100"
"EME","2017-11-27","16.71","17.05","16.71","17.05","15000"
"EME","2017-11-28","17.05","17.05","17.05","17.05","84500"
"EME","2017-11-29","17.14","17.14","17.14","17.14","3300"
"EME","2017-12-05","14.58","14.58","14.58","14.58","5000"
"EME","2017-12-06","16.71","16.71","16.71","16.71","100"
"EME","2017-12-07","17.05","17.05","17.05","17.05","10000"
"EME","2017-12-08","17.05","17.05","17.05","17.05","40000"
"EME","2017-12-11","17.05","17.05","17.05","17.05","3300"
"EME","2017-12-12","14.49","17.05","14.49","17.05","52000"
"EME","2017-12-13","17.05","17.05","17.05","17.05","39800"
"EME","2017-12-15","19.52","19.52","19.52","19.52","100"
"EME","2017-12-28","17.05","17.05","17.05","17.05","100000"
"EME","2018-01-08","17.05","17.05","17.05","17.05","100000"
"EME","2018-01-10","17.05","17.05","17.05","17.05","400"
"EME","2018-01-12","14.49","17.05","14.49","17.05","20500"
"EME","2018-01-22","12.53","12.53","12.53","12.53","5000"
"EME","2018-01-23","12.02","12.02","12.02","12.02","4800"
"EME","2018-01-24","13.81","13.81","13.81","13.81","100"
"EME","2018-02-01","13.81","13.81","13.81","13.81","10000"
"EME","2018-03-01","13.64","13.64","13.64","13.64","2900"
"EME","2018-03-05","11.94","11.94","11.94","11.94","14600"
"EME","2018-03-13","11.94","11.94","11.94","11.94","30000"
"EME","2018-03-21","11.94","13.64","11.94","13.64","20100"
"EME","2018-03-28","11.94","11.94","11.94","11.94","20000"
"EME","2018-04-02","13.72","13.72","13.72","13.72","100"
"EME","2018-04-03","15.34","15.34","15.34","15.34","20000"
"EME","2018-04-05","16.2","16.62","16.2","16.62","20000"
"EME","2018-04-10","18.84","18.84","16.88","18.84","55500"
"EME","2018-04-13","15.17","15.17","15.17","15.17","4000"
"EME","2018-04-16","13.3","13.3","13.3","13.3","500"
"EME","2018-05-04","12.96","12.96","12.96","12.96","100"
"EME","2018-05-10","14.83","14.83","14.83","14.83","100"
"EME","2018-05-11","17.05","17.05","17.05","17.05","100"
"EME","2018-05-14","19.61","19.61","19.61","19.61","100"
"EME","2018-05-15","22.5","22.5","22.5","22.5","2000"
"EME","2018-05-16","25.83","25.83","25.83","25.83","8600"
"EME","2018-05-17","29.67","29.67","29.67","29.67","100"
"EME","2018-05-18","34.1","34.1","34.1","34.1","5735"
"EME","2018-05-21","39.21","39.21","39.21","39.21","23120"
"EME","2018-05-22","45.09","45.09","45.09","45.09","29000"
"EME","2018-05-23","51.83","51.83","46.97","51.83","25700"
"EME","2018-05-24","46.89","47.06","46.89","47.06","3520"
"EME","2018-05-25","47.14","53.96","47.06","53.7","22008"
