symbol,date,open,high,low,close,volume
"EPC","2020-01-13","6.2","6.2","6.2","6.2","1500000"
"EPC","2020-08-31","6.2","6.2","6.2","6.2","1779200"
"EPC","2021-12-21","8.6","8.6","8.6","8.6","6200"
"EPC","2022-01-06","8.6","8.6","8.6","8.6","2300"
"EPC","2022-01-13","8.6","8.6","8.6","8.6","2200"
"EPC","2022-01-25","8.6","8.6","8.6","8.6","2300000"
"EPC","2022-09-20","12","12","12","12","600"
"EPC","2022-09-21","13.8","13.8","13.8","13.8","500"
"EPC","2022-09-22","15.8","15.8","15.8","15.8","600"
"EPC","2022-09-23","18.1","18.1","18.1","18.1","600"
"EPC","2022-09-26","20.8","20.8","20.8","20.8","1400"
"EPC","2022-09-27","23.9","23.9","23.9","23.9","300"
"EPC","2022-09-28","27.4","27.4","27.4","27.4","700"
"EPC","2022-09-29","31.5","31.5","31.5","31.5","100"
"EPC","2022-09-30","36.2","36.2","36.2","36.2","300"
"EPC","2022-10-03","41.6","41.6","41.6","41.6","600"
"EPC","2022-10-04","47.8","47.8","47.8","47.8","200"
"EPC","2022-10-05","54.9","54.9","54.9","54.9","1100"
"EPC","2022-12-08","33","33","33","33","100"
"EPC","2023-01-19","19.8","19.8","19.8","19.8","100"
"EPC","2023-01-30","16.9","16.9","16.9","16.9","1600"
"EPC","2023-02-10","14.4","14.4","14.4","14.4","100"
