symbol,date,open,high,low,close,volume
"EVF","2018-08-07","7.12","7.4","5.69","6.19","465100"
"EVF","2018-08-08","6.19","7.47","6.19","6.76","452721"
"EVF","2018-08-09","7.05","7.19","6.12","7.05","256811"
"EVF","2018-08-10","6.62","7.05","6.19","6.26","213435"
"EVF","2018-08-13","6.76","7.05","6.05","7.05","608321"
"EVF","2018-08-14","6.83","6.9","6.12","6.41","215585"
"EVF","2018-08-15","6.69","6.76","6.12","6.33","310054"
"EVF","2018-08-16","6.41","6.69","6.26","6.41","254405"
"EVF","2018-08-17","6.41","6.69","6.26","6.48","232938"
"EVF","2018-08-20","6.55","6.62","6.33","6.33","312731"
"EVF","2018-08-21","6.55","6.62","6.12","6.33","286640"
"EVF","2018-08-22","6.26","6.48","6.05","6.26","414933"
"EVF","2018-08-23","6.41","6.55","6.19","6.26","170328"
"EVF","2018-08-24","6.41","7.4","6.41","6.55","680649"
"EVF","2018-08-27","6.55","7.26","6.41","6.41","403722"
"EVF","2018-08-28","6.69","6.83","6.26","6.41","280578"
"EVF","2018-08-29","6.33","6.41","6.26","6.26","68360"
"EVF","2018-08-30","6.26","6.41","6.19","6.41","92124"
"EVF","2018-08-31","6.19","6.55","6.19","6.26","181696"
"EVF","2018-09-04","6.26","6.26","6.05","6.26","60537"
"EVF","2018-09-05","6.26","6.33","5.91","6.12","168869"
"EVF","2018-09-06","5.84","6.19","5.84","5.98","185740"
"EVF","2018-09-07","6.05","6.05","5.76","5.91","164266"
"EVF","2018-09-10","5.91","5.91","5.62","5.69","185593"
"EVF","2018-09-11","5.62","6.19","5.34","6.19","370275"
"EVF","2018-09-12","5.76","5.98","5.62","5.69","176225"
"EVF","2018-09-13","5.76","5.84","5.69","5.76","198076"
"EVF","2018-09-14","5.84","6.12","5.69","5.91","181152"
"EVF","2018-09-17","6.05","6.05","5.76","5.84","151610"
"EVF","2018-09-18","5.84","5.84","5.69","5.76","134994"
"EVF","2018-09-19","5.69","5.76","5.62","5.69","196527"
