symbol,date,open,high,low,close,volume,year,month,week,weekday
"EVG","2017-06-08","9.57","9.57","9.57","9.57","2894000","2017","06","23","Thursday"
"EVG","2017-06-09","10.21","10.21","10.21","10.21","2268500","2017","06","23","Friday"
"EVG","2017-06-12","10.92","10.92","9.53","10.85","2498930","2017","06","24","Monday"
"EVG","2017-06-13","10.68","10.99","10.11","10.92","3809550","2017","06","24","Tuesday"
"EVG","2017-06-14","10.68","10.68","10.28","10.48","1047980","2017","06","24","Wednesday"
"EVG","2017-06-15","10.45","11.19","10.28","11.19","2860630","2017","06","24","Thursday"
"EVG","2017-06-16","11.32","11.97","11.29","11.97","3212380","2017","06","24","Friday"
"EVG","2017-06-19","12.1","12.1","11.56","11.83","1253710","2017","06","25","Monday"
"EVG","2017-06-20","11.83","11.83","11.56","11.7","872250","2017","06","25","Tuesday"
"EVG","2017-06-21","11.7","11.9","11.46","11.73","1505590","2017","06","25","Wednesday"
"EVG","2017-06-22","11.7","11.83","11.43","11.7","1183930","2017","06","25","Thursday"
"EVG","2017-06-23","11.73","11.97","11.7","11.76","1554810","2017","06","25","Friday"
"EVG","2017-06-26","11.8","12.57","11.8","12.57","2490950","2017","06","26","Monday"
"EVG","2017-06-27","12.61","13.08","12.61","13.05","2126670","2017","06","26","Tuesday"
"EVG","2017-06-28","13.05","13.15","12.44","12.88","2830970","2017","06","26","Wednesday"
"EVG","2017-06-29","12.88","12.91","12.27","12.81","2882890","2017","06","26","Thursday"
"EVG","2017-06-30","12.74","12.91","11.93","11.93","2186090","2017","06","26","Friday"
"EVG","2017-07-03","11.12","11.7","11.12","11.63","2676180","2017","07","27","Monday"
"EVG","2017-07-04","11.63","11.97","11.46","11.53","2347990","2017","07","27","Tuesday"
"EVG","2017-07-05","11.53","11.56","10.75","11.12","1572490","2017","07","27","Wednesday"
"EVG","2017-07-06","10.82","10.95","10.34","10.34","2388100","2017","07","27","Thursday"
"EVG","2017-07-07","10.14","10.48","10.11","10.41","1528000","2017","07","27","Friday"
"EVG","2017-07-10","10.41","10.41","9.7","9.7","2669680","2017","07","28","Monday"
"EVG","2017-07-11","9.03","9.8","9.03","9.77","3602570","2017","07","28","Tuesday"
"EVG","2017-07-12","9.77","10.07","9.7","10.01","2115590","2017","07","28","Wednesday"
"EVG","2017-07-13","10.01","10.04","9.33","9.33","1298370","2017","07","28","Thursday"
"EVG","2017-07-14","8.76","9.43","8.76","9.2","506770","2017","07","28","Friday"
"EVG","2017-07-17","9.2","9.36","8.62","9.33","1132950","2017","07","29","Monday"
"EVG","2017-07-18","9.26","9.9","9.23","9.84","2198900","2017","07","29","Tuesday"
"EVG","2017-07-19","9.84","9.84","9.16","9.16","1208790","2017","07","29","Wednesday"
"EVG","2017-07-20","8.92","9.33","8.65","9.2","147400","2017","07","29","Thursday"
"EVG","2017-07-21","9.2","9.2","8.55","8.55","263840","2017","07","29","Friday"
"EVG","2017-07-24","7.98","8.82","7.98","8.55","497610","2017","07","30","Monday"
"EVG","2017-07-25","8.79","8.79","8.18","8.65","170850","2017","07","30","Tuesday"
"EVG","2017-07-26","8.65","8.65","8.32","8.65","204600","2017","07","30","Wednesday"
"EVG","2017-07-27","8.45","8.45","8.08","8.42","194160","2017","07","30","Thursday"
"EVG","2017-07-28","8.42","8.45","7.84","8.45","262480","2017","07","30","Friday"
"EVG","2017-07-31","7.91","8.21","7.88","7.98","1594360","2017","07","31","Monday"
"EVG","2017-08-01","7.44","7.91","7.44","7.84","2075200","2017","08","31","Tuesday"
"EVG","2017-08-02","7.84","7.94","7.74","7.88","276120","2017","08","31","Wednesday"
"EVG","2017-08-03","7.91","7.91","7.34","7.78","396900","2017","08","31","Thursday"
"EVG","2017-08-04","7.78","8.32","7.27","8.32","1465130","2017","08","31","Friday"
"EVG","2017-08-07","8.52","8.76","8.38","8.76","524970","2017","08","32","Monday"
"EVG","2017-08-08","8.72","8.72","8.15","8.38","725610","2017","08","32","Tuesday"
"EVG","2017-08-09","8.32","8.32","7.81","7.81","752770","2017","08","32","Wednesday"
"EVG","2017-08-10","7.81","8.11","7.27","7.67","1182230","2017","08","32","Thursday"
"EVG","2017-08-11","7.64","7.64","7.17","7.44","681220","2017","08","32","Friday"
"EVG","2017-08-14","7.4","7.4","6.93","6.93","574250","2017","08","33","Monday"
"EVG","2017-08-15","7.03","7.2","6.9","6.93","1474530","2017","08","33","Tuesday"
"EVG","2017-08-16","7","7","6.45","6.76","798660","2017","08","33","Wednesday"
"EVG","2017-08-17","6.76","6.86","6.29","6.86","1040220","2017","08","33","Thursday"
"EVG","2017-08-18","6.83","6.86","6.38","6.76","2053250","2017","08","33","Friday"
"EVG","2017-08-21","6.75","6.75","6.29","6.56","1108450","2017","08","34","Monday"
"EVG","2017-08-22","6.39","6.42","6.11","6.11","707640","2017","08","34","Tuesday"
"EVG","2017-08-23","6.08","6.08","5.68","5.68","1225180","2017","08","34","Wednesday"
"EVG","2017-08-24","5.3","5.48","5.29","5.29","471750","2017","08","34","Thursday"
"EVG","2017-08-25","5.31","5.65","5.29","5.65","1724600","2017","08","34","Friday"
"EVG","2017-08-28","5.69","6.04","5.67","6.04","2305420","2017","08","35","Monday"
"EVG","2017-08-29","6.04","6.29","5.75","6.08","1530270","2017","08","35","Tuesday"
"EVG","2017-08-30","5.87","6.22","5.66","6.08","1343310","2017","08","35","Wednesday"
"EVG","2017-08-31","6.07","6.07","5.66","5.82","1181930","2017","08","35","Thursday"
"EVG","2017-09-01","5.82","5.87","5.42","5.48","1568360","2017","09","35","Friday"
"EVG","2017-09-05","5.48","5.86","5.48","5.86","1716430","2017","09","36","Tuesday"
"EVG","2017-09-06","5.88","5.95","5.48","5.87","1222480","2017","09","36","Wednesday"
"EVG","2017-09-07","5.84","5.84","5.52","5.52","495050","2017","09","36","Thursday"
"EVG","2017-09-08","5.49","5.63","5.49","5.52","819900","2017","09","36","Friday"
"EVG","2017-09-11","5.52","5.54","5.44","5.54","316900","2017","09","37","Monday"
"EVG","2017-09-12","5.54","5.61","5.53","5.54","437410","2017","09","37","Tuesday"
"EVG","2017-09-13","5.61","5.61","5.44","5.54","235130","2017","09","37","Wednesday"
"EVG","2017-09-14","5.54","5.64","5.54","5.61","492500","2017","09","37","Thursday"
"EVG","2017-09-15","5.61","5.67","5.47","5.54","306910","2017","09","37","Friday"
"EVG","2017-09-18","5.54","5.58","5.51","5.55","234120","2017","09","38","Monday"
"EVG","2017-09-19","5.54","5.56","5.51","5.55","353020","2017","09","38","Tuesday"
"EVG","2017-09-20","5.56","5.56","5.44","5.54","148520","2017","09","38","Wednesday"
"EVG","2017-09-21","5.54","5.55","5.44","5.51","214270","2017","09","38","Thursday"
"EVG","2017-09-22","5.45","5.51","5.42","5.51","355600","2017","09","38","Friday"
"EVG","2017-09-25","5.46","5.52","5.41","5.52","325480","2017","09","39","Monday"
"EVG","2017-09-26","5.51","5.54","5.46","5.52","173200","2017","09","39","Tuesday"
"EVG","2017-09-27","5.54","5.61","5.51","5.57","461470","2017","09","39","Wednesday"
"EVG","2017-09-28","5.47","5.57","5.47","5.48","31810","2017","09","39","Thursday"
"EVG","2017-09-29","5.54","5.54","5.44","5.44","51380","2017","09","39","Friday"
"EVG","2017-10-02","5.48","5.48","5.21","5.44","220110","2017","10","40","Monday"
"EVG","2017-10-03","5.17","5.39","5.07","5.08","82080","2017","10","40","Tuesday"
"EVG","2017-10-04","5.07","5.14","5.07","5.08","52910","2017","10","40","Wednesday"
"EVG","2017-10-05","5.08","5.21","5.08","5.1","486540","2017","10","40","Thursday"
"EVG","2017-10-06","4.97","5.13","4.97","5.02","44040","2017","10","40","Friday"
"EVG","2017-10-09","5.01","5.02","4.9","4.9","46200","2017","10","41","Monday"
"EVG","2017-10-10","4.73","4.89","4.73","4.73","152730","2017","10","41","Tuesday"
"EVG","2017-10-11","4.8","4.8","4.68","4.8","54090","2017","10","41","Wednesday"
"EVG","2017-10-12","4.83","4.86","4.74","4.75","57340","2017","10","41","Thursday"
