symbol,date,open,high,low,close,volume
"FDC","2010-01-18","27.39","27.39","23.9","25.12","318650"
"FDC","2010-01-19","25.12","25.18","23.9","23.9","59540"
"FDC","2010-01-20","22.73","24.19","22.73","22.73","127610"
"FDC","2010-01-21","21.74","22.73","21.62","21.62","62170"
"FDC","2010-01-22","21.62","21.62","20.57","20.57","77630"
"FDC","2010-01-25","20.57","21.57","20.4","21.27","32210"
"FDC","2010-01-26","21.86","22.32","21.86","22.32","69060"
"FDC","2010-01-27","22.32","22.44","21.57","21.86","34300"
"FDC","2010-01-28","22.27","22.27","21.39","22.15","29910"
"FDC","2010-01-29","22.09","22.15","21.51","22.09","27590"
"FDC","2010-02-01","22.38","22.38","21.62","22.09","44890"
"FDC","2010-02-02","22.09","22.15","21.62","21.86","31840"
"FDC","2010-02-03","21.57","21.86","21.33","21.39","50720"
"FDC","2010-02-04","21.33","21.91","21.33","21.57","43180"
"FDC","2010-02-05","21.04","21.51","20.69","20.69","60150"
"FDC","2010-02-08","20.52","21.68","20.4","21.68","122400"
"FDC","2010-02-09","22.09","22.09","21.68","21.74","40510"
"FDC","2010-02-10","22.32","22.32","22.09","22.09","14420"
"FDC","2010-02-11","22.09","22.09","21.1","21.91","37650"
"FDC","2010-02-12","20.98","21.27","20.87","20.92","86340"
"FDC","2010-02-22","20.4","20.98","20.4","20.52","13270"
"FDC","2010-02-23","19.76","19.93","19.58","19.76","24250"
"FDC","2010-02-24","19.76","19.76","19.35","19.76","4430"
"FDC","2010-02-25","20.23","20.23","19.41","19.76","79090"
"FDC","2010-02-26","19.76","19.76","19.64","19.76","54340"
"FDC","2010-03-01","19.58","19.76","19.52","19.58","125950"
"FDC","2010-03-02","20.52","20.52","20.46","20.52","103050"
"FDC","2010-03-03","20.52","21.51","20.52","21.45","117460"
"FDC","2010-03-04","22.15","22.15","21.57","21.86","205800"
"FDC","2010-03-05","21.68","22.38","21.62","22.38","156750"
"FDC","2010-03-08","22.73","22.73","22.15","22.15","66420"
"FDC","2010-03-09","21.62","22.44","21.62","22.32","146390"
"FDC","2010-03-10","22.32","22.32","21.1","21.45","37410"
"FDC","2010-03-11","21.45","21.57","21.04","21.1","103310"
"FDC","2010-03-12","21.45","21.45","20.92","21.1","76930"
"FDC","2010-03-15","21.1","22.15","21.1","21.8","92320"
"FDC","2010-03-16","21.8","21.8","20.87","20.87","44700"
"FDC","2010-03-17","20.69","20.98","20.52","20.69","29690"
"FDC","2010-03-18","20.69","20.98","20.52","20.69","129450"
"FDC","2010-03-19","20.63","20.69","20.63","20.63","40620"
"FDC","2010-03-22","20.63","20.98","20.63","20.63","40800"
"FDC","2010-03-23","20.34","20.69","20.11","20.34","29560"
"FDC","2010-03-24","20.34","20.34","19.88","20.34","99800"
"FDC","2010-03-25","19.82","19.99","19.64","19.64","22570"
"FDC","2010-03-26","19.64","19.76","18.94","19.7","67980"
"FDC","2010-03-29","19.7","20.11","19.23","19.76","122250"
"FDC","2010-03-30","19.82","20.69","19.82","20.69","289690"
"FDC","2010-03-31","20.69","21.45","20.4","20.4","56110"
"FDC","2010-04-01","20.17","20.69","20.17","20.52","34200"
"FDC","2010-04-02","20.52","20.52","19.7","20.34","78080"
"FDC","2010-04-05","20.92","20.92","19.82","20.05","22300"
"FDC","2010-04-06","20.34","20.34","19.93","19.93","91060"
"FDC","2010-04-07","20.05","20.17","19.93","20.11","54710"
"FDC","2010-04-08","20.17","20.57","19.99","20.17","47380"
"FDC","2010-04-09","20.4","21.16","20.4","21.16","270490"
"FDC","2010-04-12","21.45","21.45","20.52","20.52","21410"
"FDC","2010-04-13","20.63","20.69","20.34","20.34","37670"
"FDC","2010-04-14","20.69","20.81","20.4","20.69","48310"
"FDC","2010-04-15","20.52","20.81","20.46","20.69","118600"
"FDC","2010-04-16","20.75","20.92","20.4","20.87","95370"
"FDC","2010-04-19","20.87","20.92","20.69","20.87","119210"
"FDC","2010-04-20","20.81","20.87","20.63","20.63","45170"
"FDC","2010-04-21","20.52","21.27","20.52","21.1","225660"
"FDC","2010-04-22","21.33","21.86","21.16","21.27","210710"
"FDC","2010-04-26","19.76","20.23","19.41","19.76","178470"
"FDC","2010-04-27","19.93","19.93","19.23","19.23","66780"
"FDC","2010-04-28","19.23","19.23","19.12","19.23","156720"
"FDC","2010-04-29","19.35","20.17","19.35","20.17","424240"
"FDC","2010-05-04","21.16","21.16","21.16","21.16","41340"
"FDC","2010-05-05","20.98","22.21","20.17","21.51","500910"
"FDC","2010-05-06","21.45","21.68","21.16","21.27","201480"
"FDC","2010-05-07","20.98","20.98","20.23","20.4","204880"
"FDC","2010-05-10","19.99","20.4","19.7","19.76","121290"
"FDC","2010-05-11","19.82","19.88","19.47","19.82","247980"
"FDC","2010-05-12","19.52","19.52","18.83","18.83","227260"
"FDC","2010-05-13","18.65","19.12","18.65","18.65","70280"
"FDC","2010-05-14","18.65","19.23","18.65","18.71","60410"
"FDC","2010-05-17","18.71","18.71","18.07","18.48","57950"
"FDC","2010-05-18","18.59","18.65","18.07","18.24","59870"
"FDC","2010-05-19","17.37","18.07","17.37","17.37","101950"
"FDC","2010-05-20","16.61","18.18","16.61","18.18","128490"
"FDC","2010-05-21","17.31","18.59","17.31","17.31","83310"
"FDC","2010-05-24","17.95","17.95","16.96","17.95","24590"
"FDC","2010-05-25","17.95","18.36","17.89","18.18","113270"
"FDC","2010-05-26","18.59","18.59","18.18","18.48","97140"
"FDC","2010-05-27","18.18","18.71","18.07","18.59","4140"
"FDC","2010-05-28","18.94","18.94","18.65","18.94","63620"
"FDC","2010-05-31","18.42","18.94","18.13","18.13","13420"
"FDC","2010-06-01","18.13","18.59","17.48","18.13","15550"
"FDC","2010-06-02","18.13","18.18","17.54","18.18","28230"
"FDC","2010-06-03","18.18","18.65","18.18","18.18","113850"
"FDC","2010-06-04","18.65","18.65","17.78","18.07","10650"
"FDC","2010-06-07","17.48","17.78","17.25","17.25","69630"
"FDC","2010-06-08","17.02","17.48","17.02","17.48","10920"
"FDC","2010-06-09","17.48","17.6","17.31","17.48","93330"
"FDC","2010-06-10","17.19","17.48","17.19","17.48","52570"
"FDC","2010-06-11","17.6","18.07","17.37","17.25","94340"
"FDC","2010-06-14","17.6","17.72","17.31","17.31","20260"
"FDC","2010-06-15","17.31","17.37","17.19","17.31","27390"
"FDC","2010-06-16","17.6","18.13","17.54","18.13","219310"
"FDC","2010-06-17","19","19","19","19","147990"
"FDC","2010-06-18","19.76","19.76","19","19","470490"
"FDC","2010-06-21","19.35","19.35","18.77","18.94","81450"
"FDC","2010-06-22","18.71","19.18","18.48","18.48","154970"
"FDC","2010-06-23","18.36","18.59","18.24","18.59","137360"
"FDC","2010-06-24","18.65","19.47","18.53","19.47","645130"
"FDC","2010-06-25","19.82","20.4","19.82","20.4","1273640"
"FDC","2010-06-28","21.39","21.39","21.39","21.39","832610"
"FDC","2010-06-29","22.44","22.44","22.38","22.44","855930"
"FDC","2010-06-30","21.86","23.02","21.86","22.61","899070"
"FDC","2010-07-01","22.61","22.61","21.51","22.15","896810"
"FDC","2010-07-02","21.86","23.25","21.57","23.25","1140390"
"FDC","2010-07-05","23.78","24.36","23.31","24.19","536450"
"FDC","2010-07-06","23.9","23.9","23.02","23.02","540440"
"FDC","2010-07-07","23.02","23.02","21.91","21.91","665670"
"FDC","2010-07-08","21.91","22.96","20.98","22.27","1129350"
"FDC","2010-07-09","22.21","22.91","22.15","22.73","527270"
"FDC","2010-07-12","23.02","23.49","22.73","23.37","533000"
"FDC","2010-07-13","23.9","24.54","23.72","24.48","815350"
