symbol,date,open,high,low,close,volume,year,month,week,weekday
"FHS","2018-11-06","13.29","13.29","13.29","13.29","100","2018","11","45","Tuesday"
"FHS","2018-11-07","15.27","15.27","15.27","15.27","500","2018","11","45","Wednesday"
"FHS","2018-11-08","17.55","17.55","17.55","17.55","100","2018","11","45","Thursday"
"FHS","2018-11-09","20.14","20.14","20.14","20.14","300","2018","11","45","Friday"
"FHS","2018-11-12","23.14","23.14","23.14","23.14","100","2018","11","46","Monday"
"FHS","2018-11-13","19.72","23.14","19.72","19.72","1600","2018","11","46","Tuesday"
"FHS","2018-11-14","17.01","19.84","17.01","19.84","5100","2018","11","46","Wednesday"
"FHS","2018-11-15","16.83","20.44","16.83","18.09","6700","2018","11","46","Thursday"
"FHS","2018-11-16","16.89","19.84","16.89","19.84","1400","2018","11","46","Friday"
"FHS","2018-11-19","17.37","17.37","14.79","17.37","100","2018","11","47","Monday"
"FHS","2018-11-20","14.79","14.79","14.79","14.79","1000","2018","11","47","Tuesday"
"FHS","2018-11-21","16.95","16.95","16.95","16.95","100","2018","11","47","Wednesday"
"FHS","2018-11-22","14.49","19.48","14.49","19.48","11848","2018","11","47","Thursday"
"FHS","2018-11-23","19.18","19.18","15.09","15.09","1500","2018","11","47","Friday"
"FHS","2018-11-27","14.43","14.43","14.43","14.43","100","2018","11","48","Tuesday"
"FHS","2018-11-28","14.43","14.43","14.43","14.43","35","2018","11","48","Wednesday"
"FHS","2018-11-30","16.59","16.59","16.59","16.59","100","2018","11","48","Friday"
"FHS","2018-12-03","19.06","19.06","19.06","19.06","2800","2018","12","49","Monday"
"FHS","2018-12-04","16.23","21.88","16.23","21.64","8948","2018","12","49","Tuesday"
"FHS","2018-12-05","18.4","18.4","18.4","18.4","100","2018","12","49","Wednesday"
"FHS","2018-12-06","18.09","21.1","16.05","18.7","1400","2018","12","49","Thursday"
"FHS","2018-12-07","22.18","22.18","19.36","22.18","4200","2018","12","49","Friday"
"FHS","2018-12-10","18.7","18.7","18.7","18.7","1010","2018","12","50","Monday"
"FHS","2018-12-11","16.95","16.95","16.95","16.95","100","2018","12","50","Tuesday"
"FHS","2018-12-13","16.95","16.95","16.95","16.95","3","2018","12","50","Thursday"
"FHS","2018-12-14","18.64","19.48","16.11","16.11","2400","2018","12","50","Friday"
"FHS","2018-12-18","18.04","18.04","18.04","16.11","10","2018","12","51","Tuesday"
"FHS","2018-12-19","20.74","20.74","18.34","18.34","700","2018","12","51","Wednesday"
"FHS","2018-12-20","22.24","22.24","22.24","22.24","28740","2018","12","51","Thursday"
"FHS","2018-12-21","22.3","22.42","22.3","22.42","4400","2018","12","51","Friday"
"FHS","2018-12-24","19","22.36","19","22.36","10010","2018","12","52","Monday"
"FHS","2018-12-25","22.24","22.48","22.24","22.42","20000","2018","12","52","Tuesday"
"FHS","2018-12-26","22.42","22.42","21.04","21.04","6000","2018","12","52","Wednesday"
