symbol,date,open,high,low,close,volume,year,month,week,weekday
"FIC","2018-08-02","10.94","10.94","8.56","8.56","5400","2018","08","31","Thursday"
"FIC","2018-08-08","11.03","11.03","10.46","10.46","400","2018","08","32","Wednesday"
"FIC","2018-08-09","10.46","10.46","10.46","10.46","1000","2018","08","32","Thursday"
"FIC","2018-08-17","8.94","8.94","8.94","8.94","3200","2018","08","33","Friday"
"FIC","2018-09-11","10.27","10.27","10.27","10.27","100","2018","09","37","Tuesday"
"FIC","2018-09-13","11.79","11.79","11.79","11.79","100","2018","09","37","Thursday"
"FIC","2018-09-19","13.51","13.51","10.46","10.46","200","2018","09","38","Wednesday"
"FIC","2018-09-27","10.27","10.27","10.27","10.27","200","2018","09","39","Thursday"
"FIC","2018-09-28","8.75","8.75","8.75","8.75","100","2018","09","39","Friday"
"FIC","2018-10-12","8.75","8.75","8.75","8.75","101000","2018","10","41","Friday"
"FIC","2018-10-30","8.94","8.94","8.85","8.85","500","2018","10","44","Tuesday"
"FIC","2018-11-12","8.56","8.56","8.56","8.56","1000","2018","11","46","Monday"
"FIC","2018-12-05","9.8","9.8","9.8","9.8","100","2018","12","49","Wednesday"
"FIC","2018-12-07","11.03","11.03","10.65","10.65","200","2018","12","49","Friday"
"FIC","2018-12-12","11.22","12.46","11.22","12.46","2300","2018","12","50","Wednesday"
"FIC","2018-12-13","10.08","10.08","10.08","10.08","500","2018","12","50","Thursday"
"FIC","2018-12-17","11.51","11.51","10.08","11.32","600","2018","12","51","Monday"
"FIC","2018-12-18","10.94","12.55","9.32","9.32","2200","2018","12","51","Tuesday"
"FIC","2018-12-25","11.13","11.13","9.23","9.23","2600","2018","12","52","Tuesday"
"FIC","2018-12-27","8.65","8.65","8.65","8.65","2928","2018","12","52","Thursday"
"FIC","2018-12-28","9.8","9.8","7.42","7.42","5600","2018","12","52","Friday"
"FIC","2019-01-04","7.13","7.13","7.13","7.13","1100","2019","01","1","Friday"
"FIC","2019-01-08","7.8","7.8","7.8","7.8","100","2019","01","2","Tuesday"
"FIC","2019-01-09","6.66","7.61","6.66","6.66","1000","2019","01","2","Wednesday"
"FIC","2019-01-10","7.23","7.89","7.23","7.89","300","2019","01","2","Thursday"
"FIC","2019-01-14","6.56","8.75","6.56","6.75","1100","2019","01","3","Monday"
"FIC","2019-01-17","7.99","7.99","6.66","6.66","900","2019","01","3","Thursday"
"FIC","2019-01-18","8.85","8.85","8.85","8.85","100","2019","01","3","Friday"
"FIC","2019-01-22","7.61","7.61","7.61","7.61","600","2019","01","4","Tuesday"
"FIC","2019-01-25","6.47","8.65","6.47","8.65","400","2019","01","4","Friday"
"FIC","2019-01-28","8.85","8.85","6.66","6.66","400","2019","01","5","Monday"
"FIC","2019-01-29","9.51","9.51","9.51","9.51","100","2019","01","5","Tuesday"
"FIC","2019-02-12","8.08","8.08","8.08","8.08","300","2019","02","7","Tuesday"
"FIC","2019-02-14","9.13","9.13","9.13","9.13","100","2019","02","7","Thursday"
"FIC","2019-02-15","10.18","10.18","10.18","10.18","300","2019","02","7","Friday"
"FIC","2019-02-21","8.65","8.65","8.65","8.65","1820","2019","02","8","Thursday"
"FIC","2019-02-22","7.51","9.61","7.42","9.61","400","2019","02","8","Friday"
"FIC","2019-02-25","7.99","9.61","7.99","9.61","52","2019","02","9","Monday"
"FIC","2019-02-27","6.85","6.85","6.85","6.85","100","2019","02","9","Wednesday"
"FIC","2019-02-28","6.09","6.09","6.09","6.09","100","2019","02","9","Thursday"
"FIC","2019-03-01","6.94","6.94","6.94","6.94","100","2019","03","9","Friday"
"FIC","2019-03-04","7.89","7.89","7.89","7.89","100","2019","03","10","Monday"
"FIC","2019-03-05","8.85","8.85","8.85","8.85","100","2019","03","10","Tuesday"
"FIC","2019-03-08","9.89","9.89","9.89","9.89","100","2019","03","10","Friday"
"FIC","2019-03-11","8.46","9.42","8.46","9.42","1800","2019","03","11","Monday"
