symbol,date,open,high,low,close,volume
"G36","2016-12-26","9.21","9.21","9.21","9.21","100"
"G36","2016-12-27","10.58","10.58","10.58","10.58","1500"
"G36","2016-12-28","12.15","12.15","12.15","12.15","100"
"G36","2016-12-29","13.96","13.96","13.84","13.96","2100"
"G36","2016-12-30","13.9","13.9","13.9","13.9","600"
"G36","2017-01-03","13.9","13.9","13.9","13.9","400"
"G36","2017-01-11","11.84","11.84","11.84","11.84","100"
"G36","2017-02-02","10.08","10.08","10.08","10.08","800"
"G36","2017-02-03","10.08","10.08","10.08","10.08","600"
"G36","2017-02-06","9.39","9.39","9.39","9.39","100"
"G36","2017-02-08","8.02","8.14","8.02","8.14","800"
"G36","2017-02-09","9.27","9.27","9.27","9.27","600"
"G36","2017-02-14","8.77","8.77","8.77","8.77","2800"
"G36","2017-02-15","8.27","8.27","8.27","8.27","700"
"G36","2017-02-20","7.83","7.83","7.83","7.83","1000"
"G36","2017-03-03","7.83","7.83","7.83","7.83","500"
"G36","2017-03-06","8.83","8.83","8.83","8.83","100"
"G36","2017-03-07","10.14","10.14","10.14","10.14","100"
"G36","2017-03-13","8.64","8.64","8.64","8.64","100"
"G36","2017-03-20","8.45","8.45","8.45","8.45","600"
"G36","2017-03-23","7.83","8.33","7.83","8.33","1500"
"G36","2017-03-28","8.77","8.77","8.14","8.14","1400"
"G36","2017-03-29","9.08","9.08","9.08","9.08","100"
"G36","2017-03-31","8.77","10.33","7.76","7.76","12400"
"G36","2017-04-17","8.2","8.2","8.2","8.2","1900"
"G36","2017-04-20","8.7","8.77","8.64","8.64","500"
"G36","2017-04-24","8.14","8.14","8.14","8.14","3500"
"G36","2017-04-25","7.83","7.83","7.83","7.83","100"
"G36","2017-04-26","7.51","7.51","7.51","7.51","900"
"G36","2017-05-10","7.51","7.51","7.51","7.51","1700"
"G36","2017-05-15","6.39","7.51","6.39","7.51","2100"
"G36","2017-05-16","7.08","7.08","7.08","7.08","1400"
"G36","2017-05-17","7.83","7.83","7.51","7.51","3500"
"G36","2017-05-19","7.51","7.95","6.58","7.95","4500"
"G36","2017-05-23","6.64","6.64","6.64","6.64","2400"
