symbol,date,open,high,low,close,volume
"GDT","2009-11-17","5.04","5.04","5.04","5.04","213340"
"GDT","2009-11-18","5.28","5.28","5.15","5.17","71640"
"GDT","2009-11-19","4.91","5.03","4.91","4.91","31280"
"GDT","2009-11-20","4.67","4.67","4.67","4.67","17680"
"GDT","2009-11-23","4.45","4.45","4.45","4.45","3190"
"GDT","2009-11-24","4.24","4.34","4.24","4.24","109190"
"GDT","2009-11-25","4.03","4.04","4.03","4.03","44130"
"GDT","2009-11-26","3.83","3.83","3.83","3.83","1710"
"GDT","2009-11-27","3.83","4.02","3.65","3.65","105290"
"GDT","2009-11-30","3.65","3.65","3.47","3.47","50890"
"GDT","2009-12-01","3.64","3.64","3.51","3.64","24500"
"GDT","2009-12-02","3.71","3.71","3.64","3.69","21810"
"GDT","2009-12-03","3.65","3.69","3.51","3.65","18200"
"GDT","2009-12-04","3.68","3.68","3.47","3.64","13990"
"GDT","2009-12-07","3.5","3.63","3.46","3.46","13870"
"GDT","2009-12-08","3.3","3.3","3.29","3.29","30590"
"GDT","2009-12-09","3.13","3.27","3.13","3.27","2100"
"GDT","2009-12-10","3.27","3.27","3.12","3.27","10850"
"GDT","2009-12-11","3.12","3.15","3.12","3.12","5330"
"GDT","2009-12-14","2.97","3.27","2.97","3.25","10590"
"GDT","2009-12-15","3.22","3.35","3.09","3.12","101280"
"GDT","2009-12-16","3.19","3.19","3.05","3.18","12090"
"GDT","2009-12-17","3.05","3.15","3.02","3.09","17280"
"GDT","2009-12-18","3.12","3.25","3.12","3.25","8970"
"GDT","2009-12-21","3.39","3.4","3.37","3.4","21770"
"GDT","2009-12-22","3.54","3.56","3.25","3.56","14550"
"GDT","2009-12-23","3.41","3.54","3.4","3.54","5940"
"GDT","2009-12-24","3.4","3.68","3.37","3.68","11090"
"GDT","2009-12-25","3.68","3.85","3.68","3.85","86680"
"GDT","2009-12-28","4.05","4.05","3.87","4.05","115920"
"GDT","2009-12-29","4.05","4.13","4.05","4.06","29390"
"GDT","2009-12-30","3.93","4.08","3.93","4.06","18910"
"GDT","2009-12-31","3.99","4.09","3.87","3.87","28700"
"GDT","2010-01-04","3.87","3.96","3.84","3.87","54110"
"GDT","2010-01-05","3.87","3.87","3.68","3.68","54250"
"GDT","2010-01-06","3.57","3.84","3.54","3.81","18720"
"GDT","2010-01-07","3.71","3.81","3.66","3.66","26900"
"GDT","2010-01-08","3.66","3.84","3.66","3.84","181880"
"GDT","2010-01-11","3.74","3.84","3.71","3.84","36580"
"GDT","2010-01-12","3.74","3.94","3.69","3.69","15140"
"GDT","2010-01-13","3.68","3.69","3.57","3.69","10570"
"GDT","2010-01-14","3.69","3.81","3.63","3.69","4600"
"GDT","2010-01-15","3.69","3.69","3.62","3.62","7030"
"GDT","2010-01-18","3.54","3.54","3.46","3.46","11200"
"GDT","2010-01-19","3.46","3.54","3.46","3.49","7980"
"GDT","2010-01-20","3.4","3.54","3.4","3.4","6250"
"GDT","2010-01-21","3.4","3.4","3.23","3.23","17660"
"GDT","2010-01-22","3.13","3.37","3.13","3.37","4660"
"GDT","2010-01-25","3.52","3.52","3.5","3.5","210"
"GDT","2010-01-26","3.47","3.5","3.47","3.5","7560"
"GDT","2010-01-27","3.5","3.5","3.34","3.35","30970"
"GDT","2010-01-28","3.43","3.43","3.23","3.43","5590"
"GDT","2010-01-29","3.44","3.44","3.44","3.44","1030"
"GDT","2010-02-01","3.46","3.46","3.28","3.29","4680"
