symbol,date,open,high,low,close,volume
"GGG","2009-10-12","24.5","30","22","30","418800"
"GGG","2009-10-13","28.7","28.7","25.5","26.9","266500"
"GGG","2009-10-14","26","26","25.4","25.4","71800"
"GGG","2009-10-15","25.4","26","23.7","24.1","762200"
"GGG","2009-10-16","24","24","22.4","22.5","443400"
"GGG","2009-10-19","23","23","21.5","22.2","325000"
"GGG","2009-10-20","23","23.8","22.2","23.8","375400"
"GGG","2009-10-21","24","24.2","23.2","24.2","238000"
"GGG","2009-10-22","25.5","25.7","24.6","25.3","442500"
"GGG","2009-10-23","25.3","25.3","23.5","23.5","165100"
"GGG","2009-10-26","23.7","25","22.1","22.8","372500"
"GGG","2009-10-27","21.1","22","21.1","21.7","184400"
"GGG","2009-10-28","20.2","23","20.1","22.6","160300"
"GGG","2009-10-29","21","22","21","21","98200"
"GGG","2009-10-30","21.5","22","20.7","21.5","111400"
"GGG","2009-11-02","21","21","19.9","19.9","38300"
"GGG","2009-11-03","19.9","20","18.6","18.6","34500"
"GGG","2009-11-04","18","18.6","17.6","17.6","97600"
"GGG","2009-11-05","18","18.4","16.6","18","176800"
"GGG","2009-11-06","18.6","18.8","17.5","17.6","108600"
"GGG","2009-11-09","16.9","17.3","16.8","16.8","77800"
"GGG","2009-11-10","16.8","16.8","15.8","15.9","91800"
"GGG","2009-11-11","16.9","16.9","15.2","16.1","46600"
"GGG","2009-11-12","16.5","17.1","16.3","17","90600"
"GGG","2009-11-13","17","17","15.9","16.6","97700"
"GGG","2009-11-16","17","17.4","17","17.4","22200"
"GGG","2009-11-17","18.5","18.5","17.5","18.5","300100"
"GGG","2009-11-18","19","19","18","18.5","138700"
"GGG","2009-11-19","18.7","18.7","17.8","18.2","90700"
"GGG","2009-11-20","18.5","18.5","17","17.5","69200"
"GGG","2009-11-23","17.6","18","16.5","16.6","65700"
"GGG","2009-11-24","16.9","17","15.8","16.5","57800"
"GGG","2009-11-25","15.5","16","14","14.1","82300"
"GGG","2009-11-26","14","14","13.5","13.5","52300"
"GGG","2009-11-27","12.6","14.4","12.6","13","117600"
"GGG","2009-11-30","13.5","14.3","13.5","14.3","56900"
"GGG","2009-12-01","14.5","15","14.3","15","78700"
"GGG","2009-12-02","15.9","15.9","13.9","14.4","44000"
"GGG","2009-12-03","13.5","14.5","13.5","14","56500"
"GGG","2009-12-04","13.9","14.2","13.9","14.1","25200"
"GGG","2009-12-07","13.5","14.2","13.5","13.9","20400"
"GGG","2009-12-08","13.8","13.8","13.2","13.3","23700"
"GGG","2009-12-09","13.1","13.1","12.7","12.7","66300"
"GGG","2009-12-10","12.8","13.2","12","12","34800"
"GGG","2009-12-11","12.1","12.4","11.9","11.9","46900"
"GGG","2009-12-14","12","12.8","11.5","12.6","20900"
"GGG","2009-12-15","12.4","12.4","12.2","12.4","8400"
"GGG","2009-12-16","11.9","11.9","11.6","11.6","48600"
"GGG","2009-12-17","10.9","11.7","10.8","11.2","19000"
"GGG","2009-12-18","11.6","11.8","11.6","11.8","54200"
"GGG","2009-12-21","12.5","12.6","12.4","12.6","56000"
"GGG","2009-12-22","13.4","13.4","12.7","12.9","70300"
"GGG","2009-12-23","13.7","13.7","13","13.2","30600"
"GGG","2009-12-24","13","13.4","12.7","13.4","45500"
"GGG","2009-12-25","13.5","14","13.4","14","88200"
"GGG","2009-12-28","13.5","14.2","13.3","13.3","25500"
"GGG","2009-12-29","12.8","13.3","12.8","12.9","33300"
"GGG","2009-12-30","13.2","13.5","13.1","13.3","45700"
"GGG","2009-12-31","13.9","13.9","13","13.3","43800"
"GGG","2010-01-04","13.8","14.4","13.7","14.4","129900"
"GGG","2010-01-05","15.1","15.1","14.7","14.8","117300"
"GGG","2010-01-06","15","15.2","14.5","15","138700"
"GGG","2010-01-07","15.2","15.3","14.7","15.3","126800"
"GGG","2010-01-08","15.2","16.1","15.2","16.1","167400"
"GGG","2010-01-11","16.7","17.1","15.9","17.1","302100"
"GGG","2010-01-12","16.9","16.9","15.7","15.7","76600"
"GGG","2010-01-13","14.8","16.5","14.8","15","98200"
"GGG","2010-01-14","15.5","15.6","14.5","14.9","37300"
"GGG","2010-01-15","14.5","15","14","14","132100"
"GGG","2010-01-18","13.7","13.7","13.3","13.6","165600"
"GGG","2010-01-19","14","14","13","13.5","78200"
"GGG","2010-01-20","14.3","14.3","13.1","13.2","34900"
"GGG","2010-01-21","12.9","13.4","12.6","12.9","103800"
"GGG","2010-01-22","12","13","12","13","36400"
"GGG","2010-01-25","12.8","13.3","12.8","13.3","13000"
"GGG","2010-01-26","13.2","14","13.2","14","47800"
"GGG","2010-01-27","14.6","14.6","12.9","12.9","12900"
"GGG","2010-01-28","13.5","13.5","12.5","12.6","1900"
"GGG","2010-01-29","12.4","13.4","12.4","13.2","13400"
"GGG","2010-02-01","13.1","13.4","13.1","13.2","6200"
"GGG","2010-02-02","13.2","13.3","13.2","13.2","18500"
"GGG","2010-02-03","13.5","13.5","13.1","13.2","14000"
"GGG","2010-02-04","12.8","13.4","12.8","13","10200"
"GGG","2010-02-05","13","13.3","12.5","12.8","51300"
"GGG","2010-02-08","12.3","12.8","12.3","12.5","16300"
"GGG","2010-02-09","12.3","12.7","12.3","12.3","25200"
"GGG","2010-02-10","12.4","12.9","12.4","12.9","14300"
"GGG","2010-02-11","13","13","12.8","13","8100"
"GGG","2010-02-12","13.5","13.5","13","13.1","24200"
"GGG","2010-02-22","14","14","13","13.4","13000"
"GGG","2010-02-23","13.8","13.8","12.5","12.8","37200"
"GGG","2010-02-24","12.5","12.9","12.5","12.9","4000"
"GGG","2010-02-25","12.7","12.9","12.6","12.6","16100"
"GGG","2010-02-26","13","13","12.8","12.9","34300"
"GGG","2010-03-01","12.6","13","12.6","13","51800"
"GGG","2010-03-02","13.1","13.1","12.8","12.9","14100"
"GGG","2010-03-03","12.9","13.2","12.7","13.2","34900"
"GGG","2010-03-04","13.8","13.8","12.8","13.1","27900"
"GGG","2010-03-05","13.2","13.2","12.7","12.9","29900"
"GGG","2010-03-08","13","13.5","13","13.3","42500"
"GGG","2010-03-09","13.3","13.3","13","13.1","23300"
"GGG","2010-03-10","13.1","13.1","12.8","13","22200"
"GGG","2010-03-11","12.9","12.9","12.6","12.7","37300"
"GGG","2010-03-12","12.8","13.6","12.8","13.6","197700"
"GGG","2010-03-15","14.1","14.4","14","14.4","236300"
"GGG","2010-03-16","15","15.4","13.9","14","174100"
"GGG","2010-03-17","14","15.6","13.6","15.6","765300"
"GGG","2010-03-18","16","16.3","16","16.3","338000"
"GGG","2010-03-19","17.4","17.4","17","17.4","749400"
"GGG","2010-03-22","18.6","18.6","17.3","17.4","466700"
"GGG","2010-03-23","17.4","18.4","16.7","16.7","551800"
"GGG","2010-03-24","17.1","17.2","16.2","16.5","271500"
"GGG","2010-03-25","16.8","17","15.5","15.9","334500"
"GGG","2010-03-26","15.5","16.7","15.3","16.7","279200"
"GGG","2010-03-29","17","17.3","16.8","17.3","313100"
"GGG","2010-03-30","17.9","18","16","16.5","200300"
"GGG","2010-03-31","16","16.7","15.7","16.1","138500"
"GGG","2010-04-01","15.5","16.9","15.4","16","149200"
"GGG","2010-04-02","16.2","16.7","15.5","16","184900"
"GGG","2010-04-05","16.1","16.8","15","16.3","235100"
"GGG","2010-04-06","16.5","16.9","16.2","16.5","366600"
"GGG","2010-04-07","16.5","16.9","16.3","16.8","192900"
"GGG","2010-04-08","16.8","17.7","16.8","17.7","634100"
"GGG","2010-04-09","18.8","18.8","17.4","17.6","358200"
"GGG","2010-04-12","17.6","17.6","16.9","16.9","320300"
"GGG","2010-04-13","16.8","16.9","15.9","16.3","283600"
"GGG","2010-04-14","16.6","17","16","17","126500"
"GGG","2010-04-15","17.3","17.4","16.6","17.3","188200"
"GGG","2010-04-16","17","18","16.9","18","726100"
"GGG","2010-04-19","17.9","18","17.2","17.5","244400"
"GGG","2010-04-20","17.5","17.7","17","17.6","303500"
"GGG","2010-04-21","17.6","18.6","17.5","18.6","458600"
"GGG","2010-04-22","19.6","19.6","17.2","18.3","1052400"
"GGG","2010-04-26","18.6","18.6","17.4","17.5","238700"
"GGG","2010-04-27","17.8","18.1","17.6","17.9","175700"
"GGG","2010-04-28","17.6","17.8","17.5","17.6","253400"
"GGG","2010-04-29","17.6","18.8","17.5","18.8","530800"
"GGG","2010-05-04","19.7","19.7","19.5","19.7","426300"
"GGG","2010-05-05","21","21","20","21","574200"
"GGG","2010-05-06","22.4","22.4","22.4","22.4","182100"
"GGG","2010-05-07","23.9","23.9","23.9","23.9","282300"
"GGG","2010-05-10","25.5","25.5","22.3","25.4","1574400"
"GGG","2010-05-11","26.4","26.4","23.8","24.5","810100"
"GGG","2010-05-12","24","24","23.8","23.8","52300"
"GGG","2010-05-13","22.2","22.2","22.2","22.2","54500"
"GGG","2010-05-14","20.7","22.5","20.7","22","1153500"
"GGG","2010-05-17","22","22.5","21.2","22.5","607600"
"GGG","2010-05-18","23.9","23.9","21.8","22","280600"
"GGG","2010-05-19","22.5","22.5","21","21","112600"
