symbol,date,open,high,low,close,volume,year,month,week,weekday
"GLW","2018-09-06","8","8","8","8","3100","2018","09","36","Thursday"
"GLW","2019-09-23","6.8","6.8","6.8","6.8","3200","2019","09","39","Monday"
"GLW","2020-02-10","6.8","6.8","6.8","6.8","2700","2020","02","7","Monday"
"GLW","2020-05-07","6.5","6.5","6.5","6.5","3000","2020","05","19","Thursday"
"GLW","2020-10-27","4","4","4","4","4000","2020","10","44","Tuesday"
"GLW","2020-11-02","4","4.2","4","4.1","3000","2020","11","45","Monday"
"GLW","2021-05-11","4.1","4.1","4.1","4.1","2000","2021","05","20","Tuesday"
"GLW","2021-05-21","4.1","4.1","4.1","4.1","1700","2021","05","21","Friday"
"GLW","2022-06-17","5.3","5.3","5.3","5.3","100","2022","06","24","Friday"
"GLW","2022-06-22","6","6","6","6","100","2022","06","25","Wednesday"
"GLW","2022-06-23","6.9","6.9","6.9","6.9","100","2022","06","25","Thursday"
"GLW","2022-06-24","7.9","7.9","7.9","7.9","100","2022","06","25","Friday"
"GLW","2022-06-27","9","9","9","9","300","2022","06","26","Monday"
"GLW","2022-06-28","10.2","10.2","10.2","10.2","200","2022","06","26","Tuesday"
"GLW","2022-07-04","8.9","8.9","8.9","8.9","200","2022","07","27","Monday"
"GLW","2022-07-05","7.7","7.7","7.7","7.7","100","2022","07","27","Tuesday"
"GLW","2022-07-07","6.6","8.8","6.6","8.8","200","2022","07","27","Thursday"
"GLW","2022-07-11","6.6","7.7","6.6","7.7","3200","2022","07","28","Monday"
"GLW","2022-07-12","6.5","7.4","6.5","7.4","200","2022","07","28","Tuesday"
"GLW","2022-08-05","7.2","7.2","7.2","7.2","200","2022","08","31","Friday"
"GLW","2022-08-10","7.2","7.2","7.2","7.2","2600","2022","08","32","Wednesday"
"GLW","2022-08-11","7.3","7.3","7.3","7.3","200","2022","08","32","Thursday"
"GLW","2022-08-30","8.3","8.3","8.3","8.3","100","2022","08","35","Tuesday"
"GLW","2022-08-31","8.3","8.3","8.2","8.3","900","2022","08","35","Wednesday"
"GLW","2022-09-05","8.3","8.3","8.3","8.3","100","2022","09","36","Monday"
"GLW","2022-09-19","7.2","7.2","7.2","7.2","100","2022","09","38","Monday"
"GLW","2022-09-20","8.2","8.2","8.2","8.2","100","2022","09","38","Tuesday"
"GLW","2022-09-22","8.2","8.2","8.2","8.2","100","2022","09","38","Thursday"
"GLW","2022-09-23","8.1","8.1","7.6","7.6","500","2022","09","38","Friday"
"GLW","2022-10-03","7.3","7.3","7.2","7.2","500","2022","10","40","Monday"
"GLW","2022-10-07","7.3","7.3","7.3","7.3","100","2022","10","40","Friday"
"GLW","2022-10-28","7.3","7.3","7.3","7.3","100","2022","10","43","Friday"
"GLW","2022-11-15","6.3","6.3","6.3","6.3","100","2022","11","46","Tuesday"
"GLW","2022-11-25","7.2","7.2","7.2","7.2","100","2022","11","47","Friday"
"GLW","2023-01-04","10","10","7.3","7.3","900","2023","01","1","Wednesday"
"GLW","2023-01-05","8.8","8.8","7.4","7.4","600","2023","01","1","Thursday"
"GLW","2023-01-06","8.6","8.6","8.6","8.6","100","2023","01","1","Friday"
"GLW","2023-01-09","9.7","9.7","9.7","9.7","100","2023","01","2","Monday"
"GLW","2023-01-13","8.3","8.3","8.3","8.3","300","2023","01","2","Friday"
"GLW","2023-01-16","9.5","9.5","8","8","200","2023","01","3","Monday"
"GLW","2023-01-17","7.5","7.5","7.5","7.5","600","2023","01","3","Tuesday"
"GLW","2023-01-18","7.5","7.5","7.5","7.5","100","2023","01","3","Wednesday"
