symbol,date,open,high,low,close,volume
"GTA","2007-07-23","22.94","22.94","22.94","22.94","129720"
"GTA","2007-07-24","23.98","23.98","21.89","21.89","486400"
"GTA","2007-07-25","20.85","20.85","20.85","20.85","11220"
"GTA","2007-07-26","19.81","19.81","19.81","19.81","15730"
"GTA","2007-07-27","18.94","18.94","18.94","18.94","8100"
"GTA","2007-07-30","18.07","18.07","18.07","18.07","23560"
"GTA","2007-07-31","17.17","17.17","17.17","17.17","11410"
"GTA","2007-08-01","16.33","17.72","16.33","17.72","137370"
"GTA","2007-08-02","17.72","17.72","16.86","16.86","51060"
"GTA","2007-08-03","16.02","16.16","16.02","16.02","36320"
"GTA","2007-08-06","15.5","15.64","15.46","15.46","29800"
"GTA","2007-08-07","14.94","15.29","14.94","15.29","41050"
"GTA","2007-08-08","15.53","15.99","15.53","15.99","47490"
"GTA","2007-08-09","16.79","16.79","16.79","16.79","24580"
"GTA","2007-08-10","17.55","17.55","16.4","17.2","126080"
"GTA","2007-08-13","16.68","16.68","16.37","16.37","31870"
"GTA","2007-08-14","16.33","16.75","16.33","16.68","28390"
"GTA","2007-08-15","16.68","16.68","16.37","16.37","19740"
"GTA","2007-08-16","16.16","16.33","16.16","16.16","6800"
"GTA","2007-08-17","16.16","16.16","15.99","16.06","30960"
"GTA","2007-08-20","15.64","15.99","15.64","15.85","19840"
"GTA","2007-08-21","16.23","16.23","15.85","15.85","20440"
"GTA","2007-08-22","15.85","15.85","15.64","15.64","16150"
"GTA","2007-08-23","15.46","15.64","15.29","15.46","25600"
"GTA","2007-08-24","15.78","15.78","15.29","15.78","51370"
"GTA","2007-08-27","15.78","15.81","15.33","15.46","32970"
"GTA","2007-08-28","15.39","15.46","15.29","15.39","41640"
"GTA","2007-08-29","15.39","15.5","15.33","15.43","23610"
"GTA","2007-08-30","15.64","16.2","15.64","15.64","15460"
"GTA","2007-08-31","15.64","15.64","15.46","15.57","14780"
"GTA","2007-09-04","15.53","15.64","15.46","15.64","44100"
"GTA","2007-09-05","15.64","15.64","15.46","15.46","30230"
"GTA","2007-09-06","15.29","15.46","15.29","15.46","70900"
"GTA","2007-09-07","15.5","15.5","15.36","15.46","29370"
"GTA","2007-09-10","15.46","15.46","15.36","15.43","28750"
"GTA","2007-09-11","15.46","15.6","15.46","15.57","46420"
"GTA","2007-09-12","15.46","15.53","15.29","15.36","28040"
"GTA","2007-09-13","15.36","15.39","15.29","15.33","26660"
"GTA","2007-09-14","15.29","15.36","15.26","15.29","41500"
"GTA","2007-09-17","15.46","15.46","15.29","15.29","27160"
"GTA","2007-09-18","15.29","15.36","15.22","15.22","28960"
"GTA","2007-09-19","15.29","15.5","15.29","15.5","57140"
"GTA","2007-09-20","16.26","16.26","16.26","16.26","47740"
"GTA","2007-09-21","17.06","17.06","16.68","17.06","436340"
"GTA","2007-09-24","17.72","17.72","17.27","17.72","108990"
"GTA","2007-09-25","17.38","17.55","17.2","17.27","97950"
"GTA","2007-09-26","16.96","17.34","16.68","16.68","68880"
"GTA","2007-09-27","17.03","17.03","16.54","17.03","128390"
"GTA","2007-09-28","17.2","17.72","17.2","17.72","180350"
"GTA","2007-10-01","18.59","18.59","18.59","18.59","89280"
"GTA","2007-10-02","19.46","19.46","18.59","18.77","189200"
"GTA","2007-10-03","18.07","18.77","18.07","18.25","154840"
"GTA","2007-10-04","17.72","18.07","17.72","17.72","72450"
"GTA","2007-10-05","17.38","17.9","17.38","17.9","79990"
"GTA","2007-10-08","17.55","17.9","17.55","17.72","77910"
"GTA","2007-10-09","17.72","17.9","17.55","17.72","95620"
"GTA","2007-10-10","17.9","17.9","17.72","17.9","126000"
"GTA","2007-10-11","17.9","18.07","17.72","17.9","113300"
"GTA","2007-10-15","17.72","17.9","17.72","17.9","75260"
"GTA","2007-10-16","17.72","17.9","17.72","17.72","48970"
"GTA","2007-10-17","18.07","18.07","17.72","18.07","122260"
"GTA","2007-10-18","18.77","18.77","18.07","18.25","104900"
"GTA","2007-10-19","17.9","18.07","17.72","17.9","51660"
"GTA","2007-10-26","17.72","17.72","17.38","17.38","61640"
"GTA","2007-10-31","16.33","16.61","16.2","16.2","54930"
"GTA","2007-11-01","16.51","16.92","16.33","16.92","52850"
"GTA","2007-11-02","17.2","17.31","16.54","16.54","86430"
"GTA","2007-11-06","14.28","14.94","14.28","14.91","23540"
"GTA","2007-11-07","14.91","15.29","14.91","15.29","19140"
"GTA","2007-11-08","15.29","15.29","14.94","14.94","48210"
"GTA","2007-11-09","14.6","14.84","14.42","14.6","43610"
"GTA","2007-11-12","14.25","14.25","14.07","14.25","21300"
