symbol,date,open,high,low,close,volume,year,month,week,weekday
"GTS","2016-10-21","8.12","8.12","8.12","8.12","1500","2016","10","43","Friday"
"GTS","2016-10-24","9.34","9.34","9.34","9.34","28500","2016","10","44","Monday"
"GTS","2016-10-25","10.72","10.72","10.72","10.72","5000","2016","10","44","Tuesday"
"GTS","2016-10-26","12.32","12.32","12.32","12.32","5000","2016","10","44","Wednesday"
"GTS","2016-10-27","14.15","14.15","14.15","14.15","3800","2016","10","44","Thursday"
"GTS","2016-10-28","16.25","16.25","16.25","16.25","5400","2016","10","44","Friday"
"GTS","2016-10-31","18.68","18.68","18.68","18.68","1000","2016","10","45","Monday"
"GTS","2016-11-01","21.44","21.44","21.44","21.44","7500","2016","11","45","Tuesday"
"GTS","2016-11-02","24.64","24.64","18.23","21","16000","2016","11","45","Wednesday"
"GTS","2016-11-14","20.45","20.45","20.45","20.45","100","2016","11","47","Monday"
"GTS","2016-12-01","17.41","17.41","17.41","17.41","110","2016","12","49","Thursday"
"GTS","2016-12-02","14.81","14.81","14.81","14.81","120","2016","12","49","Friday"
"GTS","2016-12-05","12.6","12.6","12.6","12.6","120","2016","12","50","Monday"
"GTS","2016-12-12","10.72","10.72","10.72","10.72","100","2016","12","51","Monday"
"GTS","2016-12-13","9.12","9.12","9.12","9.12","101","2016","12","51","Tuesday"
"GTS","2016-12-14","7.79","7.79","7.79","7.79","100","2016","12","51","Wednesday"
"GTS","2016-12-15","6.63","7.79","6.63","6.63","3518","2016","12","51","Thursday"
"GTS","2016-12-16","7.63","7.68","5.69","6.58","18605","2016","12","51","Friday"
"GTS","2016-12-19","5.42","7.02","5.3","7.02","600","2016","12","52","Monday"
"GTS","2016-12-20","6.46","6.46","6.46","6.46","28401","2016","12","52","Tuesday"
"GTS","2016-12-21","7.35","7.41","6.85","6.91","4400","2016","12","52","Wednesday"
"GTS","2016-12-22","6.91","6.91","5.97","5.97","13400","2016","12","52","Thursday"
"GTS","2016-12-23","5.53","5.8","5.53","5.8","10400","2016","12","52","Friday"
"GTS","2016-12-26","5.53","5.53","5.42","5.42","9900","2016","12","53","Monday"
"GTS","2016-12-27","5.47","5.53","5.08","5.08","10800","2016","12","53","Tuesday"
"GTS","2016-12-28","5.03","5.14","5.03","5.14","1200","2016","12","53","Wednesday"
"GTS","2016-12-29","5.53","5.53","5.53","5.53","100","2016","12","53","Thursday"
"GTS","2016-12-30","5.53","5.53","5.53","5.53","200","2016","12","53","Friday"
"GTS","2017-01-03","5.36","5.75","5.36","5.47","13300","2017","01","1","Tuesday"
"GTS","2017-01-04","5.47","5.75","5.47","5.75","4200","2017","01","1","Wednesday"
"GTS","2017-01-05","5.8","6.08","5.8","6.08","500","2017","01","1","Thursday"
"GTS","2017-01-09","6.63","6.63","6.58","6.63","1400","2017","01","2","Monday"
"GTS","2017-01-10","6.08","6.08","6.08","6.08","430","2017","01","2","Tuesday"
