symbol,date,open,high,low,close,volume
"HAG","2008-12-22","35.72","38.1","35.72","38.1","2830"
"HAG","2008-12-23","39.69","39.69","39.69","39.69","3010"
"HAG","2008-12-24","41.68","41.68","41.68","41.68","1000"
"HAG","2008-12-25","43.66","43.66","43.66","43.66","156010"
"HAG","2008-12-26","45.65","45.65","44.46","45.65","304910"
"HAG","2008-12-29","47.63","47.63","47.63","47.63","84900"
"HAG","2008-12-30","50.01","50.01","49.62","50.01","214180"
"HAG","2008-12-31","52","52","50.01","50.01","90760"
"HAG","2009-01-02","48.03","48.03","47.63","47.63","56640"
"HAG","2009-01-05","45.25","48.42","45.25","48.42","126260"
"HAG","2009-01-06","48.42","48.82","47.23","48.42","71980"
"HAG","2009-01-07","48.42","50.01","48.03","48.42","130500"
"HAG","2009-01-08","47.63","48.42","47.23","47.63","122040"
"HAG","2009-01-09","47.23","48.42","47.23","48.42","67890"
"HAG","2009-01-12","47.63","48.03","47.63","48.03","29120"
"HAG","2009-01-13","46.84","47.63","46.84","47.23","24510"
"HAG","2009-01-14","46.84","47.63","46.84","47.63","59340"
"HAG","2009-01-15","46.84","47.63","46.84","46.84","19640"
"HAG","2009-01-16","46.84","47.63","46.44","47.63","48230"
"HAG","2009-01-19","47.63","47.63","47.23","47.63","41160"
"HAG","2009-01-20","46.84","47.63","46.84","47.63","29590"
"HAG","2009-01-21","47.23","47.63","47.23","47.63","40490"
"HAG","2009-01-22","48.03","48.03","47.63","48.03","28710"
"HAG","2009-01-23","48.03","48.03","47.63","48.03","13740"
"HAG","2009-02-02","47.63","48.03","47.63","47.63","43260"
"HAG","2009-02-03","47.63","47.63","46.84","46.84","53540"
"HAG","2009-02-04","46.44","47.23","46.04","46.04","14340"
"HAG","2009-02-05","45.65","46.04","44.06","44.06","49100"
"HAG","2009-02-06","44.06","44.46","43.66","44.46","19160"
"HAG","2009-02-09","45.65","46.44","45.25","46.44","18660"
"HAG","2009-02-10","46.44","46.44","45.25","46.04","17980"
"HAG","2009-02-11","44.85","46.04","44.85","46.04","28390"
"HAG","2009-02-12","46.04","48.03","46.04","48.03","154380"
"HAG","2009-02-13","47.63","47.63","46.44","46.44","22450"
"HAG","2009-02-16","46.44","46.44","46.04","46.04","22700"
"HAG","2009-02-17","45.25","46.04","44.46","44.46","48550"
"HAG","2009-02-18","43.66","43.66","42.47","42.87","52520"
"HAG","2009-02-19","42.87","43.66","41.68","42.47","53290"
"HAG","2009-02-20","42.07","42.07","41.28","41.68","39050"
"HAG","2009-02-23","41.28","41.28","39.69","39.69","52920"
"HAG","2009-02-24","38.1","38.1","37.71","37.71","66240"
"HAG","2009-02-25","39.45","39.53","39.3","39.53","37520"
"HAG","2009-02-26","40.49","40.49","38.1","40.49","13640"
"HAG","2009-02-27","39.69","41.68","39.69","41.28","6810"
"HAG","2009-03-02","40.49","41.68","39.69","40.09","25100"
"HAG","2009-03-03","38.5","39.3","38.5","38.5","13320"
"HAG","2009-03-04","39.69","39.69","39.69","39.69","9880"
"HAG","2009-03-05","41.28","41.28","40.49","40.88","21370"
"HAG","2009-03-06","40.88","40.88","39.69","40.88","12250"
"HAG","2009-03-09","42.87","42.87","42.07","42.87","123110"
"HAG","2009-03-10","44.46","44.46","42.87","42.87","65870"
"HAG","2009-03-11","42.87","43.27","42.47","42.87","28520"
"HAG","2009-03-12","42.87","42.87","41.68","42.87","27830"
"HAG","2009-03-13","42.07","42.87","42.07","42.07","36990"
"HAG","2009-03-16","42.07","42.47","41.68","42.07","29350"
"HAG","2009-03-17","42.47","43.27","42.47","42.87","36550"
"HAG","2009-03-18","44.46","44.46","42.87","43.66","100930"
"HAG","2009-03-19","42.47","43.66","42.07","42.87","29780"
"HAG","2009-03-20","42.87","42.87","42.07","42.87","23440"
"HAG","2009-03-23","42.87","42.87","41.68","41.68","16010"
"HAG","2009-03-24","43.27","43.27","39.69","41.68","58030"
"HAG","2009-03-25","42.07","42.47","41.68","42.07","45420"
"HAG","2009-03-26","42.87","42.87","42.07","42.07","23160"
"HAG","2009-03-27","42.07","42.87","42.07","42.07","27090"
"HAG","2009-03-30","41.68","42.07","41.68","41.68","21840"
"HAG","2009-03-31","39.61","42.87","39.61","42.87","102210"
"HAG","2009-04-01","42.47","42.87","42.07","42.47","14070"
"HAG","2009-04-02","42.87","42.87","42.07","42.47","25080"
"HAG","2009-04-03","43.66","44.46","42.87","44.46","190790"
"HAG","2009-04-07","46.44","46.44","44.46","46.44","391460"
"HAG","2009-04-08","46.04","48.42","46.04","46.84","201040"
"HAG","2009-04-09","48.82","48.82","48.42","48.82","339730"
"HAG","2009-04-10","51.2","51.2","51.2","51.2","736820"
