symbol,date,open,high,low,close,volume,year,month,week,weekday
"HAM","2017-08-25","7.2","7.2","7.2","7.2","1000","2017","08","34","Friday"
"HAM","2017-08-30","7.54","7.54","7.54","7.54","2000","2017","08","35","Wednesday"
"HAM","2017-09-05","7.78","7.78","7.78","7.78","200","2017","09","36","Tuesday"
"HAM","2017-09-06","8.02","8.02","8.02","8.02","2000","2017","09","36","Wednesday"
"HAM","2017-09-18","7.78","7.78","7.78","7.78","2000","2017","09","38","Monday"
"HAM","2017-09-27","8.16","8.16","8.16","8.16","2400","2017","09","39","Wednesday"
"HAM","2017-09-28","8.16","8.16","8.16","8.16","1000","2017","09","39","Thursday"
"HAM","2017-10-04","8.16","8.16","8.16","8.16","600","2017","10","40","Wednesday"
"HAM","2017-10-18","8.16","8.16","8.16","8.16","100","2017","10","42","Wednesday"
"HAM","2017-10-19","8.16","8.16","8.16","8.16","18900","2017","10","42","Thursday"
"HAM","2017-10-31","8.16","8.16","8.16","8.16","2100","2017","10","44","Tuesday"
"HAM","2017-11-17","8.64","8.64","8.64","8.64","500","2017","11","46","Friday"
"HAM","2017-11-28","8.88","8.88","8.88","8.88","5000","2017","11","48","Tuesday"
"HAM","2017-11-30","9.02","9.02","9.02","9.02","400","2017","11","48","Thursday"
"HAM","2017-12-01","9.02","9.02","8.4","8.4","5600","2017","12","48","Friday"
"HAM","2017-12-04","8.16","8.16","8.16","8.16","55000","2017","12","49","Monday"
"HAM","2017-12-06","8.21","8.21","8.16","8.16","12000","2017","12","49","Wednesday"
"HAM","2017-12-18","8.64","8.64","8.64","8.64","300","2017","12","51","Monday"
"HAM","2017-12-25","8.64","8.64","8.64","8.64","1200","2017","12","52","Monday"
"HAM","2018-01-02","8.64","8.64","8.64","8.64","5000","2018","01","1","Tuesday"
"HAM","2018-01-03","8.88","8.88","8.88","8.88","1000","2018","01","1","Wednesday"
"HAM","2018-01-15","8.88","8.88","8.88","8.88","2700","2018","01","3","Monday"
"HAM","2018-02-23","8.98","8.98","8.98","8.98","2700","2018","02","8","Friday"
"HAM","2018-03-26","9.73","9.73","9.73","9.73","1000","2018","03","13","Monday"
"HAM","2018-04-11","8.98","8.98","8.98","8.98","2000","2018","04","15","Wednesday"
"HAM","2018-04-24","8.73","8.98","8.73","8.98","3200","2018","04","17","Tuesday"
"HAM","2018-07-13","9.08","9.08","9.08","9.08","1000","2018","07","28","Friday"
"HAM","2018-07-17","9.84","9.84","9.84","9.84","100","2018","07","29","Tuesday"
"HAM","2018-08-01","11.3","11.3","11.3","11.3","100","2018","08","31","Wednesday"
"HAM","2018-08-06","9.69","9.69","9.69","9.69","900","2018","08","32","Monday"
"HAM","2018-08-29","9.84","9.84","9.84","9.84","1000","2018","08","35","Wednesday"
"HAM","2018-08-31","9.84","9.84","9.84","9.84","4100","2018","08","35","Friday"
"HAM","2018-09-12","9.53","9.53","9.53","9.53","700","2018","09","37","Wednesday"
"HAM","2018-09-18","9.43","9.43","9.43","9.43","3000","2018","09","38","Tuesday"
"HAM","2018-09-20","9.43","9.43","9.43","9.43","3610","2018","09","38","Thursday"
"HAM","2018-09-25","10.84","10.84","10.84","10.84","100","2018","09","39","Tuesday"
"HAM","2018-11-08","8.9","11","8.9","11","2100","2018","11","45","Thursday"
"HAM","2018-11-20","9.17","9.17","9.17","9.17","1000","2018","11","47","Tuesday"
"HAM","2018-11-28","9.17","9.17","9.01","9.01","6300","2018","11","48","Wednesday"
"HAM","2018-12-04","8.96","8.96","8.96","8.96","3900","2018","12","49","Tuesday"
"HAM","2018-12-06","9.12","9.12","9.12","9.12","2700","2018","12","49","Thursday"
"HAM","2018-12-07","9.12","9.12","8.96","8.96","7500","2018","12","49","Friday"
"HAM","2018-12-10","8.96","8.96","8.96","8.96","1250","2018","12","50","Monday"
"HAM","2018-12-11","8.9","8.9","8.9","8.9","7013","2018","12","50","Tuesday"
"HAM","2018-12-19","8.96","8.96","8.96","8.96","8000","2018","12","51","Wednesday"
"HAM","2019-01-29","9.83","10.1","9.83","10.1","69200","2019","01","5","Tuesday"
"HAM","2019-01-30","9.83","9.83","9.83","9.83","500","2019","01","5","Wednesday"
"HAM","2019-02-01","9.29","10.87","9.29","10.87","1000","2019","02","5","Friday"
"HAM","2019-02-13","9.29","9.29","9.29","9.29","800","2019","02","7","Wednesday"
"HAM","2019-02-22","9.83","9.83","9.83","9.83","1000","2019","02","8","Friday"
"HAM","2019-02-25","9.34","9.34","9.34","9.34","19000","2019","02","9","Monday"
"HAM","2019-02-27","9.34","9.34","9.34","9.34","17050","2019","02","9","Wednesday"
"HAM","2019-03-11","9.29","9.29","9.29","9.29","2400","2019","03","11","Monday"
"HAM","2019-04-10","9.56","9.56","9.56","9.56","6800","2019","04","15","Wednesday"
"HAM","2019-04-11","9.56","9.56","9.56","9.56","2400","2019","04","15","Thursday"
"HAM","2019-04-17","9.56","9.56","9.56","9.56","530","2019","04","16","Wednesday"
"HAM","2019-05-03","9.01","9.01","9.01","9.01","1900","2019","05","18","Friday"
"HAM","2019-05-29","9.83","9.83","9.83","9.83","9040","2019","05","22","Wednesday"
"HAM","2019-06-10","9.83","9.83","9.83","9.83","11000","2019","06","24","Monday"
"HAM","2019-06-12","9.83","9.83","9.83","9.83","41","2019","06","24","Wednesday"
"HAM","2019-06-20","9.29","9.29","9.29","9.29","100","2019","06","25","Thursday"
"HAM","2019-06-27","9.83","9.83","9.83","9.83","8000","2019","06","26","Thursday"
