symbol,date,open,high,low,close,volume,year,month,week,weekday
"HAT","2010-10-29","13.47","13.47","12.12","12.57","16800","2010","10","44","Friday"
"HAT","2010-11-01","13.02","13.02","12.57","12.57","1100","2010","11","45","Monday"
"HAT","2010-11-03","12.57","12.57","11.99","12.35","300","2010","11","45","Wednesday"
"HAT","2010-11-04","11.45","11.67","11.45","11.45","3700","2010","11","45","Thursday"
"HAT","2010-11-05","11.22","11.9","11.22","11.9","2000","2010","11","45","Friday"
"HAT","2010-11-08","12.03","12.03","12.03","12.03","2500","2010","11","46","Monday"
"HAT","2010-11-09","11.94","12.03","11.94","12.03","2600","2010","11","46","Tuesday"
"HAT","2010-11-10","11.22","11.22","11.22","11.22","200","2010","11","46","Wednesday"
"HAT","2010-11-11","11.22","11.22","11.22","11.22","4700","2010","11","46","Thursday"
"HAT","2010-11-12","11.4","11.4","11.4","11.4","1100","2010","11","46","Friday"
"HAT","2010-11-15","12.03","12.03","12.03","12.03","100","2010","11","47","Monday"
"HAT","2010-11-17","11.22","11.22","11.22","11.22","800","2010","11","47","Wednesday"
"HAT","2010-11-19","10.46","10.46","10.46","10.46","100","2010","11","47","Friday"
"HAT","2010-11-22","10.78","10.78","10.78","10.78","100","2010","11","48","Monday"
"HAT","2010-11-23","11.4","11.4","11.4","11.4","1600","2010","11","48","Tuesday"
"HAT","2010-11-25","10.64","11.22","10.64","10.64","2600","2010","11","48","Thursday"
"HAT","2010-11-26","10.73","10.73","10.33","10.73","1300","2010","11","48","Friday"
"HAT","2010-11-29","10.55","11.27","10.55","11.27","2500","2010","11","49","Monday"
"HAT","2010-11-30","10.78","10.78","10.78","10.78","700","2010","11","49","Tuesday"
"HAT","2010-12-01","10.78","10.78","10.1","10.15","6500","2010","12","49","Wednesday"
"HAT","2010-12-02","9.74","10.01","9.74","10.01","200","2010","12","49","Thursday"
"HAT","2010-12-03","9.88","9.88","9.56","9.74","6600","2010","12","49","Friday"
"HAT","2010-12-06","10.33","10.33","10.33","10.33","2600","2010","12","50","Monday"
"HAT","2010-12-07","11.04","11.04","11.04","11.04","1800","2010","12","50","Tuesday"
"HAT","2010-12-08","11.81","11.81","11.81","11.81","15000","2010","12","50","Wednesday"
"HAT","2010-12-09","12.12","12.53","11.9","12.12","7600","2010","12","50","Thursday"
"HAT","2010-12-10","12.12","12.12","11.9","12.12","3500","2010","12","50","Friday"
"HAT","2010-12-13","12.12","12.84","11.72","11.72","2800","2010","12","51","Monday"
"HAT","2010-12-14","12.12","12.12","11.49","11.49","3300","2010","12","51","Tuesday"
"HAT","2010-12-15","11.54","11.54","10.87","11.22","4100","2010","12","51","Wednesday"
"HAT","2010-12-16","10.64","11.67","10.64","11.67","4000","2010","12","51","Thursday"
"HAT","2010-12-17","11.67","11.67","11.67","11.67","200","2010","12","51","Friday"
"HAT","2010-12-20","11.09","11.09","11.04","11.04","1900","2010","12","52","Monday"
"HAT","2010-12-21","11.13","11.13","11","11","400","2010","12","52","Tuesday"
"HAT","2010-12-22","10.91","11.13","10.91","11.09","300","2010","12","52","Wednesday"
"HAT","2010-12-23","11.67","11.76","11.67","11.76","1600","2010","12","52","Thursday"
"HAT","2010-12-24","10.96","10.96","10.91","10.96","6000","2010","12","52","Friday"
"HAT","2010-12-27","11.54","11.54","10.78","10.78","900","2010","12","53","Monday"
"HAT","2010-12-28","10.96","11.45","10.37","11.45","4700","2010","12","53","Tuesday"
"HAT","2010-12-29","11.18","11.18","11.18","11.18","300","2010","12","53","Wednesday"
"HAT","2011-01-05","11.36","11.36","11.36","11.36","2500","2011","01","1","Wednesday"
"HAT","2011-01-11","11.58","11.58","11.58","11.58","300","2011","01","2","Tuesday"
"HAT","2011-01-12","10.78","10.78","10.78","10.78","2800","2011","01","2","Wednesday"
"HAT","2011-01-14","11.13","11.13","10.24","10.24","2100","2011","01","2","Friday"
"HAT","2011-01-18","10.78","10.78","10.19","10.19","1400","2011","01","3","Tuesday"
"HAT","2011-01-19","10.37","10.37","10.33","10.33","1000","2011","01","3","Wednesday"
"HAT","2011-01-20","10.19","10.19","10.19","10.19","2200","2011","01","3","Thursday"
"HAT","2011-01-27","10.28","10.28","10.19","10.19","1400","2011","01","4","Thursday"
"HAT","2011-01-28","10.42","10.42","10.42","10.42","100","2011","01","4","Friday"
"HAT","2011-02-11","10.37","10.37","10.15","10.15","800","2011","02","6","Friday"
"HAT","2011-02-17","10.91","10.91","10.91","10.91","500","2011","02","7","Thursday"
"HAT","2011-02-18","10.37","10.37","10.15","10.15","2600","2011","02","7","Friday"
"HAT","2011-02-21","10.01","10.01","9.52","9.52","1200","2011","02","8","Monday"
"HAT","2011-02-22","9.56","9.56","9.56","9.56","1200","2011","02","8","Tuesday"
"HAT","2011-02-23","10.19","10.19","10.19","10.19","100","2011","02","8","Wednesday"
