symbol,date,open,high,low,close,volume
"HAX","2006-12-27","5.09","5.09","5.09","5.09","500"
"HAX","2006-12-28","5.34","5.34","5.34","5.34","1250"
"HAX","2006-12-29","5.6","5.6","5.6","5.6","1000"
"HAX","2007-01-02","5.6","5.88","5.6","5.88","1490"
"HAX","2007-01-03","6.17","6.17","6.17","6.17","2500"
"HAX","2007-01-04","6.48","6.48","6.48","6.48","2800"
"HAX","2007-01-05","6.8","6.8","6.8","6.8","1460"
"HAX","2007-01-08","7.11","7.11","7.11","7.11","4990"
"HAX","2007-01-09","7.11","7.11","7.11","7.11","2980"
"HAX","2007-01-11","7.11","7.11","6.76","6.76","530"
"HAX","2007-01-12","6.76","6.76","6.42","6.42","1100"
"HAX","2007-01-16","6.42","6.42","6.41","6.41","100"
"HAX","2007-01-17","6.41","6.41","6.1","6.1","200"
"HAX","2007-01-19","6.1","6.1","5.81","5.81","10"
"HAX","2007-01-22","5.81","5.81","5.57","5.57","600"
"HAX","2007-01-23","5.57","5.57","5.29","5.29","20"
"HAX","2007-01-24","5.29","5.29","5.29","5.29","100"
"HAX","2007-01-26","5.29","5.29","5.09","5.09","2840"
"HAX","2007-01-29","5.09","5.09","4.83","4.83","580"
"HAX","2007-01-30","4.74","4.83","4.7","4.7","12450"
"HAX","2007-01-31","4.83","5.07","4.83","5.07","11120"
"HAX","2007-02-01","5.07","5.32","5.07","5.32","8150"
"HAX","2007-02-02","5.43","5.43","5.43","5.43","3300"
"HAX","2007-02-05","5.43","5.43","5.43","5.43","5270"
"HAX","2007-02-06","5.43","5.43","5.29","5.29","2930"
"HAX","2007-02-07","5.43","5.43","5.43","5.43","7200"
"HAX","2007-02-08","5.43","5.43","5.43","5.43","2500"
"HAX","2007-02-09","5.43","5.7","5.43","5.43","4590"
"HAX","2007-02-12","5.64","5.7","5.64","5.7","2700"
"HAX","2007-02-13","5.98","5.98","5.98","5.98","10170"
"HAX","2007-02-14","5.98","6.26","5.98","6.26","4050"
"HAX","2007-02-15","6.26","6.26","6.26","6.26","1580"
