symbol,date,open,high,low,close,volume
"HCT","2007-11-27","16.35","29.43","16.35","25.07","21000"
"HCT","2007-11-28","21.26","24.53","21.26","24.53","21900"
"HCT","2007-11-29","24.53","25.18","23.98","25.18","23500"
"HCT","2007-11-30","26.82","26.82","26.82","26.82","16500"
"HCT","2007-12-03","29.49","29.49","29.43","29.49","54100"
"HCT","2007-12-04","32.16","32.43","31.61","32.43","54500"
"HCT","2007-12-05","35.65","35.65","29.71","31.34","30400"
"HCT","2007-12-06","29.43","30.09","29.38","29.38","31100"
"HCT","2007-12-07","29.98","32.49","29.16","32.49","79600"
"HCT","2007-12-10","35.21","35.21","35.21","35.21","36500"
"HCT","2007-12-11","38.7","38.7","35.1","38.7","115000"
"HCT","2007-12-12","41.59","41.64","38.7","41.64","58700"
"HCT","2007-12-13","40.66","43.61","40.61","41.7","49000"
"HCT","2007-12-14","40.34","41.05","38.7","39.79","50600"
"HCT","2007-12-17","39.25","39.25","37.23","37.34","28000"
"HCT","2007-12-18","36.47","39.19","34.5","38.97","29000"
"HCT","2007-12-19","39.79","40.34","38.27","39.52","14800"
"HCT","2007-12-20","38.7","39.79","36.25","37.61","13400"
"HCT","2007-12-21","38.7","39.79","38.43","38.7","10500"
"HCT","2007-12-24","40.34","40.34","38.16","39.25","15300"
"HCT","2007-12-25","38.7","38.7","37.07","38.16","8800"
"HCT","2007-12-26","38.97","38.97","37.61","37.61","13900"
"HCT","2007-12-27","38.21","38.27","37.88","38.16","6600"
"HCT","2007-12-28","37.88","38.16","37.88","38.16","4000"
"HCT","2008-01-02","37.34","37.34","36.03","36.36","4300"
"HCT","2008-01-03","36.03","36.19","35.16","35.16","4000"
"HCT","2008-01-04","34.94","36.52","34.94","35.98","4500"
"HCT","2008-01-07","34.83","34.83","32.7","33.52","7300"
"HCT","2008-01-08","33.8","34.5","31.61","33.74","17500"
"HCT","2008-01-09","32.7","32.7","30.52","32.16","8200"
"HCT","2008-01-10","29.71","29.71","28.45","29.6","18300"
"HCT","2008-01-11","31.07","31.4","27.25","29.43","15600"
"HCT","2008-01-14","28.34","28.34","26.6","26.6","10300"
"HCT","2008-01-15","24.58","24.58","24.42","24.42","7900"
"HCT","2008-01-16","25.62","26.87","25.62","26.87","16300"
"HCT","2008-01-17","28.84","28.94","24.53","27.8","28100"
"HCT","2008-01-18","27.42","29.43","27.25","27.31","32300"
"HCT","2008-01-21","28.94","30.63","28.62","30.63","19200"
"HCT","2008-01-22","32.49","32.49","30.85","32.49","63700"
"HCT","2008-01-23","35.43","35.59","29.54","32.7","35900"
"HCT","2008-01-24","35.98","36.03","31.61","32.7","51600"
"HCT","2008-01-25","31.61","34.34","31.61","32.16","16300"
"HCT","2008-01-28","32.98","32.98","30.52","30.58","11700"
"HCT","2008-01-29","30.52","34.29","30.52","32.76","44100"
"HCT","2008-01-30","35.16","35.87","35.16","35.87","30500"
"HCT","2008-01-31","39.25","39.25","32.98","36.58","23400"
"HCT","2008-02-01","38.16","39.25","37.07","38.97","32700"
"HCT","2008-02-12","41.37","41.97","36.03","37.07","21600"
"HCT","2008-02-13","37.88","37.88","34.4","35.48","23200"
"HCT","2008-02-14","36.52","37.07","35.43","35.87","31400"
"HCT","2008-02-15","36.58","36.58","34.61","34.88","7300"
"HCT","2008-02-18","32.7","33.2","31.61","32.54","15400"
"HCT","2008-02-19","31.61","34.88","31.61","32.98","19300"
"HCT","2008-02-20","33.25","33.25","30.03","30.03","19300"
"HCT","2008-02-21","28.62","28.62","28.23","28.23","22700"
"HCT","2008-02-22","27.25","30.2","25.62","29.43","17400"
"HCT","2008-02-25","30.69","30.69","30.63","30.69","8200"
"HCT","2008-02-26","32.7","32.7","28.34","28.89","6700"
"HCT","2008-02-27","29.38","31.07","27.75","29.93","15100"
"HCT","2008-02-28","28.34","29","28.34","28.89","22200"
"HCT","2008-02-29","28.62","28.62","26.71","27.31","12200"
"HCT","2008-03-03","27.8","27.8","25.07","26.33","17400"
"HCT","2008-03-04","24.47","24.47","23.22","23.22","15900"
"HCT","2008-03-05","21.09","24.75","21.09","23.44","20900"
"HCT","2008-03-06","24.58","24.58","24.58","24.58","100"
"HCT","2008-03-07","27.04","27.04","27.04","27.04","6900"
"HCT","2008-03-10","29.71","29.71","27.04","27.8","44400"
"HCT","2008-03-11","28.84","28.84","26.44","26.93","14800"
"HCT","2008-03-12","27.31","29.71","27.04","28.07","12500"
"HCT","2008-03-13","28.89","28.89","27.25","28.62","22700"
"HCT","2008-03-14","27.25","28.29","27.25","27.53","9300"
"HCT","2008-03-17","26.71","26.71","25.13","25.35","12900"
"HCT","2008-03-18","23.98","23.98","22.89","23.06","19700"
"HCT","2008-03-19","24.53","25.07","21.26","21.8","9400"
"HCT","2008-03-20","22.62","22.89","22.35","22.35","3300"
"HCT","2008-03-21","21.8","21.8","20.71","20.77","5000"
