symbol,date,open,high,low,close,volume,year,month,week,weekday
"HD8","2019-03-15","11.85","11.85","8.49","8.49","24100","2019","03","11","Friday"
"HD8","2019-03-18","7.9","7.9","7.9","7.9","300","2019","03","12","Monday"
"HD8","2019-03-19","6.71","6.71","6.71","6.71","100","2019","03","12","Tuesday"
"HD8","2019-03-20","6.58","6.71","6.58","6.71","15900","2019","03","12","Wednesday"
"HD8","2019-03-21","6.71","6.91","6.71","6.91","2700","2019","03","12","Thursday"
"HD8","2019-03-25","6.84","6.84","6.84","6.84","4700","2019","03","13","Monday"
"HD8","2019-03-26","6.71","6.71","6.71","6.71","1000","2019","03","13","Tuesday"
"HD8","2019-03-27","6.71","6.71","6.71","6.71","200","2019","03","13","Wednesday"
"HD8","2019-03-28","6.71","6.71","6.71","6.71","200","2019","03","13","Thursday"
"HD8","2019-04-01","6.71","6.71","6.71","6.71","300","2019","04","14","Monday"
"HD8","2019-04-02","6.71","6.71","6.71","6.71","900","2019","04","14","Tuesday"
"HD8","2019-04-03","6.71","6.71","6.71","6.71","1300","2019","04","14","Wednesday"
"HD8","2019-04-25","6.45","6.45","6.45","6.45","400","2019","04","17","Thursday"
"HD8","2019-04-26","5.92","5.92","5.92","5.92","200","2019","04","17","Friday"
"HD8","2019-05-15","5.92","5.92","5.07","5.07","2200","2019","05","20","Wednesday"
"HD8","2019-06-14","4.74","4.74","4.74","4.74","800","2019","06","24","Friday"
"HD8","2019-07-15","4.74","4.74","4.74","4.74","1000","2019","07","29","Monday"
"HD8","2019-07-16","4.74","5.27","4.74","4.74","1100","2019","07","29","Tuesday"
"HD8","2019-07-18","4.28","4.28","4.28","4.28","100","2019","07","29","Thursday"
"HD8","2019-07-26","4.87","4.87","4.87","4.87","100","2019","07","30","Friday"
"HD8","2019-08-02","5.53","5.53","5.53","5.53","100","2019","08","31","Friday"
"HD8","2019-08-06","4.74","4.74","4.74","4.74","500","2019","08","32","Tuesday"
"HD8","2019-08-07","4.8","5.13","4.8","5.13","4100","2019","08","32","Wednesday"
"HD8","2019-08-09","4.94","4.94","4.94","4.94","7500","2019","08","32","Friday"
"HD8","2019-08-14","4.8","4.8","4.8","4.8","600","2019","08","33","Wednesday"
"HD8","2019-08-15","4.8","4.8","4.8","4.8","400","2019","08","33","Thursday"
"HD8","2019-08-16","4.8","4.94","4.8","4.94","4000","2019","08","33","Friday"
"HD8","2019-08-19","4.94","5.13","4.94","5.13","22300","2019","08","34","Monday"
"HD8","2019-08-20","5.4","5.79","5.4","5.79","8300","2019","08","34","Tuesday"
"HD8","2019-08-21","5.92","5.92","5.59","5.59","2400","2019","08","34","Wednesday"
"HD8","2019-08-23","4.94","4.94","4.94","4.94","1100","2019","08","34","Friday"
"HD8","2019-08-26","5.13","5.33","5.13","5.33","1500","2019","08","35","Monday"
"HD8","2019-08-27","5.33","5.46","5.2","5.46","3800","2019","08","35","Tuesday"
"HD8","2019-08-28","5.33","5.4","5.2","5.2","1400","2019","08","35","Wednesday"
"HD8","2019-08-29","5.27","5.79","5.27","5.79","5100","2019","08","35","Thursday"
"HD8","2019-08-30","5.59","5.59","5.59","5.59","500","2019","08","35","Friday"
"HD8","2019-09-03","4.94","5.46","4.94","5.46","2500","2019","09","36","Tuesday"
"HD8","2019-09-04","5.27","5.46","5.27","5.46","2100","2019","09","36","Wednesday"
"HD8","2019-09-05","5.27","5.27","5.27","5.27","2600","2019","09","36","Thursday"
"HD8","2019-09-10","5.27","5.66","5.27","5.66","900","2019","09","37","Tuesday"
"HD8","2019-09-23","5.33","5.33","5.33","5.33","300","2019","09","39","Monday"
"HD8","2019-09-24","5.33","5.33","5.33","5.33","400","2019","09","39","Tuesday"
"HD8","2019-10-01","4.66","4.66","4.66","4.66","100","2019","10","40","Tuesday"
"HD8","2019-10-02","4.13","5.26","4.13","4.21","300","2019","10","40","Wednesday"
"HD8","2019-10-03","5.18","5.18","5.18","5.18","1500","2019","10","40","Thursday"
"HD8","2019-10-07","5.26","5.26","5.26","5.26","100","2019","10","41","Monday"
"HD8","2019-10-16","5.26","5.26","5.26","5.26","500","2019","10","42","Wednesday"
"HD8","2019-10-17","5.26","5.26","5.26","5.26","500","2019","10","42","Thursday"
"HD8","2019-10-21","5.26","5.26","5.26","5.26","500","2019","10","43","Monday"
"HD8","2019-10-22","5.26","5.26","5.26","5.26","300","2019","10","43","Tuesday"
"HD8","2019-10-28","5.26","5.26","5.26","5.26","1500","2019","10","44","Monday"
"HD8","2019-10-30","5.33","5.33","5.33","5.33","1400","2019","10","44","Wednesday"
"HD8","2019-11-07","5.33","5.33","5.33","5.33","3000","2019","11","45","Thursday"
"HD8","2020-01-10","4.13","4.13","4.13","4.13","100","2020","01","2","Friday"
"HD8","2020-01-14","4.73","4.73","4.73","4.73","300","2020","01","3","Tuesday"
"HD8","2020-01-15","5.41","5.41","5.41","5.41","300","2020","01","3","Wednesday"
"HD8","2020-01-31","5.41","5.41","5.41","5.41","200","2020","01","5","Friday"
"HD8","2020-02-06","4.66","4.88","4.66","4.88","200","2020","02","6","Thursday"
"HD8","2020-02-07","4.88","4.88","4.88","4.88","300","2020","02","6","Friday"
"HD8","2020-02-13","4.36","4.36","4.21","4.21","1900","2020","02","7","Thursday"
"HD8","2020-02-14","4.81","4.81","4.81","4.81","100","2020","02","7","Friday"
"HD8","2020-02-20","5.48","5.48","5.48","5.48","300","2020","02","8","Thursday"
"HD8","2020-02-21","5.48","5.48","5.48","5.48","100","2020","02","8","Friday"
"HD8","2020-02-24","5.48","6.23","5.48","5.48","500","2020","02","9","Monday"
"HD8","2020-02-25","4.88","6.08","4.88","4.88","300","2020","02","9","Tuesday"
"HD8","2020-03-02","5.26","5.26","5.26","5.26","100","2020","03","10","Monday"
"HD8","2020-03-04","4.88","4.88","4.88","4.88","700","2020","03","10","Wednesday"
"HD8","2020-03-06","5.26","5.26","5.26","5.26","100","2020","03","10","Friday"
"HD8","2020-03-11","4.51","4.51","4.51","4.51","100","2020","03","11","Wednesday"
"HD8","2020-03-12","4.05","4.05","4.05","4.05","1100","2020","03","11","Thursday"
"HD8","2020-03-13","4.66","4.66","4.66","4.66","100","2020","03","11","Friday"
"HD8","2020-03-30","4.66","4.66","4.66","4.66","100","2020","03","14","Monday"
"HD8","2020-04-07","3.98","3.98","3.98","3.98","400","2020","04","15","Tuesday"
"HD8","2020-04-14","3.6","3.6","3.6","3.6","100","2020","04","16","Tuesday"
"HD8","2020-04-17","4.13","4.13","4.13","4.13","1300","2020","04","16","Friday"
"HD8","2020-04-22","3.68","3.68","3.68","3.68","100","2020","04","17","Wednesday"
"HD8","2020-04-27","4.21","4.21","4.21","4.21","100","2020","04","18","Monday"
"HD8","2020-05-04","4.81","4.81","4.81","4.81","1100","2020","05","19","Monday"
"HD8","2020-05-05","4.81","4.81","4.81","4.81","600","2020","05","19","Tuesday"
"HD8","2020-05-06","4.28","4.28","4.28","4.28","100","2020","05","19","Wednesday"
"HD8","2020-05-07","3.83","3.83","3.83","3.83","100","2020","05","19","Thursday"
"HD8","2020-05-11","4.36","4.36","4.36","4.36","5000","2020","05","20","Monday"
"HD8","2020-05-12","3.9","4.36","3.9","4.36","200","2020","05","20","Tuesday"
"HD8","2020-05-14","3.98","3.98","3.98","3.98","100","2020","05","20","Thursday"
"HD8","2020-05-15","4.51","4.51","4.51","4.51","5000","2020","05","20","Friday"
"HD8","2020-05-18","4.51","4.51","4.51","4.51","700","2020","05","21","Monday"
"HD8","2020-05-19","4.51","4.51","4.51","4.51","1000","2020","05","21","Tuesday"
"HD8","2020-05-20","3.98","3.98","3.98","3.98","100","2020","05","21","Wednesday"
"HD8","2020-05-21","4.51","4.51","4.51","4.51","12000","2020","05","21","Thursday"
"HD8","2020-05-25","5.18","5.18","5.18","5.18","100","2020","05","22","Monday"
"HD8","2020-05-28","5.86","5.86","5.86","5.86","100","2020","05","22","Thursday"
"HD8","2020-05-29","5.03","5.93","5.03","5.26","2200","2020","05","22","Friday"
"HD8","2020-06-03","5.93","5.93","5.93","5.93","100","2020","06","23","Wednesday"
"HD8","2020-06-05","6.76","6.76","6.76","6.76","100","2020","06","23","Friday"
"HD8","2020-06-16","5.86","5.86","5.86","5.86","500","2020","06","25","Tuesday"
"HD8","2020-06-18","5.03","5.93","5.03","5.93","400","2020","06","25","Thursday"
"HD8","2020-06-19","5.93","5.93","5.93","5.93","100","2020","06","25","Friday"
"HD8","2020-06-24","5.26","5.26","5.11","5.11","1200","2020","06","26","Wednesday"
"HD8","2020-06-25","4.88","4.88","4.88","4.88","900","2020","06","26","Thursday"
"HD8","2020-06-26","4.88","4.88","4.51","4.81","7300","2020","06","26","Friday"
"HD8","2020-07-03","4.66","4.66","4.66","4.66","2000","2020","07","27","Friday"
"HD8","2020-07-16","5.18","5.18","5.18","5.18","400","2020","07","29","Thursday"
"HD8","2020-07-21","5.11","5.11","5.11","5.11","100","2020","07","30","Tuesday"
"HD8","2020-09-01","4.73","4.73","4.73","4.73","10000","2020","09","36","Tuesday"
"HD8","2020-09-03","4.73","4.73","4.73","4.73","12500","2020","09","36","Thursday"
"HD8","2020-09-07","5.41","5.41","5.41","5.41","100","2020","09","37","Monday"
"HD8","2020-09-10","5.78","5.78","5.78","5.78","100","2020","09","37","Thursday"
"HD8","2020-09-16","5.78","5.78","5.78","5.78","200","2020","09","38","Wednesday"
"HD8","2020-09-24","6.53","6.53","6.53","6.53","100","2020","09","39","Thursday"
"HD8","2020-09-25","5.56","5.56","5.56","5.56","1000","2020","09","39","Friday"
"HD8","2020-09-30","5.56","5.56","5.56","5.56","15000","2020","09","40","Wednesday"
"HD8","2020-10-01","5.63","5.78","5.63","5.71","9900","2020","10","40","Thursday"
"HD8","2020-10-02","5.78","5.78","5.78","5.78","14800","2020","10","40","Friday"
"HD8","2020-10-05","5.78","6.01","5.78","5.86","33700","2020","10","41","Monday"
"HD8","2020-10-06","5.86","5.93","5.86","5.93","5400","2020","10","41","Tuesday"
"HD8","2020-10-07","5.86","5.86","5.86","5.86","4100","2020","10","41","Wednesday"
"HD8","2020-10-08","5.86","6.08","5.78","6.08","22400","2020","10","41","Thursday"
"HD8","2020-10-09","5.93","5.93","5.86","5.86","4300","2020","10","41","Friday"
"HD8","2020-10-12","5.86","5.93","5.86","5.86","17400","2020","10","42","Monday"
"HD8","2020-10-13","5.93","6.01","5.93","6.01","10400","2020","10","42","Tuesday"
"HD8","2020-10-14","6.16","6.38","6.16","6.38","9200","2020","10","42","Wednesday"
"HD8","2020-10-15","6.31","6.46","6.31","6.46","5400","2020","10","42","Thursday"
"HD8","2020-10-16","6.38","6.38","6.38","6.38","2200","2020","10","42","Friday"
"HD8","2020-10-20","6.38","6.38","6.38","6.38","300","2020","10","43","Tuesday"
"HD8","2020-10-21","6.08","6.16","6.01","6.16","5200","2020","10","43","Wednesday"
"HD8","2020-10-27","5.49","5.58","5.49","5.58","2300","2020","10","44","Tuesday"
"HD8","2020-10-28","5.49","5.49","5.49","5.49","700","2020","10","44","Wednesday"
"HD8","2020-10-29","5.49","5.49","4.8","4.8","2600","2020","10","44","Thursday"
"HD8","2020-10-30","5.49","5.58","4.8","5.58","600","2020","10","44","Friday"
"HD8","2020-11-02","5.92","5.92","5.92","5.92","100","2020","11","45","Monday"
"HD8","2020-11-04","5.06","5.06","5.06","5.06","100","2020","11","45","Wednesday"
"HD8","2020-11-05","5.58","5.58","4.89","5.58","1700","2020","11","45","Thursday"
"HD8","2020-11-06","6","6","6","6","100","2020","11","45","Friday"
"HD8","2020-11-11","6.61","6.61","6.61","6.61","100","2020","11","46","Wednesday"
"HD8","2020-11-16","5.66","5.66","5.66","5.66","5200","2020","11","47","Monday"
"HD8","2020-11-17","6.43","6.43","6.43","6.43","400","2020","11","47","Tuesday"
"HD8","2020-11-19","5.83","5.83","5.83","5.83","1800","2020","11","47","Thursday"
"HD8","2020-11-20","5.75","5.83","5.75","5.75","1700","2020","11","47","Friday"
"HD8","2020-11-23","6.61","6.61","6.61","6.61","100","2020","11","48","Monday"
"HD8","2020-11-24","5.66","5.66","5.66","5.66","100","2020","11","48","Tuesday"
"HD8","2020-11-25","6.26","6.26","6.26","6.26","200","2020","11","48","Wednesday"
"HD8","2020-11-26","6.52","6.52","5.4","5.4","200","2020","11","48","Thursday"
"HD8","2020-11-27","6.43","6.43","6.35","6.35","200","2020","11","48","Friday"
"HD8","2020-12-07","6.86","6.86","6.86","6.86","1000","2020","12","50","Monday"
"HD8","2020-12-10","6","6","6","6","100","2020","12","50","Thursday"
"HD8","2020-12-25","6","6.09","6","6.09","4400","2020","12","52","Friday"
"HD8","2020-12-29","6","6","6","6","12500","2020","12","53","Tuesday"
"HD8","2020-12-30","6","6.78","6","6.78","200","2020","12","53","Wednesday"
"HD8","2021-01-04","6","6","6","6","500","2021","01","2","Monday"
"HD8","2021-01-05","6.43","6.86","6.43","6.86","7400","2021","01","2","Tuesday"
"HD8","2021-01-08","7.38","7.38","6.86","6.86","1100","2021","01","2","Friday"
"HD8","2021-01-11","6.86","6.86","6.86","6.86","3200","2021","01","3","Monday"
"HD8","2021-01-15","5.83","5.83","5.83","5.83","100","2021","01","3","Friday"
"HD8","2021-01-27","6.69","6.69","6.69","6.69","100","2021","01","5","Wednesday"
