symbol,date,open,high,low,close,volume,year,month,week,weekday
"HDC","2007-10-08","6.85","6.85","6.85","6.85","13500","2007","10","41","Monday"
"HDC","2007-10-10","7.5","7.5","7.5","7.5","2000","2007","10","41","Wednesday"
"HDC","2007-10-11","8.23","8.23","8.23","7.87","11200","2007","10","41","Thursday"
"HDC","2007-10-15","8.64","8.64","8.64","8.64","67920","2007","10","42","Monday"
"HDC","2007-10-16","9.05","9.05","9.05","9.05","55400","2007","10","42","Tuesday"
"HDC","2007-10-17","9.46","9.46","9.46","9.46","14250","2007","10","42","Wednesday"
"HDC","2007-10-18","9.86","9.86","9.13","9.78","734430","2007","10","42","Thursday"
"HDC","2007-10-19","10.27","10.27","9.78","10.27","412180","2007","10","42","Friday"
"HDC","2007-10-26","11.58","11.58","11.49","11.49","62400","2007","10","43","Friday"
"HDC","2007-10-31","10.44","10.76","9.95","10.44","318140","2007","10","44","Wednesday"
"HDC","2007-11-01","10.35","10.68","10.35","10.52","64970","2007","11","44","Thursday"
"HDC","2007-11-02","10.52","10.52","10.11","10.11","42500","2007","11","44","Friday"
"HDC","2007-11-06","9.62","9.78","9.38","9.38","45410","2007","11","45","Tuesday"
"HDC","2007-11-07","9.13","9.29","8.97","9.05","86230","2007","11","45","Wednesday"
"HDC","2007-11-08","9.46","9.46","9.46","9.46","19020","2007","11","45","Thursday"
"HDC","2007-11-09","9.7","9.78","9.46","9.78","127250","2007","11","45","Friday"
"HDC","2007-11-12","9.78","9.78","9.29","9.29","52120","2007","11","46","Monday"
"HDC","2007-11-13","9.29","9.29","8.89","8.89","47880","2007","11","46","Tuesday"
"HDC","2007-11-14","9.29","9.29","8.89","9.29","45010","2007","11","46","Wednesday"
"HDC","2007-11-15","9.29","9.29","9.05","9.05","43770","2007","11","46","Thursday"
"HDC","2007-11-16","8.97","9.13","8.97","8.97","17160","2007","11","46","Friday"
"HDC","2007-11-19","8.8","8.89","8.72","8.89","14490","2007","11","47","Monday"
"HDC","2007-11-20","8.8","8.89","8.64","8.72","20300","2007","11","47","Tuesday"
"HDC","2007-11-21","8.4","8.48","8.31","8.31","64510","2007","11","47","Wednesday"
"HDC","2007-11-22","8.23","8.48","8.23","8.4","42590","2007","11","47","Thursday"
"HDC","2007-11-23","8.23","8.31","8.15","8.31","32000","2007","11","47","Friday"
"HDC","2007-11-26","8.72","8.72","8.72","8.72","70190","2007","11","48","Monday"
"HDC","2007-11-27","9.13","9.13","9.13","9.13","48620","2007","11","48","Tuesday"
"HDC","2007-11-28","8.72","9.29","8.72","9.13","131370","2007","11","48","Wednesday"
"HDC","2007-11-29","9.13","9.13","8.97","9.13","67090","2007","11","48","Thursday"
"HDC","2007-11-30","9.05","9.05","8.89","8.97","64330","2007","11","48","Friday"
"HDC","2007-12-03","9.05","9.05","8.97","8.97","101750","2007","12","49","Monday"
"HDC","2007-12-04","9.29","9.38","9.21","9.38","174120","2007","12","49","Tuesday"
"HDC","2007-12-05","9.38","9.38","9.21","9.21","82200","2007","12","49","Wednesday"
"HDC","2007-12-06","9.38","9.46","9.21","9.46","75320","2007","12","49","Thursday"
"HDC","2007-12-07","9.38","9.46","9.29","9.38","30080","2007","12","49","Friday"
"HDC","2007-12-10","9.29","9.29","9.13","9.13","19740","2007","12","50","Monday"
"HDC","2007-12-11","8.97","9.13","8.89","8.89","16140","2007","12","50","Tuesday"
"HDC","2007-12-12","8.72","8.97","8.72","8.89","31840","2007","12","50","Wednesday"
"HDC","2007-12-13","8.89","8.89","8.64","8.64","30110","2007","12","50","Thursday"
"HDC","2007-12-14","8.4","8.72","8.4","8.48","17730","2007","12","50","Friday"
"HDC","2007-12-17","8.64","8.64","8.31","8.31","33880","2007","12","51","Monday"
"HDC","2007-12-18","8.31","8.56","8.31","8.56","8160","2007","12","51","Tuesday"
"HDC","2007-12-19","8.97","8.97","8.97","8.97","52670","2007","12","51","Wednesday"
"HDC","2007-12-20","9.13","9.13","8.72","8.8","29070","2007","12","51","Thursday"
"HDC","2007-12-21","8.89","8.89","8.72","8.89","15900","2007","12","51","Friday"
"HDC","2007-12-24","8.72","8.89","8.64","8.72","12950","2007","12","52","Monday"
"HDC","2007-12-25","8.72","8.72","8.56","8.64","22480","2007","12","52","Tuesday"
"HDC","2007-12-26","8.64","8.72","8.56","8.72","26270","2007","12","52","Wednesday"
"HDC","2007-12-27","8.72","8.89","8.64","8.72","51430","2007","12","52","Thursday"
"HDC","2007-12-28","8.72","8.72","8.72","8.72","10240","2007","12","52","Friday"
