symbol,date,open,high,low,close,volume,year,month,week,weekday
"HHV","2015-12-21","10.47","10.47","10.47","10.47","100","2015","12","52","Monday"
"HHV","2016-04-19","9.98","9.98","9.98","9.98","500","2016","04","17","Tuesday"
"HHV","2016-04-21","9.98","9.98","9.98","9.98","100","2016","04","17","Thursday"
"HHV","2016-04-22","9.26","9.26","9.26","9.26","200","2016","04","17","Friday"
"HHV","2016-04-25","9.26","9.26","9.26","9.26","400","2016","04","18","Monday"
"HHV","2016-04-28","9.26","9.26","9.26","9.26","400","2016","04","18","Thursday"
"HHV","2016-05-18","9.9","9.9","9.9","9.9","250","2016","05","21","Wednesday"
"HHV","2016-06-06","8.55","8.55","8.55","8.55","100","2016","06","24","Monday"
"HHV","2016-07-06","7.48","7.48","7.48","7.48","100","2016","07","28","Wednesday"
"HHV","2016-07-19","8.55","8.55","8.55","8.55","100","2016","07","30","Tuesday"
"HHV","2016-07-20","9.83","9.83","8.55","9.83","900","2016","07","30","Wednesday"
"HHV","2016-07-21","10.47","10.47","10.47","10.47","100","2016","07","30","Thursday"
"HHV","2016-07-22","8.91","8.91","8.91","8.91","300","2016","07","30","Friday"
"HHV","2016-07-28","9.26","9.26","9.26","9.26","100","2016","07","31","Thursday"
"HHV","2016-08-01","9.98","9.98","9.98","9.98","100","2016","08","32","Monday"
"HHV","2016-08-03","8.48","8.48","8.48","8.48","100","2016","08","32","Wednesday"
"HHV","2016-08-04","7.27","7.27","7.27","7.27","1000","2016","08","32","Thursday"
"HHV","2016-08-18","6.2","6.2","6.2","6.2","100","2016","08","34","Thursday"
"HHV","2016-09-01","5.27","5.27","5.27","5.27","100","2016","09","36","Thursday"
"HHV","2016-09-07","4.49","4.49","4.49","4.49","300","2016","09","37","Wednesday"
"HHV","2016-09-20","5.13","5.13","5.13","5.13","100","2016","09","39","Tuesday"
"HHV","2016-09-22","4.42","4.42","4.42","4.42","100","2016","09","39","Thursday"
"HHV","2016-09-23","3.78","3.78","3.78","3.78","100","2016","09","39","Friday"
"HHV","2016-09-30","3.35","3.35","3.35","3.35","100","2016","09","40","Friday"
"HHV","2016-10-12","2.85","2.85","2.85","2.85","100","2016","10","42","Wednesday"
"HHV","2016-11-28","3.99","3.99","3.99","3.99","100","2016","11","49","Monday"
"HHV","2016-12-01","4.56","4.56","4.56","4.56","100","2016","12","49","Thursday"
"HHV","2016-12-05","4.99","4.99","4.99","4.99","200","2016","12","50","Monday"
"HHV","2016-12-06","5.7","5.7","5.7","5.7","100","2016","12","50","Tuesday"
"HHV","2016-12-12","6.55","6.55","6.55","6.55","100","2016","12","51","Monday"
"HHV","2016-12-14","6.41","6.41","6.41","6.41","100","2016","12","51","Wednesday"
"HHV","2016-12-16","6.41","6.41","6.41","6.41","200","2016","12","51","Friday"
"HHV","2017-03-30","8.34","8.34","8.34","8.34","500","2017","03","13","Thursday"
"HHV","2018-01-23","7.12","7.12","7.12","7.12","500","2018","01","4","Tuesday"
"HHV","2018-01-26","7.12","7.12","7.12","7.12","1520","2018","01","4","Friday"
"HHV","2018-03-12","8.17","8.17","8.17","8.17","100","2018","03","11","Monday"
"HHV","2018-04-06","8.24","8.24","8.24","8.24","100","2018","04","14","Friday"
"HHV","2018-05-02","8.24","8.24","8.24","8.24","2100","2018","05","18","Wednesday"
"HHV","2018-05-03","8.24","8.24","8.24","8.24","400","2018","05","18","Thursday"
"HHV","2018-06-04","8.28","8.28","8.28","8.28","200","2018","06","23","Monday"
"HHV","2018-06-20","8.03","8.03","8.03","8.03","500","2018","06","25","Wednesday"
"HHV","2018-09-25","8.45","8.45","8.45","8.45","100","2018","09","39","Tuesday"
"HHV","2018-10-30","8.45","8.45","8.45","8.45","400","2018","10","44","Tuesday"
"HHV","2019-04-05","10.14","10.14","10.14","10.14","200","2019","04","14","Friday"
"HHV","2019-06-13","10.17","10.27","10.17","10.27","1600","2019","06","24","Thursday"
"HHV","2019-06-26","10.17","10.17","10.17","10.17","1000","2019","06","26","Wednesday"
"HHV","2019-08-02","10.17","10.17","10.17","10.17","100","2019","08","31","Friday"
"HHV","2019-08-16","11.69","11.69","11.12","11.12","400","2019","08","33","Friday"
"HHV","2019-08-29","12.17","12.17","12.17","12.17","100","2019","08","35","Thursday"
"HHV","2019-08-30","13.97","13.97","13.97","13.97","100","2019","08","35","Friday"
"HHV","2019-09-11","11.88","11.88","11.88","11.88","1400","2019","09","37","Wednesday"
"HHV","2019-09-17","9.22","9.22","9.22","9.22","2100","2019","09","38","Tuesday"
"HHV","2019-09-18","10.46","10.46","10.46","10.46","200","2019","09","38","Wednesday"
"HHV","2019-09-20","11.79","11.79","11.79","11.79","400","2019","09","38","Friday"
"HHV","2019-10-02","11.31","11.31","11.31","11.31","1000","2019","10","40","Wednesday"
"HHV","2019-10-07","11.41","11.41","11.31","11.31","1600","2019","10","41","Monday"
"HHV","2019-10-08","12.36","12.36","12.36","12.36","300","2019","10","41","Tuesday"
"HHV","2019-10-15","11.5","11.5","11.5","11.5","100","2019","10","42","Tuesday"
"HHV","2019-10-16","11.41","11.41","9.79","9.79","1500","2019","10","42","Wednesday"
"HHV","2019-10-17","10.93","11.41","10.93","10.93","2200","2019","10","42","Thursday"
"HHV","2019-10-21","11.31","11.31","11.31","11.31","100","2019","10","43","Monday"
"HHV","2019-10-24","12.26","12.26","12.26","12.26","1000","2019","10","43","Thursday"
"HHV","2019-10-25","12.36","12.36","12.36","12.36","1000","2019","10","43","Friday"
"HHV","2019-10-28","12.36","13.78","12.36","13.78","300","2019","10","44","Monday"
"HHV","2019-10-29","15.21","15.21","15.11","15.21","1400","2019","10","44","Tuesday"
"HHV","2019-10-30","15.4","17.49","13.31","17.11","9100","2019","10","44","Wednesday"
