symbol,date,open,high,low,close,volume,year,month,week,weekday
"HII","2017-06-22","6.18","6.18","6.18","6.18","1900","2017","06","25","Thursday"
"HII","2017-06-23","6.59","6.59","6.59","6.59","1000","2017","06","25","Friday"
"HII","2017-06-26","7.05","7.05","7.05","7.05","2900","2017","06","26","Monday"
"HII","2017-06-27","7.52","7.52","7.52","7.52","5900","2017","06","26","Tuesday"
"HII","2017-06-28","8.04","8.04","8.04","8.04","1000","2017","06","26","Wednesday"
"HII","2017-06-29","8.59","8.59","8.59","8.59","1000","2017","06","26","Thursday"
"HII","2017-06-30","9.17","9.17","9.17","9.17","120000","2017","06","26","Friday"
"HII","2017-07-03","9.8","9.8","9.8","9.8","34000","2017","07","27","Monday"
"HII","2017-07-04","10.47","10.47","10.41","10.47","1607600","2017","07","27","Tuesday"
"HII","2017-07-05","11.1","11.19","10.19","10.69","451610","2017","07","27","Wednesday"
"HII","2017-07-06","10.32","10.58","10.19","10.19","298690","2017","07","27","Thursday"
"HII","2017-07-07","9.67","10.19","9.5","9.63","413280","2017","07","27","Friday"
"HII","2017-07-10","9.63","10.26","9.11","9.97","253850","2017","07","28","Monday"
"HII","2017-07-11","10.23","10.54","9.76","10.54","251850","2017","07","28","Tuesday"
"HII","2017-07-12","10.75","10.88","10.54","10.88","338380","2017","07","28","Wednesday"
"HII","2017-07-13","10.88","11.64","10.75","11.64","537250","2017","07","28","Thursday"
"HII","2017-07-14","12.44","12.44","10.84","10.84","768850","2017","07","28","Friday"
"HII","2017-07-17","11.36","11.6","11.36","11.6","502100","2017","07","29","Monday"
"HII","2017-07-18","11.84","11.84","11.32","11.32","250250","2017","07","29","Tuesday"
"HII","2017-07-19","11.32","11.66","11.27","11.53","269890","2017","07","29","Wednesday"
"HII","2017-07-20","11.71","12.1","11.53","12.1","354920","2017","07","29","Thursday"
"HII","2017-07-21","12.14","12.49","11.58","12.44","538020","2017","07","29","Friday"
"HII","2017-07-24","12.4","12.4","12.14","12.27","222900","2017","07","30","Monday"
"HII","2017-07-25","11.97","12.57","11.97","12.31","333870","2017","07","30","Tuesday"
"HII","2017-07-26","12.49","12.49","12.16","12.36","313080","2017","07","30","Wednesday"
"HII","2017-07-27","12.4","12.64","12.27","12.57","342130","2017","07","30","Thursday"
"HII","2017-07-28","12.57","13.18","12.57","12.9","393290","2017","07","30","Friday"
"HII","2017-07-31","12.9","13.18","12.9","13.1","286910","2017","07","31","Monday"
"HII","2017-08-01","13.1","13.2","13.05","13.1","228960","2017","08","31","Tuesday"
"HII","2017-08-02","13.1","13.14","12.75","13.1","279880","2017","08","31","Wednesday"
"HII","2017-08-03","13.18","13.22","13.05","13.12","273590","2017","08","31","Thursday"
"HII","2017-08-04","13.27","13.27","12.79","12.92","210970","2017","08","31","Friday"
"HII","2017-08-07","12.96","12.96","12.53","12.53","336310","2017","08","32","Monday"
"HII","2017-08-08","12.49","13.18","12.49","13.05","492620","2017","08","32","Tuesday"
"HII","2017-08-09","13.1","13.1","12.66","12.84","217460","2017","08","32","Wednesday"
"HII","2017-08-10","12.84","13.1","12.79","12.92","225670","2017","08","32","Thursday"
"HII","2017-08-11","13.22","13.22","12.97","13.1","237720","2017","08","32","Friday"
"HII","2017-08-14","13.17","13.42","13.17","13.33","312730","2017","08","33","Monday"
"HII","2017-08-15","13.29","13.4","13.15","13.29","301600","2017","08","33","Tuesday"
"HII","2017-08-16","13.24","13.31","13.01","13.31","330480","2017","08","33","Wednesday"
"HII","2017-08-17","13.31","13.31","13.2","13.24","274300","2017","08","33","Thursday"
"HII","2017-08-18","13.24","13.24","13.01","13.24","203250","2017","08","33","Friday"
"HII","2017-08-21","13.24","14.11","13.15","13.88","598260","2017","08","34","Monday"
"HII","2017-08-22","13.88","14.29","13.83","14.11","264800","2017","08","34","Tuesday"
"HII","2017-08-23","14.38","14.38","13.97","14.11","196980","2017","08","34","Wednesday"
"HII","2017-08-24","14.15","14.15","13.97","14.11","252100","2017","08","34","Thursday"
"HII","2017-08-25","14.13","14.15","13.97","14.06","199080","2017","08","34","Friday"
"HII","2017-08-28","14.11","14.11","13.97","14.06","243370","2017","08","35","Monday"
"HII","2017-08-29","14.02","14.15","13.83","14.06","149380","2017","08","35","Tuesday"
"HII","2017-08-30","14.06","14.06","13.79","13.93","108560","2017","08","35","Wednesday"
"HII","2017-08-31","13.97","14.02","13.61","13.7","145570","2017","08","35","Thursday"
"HII","2017-09-01","13.95","13.95","13.7","13.88","595700","2017","09","35","Friday"
"HII","2017-09-05","13.83","13.93","13.7","13.88","511130","2017","09","36","Tuesday"
"HII","2017-09-06","13.93","13.93","13.65","13.65","369920","2017","09","36","Wednesday"
"HII","2017-09-07","13.7","13.83","13.61","13.7","232790","2017","09","36","Thursday"
"HII","2017-09-08","13.7","13.79","13.65","13.7","264030","2017","09","36","Friday"
"HII","2017-09-11","13.93","13.93","13.65","13.83","311900","2017","09","37","Monday"
"HII","2017-09-12","13.88","14.75","13.83","14.75","493950","2017","09","37","Tuesday"
"HII","2017-09-13","14.75","14.79","14.56","14.79","390360","2017","09","37","Wednesday"
"HII","2017-09-14","14.79","15.41","14.79","15.07","563210","2017","09","37","Thursday"
"HII","2017-09-15","15.11","16.12","15.02","16.12","762520","2017","09","37","Friday"
"HII","2017-09-18","16.87","17.24","16.57","16.94","670730","2017","09","38","Monday"
"HII","2017-09-19","17.05","17.05","16.46","16.66","439390","2017","09","38","Tuesday"
"HII","2017-09-20","16.48","17.3","16.34","17.26","717660","2017","09","38","Wednesday"
"HII","2017-09-21","17.35","17.9","17.35","17.53","501970","2017","09","38","Thursday"
"HII","2017-09-22","17.49","17.62","17.19","17.35","155320","2017","09","38","Friday"
"HII","2017-09-25","17.35","17.35","16.66","16.98","302070","2017","09","39","Monday"
"HII","2017-09-26","16.94","17.21","16.94","16.98","225380","2017","09","39","Tuesday"
"HII","2017-09-27","17.03","17.3","17.03","17.21","286650","2017","09","39","Wednesday"
"HII","2017-09-28","17.3","17.49","17.03","17.28","256670","2017","09","39","Thursday"
"HII","2017-09-29","17.28","17.49","17.21","17.49","227480","2017","09","39","Friday"
"HII","2017-10-02","17.58","17.58","17.3","17.3","98160","2017","10","40","Monday"
"HII","2017-10-03","17.49","17.49","17.08","17.17","170280","2017","10","40","Tuesday"
"HII","2017-10-04","17.26","17.35","17.12","17.21","89350","2017","10","40","Wednesday"
"HII","2017-10-05","17.49","17.9","17.39","17.39","86190","2017","10","40","Thursday"
"HII","2017-10-06","17.39","17.69","17.39","17.39","147430","2017","10","40","Friday"
"HII","2017-10-09","17.76","17.81","17.44","17.69","173290","2017","10","41","Monday"
"HII","2017-10-10","17.58","18.26","17.58","18.04","237610","2017","10","41","Tuesday"
"HII","2017-10-11","18.08","18.24","17.85","17.94","238060","2017","10","41","Wednesday"
"HII","2017-10-12","18.17","18.17","17.49","17.88","269090","2017","10","41","Thursday"
"HII","2017-10-13","17.88","18.22","17.78","18.13","218980","2017","10","41","Friday"
"HII","2017-10-16","18.13","18.26","17.81","17.9","257390","2017","10","42","Monday"
"HII","2017-10-17","18.06","18.08","17.62","17.81","203170","2017","10","42","Tuesday"
"HII","2017-10-18","17.81","17.81","17.12","17.26","278930","2017","10","42","Wednesday"
"HII","2017-10-19","17.12","17.53","17.08","17.08","184760","2017","10","42","Thursday"
"HII","2017-10-20","17.12","17.21","16.66","16.71","233780","2017","10","42","Friday"
"HII","2017-10-23","16.62","16.76","15.55","15.55","470900","2017","10","43","Monday"
"HII","2017-10-24","15.55","16.62","15.55","16.62","215550","2017","10","43","Tuesday"
"HII","2017-10-25","16.62","17.12","16.62","16.89","181520","2017","10","43","Wednesday"
"HII","2017-10-26","17.08","17.08","16.44","16.5","163860","2017","10","43","Thursday"
"HII","2017-10-27","16.5","16.66","16.25","16.28","86450","2017","10","43","Friday"
"HII","2017-10-30","16.21","16.34","15.16","15.16","559220","2017","10","44","Monday"
"HII","2017-10-31","15.43","15.48","14.11","14.52","266880","2017","10","44","Tuesday"
"HII","2017-11-01","15.02","15.29","14.29","14.29","76990","2017","11","44","Wednesday"
"HII","2017-11-02","14.61","14.61","13.61","13.65","190400","2017","11","44","Thursday"
"HII","2017-11-03","13.52","13.7","12.72","13.52","588030","2017","11","44","Friday"
"HII","2017-11-06","13.58","14.45","13.58","14.45","145080","2017","11","45","Monday"
"HII","2017-11-07","14.45","15.07","14.45","14.5","106320","2017","11","45","Tuesday"
"HII","2017-11-08","14.2","14.38","13.7","13.7","261410","2017","11","45","Wednesday"
"HII","2017-11-09","13.47","14.11","13.47","13.65","103050","2017","11","45","Thursday"
"HII","2017-11-10","13.65","14.02","13.24","13.7","1170600","2017","11","45","Friday"
"HII","2017-11-13","13.4","13.7","12.78","12.83","245240","2017","11","46","Monday"
"HII","2017-11-14","12.92","13.56","12.78","13.38","183140","2017","11","46","Tuesday"
"HII","2017-11-15","13.65","13.93","13.42","13.74","104540","2017","11","46","Wednesday"
"HII","2017-11-16","13.74","14.11","13.74","14.06","69690","2017","11","46","Thursday"
"HII","2017-11-17","14.02","14.09","13.61","13.88","104810","2017","11","46","Friday"
"HII","2017-11-20","13.93","14.06","13.7","14.04","102360","2017","11","47","Monday"
"HII","2017-11-21","14.15","14.15","13.7","13.81","87380","2017","11","47","Tuesday"
"HII","2017-11-22","13.79","13.79","13.2","13.38","188500","2017","11","47","Wednesday"
"HII","2017-11-23","13.29","13.63","12.97","13.06","89870","2017","11","47","Thursday"
"HII","2017-11-24","13.06","13.38","12.83","13.33","72030","2017","11","47","Friday"
"HII","2017-11-27","13.33","13.74","13.29","13.56","83700","2017","11","48","Monday"
"HII","2017-11-28","13.7","14.36","13.61","14.24","406630","2017","11","48","Tuesday"
"HII","2017-11-29","14.38","14.79","14.06","14.75","187230","2017","11","48","Wednesday"
"HII","2017-11-30","14.93","14.93","14.15","14.29","118160","2017","11","48","Thursday"
"HII","2017-12-01","14.34","14.34","14.02","14.29","78680","2017","12","48","Friday"
"HII","2017-12-04","14.29","14.47","14.02","14.29","90650","2017","12","49","Monday"
"HII","2017-12-05","14.29","14.29","13.93","13.93","93770","2017","12","49","Tuesday"
"HII","2017-12-06","13.93","13.93","13.65","13.79","83500","2017","12","49","Wednesday"
