symbol,date,open,high,low,close,volume
"HLB","2017-02-28","19.2","19.2","19.2","19.2","300"
"HLB","2017-03-01","22.05","22.05","22.05","22.05","200"
"HLB","2017-03-02","25.31","25.31","25.31","25.31","200"
"HLB","2017-03-03","29.08","29.08","29.08","29.08","200"
"HLB","2017-03-06","33.42","33.42","33.42","33.42","100"
"HLB","2017-03-07","38.39","38.39","38.39","38.39","100"
"HLB","2017-03-09","38.39","38.39","38.39","38.39","500"
"HLB","2017-03-10","32.68","32.68","32.68","32.68","100"
"HLB","2017-03-13","32.68","32.68","27.82","27.82","600"
"HLB","2017-03-27","26.45","26.45","26.45","26.45","1100"
"HLB","2017-04-05","22.51","22.51","22.51","22.51","100"
"HLB","2017-04-07","19.14","19.14","19.14","19.14","100"
"HLB","2017-04-10","16.28","16.28","16.28","16.28","100"
"HLB","2017-04-13","13.88","13.88","13.88","13.88","100"
"HLB","2017-04-14","11.83","11.83","11.83","11.83","100"
"HLB","2017-05-05","13.6","13.6","13.6","13.6","100"
"HLB","2017-05-09","15.6","15.6","11.71","11.71","200"
"HLB","2017-05-10","15.65","15.65","15.65","15.65","100"
"HLB","2017-05-11","18","18","18","18","100"
"HLB","2017-05-12","20.68","20.68","20.68","20.68","100"
"HLB","2017-05-15","23.77","23.77","23.77","23.77","900"
"HLB","2017-05-16","27.31","27.31","26.28","26.28","300"
"HLB","2017-05-17","30.57","30.57","30.57","30.57","100"
"HLB","2017-06-07","26.02","26.02","26.02","26.02","100"
"HLB","2017-06-08","22.12","22.71","22.12","22.71","300"
"HLB","2017-06-09","25.62","25.62","18.98","23.29","500"
"HLB","2017-06-12","25.27","25.27","25.27","25.27","100"
"HLB","2017-06-13","28.99","28.99","21.54","21.54","500"
"HLB","2017-06-14","19.62","19.62","19.62","19.62","100"
"HLB","2017-06-15","22.53","22.53","22.53","22.53","300"
"HLB","2017-06-16","25.91","25.91","25.91","25.91","100"
"HLB","2017-06-20","29.75","29.75","23","23","200"
"HLB","2017-06-22","22.47","29.05","22.47","22.47","400"
"HLB","2017-06-23","20.55","20.55","20.55","20.55","100"
"HLB","2017-06-28","23.29","23.29","17.52","23.29","300"
"HLB","2017-06-29","18.16","18.16","18.16","18.16","100"
"HLB","2017-06-30","20.84","20.84","20.84","20.84","100"
"HLB","2017-07-04","18.05","18.05","18.05","18.05","4746"
"HLB","2017-07-05","16.88","20.73","16.88","20.73","700"
"HLB","2017-07-06","20.67","20.67","18.05","18.05","200"
"HLB","2017-07-07","22.24","22.24","22.24","22.24","100"
"HLB","2017-07-11","25.56","25.56","25.56","25.56","100"
"HLB","2017-07-13","29.34","29.34","29.34","29.34","100"
