symbol,date,open,high,low,close,volume
"HLG","2009-09-09","34.09","34.09","34.09","34.09","45000"
"HLG","2009-09-10","35.79","35.79","35.79","35.79","15020"
"HLG","2009-09-11","37.49","37.49","37.49","37.49","78480"
"HLG","2009-09-14","39.29","39.29","39.29","39.29","45000"
"HLG","2009-09-15","41.19","41.19","41.19","41.19","30230"
"HLG","2009-09-16","66.28","43.17","43.17","43.17","135780"
"HLG","2009-09-17","45.26","45.26","44.97","45.26","215370"
"HLG","2009-09-18","45.26","45.26","43.08","43.08","83390"
"HLG","2009-09-21","41","43.08","41","41","215040"
"HLG","2009-09-22","39.01","39.29","39.01","39.01","221640"
"HLG","2009-09-23","39.01","40.9","39.01","40.9","199900"
"HLG","2009-09-24","42.89","42.89","40.9","42.61","95870"
"HLG","2009-09-25","41.19","41.94","41.19","41.66","47040"
"HLG","2009-09-28","40.71","41.66","39.95","39.95","127710"
"HLG","2009-09-29","39.95","39.95","38.34","38.82","54800"
"HLG","2009-09-30","37.97","38.82","37.87","37.97","66130"
"HLG","2009-10-01","37.21","37.87","36.07","36.07","49420"
"HLG","2009-10-02","34.27","34.27","34.27","34.27","23230"
"HLG","2009-10-05","33.33","35.98","33.33","34.37","52630"
"HLG","2009-10-06","36.07","36.07","35.6","36.07","67570"
"HLG","2009-10-07","37.87","37.87","37.87","37.87","56180"
"HLG","2009-10-08","38.72","38.72","36.92","36.92","23660"
"HLG","2009-10-09","38.53","38.53","36.26","37.87","50930"
"HLG","2009-10-12","37.87","37.87","36.26","36.92","61370"
"HLG","2009-10-13","35.98","36.26","35.51","35.51","70070"
"HLG","2009-10-14","35.88","36.45","35.69","35.98","44520"
"HLG","2009-10-15","35.98","37.21","35.98","35.98","54800"
"HLG","2009-10-16","35.51","35.98","35.51","35.51","42410"
"HLG","2009-10-19","34.65","35.03","34.56","34.75","64600"
"HLG","2009-10-20","35.98","35.98","35.79","35.98","28790"
"HLG","2009-10-21","36.45","37.78","35.98","37.78","201540"
"HLG","2009-10-22","37.78","37.78","36.92","37.4","70210"
"HLG","2009-10-23","37.4","37.4","35.98","35.98","55520"
"HLG","2009-10-26","34.46","35.03","34.46","34.56","51300"
"HLG","2009-10-27","33.71","34.65","33.71","34.46","26400"
"HLG","2009-10-28","35.88","36.17","35.03","36.17","59060"
"HLG","2009-10-29","36.07","36.07","34.37","35.6","22820"
"HLG","2009-10-30","35.79","35.79","35.03","35.22","10600"
"HLG","2009-11-02","33.52","33.71","33.52","33.52","7820"
"HLG","2009-11-03","32","32","31.91","31.91","9140"
