symbol,date,open,high,low,close,volume
"HLT","2019-12-27","18.18","18.18","17.73","17.73","1100"
"HLT","2020-03-04","18.3","18.3","18.3","18.3","2520400"
"HLT","2020-04-07","18.3","18.3","18.3","18.3","273100"
"HLT","2020-07-10","18.3","18.3","18.3","18.3","100"
"HLT","2020-10-19","18.4","18.4","18.4","18.4","100"
"HLT","2020-10-21","18.5","18.5","18.5","18.5","100"
"HLT","2021-01-13","18","18","18","18","100"
"HLT","2021-03-16","18.5","18.5","18.5","18.5","300"
"HLT","2021-04-12","15.8","15.8","15.8","15.8","100"
"HLT","2021-04-13","18.1","18.1","18.1","18.1","100"
"HLT","2021-05-25","15.4","15.4","15.4","15.4","900"
"HLT","2021-05-31","17.7","17.7","17.7","17.7","100"
"HLT","2021-06-28","18.5","18.5","18.5","18.5","100"
"HLT","2021-09-21","18.5","18.5","18.5","18.5","100"
"HLT","2021-11-04","23.1","23.1","23.1","23.1","500"
"HLT","2021-11-12","19.7","19.7","19.7","19.7","1400"
"HLT","2021-12-27","18","18","18","18","100"
"HLT","2022-03-29","18.3","18.3","18.3","18.3","209400"
"HLT","2022-04-29","20","20","20","20","1000"
"HLT","2022-06-20","18.3","18.3","18.3","18.3","88400"
"HLT","2022-06-21","18","18","18","18","400"
"HLT","2022-09-23","18.5","18.5","18.5","18.5","100"
