symbol,date,open,high,low,close,volume
"HMR","2022-01-13","20.4","20.4","20.4","20.4","24100"
"HMR","2022-01-14","22.4","22.4","22.4","22.4","401100"
"HMR","2022-01-17","24.6","24.6","24.5","24.6","315200"
"HMR","2022-01-18","27","27","22.2","22.2","103300"
"HMR","2022-01-19","20","20","20","20","17500"
"HMR","2022-01-20","18","18","18","18","2900"
"HMR","2022-01-21","16.2","16.2","16.2","16.2","12700"
"HMR","2022-01-24","14.6","14.6","14.6","14.6","7800"
"HMR","2022-01-25","13.2","15.9","13.2","15","113000"
"HMR","2022-01-26","15","15","13.5","13.7","88900"
"HMR","2022-01-27","13.5","13.5","12.6","12.6","33300"
"HMR","2022-01-28","12.6","13.8","12","13.8","103000"
"HMR","2022-02-07","13.9","15.1","13.8","15.1","18600"
"HMR","2022-02-08","16.5","16.6","15","15.9","100400"
"HMR","2022-02-09","15.9","16.5","14.4","16.5","65300"
"HMR","2022-02-10","17","17","15.8","15.8","7800"
"HMR","2022-02-11","15.8","16.8","15.1","16.8","39800"
"HMR","2022-02-14","15.3","16.4","15.3","15.8","12300"
"HMR","2022-02-15","16","16","14.9","14.9","17900"
"HMR","2022-02-16","14.2","15.6","14.2","14.7","34500"
"HMR","2022-02-17","14","16.1","14","16.1","31900"
"HMR","2022-02-18","16","17.5","15.2","16.1","34100"
"HMR","2022-02-21","15.8","15.9","15.5","15.8","18000"
"HMR","2022-02-22","15.5","15.7","15","15","10500"
"HMR","2022-02-23","15.4","16.5","15","15.1","6600"
"HMR","2022-02-24","15.1","15.2","14.7","14.8","22600"
"HMR","2022-02-25","15.1","15.4","14.9","15.4","4800"
"HMR","2022-02-28","15","15.4","15","15.2","11200"
"HMR","2022-03-01","15","15.3","15","15","12500"
"HMR","2022-03-02","15","15.4","14.9","15","9900"
"HMR","2022-03-03","14.9","15.2","14.8","15.2","9200"
"HMR","2022-03-04","15.2","15.4","14.9","15.3","10700"
"HMR","2022-03-07","15.2","15.5","15","15.5","64100"
"HMR","2022-03-08","15.7","17","15.7","17","112400"
"HMR","2022-03-09","18.6","18.7","18.4","18.7","98900"
"HMR","2022-03-10","19","19","17.6","18.5","61500"
"HMR","2022-03-11","18.5","18.5","17","17.1","67400"
"HMR","2022-03-14","15.4","17.1","15.4","16.1","25600"
"HMR","2022-03-15","16.1","16.7","15.3","16.7","33200"
"HMR","2022-03-16","15.8","16.7","15.8","16","26500"
"HMR","2022-03-17","17.5","17.5","16.1","17","52900"
"HMR","2022-03-18","17","17.8","17","17.8","33600"
"HMR","2022-03-21","17.8","18.3","17.5","17.5","38800"
"HMR","2022-03-22","18.2","18.2","17","17.9","55300"
"HMR","2022-03-23","17.1","17.4","16.7","17","39400"
"HMR","2022-03-24","16.5","17","16.3","16.9","10000"
"HMR","2022-03-25","16.5","17","16.5","16.9","6600"
"HMR","2022-03-28","16.6","16.6","16.3","16.5","43900"
"HMR","2022-03-29","16.6","16.8","16.3","16.5","30800"
"HMR","2022-03-30","18","18","16.5","16.8","9200"
"HMR","2022-03-31","16.2","16.7","16.2","16.7","10200"
"HMR","2022-04-01","16.6","16.6","16","16.2","25800"
"HMR","2022-04-04","16.3","16.4","16.3","16.4","9600"
"HMR","2022-04-05","16.4","16.4","16","16.1","2600"
"HMR","2022-04-06","16.1","16.1","16","16","8200"
