symbol,date,open,high,low,close,volume
"HND","2016-10-05","7.91","10.63","7.6","7.6","78800"
"HND","2016-10-06","7.6","7.79","6.71","7.85","19700"
"HND","2016-10-07","7.6","7.98","6.14","6.2","500"
"HND","2016-10-10","6.2","6.2","6.08","6.08","16200"
"HND","2016-10-11","5.25","5.25","5.25","5.25","5100"
"HND","2016-10-12","6.01","6.01","6.01","6.01","2900"
"HND","2016-10-13","6.9","6.9","6.84","6.84","9940"
"HND","2016-10-14","6.96","6.96","6.96","6.96","108"
"HND","2016-10-17","6.65","6.65","5.95","5.95","22400"
"HND","2016-10-18","6.46","6.84","6.46","6.84","7640"
"HND","2016-10-19","6.33","7.6","6.01","7.6","30200"
"HND","2016-10-20","6.33","7.79","6.33","7.79","13000"
"HND","2016-10-21","6.65","7.98","6.65","7.98","10100"
"HND","2016-10-24","8.23","8.23","7.53","7.53","3000"
"HND","2016-10-25","7.6","8.1","7.6","7.6","3000"
"HND","2016-10-26","7.85","8.04","6.77","7.28","4700"
"HND","2016-10-27","7.6","8.23","7.03","7.66","42900"
"HND","2016-10-31","7.53","8.55","7.41","8.55","42608"
"HND","2016-11-01","7.28","7.47","7.28","7.47","6800"
"HND","2016-11-02","7.6","7.6","6.96","6.96","1800"
"HND","2016-11-03","6.96","6.96","6.96","6.96","2000"
"HND","2016-11-04","6.96","6.96","6.33","6.65","5400"
"HND","2016-11-07","6.52","6.65","6.52","6.65","3900"
"HND","2016-11-08","6.58","6.58","6.33","6.33","2200"
"HND","2016-11-09","5.51","5.51","5.51","5.51","100"
"HND","2016-11-10","6.33","6.33","6.08","6.08","1200"
"HND","2016-11-11","5.38","6.65","5.38","6.65","200"
"HND","2016-11-15","6.14","6.14","6.14","6.14","100"
"HND","2016-11-16","6.71","6.71","6.71","6.71","100"
"HND","2016-11-17","6.77","6.77","6.77","6.77","2100"
"HND","2016-11-21","6.65","6.65","6.65","6.65","500"
"HND","2016-11-22","6.33","6.33","6.33","6.33","1200"
"HND","2016-11-23","6.33","6.33","6.33","6.33","6400"
"HND","2016-11-25","6.33","6.33","6.01","6.01","2200"
"HND","2016-11-28","7.03","7.03","6.33","6.33","4700"
"HND","2016-11-29","7.6","7.6","5.76","6.08","8000"
"HND","2016-11-30","6.65","7.91","6.65","7.91","43700"
"HND","2016-12-01","6.46","7.34","6.46","6.84","6100"
"HND","2016-12-02","6.84","6.96","6.84","6.96","3500"
"HND","2016-12-05","6.77","6.77","6.77","6.77","300"
"HND","2016-12-06","6.77","6.77","6.77","6.77","1000"
"HND","2016-12-07","6.84","6.84","6.84","6.84","900"
"HND","2016-12-08","6.27","6.33","6.01","6.33","30300"
"HND","2016-12-09","6.33","6.33","6.33","6.33","300"
"HND","2016-12-13","6.33","6.33","5.82","5.82","2800"
"HND","2016-12-14","6.71","6.71","6.33","6.33","5700"
"HND","2016-12-16","6.33","6.33","6.08","6.33","3200"
"HND","2016-12-21","6.65","6.65","6.65","6.65","100"
"HND","2016-12-26","7.15","7.28","7.15","7.28","5000"
"HND","2016-12-29","6.83","7.92","6.76","6.76","26600"
"HND","2016-12-30","6.31","7.41","6.31","7.41","26700"
"HND","2017-01-03","6.44","6.44","6.44","6.44","5000"
"HND","2017-01-04","6.76","6.76","6.76","6.76","100"
"HND","2017-01-10","6.12","6.12","6.12","6.12","1100"
"HND","2017-01-16","6.12","6.12","6.12","6.12","100"
"HND","2017-01-23","6.44","6.44","5.8","6.12","16015"
"HND","2017-01-24","6.12","6.12","6.12","6.12","4500"
"HND","2017-01-25","6.96","6.96","6.96","6.96","100"
"HND","2017-02-06","6.18","6.18","6.12","6.12","230"
"HND","2017-02-07","6.18","6.18","6.12","6.12","1100"
"HND","2017-02-09","6.38","6.38","6.38","6.38","100"
"HND","2017-02-13","6.38","6.38","6.38","6.38","200"
"HND","2017-02-17","6.25","6.25","6.25","6.25","400"
"HND","2017-02-23","7.09","7.09","7.09","7.09","100"
"HND","2017-02-27","6.12","6.12","6.12","6.12","3100"
"HND","2017-02-28","6.18","6.18","6.18","6.18","100"
"HND","2017-03-03","5.86","5.86","5.8","5.8","1700"
"HND","2017-03-06","5.8","5.8","5.8","5.8","800"
"HND","2017-03-08","5.8","5.8","5.8","5.8","500"
"HND","2017-03-09","5.8","5.8","5.48","5.48","11100"
"HND","2017-03-10","5.8","5.8","5.8","5.8","1200"
"HND","2017-03-13","5.8","5.8","5.8","5.8","800"
"HND","2017-03-14","6.38","6.38","6.38","6.38","100"
"HND","2017-03-17","5.8","6.38","5.8","6.38","7600"
"HND","2017-03-20","5.8","5.8","5.8","5.8","5000"
"HND","2017-03-21","6.25","6.25","6.25","6.25","10"
"HND","2017-03-22","5.8","5.8","5.8","5.8","310"
"HND","2017-03-23","5.8","5.8","5.8","5.8","5377"
"HND","2017-03-24","5.8","5.8","5.8","5.8","9000"
"HND","2017-03-27","5.8","5.8","5.8","5.8","1000"
"HND","2017-03-28","6.12","6.12","6.12","6.12","100"
"HND","2017-03-29","5.8","5.8","5.8","5.8","300"
"HND","2017-03-31","6.31","6.31","6.31","6.31","100"
"HND","2017-04-03","5.8","5.8","5.8","5.8","1000"
"HND","2017-04-04","5.8","5.8","5.8","5.8","1700"
"HND","2017-04-05","5.8","5.8","5.8","5.8","300"
"HND","2017-04-07","5.8","5.8","5.8","5.8","600"
"HND","2017-04-10","5.86","5.86","5.86","5.86","100"
"HND","2017-04-11","5.8","5.8","5.8","5.8","14500"
"HND","2017-04-12","5.8","5.8","5.8","5.8","6100"
"HND","2017-04-13","5.8","5.8","5.8","5.8","1000"
"HND","2017-04-17","5.8","5.8","5.8","5.8","1000"
"HND","2017-04-18","5.8","5.8","5.8","5.8","2200"
