symbol,date,open,high,low,close,volume,year,month,week,weekday
"HNG","2015-07-20","33.6","33.6","33.5","33.5","440870","2015","07","30","Monday"
"HNG","2015-07-21","34.5","34.5","32","33","398480","2015","07","30","Tuesday"
"HNG","2015-07-22","33","33.1","31.9","33.1","527560","2015","07","30","Wednesday"
"HNG","2015-07-23","32.8","33.5","32.7","33.2","526500","2015","07","30","Thursday"
"HNG","2015-07-24","33.1","33.3","32.4","33.2","432500","2015","07","30","Friday"
"HNG","2015-07-27","32","33.2","32","32.8","493270","2015","07","31","Monday"
"HNG","2015-07-28","32","32.5","31.9","32.1","468920","2015","07","31","Tuesday"
"HNG","2015-07-29","31.3","32.1","31.3","31.5","409000","2015","07","31","Wednesday"
"HNG","2015-07-30","31.5","31.5","31.1","31.2","468360","2015","07","31","Thursday"
"HNG","2015-07-31","31.2","31.7","30.7","31.2","502040","2015","07","31","Friday"
"HNG","2015-08-03","30.4","30.5","29.9","30.1","376060","2015","08","32","Monday"
"HNG","2015-08-04","29.4","29.8","28.8","29.4","625130","2015","08","32","Tuesday"
"HNG","2015-08-05","29","29.2","28.9","29.2","184520","2015","08","32","Wednesday"
"HNG","2015-08-06","29.3","29.6","29","29.6","238060","2015","08","32","Thursday"
"HNG","2015-08-07","29.3","29.5","29","29.1","230200","2015","08","32","Friday"
"HNG","2015-08-10","29","29.1","28.6","28.7","179920","2015","08","33","Monday"
"HNG","2015-08-11","28.5","28.8","27.8","27.8","175940","2015","08","33","Tuesday"
"HNG","2015-08-12","28","28.1","27.8","28.1","187300","2015","08","33","Wednesday"
"HNG","2015-08-13","28.3","28.3","27.9","28.3","188100","2015","08","33","Thursday"
"HNG","2015-08-14","28.5","28.5","28","28","177850","2015","08","33","Friday"
"HNG","2015-08-17","27.7","28.2","27.7","27.9","142780","2015","08","34","Monday"
"HNG","2015-08-18","27.9","28","27.5","27.6","156920","2015","08","34","Tuesday"
"HNG","2015-08-19","27.5","27.5","25.7","25.7","103280","2015","08","34","Wednesday"
"HNG","2015-08-20","26.2","26.3","25.5","26.1","162710","2015","08","34","Thursday"
"HNG","2015-08-21","26.3","26.3","25","25.8","255500","2015","08","34","Friday"
"HNG","2015-08-24","25.5","25.6","24","25","328390","2015","08","35","Monday"
"HNG","2015-08-25","25","25.5","24","25.5","220390","2015","08","35","Tuesday"
"HNG","2015-08-26","25.2","27","25.2","27","269500","2015","08","35","Wednesday"
"HNG","2015-08-27","26.8","27.9","26.8","27.9","248970","2015","08","35","Thursday"
"HNG","2015-08-28","27.9","28","27.5","27.8","259420","2015","08","35","Friday"
"HNG","2015-08-31","27.5","28.3","27.3","27.7","172980","2015","08","36","Monday"
"HNG","2015-09-01","27.5","27.7","27.4","27.6","190670","2015","09","36","Tuesday"
"HNG","2015-09-03","27.5","28","27.5","27.6","187190","2015","09","36","Thursday"
"HNG","2015-09-04","27.5","27.8","27.5","27.6","202660","2015","09","36","Friday"
"HNG","2015-09-07","27.4","28","27.4","28","197040","2015","09","37","Monday"
"HNG","2015-09-08","27.9","28.1","27.8","28.1","202550","2015","09","37","Tuesday"
"HNG","2015-09-09","28","28.4","28","28.4","197100","2015","09","37","Wednesday"
"HNG","2015-09-10","28.2","29","28.2","28.5","186700","2015","09","37","Thursday"
"HNG","2015-09-11","28.3","28.8","28.1","28.1","198610","2015","09","37","Friday"
"HNG","2015-09-14","27.3","28.1","27.3","28","206040","2015","09","38","Monday"
"HNG","2015-09-15","27.7","29.9","27.7","29.9","272490","2015","09","38","Tuesday"
"HNG","2015-09-16","30.8","30.8","29.3","29.3","216990","2015","09","38","Wednesday"
"HNG","2015-09-17","29","29.5","28.8","28.8","215450","2015","09","38","Thursday"
"HNG","2015-09-18","28.6","29","28.6","28.6","205800","2015","09","38","Friday"
"HNG","2015-09-21","28.3","29","28.3","28.7","217210","2015","09","39","Monday"
"HNG","2015-09-22","28.4","28.9","28.3","28.3","225620","2015","09","39","Tuesday"
"HNG","2015-09-23","28","28.3","28","28","211520","2015","09","39","Wednesday"
"HNG","2015-09-24","27.7","28.3","27.7","27.9","223420","2015","09","39","Thursday"
"HNG","2015-09-25","27.7","28.3","27.7","28.3","221240","2015","09","39","Friday"
"HNG","2015-09-28","28.1","28.5","28.1","28.4","214210","2015","09","40","Monday"
"HNG","2015-09-29","28.2","28.5","28.1","28.4","217460","2015","09","40","Tuesday"
"HNG","2015-09-30","27.6","28.5","27.6","28.4","213850","2015","09","40","Wednesday"
"HNG","2015-10-01","28.2","28.6","28.2","28.6","203260","2015","10","40","Thursday"
"HNG","2015-10-02","28.3","28.8","28.3","28.8","153320","2015","10","40","Friday"
"HNG","2015-10-05","28.5","28.8","28.5","28.7","190660","2015","10","41","Monday"
"HNG","2015-10-06","28.7","29.1","28.5","29","307350","2015","10","41","Tuesday"
"HNG","2015-10-07","29","29.1","28.7","28.7","245620","2015","10","41","Wednesday"
"HNG","2015-10-08","28.6","28.8","28.5","28.5","183690","2015","10","41","Thursday"
"HNG","2015-10-09","28.5","28.8","28.5","28.8","261820","2015","10","41","Friday"
"HNG","2015-10-12","28.6","28.9","28.5","28.6","220190","2015","10","42","Monday"
"HNG","2015-10-13","28.6","28.7","28.3","28.3","211900","2015","10","42","Tuesday"
"HNG","2015-10-14","28.3","28.5","28.2","28.2","215710","2015","10","42","Wednesday"
"HNG","2015-10-15","28.2","28.4","28.1","28.2","223790","2015","10","42","Thursday"
"HNG","2015-10-16","28.2","28.5","26.7","28.3","205350","2015","10","42","Friday"
"HNG","2015-10-19","28.2","28.5","28.2","28.3","206780","2015","10","43","Monday"
"HNG","2015-10-20","28.3","28.5","28.1","28.1","209690","2015","10","43","Tuesday"
"HNG","2015-10-21","28.1","28.2","28","28","212100","2015","10","43","Wednesday"
"HNG","2015-10-22","27.8","28.4","27.8","28.1","205090","2015","10","43","Thursday"
"HNG","2015-10-23","28","28.2","28","28.1","199580","2015","10","43","Friday"
"HNG","2015-10-26","28.1","28.3","28","28.1","202030","2015","10","44","Monday"
"HNG","2015-10-27","28.2","28.4","28.1","28.4","174500","2015","10","44","Tuesday"
"HNG","2015-10-28","28.4","28.5","28.1","28.1","192910","2015","10","44","Wednesday"
"HNG","2015-10-29","28.1","28.3","28.1","28.2","198760","2015","10","44","Thursday"
"HNG","2015-10-30","28.2","30.1","28.1","30.1","218730","2015","10","44","Friday"
"HNG","2015-11-02","29.9","31.1","29.7","31.1","255790","2015","11","45","Monday"
"HNG","2015-11-03","31","31.7","30.6","31.3","218110","2015","11","45","Tuesday"
"HNG","2015-11-04","31.2","31.5","31","31.3","200820","2015","11","45","Wednesday"
"HNG","2015-11-05","31.1","31.5","31.1","31.3","207850","2015","11","45","Thursday"
"HNG","2015-11-06","31.3","31.7","30.9","31","313400","2015","11","45","Friday"
"HNG","2015-11-09","31","31.5","30.9","30.9","266500","2015","11","46","Monday"
"HNG","2015-11-10","30.9","31.2","30.5","30.5","271820","2015","11","46","Tuesday"
"HNG","2015-11-11","30.3","30.8","30.3","30.6","302500","2015","11","46","Wednesday"
"HNG","2015-11-12","30.6","30.8","30.3","30.4","252600","2015","11","46","Thursday"
"HNG","2015-11-13","30.3","30.8","30.3","30.6","300590","2015","11","46","Friday"
"HNG","2015-11-16","30.6","30.9","30.4","30.5","334360","2015","11","47","Monday"
"HNG","2015-11-17","30.5","31","30.5","30.7","401620","2015","11","47","Tuesday"
"HNG","2015-11-18","30.7","31","30.5","30.5","404680","2015","11","47","Wednesday"
"HNG","2015-11-19","30.5","30.8","30.2","30.5","395830","2015","11","47","Thursday"
"HNG","2015-11-20","30.5","30.8","30.3","30.6","344240","2015","11","47","Friday"
"HNG","2015-11-23","30.6","30.8","30.6","30.7","251250","2015","11","48","Monday"
"HNG","2015-11-24","30.7","30.8","30.6","30.6","332000","2015","11","48","Tuesday"
"HNG","2015-11-25","30.5","31.8","30.5","31.8","747500","2015","11","48","Wednesday"
"HNG","2015-11-26","31.8","31.9","31.4","31.8","739340","2015","11","48","Thursday"
"HNG","2015-11-27","31.4","32.1","31.3","31.3","692030","2015","11","48","Friday"
