symbol,date,open,high,low,close,volume,year,month,week,weekday
"HNM","2006-12-27","59.08","71.88","57.11","58.58","57000","2006","12","52","Wednesday"
"HNM","2006-12-28","60.06","60.06","53.17","55.92","88200","2006","12","52","Thursday"
"HNM","2006-12-29","56.12","56.12","49.23","54.15","58500","2006","12","52","Friday"
"HNM","2007-01-02","53.17","53.17","48.24","50.22","41300","2007","01","1","Tuesday"
"HNM","2007-01-03","46.28","48.24","46.28","48.54","73500","2007","01","1","Wednesday"
"HNM","2007-01-04","47.26","52.18","47.26","53.37","70000","2007","01","1","Thursday"
"HNM","2007-01-05","54.15","54.15","54.15","55.04","54100","2007","01","1","Friday"
"HNM","2007-01-08","59.08","59.08","56.12","59.08","117800","2007","01","2","Monday"
"HNM","2007-01-09","63.01","63.01","60.06","63.01","148700","2007","01","2","Tuesday"
"HNM","2007-01-10","64.98","64.98","62.03","65.48","163500","2007","01","2","Wednesday"
"HNM","2007-01-11","66.95","67.94","62.03","65.87","158100","2007","01","2","Thursday"
"HNM","2007-01-12","66.95","70.89","62.03","65.67","109500","2007","01","2","Friday"
"HNM","2007-01-15","64.98","66.95","61.05","63.21","72800","2007","01","3","Monday"
"HNM","2007-01-16","61.05","61.05","59.08","61.05","86900","2007","01","3","Tuesday"
"HNM","2007-01-17","60.06","62.03","54.15","58.58","108900","2007","01","3","Wednesday"
"HNM","2007-01-18","56.12","56.12","53.17","57.3","73400","2007","01","3","Thursday"
"HNM","2007-01-19","57.11","60.06","57.11","61.05","137800","2007","01","3","Friday"
"HNM","2007-01-22","64","64","58.09","60.06","139000","2007","01","4","Monday"
"HNM","2007-01-23","58.09","58.09","57.11","58.58","50100","2007","01","4","Tuesday"
"HNM","2007-01-24","57.11","58.09","56.12","57.6","46000","2007","01","4","Wednesday"
"HNM","2007-01-25","57.11","59.08","55.14","57.11","51100","2007","01","4","Thursday"
"HNM","2007-01-26","56.12","56.12","52.18","55.14","60600","2007","01","4","Friday"
"HNM","2007-01-29","56.12","56.12","49.23","50.22","237800","2007","01","5","Monday"
"HNM","2007-01-30","54.15","56.12","49.23","57.01","364900","2007","01","5","Tuesday"
"HNM","2007-01-31","58.09","58.09","58.09","58.98","8900","2007","01","5","Wednesday"
"HNM","2007-02-01","58.09","63.01","54.15","61.54","186600","2007","02","5","Thursday"
"HNM","2007-02-02","54.15","62.03","54.15","57.11","78600","2007","02","5","Friday"
"HNM","2007-02-05","57.11","57.11","54.15","55.63","123500","2007","02","6","Monday"
