symbol,date,open,high,low,close,volume
"HNP","2016-12-20","17.62","17.62","17.62","17.62","1300"
"HNP","2016-12-21","20.26","20.26","20.26","20.26","3500"
"HNP","2016-12-22","23.28","23.28","23.28","23.28","1800"
"HNP","2016-12-23","26.74","26.74","23.28","23.28","11900"
"HNP","2016-12-27","21.58","21.58","21.58","21.58","3100"
"HNP","2016-12-28","20.76","20.76","18.37","18.37","1800"
"HNP","2016-12-29","16.23","16.23","16.23","16.23","6500"
"HNP","2016-12-30","14.47","14.47","14.47","14.47","3200"
"HNP","2017-01-04","15.54","15.54","12.58","12.58","600"
"HNP","2017-01-05","13.53","14.79","13.53","14.79","2200"
"HNP","2017-01-06","16.17","16.17","14.85","16.17","2750"
"HNP","2017-01-09","15.86","15.86","15.86","15.86","200"
"HNP","2017-01-11","14.03","14.03","14.03","14.03","100"
"HNP","2017-01-13","15.92","15.92","14.1","14.1","400"
"HNP","2017-01-16","13.56","13.56","13.56","13.56","100"
"HNP","2017-01-17","15.58","15.58","15.58","15.58","1100"
"HNP","2017-01-18","13.9","13.9","13.9","13.9","100"
"HNP","2017-01-19","15.45","15.45","15.45","15.45","100"
"HNP","2017-01-24","14.17","14.17","13.63","14.03","3100"
"HNP","2017-01-25","13.9","14.17","13.9","14.17","1100"
"HNP","2017-02-02","14.17","14.17","14.17","14.17","400"
"HNP","2017-02-06","13.76","13.76","13.69","13.69","2200"
"HNP","2017-02-07","13.69","13.83","13.69","13.69","3800"
"HNP","2017-02-08","13.56","14.1","13.49","14.1","2100"
"HNP","2017-02-09","15.52","15.52","13.56","14.77","2500"
"HNP","2017-02-10","15.85","15.85","15.85","15.85","100"
"HNP","2017-02-13","15.85","15.85","13.9","13.9","1500"
"HNP","2017-02-14","15.45","15.45","15.45","15.45","200"
"HNP","2017-02-15","14.17","14.17","14.17","14.17","5100"
"HNP","2017-02-16","14.84","14.84","13.63","14.44","2440"
"HNP","2017-02-17","14.77","14.77","13.49","14.1","4900"
"HNP","2017-02-20","13.69","14.64","13.69","14.17","5400"
"HNP","2017-02-21","14.17","14.17","14.17","14.17","1700"
"HNP","2017-02-22","14.37","14.44","14.37","14.44","1500"
"HNP","2017-02-23","14.17","14.17","14.1","14.17","7600"
"HNP","2017-02-24","13.9","14.3","13.9","14.17","1600"
"HNP","2017-02-27","14.3","14.37","14.3","14.37","4000"
"HNP","2017-02-28","16.39","16.39","14.17","14.17","300"
"HNP","2017-03-01","17.07","17.07","14.84","14.91","6100"
"HNP","2017-03-02","14.97","15.45","14.97","15.45","1100"
"HNP","2017-03-03","14.23","15.45","14.17","14.17","12400"
"HNP","2017-03-06","14.37","16.12","14.37","15.11","13300"
"HNP","2017-03-07","15.72","15.72","15.52","15.52","4200"
