symbol,date,open,high,low,close,volume,year,month,week,weekday
"HPI","2017-10-05","22.4","22.4","22.4","22.4","100","2017","10","40","Thursday"
"HPI","2017-10-06","25.7","25.7","25.7","25.7","100","2017","10","40","Friday"
"HPI","2017-10-09","29.5","29.5","29.5","29.5","100","2017","10","41","Monday"
"HPI","2017-10-10","33.9","33.9","33.9","33.9","6100","2017","10","41","Tuesday"
"HPI","2017-10-11","38.9","38.9","33.9","33.9","776","2017","10","41","Wednesday"
"HPI","2017-10-12","38.2","38.2","38.2","38.2","300","2017","10","41","Thursday"
"HPI","2017-10-13","34.9","34.9","32.5","32.6","800","2017","10","41","Friday"
"HPI","2017-10-23","28.4","28.4","28.4","28.4","200","2017","10","43","Monday"
"HPI","2017-10-24","28.4","28.4","28.4","28.4","100","2017","10","43","Tuesday"
"HPI","2017-10-25","28.4","28.4","28.4","28.4","100","2017","10","43","Wednesday"
"HPI","2017-11-08","27","27","27","27","120","2017","11","45","Wednesday"
"HPI","2017-11-09","27","27","27","27","10","2017","11","45","Thursday"
"HPI","2017-11-10","27","27","27","27","10","2017","11","45","Friday"
"HPI","2017-11-13","23","23","23","23","300","2017","11","46","Monday"
"HPI","2017-11-14","20","20","19.6","19.6","400","2017","11","46","Tuesday"
"HPI","2017-11-15","19.7","19.6","19.6","19.6","10","2017","11","46","Wednesday"
"HPI","2017-11-16","16.9","16.9","16.9","16.9","102","2017","11","46","Thursday"
"HPI","2017-11-17","16.9","16.9","16.9","16.9","10","2017","11","46","Friday"
"HPI","2017-11-20","16.9","16.9","16.9","16.9","10","2017","11","47","Monday"
"HPI","2017-11-22","15.4","16","15.4","16","404","2017","11","47","Wednesday"
"HPI","2017-11-23","16.9","17.9","16.9","17.9","300","2017","11","47","Thursday"
"HPI","2017-11-29","20","20","20","20","100","2017","11","48","Wednesday"
"HPI","2017-12-04","20","20","20","20","1000","2017","12","49","Monday"
"HPI","2018-01-16","17.2","17.2","17.2","17.2","500","2018","01","3","Tuesday"
"HPI","2018-01-17","15.8","15.8","15.8","15.8","5000","2018","01","3","Wednesday"
"HPI","2018-01-18","15.8","15.8","13.5","13.5","12000","2018","01","3","Thursday"
"HPI","2018-01-22","16.9","16.9","12.5","16.9","70300","2018","01","4","Monday"
"HPI","2018-01-25","12","14.7","12","14.7","80200","2018","01","4","Thursday"
