symbol,date,open,high,low,close,volume,year,month,week,weekday
"HTR","2017-02-23","5.51","5.51","5.51","5.51","22700","2017","02","8","Thursday"
"HTR","2017-03-09","5.51","5.51","5.51","5.51","3900","2017","03","10","Thursday"
"HTR","2017-03-15","5.51","5.51","5.51","5.51","15000","2017","03","11","Wednesday"
"HTR","2017-03-16","5.51","5.51","5.51","5.51","10000","2017","03","11","Thursday"
"HTR","2017-03-17","5.51","5.51","5.51","5.51","3300","2017","03","11","Friday"
"HTR","2017-03-30","5.51","5.51","5.51","5.51","500","2017","03","13","Thursday"
"HTR","2017-05-04","5.51","5.51","5.51","5.51","9900","2017","05","18","Thursday"
"HTR","2017-05-15","5.51","5.51","5.51","5.51","2600","2017","05","20","Monday"
"HTR","2017-05-18","5.51","5.51","5.51","5.51","1900","2017","05","20","Thursday"
"HTR","2017-06-13","6.3","6.3","6.3","6.3","100","2017","06","24","Tuesday"
"HTR","2017-06-28","7.13","7.13","7.13","7.13","100","2017","06","26","Wednesday"
"HTR","2018-02-28","5.94","5.94","5.94","5.94","4100","2018","02","9","Wednesday"
"HTR","2018-03-01","5.94","5.94","5.94","5.94","8700","2018","03","9","Thursday"
"HTR","2018-03-08","5.94","5.94","5.94","5.94","4600","2018","03","10","Thursday"
"HTR","2018-03-09","5.94","5.94","5.94","5.94","2000","2018","03","10","Friday"
"HTR","2018-03-20","5.94","5.94","5.94","5.94","2000","2018","03","12","Tuesday"
"HTR","2018-04-09","5.94","5.94","5.94","5.94","1000","2018","04","15","Monday"
"HTR","2018-04-27","5.94","5.94","5.94","5.94","3800","2018","04","17","Friday"
"HTR","2018-07-05","6.42","6.42","6.42","6.42","1400","2018","07","27","Thursday"
"HTR","2018-07-18","6.42","6.42","6.42","6.42","10000","2018","07","29","Wednesday"
"HTR","2018-10-24","6.42","6.42","6.42","6.42","3700","2018","10","43","Wednesday"
"HTR","2018-11-13","6.42","6.42","6.42","6.42","4500","2018","11","46","Tuesday"
"HTR","2018-11-27","6.42","6.42","6.42","6.42","800","2018","11","48","Tuesday"
"HTR","2018-12-13","6.42","6.42","6.42","6.42","7000","2018","12","50","Thursday"
"HTR","2019-01-07","6.42","6.42","6.42","6.42","2500","2019","01","2","Monday"
"HTR","2019-04-03","6.42","6.42","6.42","6.42","3600","2019","04","14","Wednesday"
"HTR","2019-06-05","6.98","6.98","6.98","6.98","4600","2019","06","23","Wednesday"
"HTR","2019-06-13","6.98","6.98","6.98","6.98","1400","2019","06","24","Thursday"
"HTR","2019-06-17","6.98","6.98","6.98","6.98","3500","2019","06","25","Monday"
"HTR","2019-07-02","6.98","6.98","6.98","6.98","14500","2019","07","27","Tuesday"
"HTR","2019-07-03","6.98","6.98","6.98","6.98","4500","2019","07","27","Wednesday"
"HTR","2019-07-09","6.98","6.98","6.98","6.98","100","2019","07","28","Tuesday"
"HTR","2019-07-15","6.98","6.98","6.98","6.98","100","2019","07","29","Monday"
"HTR","2019-07-23","6.98","6.98","6.98","6.98","1800","2019","07","30","Tuesday"
"HTR","2019-08-02","6.98","6.98","6.98","6.98","200","2019","08","31","Friday"
"HTR","2019-08-05","6.98","6.98","6.98","6.98","1500","2019","08","32","Monday"
"HTR","2019-08-19","6.98","6.98","6.98","6.98","600","2019","08","34","Monday"
"HTR","2019-09-20","6.98","6.98","6.98","6.98","4000","2019","09","38","Friday"
"HTR","2019-10-07","6.98","6.98","6.98","6.98","1000","2019","10","41","Monday"
"HTR","2019-11-11","6.98","6.98","6.98","6.98","5900","2019","11","46","Monday"
"HTR","2020-03-03","6.98","6.98","6.98","6.98","1300","2020","03","10","Tuesday"
"HTR","2020-06-05","6.98","6.98","6.98","6.98","1900","2020","06","23","Friday"
"HTR","2020-06-29","6.98","6.98","6.98","6.98","100","2020","06","27","Monday"
"HTR","2020-07-23","6.98","6.98","6.98","6.98","100","2020","07","30","Thursday"
"HTR","2020-09-30","4.23","4.23","4.23","4.23","1400","2020","09","40","Wednesday"
