symbol,date,open,high,low,close,volume,year,month,week,weekday
"HTV","2006-01-05","5.15","5.15","5.15","5.15","4000","2006","01","1","Thursday"
"HTV","2006-01-06","5.21","5.24","5.21","5.24","4210","2006","01","1","Friday"
"HTV","2006-01-09","5.15","5.15","5.15","5.15","11320","2006","01","2","Monday"
"HTV","2006-01-10","5.12","5.12","5.12","5.12","12090","2006","01","2","Tuesday"
"HTV","2006-01-11","5.09","5.09","4.94","4.94","10830","2006","01","2","Wednesday"
"HTV","2006-01-12","4.85","4.85","4.79","4.79","32920","2006","01","2","Thursday"
"HTV","2006-01-13","4.85","4.85","4.85","4.85","3050","2006","01","2","Friday"
"HTV","2006-01-17","4.85","4.85","4.85","4.85","8190","2006","01","3","Tuesday"
"HTV","2006-01-18","4.85","4.85","4.85","4.85","7050","2006","01","3","Wednesday"
"HTV","2006-01-19","4.82","4.82","4.76","4.76","10850","2006","01","3","Thursday"
"HTV","2006-01-20","4.76","4.76","4.73","4.73","15660","2006","01","3","Friday"
"HTV","2006-01-23","4.67","4.67","4.64","4.64","25090","2006","01","4","Monday"
"HTV","2006-01-24","4.79","4.79","4.79","4.79","3200","2006","01","4","Tuesday"
"HTV","2006-01-25","4.79","4.91","4.79","4.91","10","2006","01","4","Wednesday"
"HTV","2006-01-26","4.88","4.88","4.85","4.85","950","2006","01","4","Thursday"
"HTV","2006-01-27","4.88","4.94","4.88","4.94","200","2006","01","4","Friday"
"HTV","2006-02-06","4.94","4.94","4.94","4.94","5940","2006","02","6","Monday"
"HTV","2006-02-07","4.85","4.85","4.85","4.85","4500","2006","02","6","Tuesday"
"HTV","2006-02-08","4.85","4.85","4.85","4.85","7560","2006","02","6","Wednesday"
"HTV","2006-02-09","4.85","4.85","4.85","4.85","13500","2006","02","6","Thursday"
"HTV","2006-02-10","4.85","4.88","4.85","4.88","7010","2006","02","6","Friday"
"HTV","2006-02-13","4.85","4.85","4.85","4.85","4100","2006","02","7","Monday"
"HTV","2006-02-14","4.85","4.85","4.85","4.85","1800","2006","02","7","Tuesday"
"HTV","2006-02-15","4.85","4.88","4.85","4.88","6900","2006","02","7","Wednesday"
"HTV","2006-02-16","4.88","4.88","4.88","4.88","10550","2006","02","7","Thursday"
"HTV","2006-02-17","4.88","4.88","4.85","4.85","26370","2006","02","7","Friday"
"HTV","2006-02-20","4.85","4.85","4.85","4.85","3700","2006","02","8","Monday"
"HTV","2006-02-21","4.88","4.88","4.88","4.88","28660","2006","02","8","Tuesday"
"HTV","2006-02-22","4.94","4.94","4.88","4.88","9200","2006","02","8","Wednesday"
"HTV","2006-02-23","4.88","4.91","4.88","4.91","15460","2006","02","8","Thursday"
"HTV","2006-02-24","4.94","5.03","4.94","5.03","16950","2006","02","8","Friday"
"HTV","2006-02-27","5.15","5.24","5.15","5.24","30870","2006","02","9","Monday"
"HTV","2006-02-28","5.49","5.49","5.49","5.49","23390","2006","02","9","Tuesday"
"HTV","2006-03-01","5.7","5.76","5.7","5.76","52010","2006","03","9","Wednesday"
"HTV","2006-03-02","6.03","6.03","6.03","6.03","23140","2006","03","9","Thursday"
"HTV","2006-03-03","6.3","6.3","6.21","6.21","147720","2006","03","9","Friday"
