symbol,date,open,high,low,close,volume
"HUT","2008-04-11","18.84","19.84","9.47","15.62","117200"
"HUT","2008-04-16","13.29","13.29","13.29","13.29","1600"
"HUT","2008-04-17","12.89","13.39","12.89","12.89","70900"
"HUT","2008-04-18","12.6","12.89","12.6","12.6","12200"
"HUT","2008-04-21","12.25","12.25","12.25","12.25","800"
"HUT","2008-04-24","11.9","11.9","11.9","11.9","900"
"HUT","2008-05-16","11.55","11.55","11.55","11.55","500"
"HUT","2008-06-13","10.96","10.96","10.96","10.96","1000"
"HUT","2008-06-16","10.66","10.66","10.66","10.66","800"
"HUT","2008-06-17","10.37","10.37","10.37","10.37","900"
"HUT","2008-06-24","9.97","9.97","9.97","9.97","5300"
"HUT","2008-06-26","9.57","9.57","9.57","9.57","8000"
"HUT","2008-07-02","9.22","9.22","9.22","9.22","2100"
"HUT","2008-07-04","8.88","8.88","8.88","8.88","700"
"HUT","2008-07-07","8.53","8.53","8.53","8.53","1000"
"HUT","2008-07-09","8.23","8.23","8.23","8.23","100"
"HUT","2008-07-10","7.93","7.93","7.93","7.93","1400"
"HUT","2008-07-11","7.64","7.64","7.64","7.64","600"
"HUT","2008-07-14","7.34","7.39","7.34","7.39","71900"
"HUT","2008-07-15","7.59","7.59","7.09","7.59","45500"
"HUT","2008-07-16","7.59","7.79","7.19","7.59","28100"
"HUT","2008-07-17","7.44","7.59","7.09","7.09","24800"
"HUT","2008-07-18","7.14","7.14","7.14","7.14","8500"
"HUT","2008-07-21","6.89","6.89","6.89","6.89","1000"
"HUT","2008-07-22","6.65","6.65","6.65","6.65","100"
"HUT","2008-07-23","6.4","6.4","6.4","6.4","100"
"HUT","2008-07-24","6.15","6.15","6.15","6.15","100"
"HUT","2008-07-25","5.95","5.95","5.95","5.95","7200"
"HUT","2008-07-28","5.75","5.75","5.75","5.75","300"
"HUT","2008-07-29","5.55","5.7","5.55","5.7","38600"
"HUT","2008-07-30","5.36","5.55","5.36","5.36","15800"
"HUT","2008-07-31","5.16","5.16","5.16","5.16","4500"
"HUT","2008-08-01","4.96","5.36","4.96","5.36","56200"
"HUT","2008-08-04","5.31","5.31","5.31","5.31","13600"
"HUT","2008-08-05","5.5","5.5","5.11","5.5","25200"
"HUT","2008-08-06","5.46","5.6","5.46","5.55","18800"
"HUT","2008-08-07","5.7","5.7","5.36","5.65","11000"
"HUT","2008-08-08","5.65","5.65","5.41","5.41","6400"
"HUT","2008-08-11","5.41","5.6","5.41","5.6","11800"
"HUT","2008-08-12","5.75","5.75","5.7","5.75","26100"
"HUT","2008-08-13","5.75","5.75","5.55","5.55","4100"
"HUT","2008-08-14","5.65","5.95","5.65","5.95","28900"
"HUT","2008-08-15","6.1","6.1","6.1","6.1","29300"
"HUT","2008-08-18","6.45","6.5","6.1","6.25","8100"
"HUT","2008-08-19","5.95","6","5.95","5.95","40800"
"HUT","2008-08-20","5.6","5.6","5.55","5.55","5700"
"HUT","2008-08-21","5.26","5.9","5.26","5.9","23400"
"HUT","2008-08-22","6.15","6.15","5.36","5.41","6700"
