symbol,date,open,high,low,close,volume
"HWS","2018-08-09","11.66","11.66","11.66","11.66","100"
"HWS","2018-08-24","10.18","10.18","10.18","10.18","100"
"HWS","2018-09-26","8.65","8.65","8.65","8.65","100"
"HWS","2018-09-27","7.37","7.37","7.37","7.37","5300"
"HWS","2018-10-03","6.33","6.33","6.33","6.33","3100"
"HWS","2018-10-09","5.45","5.45","5.45","5.45","9600"
"HWS","2018-10-10","5.45","5.45","4.81","4.81","400"
"HWS","2018-10-15","5.29","5.29","4.41","4.41","32700"
"HWS","2018-10-19","4.49","4.49","4.49","4.49","30600"
"HWS","2018-10-23","5.13","5.13","4.25","4.25","300"
"HWS","2018-10-29","4.41","4.41","4.41","4.41","100"
"HWS","2018-10-30","4.81","5.05","4.81","5.05","200"
"HWS","2018-10-31","4.57","4.57","4.57","4.57","6400"
"HWS","2018-11-01","4.57","4.57","4.57","4.57","6400"
"HWS","2018-11-15","4.49","4.49","4.49","4.49","9600"
"HWS","2018-11-28","4.73","4.73","4.73","4.73","9200"
"HWS","2018-11-29","5.37","5.37","5.37","5.37","100"
"HWS","2018-11-30","6.17","6.17","6.17","6.17","100"
"HWS","2018-12-04","6.41","6.65","6.41","6.65","200"
"HWS","2018-12-05","7.53","7.53","7.53","7.53","100"
"HWS","2018-12-06","8.65","8.65","8.65","8.65","100"
"HWS","2018-12-07","9.94","9.94","9.94","9.94","100"
"HWS","2018-12-14","8.49","8.49","8.49","8.49","100"
"HWS","2018-12-17","7.29","7.29","7.29","7.29","100"
"HWS","2018-12-21","6.25","6.25","6.25","6.25","100"
"HWS","2018-12-24","5.53","5.53","5.53","5.53","19700"
"HWS","2019-01-02","5.29","5.29","5.29","5.29","9600"
"HWS","2019-01-03","4.89","4.89","4.89","4.89","10000"
"HWS","2019-01-04","5.05","5.05","5.05","5.05","14300"
"HWS","2019-01-18","5.77","5.77","5.77","5.77","200"
"HWS","2019-01-21","6.01","6.01","6.01","6.01","500"
"HWS","2019-01-29","6.89","6.89","6.89","6.89","200"
"HWS","2019-02-13","7.21","7.21","7.21","7.21","500"
"HWS","2019-02-19","7.61","7.61","7.61","7.61","100"
"HWS","2019-03-13","6.65","6.65","6.65","6.65","5900"
"HWS","2019-03-20","5.69","5.69","5.69","5.69","12200"
"HWS","2019-04-10","6.49","6.49","6.49","6.49","100"
"HWS","2019-04-12","7.45","7.45","7.45","7.45","300"
"HWS","2019-04-16","8.09","8.49","7.45","7.45","7300"
"HWS","2019-04-17","8.01","8.01","7.85","7.85","15000"
"HWS","2019-04-18","8.41","8.82","8.41","8.82","7000"
"HWS","2019-04-19","8.34","8.34","8.34","8.34","2000"
"HWS","2019-04-22","9.54","9.54","9.54","9.54","400"
"HWS","2019-04-23","10.02","10.02","8.41","8.41","2100"
"HWS","2019-05-02","8.41","8.41","8.41","8.41","3000"
"HWS","2019-05-09","8.34","8.34","8.34","8.34","2000"
"HWS","2019-05-13","8.26","8.26","8.26","8.26","2000"
"HWS","2019-05-22","8.26","8.26","8.26","8.26","3000"
"HWS","2019-05-24","8.49","8.49","8.49","8.49","45000"
"HWS","2019-05-29","8.49","8.49","8.49","8.49","1000"
"HWS","2019-05-30","8.57","8.82","8.57","8.82","14300"
"HWS","2019-05-31","8.82","8.82","8.82","8.82","22100"
"HWS","2019-06-03","8.82","8.82","8.82","8.82","1300"
"HWS","2019-06-06","8.9","8.9","8.82","8.82","25800"
"HWS","2019-07-15","7.04","7.04","7.04","7.04","3000"
"HWS","2019-07-16","7.2","7.2","7.2","7.2","5700"
"HWS","2019-07-17","7.2","7.2","7.2","7.2","4200"
"HWS","2019-08-23","10.02","10.02","10.02","10.02","100"
"HWS","2019-08-26","11.51","11.51","11.51","11.51","1600"
"HWS","2019-08-27","13.16","13.16","13.16","13.16","6700"
"HWS","2019-08-28","14.32","14.73","14.32","14.73","1800"
"HWS","2019-08-29","14.73","14.73","14.48","14.48","2700"
"HWS","2019-08-30","15.73","15.73","15.73","15.73","100"
"HWS","2019-09-05","15.15","17.96","15.15","15.73","1800"
"HWS","2019-09-10","14.73","14.73","13.41","13.41","400"
"HWS","2019-09-11","14.4","14.4","14.4","14.4","1000"
"HWS","2019-09-12","14.4","14.4","14.4","14.4","100"
"HWS","2019-09-17","12.25","12.25","12.25","12.25","500"
"HWS","2019-09-18","10.43","10.51","10.43","10.51","500"
"HWS","2019-09-19","9.93","9.93","8.94","9.11","1800"
"HWS","2019-09-20","9.93","10.6","9.93","10.6","10100"
"HWS","2019-09-23","8.44","8.61","8.44","8.61","27000"
"HWS","2019-09-24","8.94","8.94","8.94","8.94","10000"
"HWS","2019-09-25","9.11","9.27","9.11","9.27","101300"
"HWS","2019-09-26","9.27","10.6","9.27","10.6","300"
"HWS","2019-09-27","10.51","10.51","10.51","10.51","100"
"HWS","2019-09-30","9.19","9.19","9.19","9.19","29000"
"HWS","2019-10-01","10.35","10.35","10.35","10.35","100"
"HWS","2019-10-03","9.93","9.93","9.93","9.93","2000"
"HWS","2019-10-04","10.35","10.35","10.35","10.35","100"
"HWS","2019-10-11","9.19","9.19","9.19","9.19","9500"
"HWS","2019-10-17","9.6","9.6","9.27","9.27","7700"
"HWS","2019-10-21","9.93","9.93","9.93","9.93","100"
"HWS","2019-10-23","9.77","10.43","9.35","9.35","4100"
"HWS","2019-10-25","10.26","10.26","10.26","10.26","100"
"HWS","2019-10-28","9.6","10.26","9.6","10.26","6700"
"HWS","2019-10-29","10.26","10.26","10.26","10.26","100"
"HWS","2019-10-30","10.26","10.26","10.26","10.26","4500"
"HWS","2019-10-31","10.43","10.43","10.43","10.43","35700"
"HWS","2019-11-01","11.18","11.18","11.18","11.18","100"
"HWS","2019-11-05","9.85","9.85","9.85","9.85","4700"
"HWS","2019-11-07","9.85","9.85","9.85","9.85","200"
"HWS","2019-11-14","10.6","10.6","9.93","9.93","5100"
"HWS","2019-12-17","9.77","9.77","9.77","9.77","200"
"HWS","2019-12-23","9.69","9.69","9.69","9.69","200"
"HWS","2019-12-31","9.77","9.77","9.77","9.77","200"
"HWS","2020-01-02","9.77","9.77","9.77","9.77","100"
"HWS","2020-01-03","9.93","9.93","9.93","9.93","12500"
"HWS","2020-01-09","11.42","11.42","11.42","11.42","1400"
"HWS","2020-01-14","9.77","9.77","9.77","9.77","5000"
"HWS","2020-01-21","9.93","9.93","9.93","9.93","300"
"HWS","2020-01-30","10.6","10.6","10.6","10.6","5000"
"HWS","2020-02-17","9.85","9.85","9.85","9.85","100"
"HWS","2020-02-18","9.85","9.85","9.85","9.85","100"
"HWS","2020-02-26","9.85","9.85","9.85","9.85","200"
"HWS","2020-02-28","9.85","9.85","9.85","9.85","100"
"HWS","2020-03-02","9.85","9.85","9.85","9.85","100"
"HWS","2020-03-05","9.85","10.35","9.85","10.35","1000"
"HWS","2020-03-11","9.93","9.93","9.93","9.93","100"
"HWS","2020-03-12","9.93","9.93","9.93","9.93","100"
"HWS","2020-03-13","9.93","9.93","9.93","9.93","20700"
"HWS","2020-03-16","9.93","9.93","9.93","9.93","300"
"HWS","2020-03-17","9.93","9.93","9.93","9.93","5000"
"HWS","2020-03-18","9.93","9.93","9.93","9.93","100"
"HWS","2020-03-19","9.93","9.93","9.93","9.93","100"
"HWS","2020-03-20","9.93","9.93","9.93","9.93","400"
"HWS","2020-03-23","8.69","8.69","8.69","8.69","700"
"HWS","2020-03-27","9.93","9.93","9.93","9.93","100"
"HWS","2020-03-31","8.44","8.44","8.44","8.44","100"
"HWS","2020-04-03","9.69","9.69","9.69","9.69","100"
"HWS","2020-04-08","9.69","9.69","9.69","9.69","200"
"HWS","2020-04-13","9.69","9.69","9.69","9.69","1000"
"HWS","2020-04-15","8.69","8.69","8.69","8.69","500"
"HWS","2020-04-16","9.93","9.93","9.93","9.93","100"
"HWS","2020-04-20","8.86","8.86","8.86","8.86","200"
"HWS","2020-04-21","9.93","9.93","9.93","9.93","100"
"HWS","2020-04-22","10.35","10.35","10.35","10.35","100"
"HWS","2020-04-24","8.86","8.86","8.86","8.86","400"
"HWS","2020-04-28","9.11","9.11","9.11","9.11","500"
"HWS","2020-04-29","10.35","10.35","10.35","10.35","100"
"HWS","2020-05-08","9.93","9.93","9.85","9.85","9500"
"HWS","2020-05-12","9.93","9.93","9.93","9.93","1000"
"HWS","2020-05-13","10.26","10.26","9.93","9.93","900"
"HWS","2020-05-21","10.1","10.1","10.1","10.1","100"
"HWS","2020-05-22","11.59","11.59","11.59","11.59","100"
"HWS","2020-05-28","11.59","11.59","11.59","11.59","600"
"HWS","2020-05-29","12.83","12.83","12.83","12.83","100"
"HWS","2020-06-03","12.83","14.73","12.83","14.73","200"
"HWS","2020-06-04","13.66","13.66","13.66","13.66","100"
"HWS","2020-06-18","11.66","11.66","11.66","11.66","800"
"HWS","2020-06-22","10.01","10.01","10.01","10.01","100"
"HWS","2020-06-24","11.49","11.49","11.49","11.49","100"
"HWS","2020-06-26","11.49","11.49","11.49","11.49","100"
"HWS","2020-06-29","12.27","12.27","12.27","12.27","1000"
"HWS","2020-06-30","12.01","12.01","12.01","12.01","100"
"HWS","2020-07-01","10.44","11.49","10.44","11.49","3400"
"HWS","2020-07-03","9.57","10.53","9.57","10.53","600"
"HWS","2020-07-06","9.57","9.57","9.57","9.57","1700"
"HWS","2020-07-07","9.31","9.57","9.31","9.57","600"
"HWS","2020-07-08","10.79","10.79","10.79","10.79","700"
"HWS","2020-07-13","9.4","10.7","9.22","10.7","1300"
"HWS","2020-07-15","10.01","10.01","10.01","10.01","100"
"HWS","2020-07-17","11.31","11.31","11.31","11.31","100"
"HWS","2020-07-22","9.83","9.83","9.83","9.83","43300"
"HWS","2020-07-23","10.01","10.01","10.01","10.01","30000"
"HWS","2020-07-24","9.57","10.01","9.57","10.01","1000"
"HWS","2020-07-27","10.01","10.01","10.01","10.01","200"
"HWS","2020-07-28","10.01","10.01","10.01","10.01","1000"
"HWS","2020-07-29","10.01","10.01","9.14","9.14","1300"
"HWS","2020-08-03","9.14","9.14","9.14","9.14","300"
"HWS","2020-08-07","9.31","9.31","9.31","9.31","200"
"HWS","2020-08-10","9.31","9.31","9.31","9.31","500"
"HWS","2020-08-11","9.57","9.57","9.57","9.57","100"
"HWS","2020-08-19","9.31","9.57","9.31","9.57","10400"
"HWS","2020-08-21","9.57","9.57","9.57","9.57","100"
"HWS","2020-08-24","10.44","10.44","10.44","10.44","100"
"HWS","2020-08-27","10.01","10.01","10.01","10.01","500"
"HWS","2020-08-31","10.01","10.01","10.01","10.01","500"
"HWS","2020-09-03","10.01","10.18","10.01","10.18","600"
"HWS","2020-09-07","9.57","10.44","9.57","10.44","6700"
"HWS","2020-09-08","10.44","10.44","10.44","10.44","17000"
"HWS","2020-09-22","9.57","9.57","9.57","9.57","13800"
"HWS","2020-09-25","10.44","10.44","10.44","10.44","100"
"HWS","2020-10-06","9.57","9.57","9.57","9.57","7300"
"HWS","2020-10-08","9.57","9.57","9.57","9.57","200"
"HWS","2020-10-15","9.57","9.57","9.57","9.57","500"
"HWS","2020-10-23","9.57","9.57","9.57","9.57","500"
"HWS","2020-10-26","9.14","9.48","9.14","9.48","1400"
"HWS","2020-11-03","9.48","9.48","9.48","9.48","900"
