symbol,date,open,high,low,close,volume
"ICI","2010-07-06","11.04","12.57","11.04","12.57","57100"
"ICI","2010-07-07","12.82","12.82","12.82","12.82","10000"
"ICI","2010-07-08","14.05","14.05","14.05","14.05","10000"
"ICI","2010-07-09","15.39","15.39","13.49","15.39","18500"
"ICI","2010-07-12","16.5","16.5","13.56","13.56","18710"
"ICI","2010-07-13","14.9","14.9","13.49","13.49","5010"
"ICI","2010-07-14","12.33","12.33","12.27","12.33","23581"
"ICI","2010-07-15","13.49","13.49","12.27","12.88","22810"
"ICI","2010-07-19","15.39","15.39","15.34","15.39","62200"
"ICI","2010-07-20","16.93","16.93","14.11","14.11","10100"
"ICI","2010-07-21","14.17","14.23","13.62","13.62","23420"
"ICI","2010-07-22","12.88","14.11","12.88","13.49","28800"
"ICI","2010-07-23","14.35","14.35","14.35","14.35","400"
"ICI","2010-07-26","14.29","14.29","12.94","12.94","2200"
"ICI","2010-07-27","11.96","13","11.78","11.78","15500"
"ICI","2010-07-28","11.65","11.65","11.35","11.35","4800"
"ICI","2010-07-29","12.57","12.57","12.21","12.21","200"
"ICI","2010-08-02","11.65","12.33","11.65","11.65","2500"
"ICI","2010-08-04","12.88","12.88","12.88","12.88","3000"
"ICI","2010-08-06","11.35","11.35","11.1","11.1","3200"
"ICI","2010-08-09","10.06","11.59","10.06","11.59","700"
"ICI","2010-08-10","11.47","11.47","11.47","11.47","100"
"ICI","2010-08-11","12.21","12.21","11.96","11.96","200"
"ICI","2010-08-12","12.08","12.08","12.08","12.08","100"
"ICI","2010-08-13","13.19","13.19","13.19","13.19","100"
"ICI","2010-08-16","11.9","11.9","11.9","11.9","100"
"ICI","2010-08-17","12.57","12.57","10.73","10.73","3200"
"ICI","2010-08-18","11.96","11.96","10.43","10.43","600"
"ICI","2010-08-19","11.65","11.65","9.63","9.63","12800"
"ICI","2010-08-20","10.49","10.49","10.49","10.49","100"
"ICI","2010-08-23","11.53","11.53","9.45","9.45","6500"
"ICI","2010-08-25","9.2","9.2","9.2","9.2","100"
"ICI","2010-08-26","9.2","9.2","8.28","8.28","4000"
"ICI","2010-08-27","9.51","9.51","8.59","8.59","900"
"ICI","2010-08-30","9.14","9.57","9.14","9.57","14000"
"ICI","2010-08-31","10.06","10.12","10","10.12","4100"
"ICI","2010-09-01","9.32","9.32","9.2","9.2","3100"
"ICI","2010-09-06","9.51","9.51","8.4","9.51","2600"
"ICI","2010-09-07","9.45","9.45","9.45","9.45","100"
"ICI","2010-09-08","10.12","10.12","8.59","9.2","3400"
"ICI","2010-09-09","8.59","9.2","8.59","9.2","600"
"ICI","2010-09-10","9.08","9.08","8.22","8.28","8100"
"ICI","2010-09-13","7.54","8.71","7.36","8.71","1300"
"ICI","2010-09-14","7.73","8.65","7.73","8.65","2400"
"ICI","2010-09-15","8.77","8.77","7.67","7.67","1500"
"ICI","2010-09-17","8.4","8.59","8.4","8.59","3100"
"ICI","2010-09-20","9.26","9.26","8.59","8.59","600"
"ICI","2010-09-21","8.83","8.83","7.85","7.85","5100"
"ICI","2010-09-22","7.67","8.77","7.67","8.65","2000"
"ICI","2010-09-23","9.02","9.02","9.02","9.02","100"
"ICI","2010-09-24","8.16","8.16","8.16","8.16","1300"
"ICI","2010-09-27","8.96","8.96","8.96","8.96","100"
"ICI","2010-09-28","9.81","9.81","9.81","9.81","100"
"ICI","2010-09-30","10.79","10.79","10.79","10.79","100"
"ICI","2010-10-04","11.84","11.84","9.75","9.75","6300"
"ICI","2010-10-14","8.83","8.83","8.83","8.83","100"
"ICI","2010-10-15","9.69","9.69","7.97","7.97","200"
"ICI","2010-10-21","7.05","8.53","7.05","8.53","6600"
"ICI","2010-10-22","7.97","7.97","6.62","6.62","6600"
"ICI","2010-10-25","7.61","7.61","6.56","6.56","1100"
"ICI","2010-10-26","7.24","7.24","6.13","6.2","4600"
"ICI","2010-10-27","6.81","6.81","6.81","6.81","100"
"ICI","2010-10-28","7.42","7.42","6.26","6.26","1100"
"ICI","2010-11-01","6.69","6.69","6.13","6.13","1100"
"ICI","2010-11-02","6.75","6.75","6.75","6.75","100"
"ICI","2010-11-04","7.24","7.24","7.24","7.24","100"
"ICI","2010-11-05","7.67","7.67","7.67","7.67","100"
"ICI","2010-11-15","6.93","6.93","6.93","6.93","100"
"ICI","2010-11-16","7.48","7.48","7.48","7.48","100"
"ICI","2010-11-18","6.75","6.75","6.75","6.75","100"
"ICI","2010-11-19","7.42","7.42","6.07","6.07","9700"
"ICI","2010-11-22","5.64","6.62","5.64","6.62","1300"
"ICI","2010-11-24","5.76","5.76","5.76","5.76","4000"
"ICI","2010-11-25","5.89","5.89","5.83","5.83","2600"
"ICI","2010-11-26","5.89","5.89","5.89","5.89","7300"
"ICI","2010-11-29","6.13","6.26","6.07","5.89","6200"
"ICI","2010-11-30","6.01","6.26","6.01","6.26","5000"
"ICI","2010-12-01","6.01","6.01","6.01","6.01","1000"
"ICI","2010-12-02","6.13","6.26","6.13","6.26","1100"
"ICI","2010-12-03","6.87","6.87","6.2","6.26","9700"
"ICI","2010-12-06","6.01","6.01","6.01","6.01","7000"
"ICI","2010-12-07","6.07","6.07","6.07","6.07","100"
"ICI","2010-12-08","5.76","5.83","5.58","5.83","1100"
"ICI","2010-12-10","5.4","6.26","5.4","6.26","4100"
"ICI","2010-12-13","6.13","6.26","5.95","5.95","21300"
"ICI","2010-12-15","5.52","6.26","5.52","6.26","200"
"ICI","2010-12-17","5.34","5.76","5.34","5.76","800"
"ICI","2010-12-20","5.52","6.01","5.52","6.01","200"
"ICI","2010-12-21","5.52","5.58","5.52","5.58","1200"
"ICI","2010-12-22","6.07","6.07","6.07","6.07","100"
"ICI","2010-12-23","5.58","5.58","5.52","5.52","6200"
"ICI","2010-12-24","5.52","5.52","5.52","5.52","5300"
"ICI","2010-12-27","5.52","5.52","5.52","5.52","8100"
"ICI","2010-12-28","5.58","5.89","5.58","5.89","200"
"ICI","2010-12-29","5.64","5.64","5.52","5.52","9700"
"ICI","2010-12-30","5.28","5.95","5.28","5.95","400"
"ICI","2010-12-31","5.83","5.83","5.83","5.83","5000"
"ICI","2011-01-05","6.2","6.2","6.2","6.2","7000"
"ICI","2011-01-06","6.13","6.13","5.83","5.83","900"
"ICI","2011-01-07","6.07","6.07","6.07","6.07","100"
"ICI","2011-01-10","5.52","5.52","5.52","6.07","100"
"ICI","2011-01-11","6.07","6.07","5.52","6.07","1000"
"ICI","2011-01-13","6.01","6.01","6.01","5.58","100"
"ICI","2011-01-17","5.76","5.76","5.58","5.58","3500"
"ICI","2011-01-18","5.64","5.64","5.64","5.64","500"
"ICI","2011-01-19","5.58","5.58","5.58","5.58","400"
"ICI","2011-01-21","5.58","5.58","5.58","5.58","1500"
"ICI","2011-02-15","5.52","5.52","5.52","5.52","900"
"ICI","2011-02-16","4.97","5.89","4.97","5.89","200"
"ICI","2011-02-18","4.97","4.97","4.97","4.97","100"
"ICI","2011-02-21","5.46","5.46","4.6","4.6","1900"
"ICI","2011-02-22","5.15","5.15","4.97","5.15","1500"
"ICI","2011-02-23","5.46","5.46","5.46","5.46","100"
"ICI","2011-02-24","5.52","5.95","5.52","5.95","200"
"ICI","2011-02-25","6.32","6.32","6.32","6.32","100"
"ICI","2011-03-01","5.7","5.7","5.7","5.7","100"
"ICI","2011-03-07","5.15","5.15","5.15","5.15","100"
"ICI","2011-03-08","5.58","5.58","5.46","5.46","200"
"ICI","2011-03-11","5.03","5.95","5.03","5.95","200"
"ICI","2011-03-15","5.15","5.46","5.15","5.28","4900"
"ICI","2011-03-17","5.15","5.21","5.15","5.15","1300"
"ICI","2011-03-18","4.91","4.91","4.91","4.91","600"
"ICI","2011-03-23","4.42","5.09","4.42","5.09","500"
"ICI","2011-03-24","5.46","5.46","5.28","5.28","500"
"ICI","2011-03-25","5.7","5.7","4.91","4.91","200"
"ICI","2011-03-28","5.76","5.76","5.76","5.76","100"
"ICI","2011-03-31","6.26","6.26","5.21","5.21","3300"
"ICI","2011-04-01","5.21","5.21","5.21","5.21","200"
"ICI","2011-04-06","5.15","5.15","5.15","5.15","100"
"ICI","2011-04-07","5.64","5.64","5.15","5.15","600"
"ICI","2011-04-14","4.79","4.84","4.79","4.84","1000"
"ICI","2011-04-15","4.6","4.6","4.48","4.48","2000"
"ICI","2011-04-18","4.17","4.6","4.17","4.29","4300"
"ICI","2011-04-19","4.35","4.42","4.23","4.23","3000"
"ICI","2011-04-20","4.23","4.23","4.11","4.11","3600"
"ICI","2011-04-21","3.86","3.86","3.86","3.86","900"
"ICI","2011-04-22","3.5","4.05","3.5","4.05","4600"
"ICI","2011-04-25","3.93","4.05","3.93","4.05","2100"
"ICI","2011-04-27","3.99","3.99","3.99","3.99","300"
"ICI","2011-04-29","4.35","4.35","4.35","4.35","10300"
"ICI","2011-05-06","4.79","4.79","3.93","3.93","200"
"ICI","2011-05-11","4.79","4.79","4.35","4.35","300"
"ICI","2011-05-16","4.05","4.05","4.05","4.05","1600"
"ICI","2011-05-18","4.42","4.42","3.74","3.74","200"
"ICI","2011-05-20","3.93","3.93","3.93","3.93","200"
"ICI","2011-05-23","3.68","3.68","3.19","3.44","5600"
"ICI","2011-05-25","3.62","3.62","3.62","3.62","1100"
"ICI","2011-05-27","3.56","3.56","3.56","3.56","1400"
"ICI","2011-05-30","3.25","3.25","3.25","3.25","300"
"ICI","2011-06-02","3.56","3.56","3.07","3.37","11600"
