symbol,date,open,high,low,close,volume,year,month,week,weekday
"IDV","2010-06-01","3.28","3.28","2.28","2.46","5400","2010","06","23","Tuesday"
"IDV","2010-06-02","2.69","2.69","2.35","2.35","10600","2010","06","23","Wednesday"
"IDV","2010-06-03","2.23","2.25","2.23","2.23","7100","2010","06","23","Thursday"
"IDV","2010-06-04","2.08","2.08","2.08","2.08","6300","2010","06","23","Friday"
"IDV","2010-06-07","1.94","2.06","1.94","2.06","12600","2010","06","24","Monday"
"IDV","2010-06-08","2.06","2.06","2","2.02","1200","2010","06","24","Tuesday"
"IDV","2010-06-09","2.11","2.11","1.88","2.03","5700","2010","06","24","Wednesday"
"IDV","2010-06-10","2","2","1.88","1.88","1000","2010","06","24","Thursday"
"IDV","2010-06-11","1.83","1.83","1.8","1.8","4800","2010","06","24","Friday"
"IDV","2010-06-14","1.71","1.82","1.69","1.82","12600","2010","06","25","Monday"
"IDV","2010-06-15","1.72","1.77","1.71","1.77","9900","2010","06","25","Tuesday"
"IDV","2010-06-16","1.86","1.86","1.86","1.86","6300","2010","06","25","Wednesday"
"IDV","2010-06-17","1.97","1.98","1.97","1.98","5500","2010","06","25","Thursday"
"IDV","2010-06-18","1.84","1.96","1.84","1.96","7000","2010","06","25","Friday"
"IDV","2010-06-21","2.02","2.02","1.88","1.91","9800","2010","06","26","Monday"
"IDV","2010-06-22","1.88","1.88","1.76","1.76","4500","2010","06","26","Tuesday"
"IDV","2010-06-23","1.88","1.88","1.73","1.74","10600","2010","06","26","Wednesday"
"IDV","2010-06-24","1.74","1.83","1.71","1.72","8600","2010","06","26","Thursday"
"IDV","2010-06-25","1.68","1.69","1.68","1.68","1500","2010","06","26","Friday"
"IDV","2010-06-28","1.66","1.8","1.66","1.8","11900","2010","06","27","Monday"
"IDV","2010-06-29","1.82","1.88","1.77","1.88","65800","2010","06","27","Tuesday"
"IDV","2010-06-30","1.94","2.02","1.86","2","32100","2010","06","27","Wednesday"
"IDV","2010-07-01","2.05","2.06","1.94","1.96","17200","2010","07","27","Thursday"
"IDV","2010-07-02","1.96","2.12","1.95","1.95","24700","2010","07","27","Friday"
"IDV","2010-07-05","2.08","2.15","2","2.06","10900","2010","07","28","Monday"
"IDV","2010-07-06","2.06","2.16","1.98","1.98","20500","2010","07","28","Tuesday"
"IDV","2010-07-07","2.08","2.08","1.94","1.94","11700","2010","07","28","Wednesday"
"IDV","2010-07-08","1.98","2.08","1.86","1.88","22100","2010","07","28","Thursday"
"IDV","2010-07-09","2.05","2.05","1.9","1.91","19800","2010","07","28","Friday"
"IDV","2010-07-12","2.04","2.04","1.89","1.89","19100","2010","07","29","Monday"
"IDV","2010-07-13","2","2","1.98","1.98","23300","2010","07","29","Tuesday"
"IDV","2010-07-14","2.02","2.02","1.98","2.01","78100","2010","07","29","Wednesday"
"IDV","2010-07-15","2","2","1.94","1.98","7200","2010","07","29","Thursday"
"IDV","2010-07-16","1.98","1.98","1.91","1.91","10400","2010","07","29","Friday"
"IDV","2010-07-19","1.96","1.96","1.88","1.9","11400","2010","07","30","Monday"
"IDV","2010-07-20","1.96","1.99","1.82","1.85","45900","2010","07","30","Tuesday"
"IDV","2010-07-21","1.94","1.99","1.83","1.83","32000","2010","07","30","Wednesday"
"IDV","2010-07-22","1.9","1.9","1.88","1.88","7000","2010","07","30","Thursday"
"IDV","2010-07-23","1.8","1.83","1.76","1.83","19200","2010","07","30","Friday"
"IDV","2010-07-26","1.66","1.77","1.66","1.68","53300","2010","07","31","Monday"
"IDV","2010-07-27","1.8","1.8","1.71","1.71","18500","2010","07","31","Tuesday"
"IDV","2010-07-28","1.8","1.84","1.68","1.7","15500","2010","07","31","Wednesday"
"IDV","2010-07-29","1.79","1.86","1.79","1.8","12800","2010","07","31","Thursday"
"IDV","2010-07-30","1.83","1.83","1.72","1.75","15300","2010","07","31","Friday"
"IDV","2010-08-02","1.88","1.88","1.71","1.71","17800","2010","08","32","Monday"
"IDV","2010-08-03","1.85","1.85","1.71","1.71","30800","2010","08","32","Tuesday"
