symbol,date,open,high,low,close,volume
"IHK","2010-03-05","10.02","10.02","10.02","10.02","100"
"IHK","2010-03-10","9.25","9.25","9.25","9.25","100"
"IHK","2010-03-12","8.48","8.48","8.48","8.48","100"
"IHK","2010-07-05","7.66","7.96","7.66","7.86","17000"
"IHK","2010-07-06","7.14","7.71","7.14","7.71","22700"
"IHK","2010-07-07","7.45","7.45","7.45","7.45","1800"
"IHK","2010-07-08","7.5","7.5","6.73","6.73","3100"
"IHK","2010-07-12","8.17","8.17","8.17","8.17","1810"
"IHK","2010-07-13","8.22","8.89","8.22","8.73","2290"
"IHK","2010-07-14","9.25","9.25","9.25","9.25","100"
"IHK","2010-07-15","9.25","10.17","8.48","8.48","940"
"IHK","2010-07-19","9.09","9.09","9.09","9.09","9600"
"IHK","2010-07-20","8.99","8.99","8.73","8.73","2500"
"IHK","2010-07-21","8.94","8.94","8.73","8.73","700"
"IHK","2010-07-22","8.68","8.68","8.68","8.68","4100"
"IHK","2010-07-23","8.27","8.27","8.22","8.22","500"
"IHK","2010-07-26","8.22","8.22","8.22","8.22","1300"
"IHK","2010-07-27","8.22","8.22","8.22","8.22","500"
"IHK","2010-07-28","8.22","8.22","8.22","8.22","900"
"IHK","2010-07-29","8.22","8.22","7.96","7.96","1100"
"IHK","2010-08-04","7.45","7.91","7.45","7.91","2500"
"IHK","2010-08-09","8.73","8.73","8.73","8.73","1000"
"IHK","2010-08-10","9.5","9.5","9.5","9.5","1000"
"IHK","2010-08-11","10.43","10.43","8.58","8.58","4700"
"IHK","2010-08-12","8.12","8.12","8.12","8.12","100"
"IHK","2010-08-13","8.89","8.89","8.12","8.12","4000"
"IHK","2010-08-16","7.76","7.76","7.71","7.71","1100"
"IHK","2010-08-20","8.22","8.22","8.17","8.17","2100"
"IHK","2010-08-23","7.09","7.09","7.09","7.09","100"
"IHK","2010-08-25","8.43","8.43","8.43","8.43","100"
"IHK","2010-09-01","7.6","7.6","7.6","7.6","100"
"IHK","2010-09-06","6.88","6.88","6.88","6.88","100"
"IHK","2010-09-07","7.55","7.55","6.68","6.68","6600"
"IHK","2010-09-08","6.11","6.63","6.01","6.63","900"
"IHK","2010-09-09","6.68","6.68","6.17","6.17","5100"
"IHK","2010-09-13","5.7","5.7","5.65","5.65","400"
"IHK","2010-09-14","5.39","5.39","5.39","5.39","500"
"IHK","2010-09-15","5.19","5.39","5.19","5.39","500"
"IHK","2010-09-17","4.78","5.8","4.78","5.8","3100"
"IHK","2010-09-20","5.14","5.14","5.14","5.14","4100"
"IHK","2010-09-21","5.65","5.65","5.39","5.39","300"
"IHK","2010-09-24","5.39","5.39","5.39","5.39","1900"
"IHK","2010-09-27","5.39","5.39","5.39","5.39","1300"
