symbol,date,open,high,low,close,volume,year,month,week,weekday
"ILB","2019-05-15","18.6","18.68","15.13","15.29","132510","2019","05","20","Wednesday"
"ILB","2019-05-16","14.63","15.29","14.63","14.88","51430","2019","05","20","Thursday"
"ILB","2019-05-17","14.88","15.04","14.79","15.04","24170","2019","05","20","Friday"
"ILB","2019-05-20","14.79","14.96","14.63","14.88","34080","2019","05","21","Monday"
"ILB","2019-05-21","14.88","15.91","14.79","15.29","88000","2019","05","21","Tuesday"
"ILB","2019-05-22","15.7","16.32","15.7","16.32","114490","2019","05","21","Wednesday"
"ILB","2019-05-23","16.94","17.44","16.53","17.44","109190","2019","05","21","Thursday"
"ILB","2019-05-24","18.64","18.64","17.44","17.69","163430","2019","05","21","Friday"
"ILB","2019-05-27","16.61","17.44","16.53","17.19","83990","2019","05","22","Monday"
"ILB","2019-05-28","17.03","17.19","16.2","16.61","63270","2019","05","22","Tuesday"
"ILB","2019-05-29","16.53","16.53","15.5","15.62","50160","2019","05","22","Wednesday"
"ILB","2019-05-30","15.29","16.45","15.29","16.45","54800","2019","05","22","Thursday"
"ILB","2019-05-31","16.45","16.45","15.54","15.54","36060","2019","05","22","Friday"
"ILB","2019-06-03","15.13","15.54","15.13","15.37","24310","2019","06","23","Monday"
"ILB","2019-06-04","15.37","15.7","15.21","15.7","16440","2019","06","23","Tuesday"
"ILB","2019-06-05","16.12","16.12","15.58","15.7","8380","2019","06","23","Wednesday"
"ILB","2019-06-06","15.37","15.66","15.29","15.29","24600","2019","06","23","Thursday"
"ILB","2019-06-07","15.79","15.87","14.96","15.13","21380","2019","06","23","Friday"
"ILB","2019-06-10","15.17","15.7","15.13","15.13","27410","2019","06","24","Monday"
"ILB","2019-06-11","15.29","15.29","15.13","15.21","10810","2019","06","24","Tuesday"
"ILB","2019-06-12","15.21","15.21","15","15.04","17460","2019","06","24","Wednesday"
"ILB","2019-06-13","14.92","15.29","14.92","15.29","15490","2019","06","24","Thursday"
"ILB","2019-06-14","15.13","15.29","14.96","14.96","18980","2019","06","24","Friday"
"ILB","2019-06-17","15","15.04","14.88","14.96","17370","2019","06","25","Monday"
"ILB","2019-06-18","14.79","15.08","14.75","14.79","15580","2019","06","25","Tuesday"
"ILB","2019-06-19","14.79","15.04","14.79","14.79","11380","2019","06","25","Wednesday"
"ILB","2019-06-20","14.79","15.04","14.79","14.79","11380","2019","06","25","Thursday"
"ILB","2019-06-21","15.04","15.04","14.71","14.88","2780","2019","06","25","Friday"
"ILB","2019-06-24","14.88","14.88","14.79","14.88","1850","2019","06","26","Monday"
"ILB","2019-06-25","14.88","14.92","14.79","14.84","8760","2019","06","26","Tuesday"
"ILB","2019-06-26","14.79","14.88","14.71","14.71","8020","2019","06","26","Wednesday"
"ILB","2019-06-27","14.71","14.88","14.71","14.88","13540","2019","06","26","Thursday"
"ILB","2019-06-28","14.55","14.84","14.55","14.79","6120","2019","06","26","Friday"
"ILB","2019-07-01","14.79","14.79","14.63","14.63","10130","2019","07","27","Monday"
