symbol,date,open,high,low,close,volume,year,month,week,weekday
"IMP","2006-12-04","19.5","19.5","19.5","19.5","62050","2006","12","49","Monday"
"IMP","2006-12-05","18.72","18.72","18.53","18.53","89420","2006","12","49","Tuesday"
"IMP","2006-12-06","17.65","17.65","17.65","17.65","3250","2006","12","49","Wednesday"
"IMP","2006-12-07","16.87","18.53","16.87","18.53","216560","2006","12","49","Thursday"
"IMP","2006-12-08","19.31","19.31","19.31","19.31","18700","2006","12","49","Friday"
"IMP","2006-12-11","20.09","20.09","20.09","20.09","73020","2006","12","50","Monday"
"IMP","2006-12-12","20.87","20.87","20.09","20.09","92600","2006","12","50","Tuesday"
"IMP","2006-12-13","19.11","19.5","19.11","19.5","87350","2006","12","50","Wednesday"
"IMP","2006-12-14","19.5","20.09","19.5","19.5","58750","2006","12","50","Thursday"
"IMP","2006-12-15","19.5","19.5","19.31","19.31","84120","2006","12","50","Friday"
"IMP","2006-12-18","19.31","19.31","18.72","19.11","47200","2006","12","51","Monday"
"IMP","2006-12-19","18.72","18.72","18.72","18.72","30160","2006","12","51","Tuesday"
"IMP","2006-12-20","18.72","18.82","18.72","18.82","48390","2006","12","51","Wednesday"
"IMP","2006-12-21","18.82","18.82","18.53","18.53","55170","2006","12","51","Thursday"
"IMP","2006-12-22","17.65","17.65","17.65","17.65","26950","2006","12","51","Friday"
"IMP","2006-12-25","17.16","18.53","17.16","18.53","26850","2006","12","52","Monday"
"IMP","2006-12-26","19.41","19.41","18.92","19.11","80250","2006","12","52","Tuesday"
"IMP","2006-12-27","19.5","19.5","19.5","19.5","97420","2006","12","52","Wednesday"
"IMP","2006-12-28","19.5","19.5","19.31","19.5","57710","2006","12","52","Thursday"
"IMP","2006-12-29","19.31","19.5","19.21","19.5","34500","2006","12","52","Friday"
"IMP","2007-01-02","19.5","19.5","19.5","19.5","33390","2007","01","1","Tuesday"
"IMP","2007-01-03","19.11","19.5","19.11","19.5","34780","2007","01","1","Wednesday"
"IMP","2007-01-04","20.48","20.48","20.48","20.48","43650","2007","01","1","Thursday"
"IMP","2007-01-05","21.45","21.45","21.07","21.07","123610","2007","01","1","Friday"
"IMP","2007-01-08","22.04","22.04","21.45","21.45","98860","2007","01","2","Monday"
"IMP","2007-01-09","21.45","21.45","21.45","21.45","119530","2007","01","2","Tuesday"
"IMP","2007-01-10","21.84","22.23","21.84","22.23","92650","2007","01","2","Wednesday"
"IMP","2007-01-11","22.82","23.21","22.82","23.21","131220","2007","01","2","Thursday"
"IMP","2007-01-12","24.19","24.19","24.19","24.19","70430","2007","01","2","Friday"
"IMP","2007-01-15","24.58","24.58","24.58","24.58","43810","2007","01","3","Monday"
"IMP","2007-01-16","24.38","24.38","23.8","23.8","38020","2007","01","3","Tuesday"
"IMP","2007-01-17","23.41","23.41","22.63","22.63","44580","2007","01","3","Wednesday"
"IMP","2007-01-18","21.65","23.02","21.65","23.02","59940","2007","01","3","Thursday"
