symbol,date,open,high,low,close,volume,year,month,week,weekday
"IN4","2010-05-31","11.9","11.9","11.9","11.9","100","2010","05","23","Monday"
"IN4","2010-06-03","12.01","12.01","12.01","12.01","900","2010","06","23","Thursday"
"IN4","2010-06-25","12.96","12.96","12.96","12.96","2900","2010","06","26","Friday"
"IN4","2010-07-02","12.37","12.37","12.37","12.37","350","2010","07","27","Friday"
"IN4","2010-07-06","11.19","11.19","11.13","11.13","2300","2010","07","28","Tuesday"
"IN4","2010-07-07","10.13","10.13","10.13","10.13","500","2010","07","28","Wednesday"
"IN4","2010-07-08","9.13","11.13","9.13","11.13","1630","2010","07","28","Thursday"
"IN4","2010-07-12","9.25","11.25","9.25","11.25","520","2010","07","29","Monday"
"IN4","2010-07-13","10.13","10.13","10.13","10.13","500","2010","07","29","Tuesday"
"IN4","2010-07-14","9.13","11.13","9.13","11.13","230","2010","07","29","Wednesday"
"IN4","2010-07-15","11.84","11.84","11.84","11.84","1000","2010","07","29","Thursday"
"IN4","2010-07-19","9.66","9.66","9.66","9.66","900","2010","07","30","Monday"
"IN4","2010-07-20","8.89","8.89","8.89","8.89","100","2010","07","30","Tuesday"
"IN4","2010-08-02","9.78","9.78","9.78","9.78","100","2010","08","32","Monday"
"IN4","2010-08-06","11.54","11.54","11.54","11.54","100","2010","08","32","Friday"
"IN4","2010-08-10","12.6","12.6","12.6","12.6","100","2010","08","33","Tuesday"
"IN4","2010-08-12","13.84","13.84","13.84","13.84","100","2010","08","33","Thursday"
"IN4","2010-08-16","15.02","15.02","15.02","15.02","100","2010","08","34","Monday"
"IN4","2010-09-16","13.54","13.54","13.54","13.54","100","2010","09","38","Thursday"
"IN4","2010-09-21","12.19","12.19","12.19","12.19","100","2010","09","39","Tuesday"
"IN4","2010-09-22","11.01","11.01","11.01","11.01","100","2010","09","39","Wednesday"
"IN4","2010-09-23","9.95","9.95","9.95","9.95","200","2010","09","39","Thursday"
"IN4","2010-09-24","10.89","10.89","10.89","10.89","100","2010","09","39","Friday"
"IN4","2010-09-28","9.84","9.84","9.84","9.84","100","2010","09","40","Tuesday"
"IN4","2010-09-29","8.89","8.89","8.89","8.89","100","2010","09","40","Wednesday"
"IN4","2010-09-30","8.01","8.01","8.01","8.01","100","2010","09","40","Thursday"
"IN4","2010-10-04","8.78","8.78","8.78","8.78","100","2010","10","41","Monday"
"IN4","2010-10-25","7.66","7.66","7.66","7.66","100","2010","10","44","Monday"
"IN4","2010-10-26","8.42","8.42","8.42","8.42","100","2010","10","44","Tuesday"
"IN4","2010-10-29","8.78","8.78","8.78","8.78","100","2010","10","44","Friday"
"IN4","2010-11-02","9.3","9.3","8.83","8.83","200","2010","11","45","Tuesday"
"IN4","2010-11-03","9.48","9.48","9.48","9.48","200","2010","11","45","Wednesday"
"IN4","2010-11-04","8.83","8.83","8.83","8.83","500","2010","11","45","Thursday"
"IN4","2010-11-05","8.24","8.24","8.07","8.07","1100","2010","11","45","Friday"
"IN4","2010-11-08","7.66","7.66","7.66","7.66","100","2010","11","46","Monday"
"IN4","2010-11-09","7.66","8.19","7.66","8.19","400","2010","11","46","Tuesday"
"IN4","2010-11-10","8.07","8.07","7.24","7.24","200","2010","11","46","Wednesday"
"IN4","2010-11-15","8.36","8.36","7.07","7.07","300","2010","11","47","Monday"
"IN4","2010-11-16","7.36","7.36","7.36","7.36","100","2010","11","47","Tuesday"
"IN4","2010-11-17","7.95","7.95","6.66","6.66","200","2010","11","47","Wednesday"
"IN4","2010-11-18","7.95","7.95","7.95","7.95","200","2010","11","47","Thursday"
"IN4","2010-11-19","8.6","8.6","7.18","7.18","400","2010","11","47","Friday"
"IN4","2010-11-23","7.13","7.13","7.13","7.13","100","2010","11","48","Tuesday"
"IN4","2010-11-24","6.48","7.83","6.48","7.83","300","2010","11","48","Wednesday"
"IN4","2010-11-25","6.66","6.66","6.66","6.66","200","2010","11","48","Thursday"
"IN4","2010-11-26","6.13","6.13","6.13","6.13","200","2010","11","48","Friday"
"IN4","2010-11-29","6.71","6.71","6.71","6.13","100","2010","11","49","Monday"
"IN4","2010-11-30","7.36","7.36","6.07","6.07","300","2010","11","49","Tuesday"
"IN4","2010-12-01","7.48","7.48","7.48","7.48","100","2010","12","49","Wednesday"
"IN4","2010-12-02","6.77","8.01","6.77","8.01","400","2010","12","49","Thursday"
"IN4","2010-12-03","7.95","8.48","7.95","8.48","300","2010","12","49","Friday"
"IN4","2010-12-06","7.36","8.83","7.36","8.83","500","2010","12","50","Monday"
"IN4","2010-12-07","9.07","9.07","9.07","9.07","500","2010","12","50","Tuesday"
"IN4","2010-12-08","8.19","9.72","8.19","9.42","700","2010","12","50","Wednesday"
"IN4","2010-12-09","7.95","7.95","7.95","7.95","200","2010","12","50","Thursday"
"IN4","2010-12-10","7.18","8.72","7.18","8.72","900","2010","12","50","Friday"
"IN4","2010-12-13","7.13","7.13","7.13","7.13","100","2010","12","51","Monday"
"IN4","2010-12-14","6.48","6.48","6.48","6.48","100","2010","12","51","Tuesday"
"IN4","2010-12-15","6.42","6.42","6.42","6.42","200","2010","12","51","Wednesday"
"IN4","2010-12-16","5.89","5.89","5.89","5.89","100","2010","12","51","Thursday"
"IN4","2010-12-17","6.48","6.48","6.48","6.48","100","2010","12","51","Friday"
"IN4","2010-12-20","5.89","7.13","5.89","7.13","300","2010","12","52","Monday"
"IN4","2010-12-21","6.07","6.07","6.07","6.07","200","2010","12","52","Tuesday"
"IN4","2010-12-22","5.48","5.48","5.48","5.48","200","2010","12","52","Wednesday"
"IN4","2010-12-23","4.95","6.01","4.95","6.01","400","2010","12","52","Thursday"
"IN4","2010-12-24","5.42","6.3","5.42","6.3","900","2010","12","52","Friday"
"IN4","2010-12-27","6.71","6.71","6.71","6.71","200","2010","12","53","Monday"
"IN4","2010-12-28","6.48","6.48","6.48","6.48","200","2010","12","53","Tuesday"
"IN4","2010-12-29","6.01","7.07","6.01","7.07","500","2010","12","53","Wednesday"
"IN4","2010-12-30","6.18","7.3","6.18","7.3","600","2010","12","53","Thursday"
"IN4","2010-12-31","6.36","6.36","6.36","6.36","200","2010","12","53","Friday"
"IN4","2011-01-04","5.77","5.77","5.77","6.36","100","2011","01","1","Tuesday"
"IN4","2011-01-07","5.3","5.3","5.3","5.77","100","2011","01","1","Friday"
"IN4","2011-01-13","4.77","4.77","4.77","5.3","100","2011","01","2","Thursday"
"IN4","2011-01-19","5.24","5.24","5.24","5.24","700","2011","01","3","Wednesday"
"IN4","2011-01-20","5.71","5.71","5.71","5.71","100","2011","01","3","Thursday"
"IN4","2011-01-21","6.24","6.24","6.24","6.24","100","2011","01","3","Friday"
"IN4","2011-01-24","5.89","6.83","5.89","5.95","500","2011","01","4","Monday"
"IN4","2011-01-25","5.89","6.89","5.89","6.89","400","2011","01","4","Tuesday"
"IN4","2011-01-26","7.01","7.01","7.01","7.01","100","2011","01","4","Wednesday"
"IN4","2011-01-27","6.42","6.42","6.42","6.42","200","2011","01","4","Thursday"
"IN4","2011-02-08","5.95","5.95","5.95","5.95","200","2011","02","6","Tuesday"
"IN4","2011-02-09","5.48","5.48","5.48","5.48","100","2011","02","6","Wednesday"
"IN4","2011-02-15","6.01","6.01","6.01","6.01","100","2011","02","7","Tuesday"
"IN4","2011-02-16","6.6","6.6","6.6","6.6","100","2011","02","7","Wednesday"
"IN4","2011-02-17","7.24","7.24","7.24","7.24","100","2011","02","7","Thursday"
"IN4","2011-02-18","7.95","7.95","7.95","7.95","200","2011","02","7","Friday"
"IN4","2011-02-21","8.72","8.72","8.72","8.72","600","2011","02","8","Monday"
"IN4","2011-02-22","7.89","7.89","7.89","7.89","100","2011","02","8","Tuesday"
"IN4","2011-02-23","7.18","7.18","7.13","7.13","500","2011","02","8","Wednesday"
"IN4","2011-02-24","6.48","6.48","6.48","6.48","100","2011","02","8","Thursday"
"IN4","2011-03-23","6.77","6.77","6.77","6.77","100","2011","03","12","Wednesday"
"IN4","2011-04-05","7.3","7.3","7.3","7.3","100","2011","04","14","Tuesday"
"IN4","2011-05-05","6.6","6.6","6.6","6.6","100","2011","05","18","Thursday"
"IN4","2011-05-06","6.01","6.01","6.01","6.01","100","2011","05","18","Friday"
"IN4","2011-06-03","6.01","6.01","6.01","6.01","100","2011","06","22","Friday"
"IN4","2011-07-18","3.83","3.83","3.83","3.83","100","2011","07","29","Monday"
"IN4","2011-07-25","4.18","4.18","4.18","4.18","100","2011","07","30","Monday"
"IN4","2011-07-27","3.83","3.83","3.83","3.83","300","2011","07","30","Wednesday"
"IN4","2011-07-29","3.53","3.53","3.53","3.53","200","2011","07","30","Friday"
"IN4","2011-08-01","3.24","3.24","3.24","3.24","200","2011","08","31","Monday"
"IN4","2011-09-08","3.77","3.77","3.77","3.77","100","2011","09","36","Thursday"
"IN4","2011-09-20","3.47","3.47","3.47","3.47","100","2011","09","38","Tuesday"
"IN4","2011-09-21","3.77","3.77","3.77","3.77","2600","2011","09","38","Wednesday"
"IN4","2011-09-22","3.42","3.42","3.42","3.42","100","2011","09","38","Thursday"
"IN4","2011-09-23","3.24","3.24","3.24","3.24","200","2011","09","38","Friday"
"IN4","2011-09-26","2.94","2.94","2.94","2.94","200","2011","09","39","Monday"
"IN4","2011-10-14","2.65","2.65","2.65","2.65","200","2011","10","41","Friday"
"IN4","2011-11-14","2.41","2.41","2.41","2.41","200","2011","11","46","Monday"
"IN4","2011-11-30","2.18","2.18","2.18","2.18","100","2011","11","48","Wednesday"
"IN4","2012-01-09","3","3","3","3","100","2012","01","2","Monday"
"IN4","2012-01-11","3.3","3.3","3.3","3.3","100","2012","01","2","Wednesday"
"IN4","2012-01-17","3","3.59","3","3.59","300","2012","01","3","Tuesday"
"IN4","2012-01-30","3.71","3.71","3.71","3.71","100","2012","01","5","Monday"
"IN4","2012-01-31","4.06","4.06","4.06","4.06","100","2012","01","5","Tuesday"
"IN4","2012-02-08","3.71","3.71","3.71","3.71","100","2012","02","6","Wednesday"
"IN4","2012-02-10","3.83","3.83","3.83","3.83","1800","2012","02","6","Friday"
"IN4","2012-02-13","3.47","3.47","3.47","3.47","100","2012","02","7","Monday"
"IN4","2012-02-14","3.18","3.18","3.18","3.18","100","2012","02","7","Tuesday"
"IN4","2012-02-22","3.47","3.47","3.47","3.47","100","2012","02","8","Wednesday"
"IN4","2012-02-23","3.77","3.77","3.77","3.77","100","2012","02","8","Thursday"
"IN4","2012-02-24","4.12","4.12","4.12","4.12","100","2012","02","8","Friday"
"IN4","2012-02-27","4.53","4.53","4.53","4.53","100","2012","02","9","Monday"
"IN4","2012-02-28","4.95","4.95","4.95","4.95","1600","2012","02","9","Tuesday"
"IN4","2012-03-01","5.42","5.42","5.42","5.42","100","2012","03","9","Thursday"
"IN4","2012-03-05","5.95","5.95","5.95","5.95","2100","2012","03","10","Monday"
"IN4","2012-03-06","5.95","5.95","5.95","5.95","2200","2012","03","10","Tuesday"
"IN4","2012-03-07","6.54","6.54","6.54","6.54","100","2012","03","10","Wednesday"
"IN4","2012-03-12","5.89","5.95","5.89","5.95","400","2012","03","11","Monday"
"IN4","2012-03-13","6.54","6.54","5.95","5.95","4100","2012","03","11","Tuesday"
"IN4","2012-03-14","5.42","5.42","5.36","5.36","200","2012","03","11","Wednesday"
