symbol,date,open,high,low,close,volume
"IST","2017-01-05","13.15","13.15","9.47","9.47","14300"
"IST","2017-01-06","9.85","10.17","9.85","10.17","5400"
"IST","2017-01-09","10.17","11.31","10.17","11.31","400"
"IST","2017-01-10","10.23","10.23","10.17","10.17","6000"
"IST","2017-01-11","10.23","10.29","10.17","10.29","5000"
"IST","2017-01-13","10.17","10.29","10.17","10.29","1300"
"IST","2017-01-17","10.29","10.48","10.29","10.48","1000"
"IST","2017-01-24","11.95","11.95","11.95","11.95","500"
"IST","2017-01-25","10.17","10.23","10.17","10.17","1100"
"IST","2017-02-03","10.17","10.17","10.17","10.17","2000"
"IST","2017-02-06","10.1","10.1","10.1","10.1","100"
"IST","2017-02-07","10.17","10.17","10.04","10.04","6900"
"IST","2017-02-14","10.04","10.17","10.04","10.17","3300"
"IST","2017-02-15","10.48","10.48","10.48","10.48","100"
"IST","2017-02-22","10.48","10.48","10.48","10.48","1600"
"IST","2017-03-28","10.42","10.42","10.42","10.42","100"
"IST","2017-03-30","9.91","9.91","9.91","9.91","100"
"IST","2017-04-03","9.91","9.91","9.91","9.91","2300"
"IST","2017-05-08","9.91","9.91","9.91","9.91","100"
"IST","2017-05-09","10.29","10.29","10.29","10.29","1000"
"IST","2017-05-22","10.75","10.75","10.75","10.75","200"
"IST","2017-05-29","10.75","10.75","10.75","10.75","100"
"IST","2017-06-01","10.75","10.75","10.75","10.75","200"
"IST","2017-06-06","10.75","10.75","10.07","10.07","1100"
"IST","2017-06-08","10.07","10.07","10.07","10.07","300"
"IST","2017-06-12","8.73","8.8","8.73","8.8","1300"
"IST","2017-06-13","8.8","8.8","8.8","8.8","600"
"IST","2017-06-14","8.8","8.8","8.8","8.8","400"
"IST","2017-06-20","9.4","9.4","9.4","9.4","8300"
"IST","2017-06-21","9.54","9.54","9.54","9.54","700"
"IST","2017-06-26","10.41","10.41","10.41","10.41","100"
"IST","2017-06-29","10.75","10.75","10.75","10.75","100"
"IST","2017-06-30","10.07","10.75","10.07","10.75","500"
"IST","2017-07-03","10.48","10.48","10.48","10.48","2000"
"IST","2017-07-04","10.48","10.48","10.48","10.48","500"
"IST","2017-07-26","10.61","10.68","10.07","10.68","13400"
"IST","2017-07-27","10.61","10.61","10.61","10.61","2000"
"IST","2017-08-14","10.07","10.07","10.07","10.07","500"
"IST","2017-08-16","8.6","8.6","8.6","8.6","100"
"IST","2017-09-25","8.6","8.6","8.6","8.6","400"
"IST","2017-09-27","7.52","7.52","7.52","7.52","100"
"IST","2017-10-09","7.52","7.52","7.52","7.52","100"
"IST","2017-11-22","9.74","9.74","9.74","9.74","500"
"IST","2017-11-28","9.74","9.74","9.74","9.74","600"
"IST","2017-12-11","11.15","11.15","11.15","11.15","100"
"IST","2017-12-13","11.42","11.42","11.42","11.42","100"
"IST","2017-12-29","10.07","11.42","10.07","11.42","10100"
"IST","2018-01-03","9.81","11.55","9.81","11.55","10200"
"IST","2018-01-18","9.4","9.4","9.4","9.4","2000"
"IST","2018-01-23","9.6","9.6","9.54","9.54","7900"
"IST","2018-02-02","10.95","10.95","10.95","10.95","100"
"IST","2018-04-16","15.31","15.31","14.44","14.44","200"
"IST","2018-05-30","12.43","12.43","12.43","12.43","100"
"IST","2018-06-25","12.43","12.43","12.43","12.43","100"
"IST","2018-06-28","13.16","13.16","12.43","12.43","300"
"IST","2018-07-04","12.43","12.43","12.43","12.43","400"
"IST","2018-07-16","10.6","10.6","10.6","10.6","100"
"IST","2018-07-17","9.21","9.21","9.21","9.21","100"
"IST","2018-07-27","9.57","9.57","9.57","9.57","300"
"IST","2018-08-07","10.31","10.31","10.31","10.31","500"
"IST","2018-08-14","11.33","11.33","11.33","11.33","400"
"IST","2018-08-24","11.33","11.33","11.33","11.33","100"
"IST","2018-09-21","11.33","11.33","9.65","9.65","3400"
"IST","2018-09-26","10.89","10.96","10.89","10.96","500"
"IST","2018-10-09","10.23","10.23","10.23","10.23","200"
"IST","2018-11-15","11.18","11.18","11.18","11.18","100"
"IST","2018-11-21","11.33","11.33","11.33","11.33","100"
"IST","2018-11-30","13.01","13.01","13.01","13.01","100"
"IST","2018-12-03","11.69","11.69","11.69","11.69","300"
"IST","2018-12-24","13.45","13.45","13.45","13.45","100"
"IST","2018-12-26","15.42","15.42","15.42","15.42","100"
"IST","2018-12-27","15.42","15.42","15.42","15.42","100"
"IST","2019-01-03","17.69","17.69","17.69","17.69","100"
"IST","2019-01-07","20.32","20.32","20.32","20.32","100"
"IST","2019-01-22","23.32","23.32","23.32","23.32","100"
"IST","2019-02-12","26.75","26.75","26.75","26.75","100"
"IST","2019-03-25","30.7","30.7","30.7","30.7","100"
"IST","2019-05-17","18.71","18.71","18.71","18.71","1000"
"IST","2019-05-28","15.96","15.96","15.96","15.96","100"
"IST","2019-05-29","13.59","13.59","13.59","13.59","300"
"IST","2019-06-10","15.58","15.58","15.58","15.58","100"
"IST","2019-06-27","17.87","17.87","17.87","17.87","100"
"IST","2019-07-17","20.54","20.54","20.54","20.54","100"
"IST","2019-08-21","17.49","17.49","17.49","17.49","100"
"IST","2019-08-29","14.89","14.89","14.89","14.89","200"
"IST","2019-09-03","17.11","17.11","17.11","17.11","100"
"IST","2019-12-02","19.63","19.63","19.63","19.63","100"
"IST","2020-03-10","16.8","16.8","16.8","16.8","100"
"IST","2020-03-23","16.8","16.8","16.8","16.8","100"
"IST","2020-05-04","10.08","10.08","10.08","10.08","500"
"IST","2020-05-06","11.53","11.53","11.53","11.53","500"
"IST","2020-05-07","13.21","13.21","13.21","13.21","100"
"IST","2020-05-12","13.21","13.29","13.21","13.29","600"
"IST","2020-05-13","15.2","15.2","15.2","15.2","100"
"IST","2020-05-26","15.2","15.2","15.12","15.12","400"
"IST","2020-05-28","15.2","15.2","15.2","15.2","100"
"IST","2020-07-13","15.12","15.12","15.12","15.12","100"
"IST","2020-07-14","15.12","15.12","15.12","15.12","100"
"IST","2020-07-15","15.12","15.12","13.44","13.44","400"
"IST","2020-07-27","11.91","11.91","11.91","11.91","100"
"IST","2020-07-28","10.12","10.12","10.12","10.12","100"
