symbol,date,open,high,low,close,volume,year,month,week,weekday
"KCB","2015-12-01","9.4","9.4","9.4","9.4","100","2015","12","49","Tuesday"
"KCB","2015-12-15","8","8","8","8","100","2015","12","51","Tuesday"
"KCB","2015-12-23","6.8","6.8","6.8","6.8","100","2015","12","52","Wednesday"
"KCB","2015-12-31","5.8","5.8","5.8","5.8","100","2015","12","53","Thursday"
"KCB","2016-01-05","5","5","5","5","100","2016","01","2","Tuesday"
"KCB","2016-01-11","4.3","4.3","4.3","4.3","5000","2016","01","3","Monday"
"KCB","2016-01-13","4.3","4.3","4.3","4.3","1100","2016","01","3","Wednesday"
"KCB","2016-01-14","4.3","4.5","4.3","4.5","16900","2016","01","3","Thursday"
"KCB","2016-01-18","4.5","4.5","4.5","4.5","100","2016","01","4","Monday"
"KCB","2016-01-19","4.2","4.2","4.2","4.2","11700","2016","01","4","Tuesday"
"KCB","2016-01-29","3.7","3.7","3.7","3.7","100","2016","01","5","Friday"
"KCB","2016-03-07","3.5","3.5","3.5","3.5","500","2016","03","11","Monday"
"KCB","2016-03-11","3.1","3.1","3","3","1000","2016","03","11","Friday"
"KCB","2016-03-16","3.1","3.3","3.1","3.3","1500","2016","03","12","Wednesday"
"KCB","2016-03-30","3.4","3.5","3.4","3.5","4700","2016","03","14","Wednesday"
"KCB","2016-04-04","3.6","3.6","3.4","3.4","700","2016","04","15","Monday"
"KCB","2016-04-06","4","4","3.5","3.5","600","2016","04","15","Wednesday"
"KCB","2016-04-08","3.3","3.3","3.3","3.3","300","2016","04","15","Friday"
"KCB","2016-04-11","3","3","2.9","2.9","1700","2016","04","16","Monday"
"KCB","2016-04-13","3","3","3","3","1800","2016","04","16","Wednesday"
"KCB","2016-04-14","3","3","3","3","800","2016","04","16","Thursday"
"KCB","2016-04-21","2.6","2.6","2.6","2.6","600","2016","04","17","Thursday"
"KCB","2016-04-29","2.3","2.3","2.3","2.3","100","2016","04","18","Friday"
"KCB","2016-05-10","2.3","2.3","2.3","2.3","500","2016","05","20","Tuesday"
"KCB","2016-05-11","2.6","2.6","2.6","2.6","100","2016","05","20","Wednesday"
"KCB","2016-05-13","2.8","2.9","2.8","2.9","1300","2016","05","20","Friday"
"KCB","2016-05-16","3.1","3.1","3.1","3.1","2400","2016","05","21","Monday"
"KCB","2016-05-17","3.5","3.5","3.5","3.5","100","2016","05","21","Tuesday"
"KCB","2016-05-18","3.9","3.9","3.9","3.9","100","2016","05","21","Wednesday"
"KCB","2016-05-19","3.7","4.4","3.7","4.3","3200","2016","05","21","Thursday"
"KCB","2016-05-27","4.3","4.3","4.3","4.3","100","2016","05","22","Friday"
"KCB","2016-06-09","4.9","4.9","4.9","4.9","100","2016","06","24","Thursday"
"KCB","2016-06-13","5.6","5.6","5.6","5.6","100","2016","06","25","Monday"
"KCB","2016-07-01","6.4","6.4","6.4","6.4","100","2016","07","27","Friday"
"KCB","2016-08-23","3.9","3.9","3.9","3.9","300","2016","08","35","Tuesday"
"KCB","2016-08-24","3.4","3.4","3.4","3.4","10400","2016","08","35","Wednesday"
"KCB","2016-09-07","2.9","2.9","2.9","2.9","100","2016","09","37","Wednesday"
"KCB","2016-10-06","2.5","2.5","2.5","2.9","100","2016","10","41","Thursday"
"KCB","2016-10-10","2.2","2.2","2.2","2.2","100","2016","10","42","Monday"
"KCB","2016-12-29","1.4","1.4","1.4","1.4","100","2016","12","53","Thursday"
"KCB","2017-02-21","1.9","1.9","1.9","1.9","300","2017","02","8","Tuesday"
"KCB","2017-02-22","2.1","2.1","2.1","2.1","100","2017","02","8","Wednesday"
"KCB","2017-02-23","2.4","2.4","2.4","2.4","600","2017","02","8","Thursday"
"KCB","2017-02-24","2.7","2.7","2.7","2.7","1100","2017","02","8","Friday"
"KCB","2017-02-27","3.1","3.1","3.1","3.1","1100","2017","02","9","Monday"
"KCB","2017-02-28","3.5","3.5","3.5","3.5","1600","2017","02","9","Tuesday"
"KCB","2017-03-01","4","4","4","4","1800","2017","03","9","Wednesday"
"KCB","2017-03-02","4.6","4.6","4.6","4.6","100","2017","03","9","Thursday"
"KCB","2017-03-03","5.2","5.2","5.2","5.2","200","2017","03","9","Friday"
"KCB","2017-03-06","5.9","5.9","4.5","4.5","500","2017","03","10","Monday"
"KCB","2017-03-08","4.4","4.4","4.4","4.4","100","2017","03","10","Wednesday"
"KCB","2017-03-09","3.8","3.8","3.8","3.8","1500","2017","03","10","Thursday"
"KCB","2017-03-10","3.3","3.3","3.3","3.3","1700","2017","03","10","Friday"
"KCB","2017-03-13","2.9","3.7","2.9","3.7","4700","2017","03","11","Monday"
"KCB","2017-03-14","3","3","3","3","300","2017","03","11","Tuesday"
"KCB","2017-03-15","2.7","2.7","2.7","2.7","100","2017","03","11","Wednesday"
"KCB","2017-03-16","2.5","2.6","2.5","2.6","1100","2017","03","11","Thursday"
"KCB","2017-03-17","2.5","2.5","2.5","2.5","100","2017","03","11","Friday"
"KCB","2017-03-20","2.4","2.4","2.4","2.4","200","2017","03","12","Monday"
"KCB","2017-03-21","2.4","2.5","2.1","2.3","1910","2017","03","12","Tuesday"
"KCB","2017-03-22","2.5","2.5","2.5","2.5","10","2017","03","12","Wednesday"
"KCB","2017-03-23","2.3","2.5","2.3","2.5","3100","2017","03","12","Thursday"
"KCB","2017-03-24","2.4","2.6","2.4","2.6","4000","2017","03","12","Friday"
"KCB","2017-03-27","2.9","2.9","2.6","2.9","5000","2017","03","13","Monday"
"KCB","2017-03-28","2.9","2.9","2.7","2.7","3100","2017","03","13","Tuesday"
"KCB","2017-03-29","3.2","3.2","2.7","3.1","3700","2017","03","13","Wednesday"
"KCB","2017-03-30","2.6","2.6","2.5","2.6","1900","2017","03","13","Thursday"
"KCB","2017-03-31","2.5","2.6","2.3","2.4","4900","2017","03","13","Friday"
"KCB","2017-04-03","2.3","2.6","2.3","2.5","7300","2017","04","14","Monday"
"KCB","2017-04-04","2.5","2.6","2.5","2.6","3100","2017","04","14","Tuesday"
"KCB","2017-04-05","2.6","2.8","2.5","2.8","8900","2017","04","14","Wednesday"
"KCB","2017-04-07","3.1","3.1","3.1","3.1","8600","2017","04","14","Friday"
"KCB","2017-04-10","3.5","3.5","3.5","3.5","4700","2017","04","15","Monday"
"KCB","2017-04-11","4","4","4","4","10300","2017","04","15","Tuesday"
"KCB","2017-04-12","4.6","4.6","4.6","4.6","7300","2017","04","15","Wednesday"
"KCB","2017-04-13","4.5","4.5","4","4","2100","2017","04","15","Thursday"
"KCB","2017-04-14","3.7","3.7","3.7","3.7","9700","2017","04","15","Friday"
"KCB","2017-04-17","3.2","3.7","3.2","3.7","1000","2017","04","16","Monday"
"KCB","2017-04-19","3.7","4","3.7","4","800","2017","04","16","Wednesday"
"KCB","2017-04-20","4.5","4.5","4.5","4.5","100","2017","04","16","Thursday"
"KCB","2017-04-24","3.9","3.9","3.9","3.9","2300","2017","04","17","Monday"
"KCB","2017-04-25","3.8","3.8","3.4","3.4","300","2017","04","17","Tuesday"
"KCB","2017-04-26","3.1","3.1","3.1","3.1","1000","2017","04","17","Wednesday"
"KCB","2017-04-27","2.8","2.9","2.8","2.9","500","2017","04","17","Thursday"
"KCB","2017-04-28","2.9","3","2.9","3","200","2017","04","17","Friday"
"KCB","2017-05-04","2.7","2.7","2.7","2.7","1900","2017","05","18","Thursday"
"KCB","2017-05-05","3","3","3","3","100","2017","05","18","Friday"
"KCB","2017-05-10","2.6","2.6","2.6","2.6","3500","2017","05","19","Wednesday"
"KCB","2017-05-11","2.5","2.5","2.5","2.5","200","2017","05","19","Thursday"
"KCB","2017-05-12","2.8","2.8","2.8","2.8","100","2017","05","19","Friday"
"KCB","2017-05-15","2.8","3.1","2.8","3.1","200","2017","05","20","Monday"
"KCB","2017-05-16","3.3","3.4","3.3","3.4","3000","2017","05","20","Tuesday"
"KCB","2017-05-17","3.4","3.5","3.4","3.5","7500","2017","05","20","Wednesday"
"KCB","2017-05-18","3.4","3.4","3.4","3.4","1100","2017","05","20","Thursday"
"KCB","2017-05-19","3.1","3.1","2.9","2.9","4800","2017","05","20","Friday"
"KCB","2017-05-22","3","3.1","3","3","30500","2017","05","21","Monday"
"KCB","2017-05-23","3","3","3","3","100","2017","05","21","Tuesday"
"KCB","2017-05-26","3","3.1","3","3.1","1100","2017","05","21","Friday"
"KCB","2017-05-29","3","3","3","3","100","2017","05","22","Monday"
"KCB","2017-05-30","3","3","3","3","3200","2017","05","22","Tuesday"
"KCB","2017-05-31","3","3","3","3","1200","2017","05","22","Wednesday"
"KCB","2017-06-01","3","3","3","3","3000","2017","06","22","Thursday"
"KCB","2017-06-08","3","3","2.9","2.9","1600","2017","06","23","Thursday"
"KCB","2017-06-09","3","3","3","3","300","2017","06","23","Friday"
"KCB","2017-06-19","3","3","3","3","5000","2017","06","25","Monday"
"KCB","2017-06-20","2.7","2.7","2.7","2.7","100","2017","06","25","Tuesday"
"KCB","2017-06-22","3","3","3","3","7400","2017","06","25","Thursday"
"KCB","2017-07-03","3","3","3","3","3000","2017","07","27","Monday"
"KCB","2017-07-04","2.9","3.4","2.9","3.4","3700","2017","07","27","Tuesday"
"KCB","2017-07-10","3","3.2","3","3.2","1500","2017","07","28","Monday"
"KCB","2017-07-13","2.8","3","2.8","2.8","1300","2017","07","28","Thursday"
"KCB","2017-07-14","3","3","3","3","500","2017","07","28","Friday"
"KCB","2017-07-19","3","3","3","3","200","2017","07","29","Wednesday"
"KCB","2017-07-24","2.7","2.7","2.7","2.7","500","2017","07","30","Monday"
"KCB","2017-07-25","2.7","2.7","2.7","2.7","10000","2017","07","30","Tuesday"
"KCB","2017-07-26","2.5","2.5","2.5","2.5","500","2017","07","30","Wednesday"
"KCB","2017-07-28","2.8","2.8","2.8","2.8","500","2017","07","30","Friday"
"KCB","2017-08-01","2.9","2.9","2.8","2.8","10000","2017","08","31","Tuesday"
"KCB","2017-08-02","2.7","2.7","2.7","2.7","3000","2017","08","31","Wednesday"
"KCB","2017-08-03","3","3","3","3","1500","2017","08","31","Thursday"
