symbol,date,open,high,low,close,volume
"KCE","2011-03-25","5.72","5.72","5.72","5.72","100"
"KCE","2011-06-29","3.68","3.68","3.68","3.68","1000"
"KCE","2011-07-01","3.31","3.31","3.31","3.31","100"
"KCE","2011-08-08","3.64","3.64","3.64","3.64","100"
"KCE","2011-08-16","3.97","3.97","3.97","3.97","100"
"KCE","2012-02-23","3.88","3.88","3.88","3.88","500"
"KCE","2012-04-25","5.32","5.32","5.32","5.32","100"
"KCE","2012-08-09","4.09","4.09","4.09","4.09","4900"
"KCE","2012-12-04","2.86","2.86","2.86","2.86","100"
"KCE","2012-12-12","2.58","2.58","2.58","2.58","100"
"KCE","2012-12-18","2.33","2.33","2.33","2.33","100"
"KCE","2012-12-25","2.13","2.13","2.13","2.13","100"
"KCE","2013-01-09","2.33","2.33","2","2","200"
"KCE","2013-01-10","2.37","2.37","2.37","2.37","100"
"KCE","2013-01-11","2.58","2.58","2.58","2.58","100"
"KCE","2013-01-14","2.82","2.82","2.33","2.33","200"
"KCE","2013-01-15","2.82","2.82","2.82","2.82","100"
"KCE","2013-01-16","3.07","3.07","3.07","3.07","100"
"KCE","2013-01-17","3.35","3.35","3.35","3.35","100"
"KCE","2013-01-21","3.68","3.68","3.68","3.68","100"
"KCE","2013-03-28","2.82","2.82","2.82","2.82","100"
"KCE","2013-03-29","2.86","2.86","2.86","2.86","2300"
"KCE","2013-04-12","2.58","2.58","2.58","2.58","100"
"KCE","2013-08-07","1.64","1.64","1.64","1.64","100"
"KCE","2013-12-06","1.47","1.47","1.47","1.47","10000"
"KCE","2014-01-15","2.04","2.04","2.04","2.04","300"
"KCE","2014-01-20","2.25","2.25","1.84","1.84","200"
"KCE","2014-02-10","2.25","2.25","2.25","2.25","100"
"KCE","2014-02-11","2.45","2.45","2.45","2.45","100"
"KCE","2014-02-12","2.7","2.7","2.7","2.7","300"
"KCE","2014-02-13","2.7","2.7","2.7","2.7","100"
"KCE","2014-03-26","1.64","1.64","1.64","1.64","100"
"KCE","2014-05-16","1.02","1.02","1.02","1.02","200"
"KCE","2014-08-22","1.15","1.15","1.15","1.15","100"
"KCE","2014-12-29","1.31","1.31","1.31","1.31","100"
"KCE","2015-04-02","1.8","1.8","1.8","1.8","100"
"KCE","2015-04-06","1.96","1.96","1.96","1.96","100"
"KCE","2015-04-07","2.13","2.13","2.13","2.13","100"
"KCE","2015-04-09","2.33","2.33","2.33","2.33","100"
"KCE","2015-04-10","2.54","2.54","2.54","2.54","100"
"KCE","2015-08-05","3.51","3.51","3.51","3.51","100"
"KCE","2015-08-18","3.99","3.99","3.99","3.99","100"
"KCE","2015-08-19","4.58","4.58","4.58","4.58","100"
"KCE","2015-08-24","5.23","5.23","5.23","5.23","100"
"KCE","2015-08-25","5.99","5.99","5.99","5.99","2000"
"KCE","2015-08-26","6.85","6.85","6.79","6.85","2400"
"KCE","2015-08-31","6.47","6.53","6.47","6.53","6600"
"KCE","2015-09-01","6.58","6.58","6.53","6.53","2900"
"KCE","2015-09-08","6.47","6.47","6.47","6.47","200"
"KCE","2015-09-10","6.2","6.2","6.2","6.2","2000"
"KCE","2015-09-14","6.2","6.47","6.2","6.47","2000"
"KCE","2015-09-15","6.2","6.2","6.2","6.2","100"
"KCE","2015-09-18","6.2","6.2","6.2","6.2","100"
"KCE","2015-09-21","7.12","7.12","7.01","7.12","2700"
"KCE","2015-09-22","7.01","7.01","7.01","7.01","2000"
"KCE","2015-09-28","7.01","7.01","7.01","7.01","100"
"KCE","2015-09-30","7.01","7.01","7.01","7.01","1900"
"KCE","2015-10-21","7.12","7.12","7.12","7.12","100"
"KCE","2015-10-30","6.09","6.09","6.09","6.09","100"
"KCE","2015-11-05","6.96","6.96","6.96","6.96","100"
"KCE","2015-11-09","7.28","7.28","7.28","7.28","4000"
"KCE","2015-11-10","7.55","8.36","7.55","8.31","2800"
"KCE","2015-11-13","6.9","6.9","6.9","6.9","100"
"KCE","2015-11-20","7.01","7.01","7.01","7.01","300"
"KCE","2015-11-25","7.01","7.55","7.01","7.55","2500"
"KCE","2015-12-01","8.09","8.14","8.09","8.14","900"
"KCE","2015-12-02","8.09","8.09","8.09","8.09","400"
"KCE","2015-12-04","9.28","9.28","9.28","9.28","900"
"KCE","2015-12-07","7.93","7.93","7.93","7.93","100"
"KCE","2015-12-08","6.79","9.11","6.79","6.79","400"
"KCE","2015-12-09","6.58","6.63","6.58","6.63","300"
"KCE","2015-12-11","7.5","7.5","7.5","7.5","200"
"KCE","2016-01-06","7.5","7.5","7.5","7.5","200"
"KCE","2016-01-07","7.5","7.5","7.5","7.5","100"
"KCE","2016-02-24","7.61","7.61","7.61","7.61","200"
"KCE","2016-03-16","7.33","7.78","7.33","7.78","2100"
"KCE","2016-03-22","7.38","7.38","7.38","7.38","200"
"KCE","2016-03-31","7.5","7.5","7.5","7.5","2400"
"KCE","2016-04-01","7.89","7.89","7.89","7.89","100"
"KCE","2016-04-07","8.46","8.46","8.46","8.46","100"
"KCE","2016-04-08","8.23","8.46","7.21","8.46","15100"
"KCE","2016-04-11","8.46","8.46","8.46","8.46","100"
"KCE","2016-04-12","9.7","9.7","9.58","9.7","8800"
"KCE","2016-04-13","9.7","9.7","9.3","9.3","9000"
"KCE","2016-04-15","10.65","10.65","10.15","10.15","200"
"KCE","2016-04-19","9.58","9.58","9.58","9.58","1000"
"KCE","2016-04-25","10.54","10.54","10.54","10.54","100"
"KCE","2016-04-26","9.02","9.02","9.02","9.02","600"
"KCE","2016-04-27","9.07","9.07","9.07","9.07","1000"
"KCE","2016-04-28","9.3","9.3","9.13","9.13","600"
"KCE","2016-05-06","9.3","9.3","9.3","9.3","500"
"KCE","2016-05-11","9.3","9.3","9.3","9.3","300"
"KCE","2016-05-12","9.58","9.86","9.58","9.81","2500"
"KCE","2016-06-02","10.15","10.15","10.15","10.15","300"
"KCE","2016-06-23","10.15","10.15","10.15","10.15","700"
"KCE","2016-06-27","11.61","11.61","11.55","11.55","300"
"KCE","2016-06-28","11.55","11.55","11.55","11.55","100"
"KCE","2016-06-29","11.27","11.27","10.15","10.15","500"
"KCE","2016-06-30","10.71","10.71","9.58","10.6","1900"
"KCE","2016-07-04","10.15","10.15","9.64","9.64","900"
"KCE","2016-07-05","10.43","10.43","10.43","10.43","100"
"KCE","2016-07-06","10.43","11.1","10.43","11.1","800"
"KCE","2016-07-12","10.73","10.73","10.67","10.67","300"
"KCE","2016-07-22","12.2","12.2","12.2","12.2","100"
"KCE","2016-07-26","11.59","11.59","11.59","11.59","2000"
