symbol,date,open,high,low,close,volume
"KDC","2005-12-12","4.05","4.05","4.05","4.05","13020"
"KDC","2005-12-13","4.12","4.22","4.12","4.22","47140"
"KDC","2005-12-14","4.22","4.22","4.12","4.12","29540"
"KDC","2005-12-15","4.12","4.12","4.05","4.05","34670"
"KDC","2005-12-16","4.05","4.05","4.05","4.05","6030"
"KDC","2005-12-19","4.05","4.05","3.98","3.98","15990"
"KDC","2005-12-20","3.98","3.98","3.91","3.91","9640"
"KDC","2005-12-21","3.84","3.84","3.81","3.81","16710"
"KDC","2005-12-22","3.77","3.77","3.77","3.77","25980"
"KDC","2005-12-23","3.74","3.74","3.74","3.74","16030"
"KDC","2005-12-26","3.74","3.74","3.74","3.74","14190"
"KDC","2005-12-27","3.74","3.74","3.7","3.7","16670"
"KDC","2005-12-28","3.67","3.67","3.64","3.64","26700"
"KDC","2005-12-29","3.64","3.7","3.64","3.7","28130"
"KDC","2005-12-30","3.84","3.84","3.7","3.7","23040"
"KDC","2006-01-03","3.7","3.7","3.64","3.64","1000"
"KDC","2006-01-04","3.64","3.64","3.64","3.64","16220"
"KDC","2006-01-05","3.64","3.67","3.64","3.67","10600"
"KDC","2006-01-06","3.67","3.67","3.67","3.67","7220"
"KDC","2006-01-09","3.7","3.7","3.67","3.67","2010"
"KDC","2006-01-10","3.67","3.67","3.67","3.67","3450"
"KDC","2006-01-11","3.67","3.67","3.64","3.64","6850"
"KDC","2006-01-12","3.6","3.6","3.6","3.6","9220"
"KDC","2006-01-13","3.6","3.64","3.6","3.64","15130"
"KDC","2006-01-17","3.64","3.64","3.64","3.64","8030"
"KDC","2006-01-18","3.67","3.67","3.67","3.67","7000"
"KDC","2006-01-19","3.67","3.67","3.64","3.64","5320"
"KDC","2006-01-20","3.67","3.67","3.67","3.67","9300"
"KDC","2006-01-23","3.67","3.67","3.64","3.64","7530"
"KDC","2006-01-24","3.64","3.64","3.64","3.64","2100"
"KDC","2006-01-25","3.64","3.7","3.64","3.7","2110"
"KDC","2006-01-26","3.7","3.7","3.7","3.7","3010"
"KDC","2006-01-27","3.7","3.7","3.7","3.7","9640"
"KDC","2006-02-06","3.7","3.7","3.67","3.67","4610"
"KDC","2006-02-07","3.7","3.7","3.7","3.7","10950"
