symbol,date,open,high,low,close,volume,year,month,week,weekday
"KLF","2013-09-23","9.57","9.57","9.57","9.57","342200","2013","09","39","Monday"
"KLF","2013-09-24","10.48","10.48","9.57","10.48","409600","2013","09","39","Tuesday"
"KLF","2013-09-25","11.47","11.47","10.48","11.47","616500","2013","09","39","Wednesday"
"KLF","2013-09-26","12.6","12.6","10.7","11.61","851400","2013","09","39","Thursday"
"KLF","2013-09-27","11.54","12.74","11.54","12.74","956200","2013","09","39","Friday"
"KLF","2013-09-30","12.6","14","12.6","14","654100","2013","09","40","Monday"
"KLF","2013-10-01","14","15.34","13.93","15.34","812000","2013","10","40","Tuesday"
"KLF","2013-10-02","15.34","15.34","14.36","15.06","831500","2013","10","40","Wednesday"
"KLF","2013-10-03","14.71","15.97","14.5","15.97","1071000","2013","10","40","Thursday"
"KLF","2013-10-04","16.04","17.52","16.04","17.52","840600","2013","10","40","Friday"
"KLF","2013-10-07","17.59","19.21","16.04","19.21","1385900","2013","10","41","Monday"
"KLF","2013-10-08","19.35","19.7","17.45","18.23","1183200","2013","10","41","Tuesday"
"KLF","2013-10-09","16.68","16.89","16.47","16.89","1020300","2013","10","41","Wednesday"
"KLF","2013-10-10","16.89","16.89","15.2","15.2","573200","2013","10","41","Thursday"
"KLF","2013-10-11","14.92","15.48","13.72","15.34","1103400","2013","10","41","Friday"
"KLF","2013-10-14","15.27","15.41","14.07","14.43","774500","2013","10","42","Monday"
"KLF","2013-10-15","14.28","14.28","13.16","14.28","564800","2013","10","42","Tuesday"
"KLF","2013-10-16","14.28","14.57","13.16","14.43","624500","2013","10","42","Wednesday"
"KLF","2013-10-17","14.43","14.57","14.07","14.57","541800","2013","10","42","Thursday"
"KLF","2013-10-18","14.57","14.64","14.07","14.57","442700","2013","10","42","Friday"
"KLF","2013-10-21","14.43","14.78","14.07","14.78","663900","2013","10","43","Monday"
"KLF","2013-10-22","14.57","15.06","14.21","15.06","554700","2013","10","43","Tuesday"
"KLF","2013-10-23","14.92","15.62","14.57","15.62","586300","2013","10","43","Wednesday"
"KLF","2013-10-24","15.34","17.17","15.27","16.89","825800","2013","10","43","Thursday"
"KLF","2013-10-25","16.75","16.82","15.41","15.48","939400","2013","10","43","Friday"
"KLF","2013-10-28","15.34","15.34","13.93","13.93","854600","2013","10","44","Monday"
"KLF","2013-10-29","13.37","13.44","12.88","13.23","988900","2013","10","44","Tuesday"
"KLF","2013-10-30","13.02","13.02","12.31","12.38","769200","2013","10","44","Wednesday"
"KLF","2013-10-31","12.24","12.24","11.75","11.75","611500","2013","10","44","Thursday"
"KLF","2013-11-01","11.75","11.75","10.63","10.63","759700","2013","11","44","Friday"
"KLF","2013-11-04","9.64","10.63","9.64","10.2","676800","2013","11","45","Monday"
"KLF","2013-11-05","10.2","10.84","10.13","10.48","814100","2013","11","45","Tuesday"
"KLF","2013-11-06","10.55","11.05","10.2","10.7","784700","2013","11","45","Wednesday"
"KLF","2013-11-07","10.7","10.7","10.27","10.41","746900","2013","11","45","Thursday"
"KLF","2013-11-08","10.34","10.41","9.43","9.78","680300","2013","11","45","Friday"
"KLF","2013-11-11","9.78","9.85","9.43","9.78","655100","2013","11","46","Monday"
"KLF","2013-11-12","9.71","9.99","9.5","9.99","496700","2013","11","46","Tuesday"
"KLF","2013-11-13","9.99","10.06","9.85","10.06","344400","2013","11","46","Wednesday"
"KLF","2013-11-14","9.99","10.13","9.57","10.13","1256100","2013","11","46","Thursday"
"KLF","2013-11-15","10.13","10.48","9.85","10.34","793400","2013","11","46","Friday"
"KLF","2013-11-18","10.55","11.33","10.34","11.33","800500","2013","11","47","Monday"
"KLF","2013-11-19","11.33","11.61","10.98","10.98","940600","2013","11","47","Tuesday"
"KLF","2013-11-20","11.05","11.05","10.48","10.63","824600","2013","11","47","Wednesday"
"KLF","2013-11-21","10.63","10.98","10.48","10.48","1002500","2013","11","47","Thursday"
"KLF","2013-11-22","10.48","10.55","10.27","10.48","628300","2013","11","47","Friday"
"KLF","2013-11-25","10.27","10.55","10.06","10.55","1071400","2013","11","48","Monday"
"KLF","2013-11-26","10.41","10.77","10.27","10.7","903800","2013","11","48","Tuesday"
"KLF","2013-11-27","10.7","10.91","10.48","10.84","1102500","2013","11","48","Wednesday"
"KLF","2013-11-28","10.7","11.33","10.7","11.26","1123200","2013","11","48","Thursday"
"KLF","2013-11-29","11.26","11.47","11.19","11.26","902100","2013","11","48","Friday"
"KLF","2013-12-02","11.26","11.33","10.77","10.77","809700","2013","12","49","Monday"
"KLF","2013-12-03","10.7","10.98","10.7","10.98","981100","2013","12","49","Tuesday"
"KLF","2013-12-04","11.05","11.12","10.77","11.05","923200","2013","12","49","Wednesday"
"KLF","2013-12-05","10.98","11.19","10.91","11.12","835800","2013","12","49","Thursday"
"KLF","2013-12-06","11.12","11.4","10.98","10.98","778200","2013","12","49","Friday"
"KLF","2013-12-09","11.05","11.19","10.63","10.77","889900","2013","12","50","Monday"
"KLF","2013-12-10","10.77","10.84","10.7","10.77","415100","2013","12","50","Tuesday"
"KLF","2013-12-11","10.7","10.84","10.27","10.34","823000","2013","12","50","Wednesday"
"KLF","2013-12-12","10.27","10.34","9.85","10.27","1345100","2013","12","50","Thursday"
"KLF","2013-12-13","10.27","10.34","9.99","10.13","690500","2013","12","50","Friday"
"KLF","2013-12-16","10.13","10.48","9.92","10.48","971400","2013","12","51","Monday"
