symbol,date,open,high,low,close,volume,year,month,week,weekday
"KVC","2015-04-14","15.56","20.23","15.56","20.23","2085500","2015","04","16","Tuesday"
"KVC","2015-04-15","20.42","22.17","20.23","22.17","1730400","2015","04","16","Wednesday"
"KVC","2015-04-16","22.17","24.31","22.17","24.31","1956400","2015","04","16","Thursday"
"KVC","2015-04-17","23.83","23.83","21.88","21.88","68300","2015","04","16","Friday"
"KVC","2015-04-21","19.74","19.74","19.74","19.74","100","2015","04","17","Tuesday"
"KVC","2015-04-22","17.8","17.8","17.8","17.8","100","2015","04","17","Wednesday"
"KVC","2015-04-23","16.05","16.05","16.05","16.05","200","2015","04","17","Thursday"
"KVC","2015-04-24","14.49","15.95","14.49","15.85","282000","2015","04","17","Friday"
"KVC","2015-04-27","15.85","16.05","15.46","15.56","88300","2015","04","18","Monday"
"KVC","2015-05-04","15.66","15.95","15.37","15.46","243600","2015","05","19","Monday"
"KVC","2015-05-05","15.56","15.75","15.27","15.75","217900","2015","05","19","Tuesday"
"KVC","2015-05-06","15.75","17.31","15.75","17.31","1204200","2015","05","19","Wednesday"
"KVC","2015-05-07","17.5","18.96","17.02","18.67","996300","2015","05","19","Thursday"
"KVC","2015-05-08","18.67","18.77","16.82","17.41","899600","2015","05","19","Friday"
"KVC","2015-05-11","17.31","17.31","15.75","15.95","968400","2015","05","20","Monday"
"KVC","2015-05-12","15.75","15.95","15.07","15.66","376000","2015","05","20","Tuesday"
"KVC","2015-05-13","15.56","15.95","15.37","15.95","318200","2015","05","20","Wednesday"
"KVC","2015-05-14","15.95","16.43","15.56","16.24","290900","2015","05","20","Thursday"
"KVC","2015-05-15","15.95","16.05","15.66","15.75","210700","2015","05","20","Friday"
"KVC","2015-05-18","15.56","15.75","15.27","15.75","125300","2015","05","21","Monday"
"KVC","2015-05-19","15.75","17.31","15.17","17.31","1212400","2015","05","21","Tuesday"
"KVC","2015-05-20","17.5","17.5","15.95","15.95","122000","2015","05","21","Wednesday"
"KVC","2015-05-21","16.05","16.34","15.56","16.24","274100","2015","05","21","Thursday"
"KVC","2015-05-22","16.24","16.73","16.14","16.73","319900","2015","05","21","Friday"
"KVC","2015-05-25","16.63","17.02","16.43","16.63","429900","2015","05","22","Monday"
"KVC","2015-05-26","16.63","17.5","16.53","17.5","837900","2015","05","22","Tuesday"
