symbol,date,open,high,low,close,volume,year,month,week,weekday
"L63","2016-10-13","7.54","7.54","7.54","7.54","100","2016","10","42","Thursday"
"L63","2016-10-14","6.47","6.47","6.47","6.47","600","2016","10","42","Friday"
"L63","2016-10-18","5.59","5.59","5.59","5.59","1500","2016","10","43","Tuesday"
"L63","2016-10-19","4.88","4.88","4.88","4.88","3300","2016","10","43","Wednesday"
"L63","2016-10-20","4.17","4.17","4.17","4.17","3000","2016","10","43","Thursday"
"L63","2016-10-21","3.72","3.72","3.55","3.55","10700","2016","10","43","Friday"
"L63","2016-10-25","3.99","3.99","3.99","3.99","1000","2016","10","44","Tuesday"
"L63","2016-10-26","3.55","3.55","3.55","3.55","8000","2016","10","44","Wednesday"
"L63","2016-10-27","3.99","3.99","3.99","3.99","600","2016","10","44","Thursday"
"L63","2016-10-28","4.43","4.43","4.43","4.43","800","2016","10","44","Friday"
"L63","2016-10-31","4.43","4.43","3.81","4.43","1200","2016","10","45","Monday"
"L63","2016-11-01","4.7","4.7","4.7","4.7","1500","2016","11","45","Tuesday"
"L63","2016-11-02","4.08","4.7","4.08","4.7","1100","2016","11","45","Wednesday"
"L63","2016-11-03","4.61","4.61","4.61","4.61","1200","2016","11","45","Thursday"
"L63","2016-11-04","3.99","4.43","3.99","4.43","7900","2016","11","45","Friday"
"L63","2016-11-07","3.63","3.63","3.63","3.63","200","2016","11","46","Monday"
"L63","2016-11-08","3.99","3.99","3.99","3.99","500","2016","11","46","Tuesday"
"L63","2016-11-09","3.55","3.55","3.55","3.55","8600","2016","11","46","Wednesday"
"L63","2016-11-18","4.08","4.08","4.08","4.08","100","2016","11","47","Friday"
"L63","2016-11-21","4.26","4.26","4.26","4.26","1200","2016","11","48","Monday"
"L63","2016-11-22","4.43","4.43","4.43","4.43","3000","2016","11","48","Tuesday"
"L63","2016-11-25","4.43","4.43","4.43","4.43","3400","2016","11","48","Friday"
"L63","2016-12-09","4.43","4.43","4.43","4.43","4300","2016","12","50","Friday"
"L63","2016-12-12","4.43","4.43","4.43","4.43","800","2016","12","51","Monday"
"L63","2016-12-13","4.43","4.43","4.43","4.43","10000","2016","12","51","Tuesday"
"L63","2016-12-26","4.43","4.43","4.43","4.43","8900","2016","12","53","Monday"
"L63","2017-02-27","6.12","6.12","6.12","6.12","800","2017","02","9","Monday"
"L63","2017-02-28","6.12","6.12","6.12","6.12","40","2017","02","9","Tuesday"
"L63","2017-03-01","5.23","5.23","5.23","5.23","300","2017","03","9","Wednesday"
"L63","2017-03-06","5.76","5.76","5.76","5.76","300","2017","03","10","Monday"
"L63","2017-03-15","6.56","6.56","4.97","4.97","1217","2017","03","11","Wednesday"
"L63","2017-03-16","5.85","5.85","5.85","5.85","100","2017","03","11","Thursday"
"L63","2017-03-20","5.85","5.85","5.85","5.85","57","2017","03","12","Monday"
"L63","2017-03-22","5.05","5.05","5.05","5.05","602","2017","03","12","Wednesday"
"L63","2017-03-23","5.76","5.76","5.76","5.76","100","2017","03","12","Thursday"
"L63","2017-03-24","6.21","6.21","6.21","6.21","9800","2017","03","12","Friday"
"L63","2017-03-27","6.21","6.21","6.21","6.21","100","2017","03","13","Monday"
"L63","2017-03-28","6.21","6.21","6.21","6.21","4000","2017","03","13","Tuesday"
"L63","2017-03-29","6.21","6.21","6.21","6.21","500","2017","03","13","Wednesday"
"L63","2017-04-03","6.21","6.21","6.21","6.21","7700","2017","04","14","Monday"
"L63","2017-04-07","6.21","6.21","6.21","6.21","6000","2017","04","14","Friday"
"L63","2017-04-10","6.21","6.21","6.21","6.21","2000","2017","04","15","Monday"
"L63","2017-04-12","6.21","6.21","6.21","6.21","910","2017","04","15","Wednesday"
"L63","2017-04-14","5.32","5.32","5.32","5.32","200","2017","04","15","Friday"
"L63","2017-05-05","4.52","4.52","4.52","4.52","400","2017","05","18","Friday"
"L63","2017-05-15","3.9","3.9","3.9","3.9","100","2017","05","20","Monday"
"L63","2017-05-16","4.43","4.43","4.43","4.43","100","2017","05","20","Tuesday"
"L63","2017-05-22","5.05","5.05","5.05","5.05","100","2017","05","21","Monday"
"L63","2017-06-30","5.76","5.76","5.76","5.76","400","2017","06","26","Friday"
"L63","2017-07-03","5.76","5.76","5.76","5.76","67","2017","07","27","Monday"
"L63","2017-07-04","5.32","5.76","5.32","5.76","1100","2017","07","27","Tuesday"
"L63","2017-07-11","4.88","4.88","4.88","4.88","5525","2017","07","28","Tuesday"
"L63","2017-07-17","4.88","4.88","4.88","4.88","34000","2017","07","29","Monday"
"L63","2017-08-03","5.32","5.32","5.32","5.32","1000","2017","08","31","Thursday"
"L63","2017-08-11","4.88","4.88","4.88","4.88","2500","2017","08","32","Friday"
"L63","2017-08-28","4.88","4.88","4.88","4.88","1500","2017","08","35","Monday"
"L63","2017-09-06","4.88","4.88","4.88","4.88","700","2017","09","36","Wednesday"
"L63","2017-09-07","4.43","4.43","4.43","4.43","500","2017","09","36","Thursday"
"L63","2017-09-12","4.43","4.43","4.43","4.43","7","2017","09","37","Tuesday"
"L63","2017-10-06","4.72","4.72","4.72","4.72","200","2017","10","40","Friday"
"L63","2017-10-11","4.72","4.72","4.72","4.72","40","2017","10","41","Wednesday"
"L63","2017-10-12","4.72","4.72","4.72","4.72","75","2017","10","41","Thursday"
"L63","2017-10-19","5.19","5.19","5.19","5.19","100","2017","10","42","Thursday"
"L63","2017-11-10","5.94","5.94","5.94","5.94","200","2017","11","45","Friday"
"L63","2017-12-01","5.94","5.94","5.94","5.94","50","2017","12","48","Friday"
"L63","2017-12-06","6.79","6.79","6.79","6.79","100","2017","12","49","Wednesday"
"L63","2017-12-07","5.94","5.94","5.94","5.94","200","2017","12","49","Thursday"
"L63","2017-12-20","6.79","6.79","6.79","6.79","2900","2017","12","51","Wednesday"
"L63","2017-12-21","5.94","5.94","5.94","5.94","200","2017","12","51","Thursday"
"L63","2017-12-28","6.7","6.7","6.7","6.7","7000","2017","12","52","Thursday"
"L63","2018-01-02","6.7","6.7","6.7","6.7","2100","2018","01","1","Tuesday"
"L63","2018-01-10","6.3","6.7","6.3","6.7","3400","2018","01","2","Wednesday"
"L63","2018-01-30","6.3","6.7","6.7","6.7","72","2018","01","5","Tuesday"
"L63","2018-02-28","6.3","6.3","6.3","6.3","8000","2018","02","9","Wednesday"
"L63","2018-03-15","5.4","6.5","5.4","6.5","113800","2018","03","11","Thursday"
"L63","2018-03-22","6.1","6.1","6.1","6.1","5000","2018","03","12","Thursday"
"L63","2018-04-10","7","7","7","7","100","2018","04","15","Tuesday"
"L63","2018-04-11","8","8","8","8","900","2018","04","15","Wednesday"
"L63","2018-04-12","9.2","9.2","9.2","9.2","180","2018","04","15","Thursday"
"L63","2018-04-13","10.5","10.5","10.5","10.5","100","2018","04","15","Friday"
"L63","2018-04-17","11.7","11.7","11.7","11.7","100","2018","04","16","Tuesday"
"L63","2018-04-18","10","10","10","10","100","2018","04","16","Wednesday"
"L63","2018-04-20","11.5","11.5","11.5","11.5","100","2018","04","16","Friday"
"L63","2018-04-26","9.8","9.8","9.8","9.8","100","2018","04","17","Thursday"
"L63","2018-04-27","8.4","8.4","8.4","8.4","100","2018","04","17","Friday"
"L63","2018-05-02","7.2","7.2","7.2","7.2","100","2018","05","18","Wednesday"
"L63","2018-05-03","6.2","6.2","6.2","6.2","100","2018","05","18","Thursday"
"L63","2018-05-23","7.1","7.1","7.1","7.1","3400","2018","05","21","Wednesday"
"L63","2018-05-24","7.1","7.1","7.1","7.1","52","2018","05","21","Thursday"
"L63","2018-06-14","7.1","7.1","7.1","7.1","100","2018","06","24","Thursday"
"L63","2018-06-19","6.1","6.1","6.1","6.1","4000","2018","06","25","Tuesday"
"L63","2018-06-20","7","7","7","7","1700","2018","06","25","Wednesday"
"L63","2018-06-29","7.1","7.1","7.1","7.1","5001","2018","06","26","Friday"
"L63","2018-07-02","7.1","7.1","7.1","7.1","1200","2018","07","27","Monday"
"L63","2018-07-03","7.1","7.1","7.1","7.1","10","2018","07","27","Tuesday"
"L63","2018-07-17","8.1","8.1","8.1","8.1","5900","2018","07","29","Tuesday"
"L63","2018-07-19","7.5","7.5","7.5","7.5","2000","2018","07","29","Thursday"
"L63","2018-07-20","6.6","6.6","6.6","6.6","500","2018","07","29","Friday"
"L63","2018-07-26","7","7","7","7","100","2018","07","30","Thursday"
"L63","2018-08-08","8","8","6","6","12100","2018","08","32","Wednesday"
"L63","2018-08-09","7","7","7","7","100","2018","08","32","Thursday"
"L63","2018-09-12","8","8","8","8","8611","2018","09","37","Wednesday"
"L63","2018-09-13","7.5","7.5","7.5","7.5","534","2018","09","37","Thursday"
"L63","2018-09-17","8","8","8","8","3710","2018","09","38","Monday"
"L63","2018-09-19","8","8","8","8","34","2018","09","38","Wednesday"
"L63","2018-09-24","7.3","7.3","7.3","7.3","300","2018","09","39","Monday"
"L63","2018-12-07","10","10","10","10","13900","2018","12","49","Friday"
"L63","2018-12-10","8.5","8.5","8.5","8.5","100","2018","12","50","Monday"
"L63","2018-12-11","9.5","9.5","7.3","7.3","4900","2018","12","50","Tuesday"
"L63","2018-12-12","8.1","8.1","8.1","8.1","1000","2018","12","50","Wednesday"
"L63","2018-12-13","6.9","6.9","6.9","6.9","1000","2018","12","50","Thursday"
"L63","2018-12-14","7.9","7.9","7.9","7.9","1000","2018","12","50","Friday"
"L63","2018-12-21","9","9","9","9","41620","2018","12","51","Friday"
"L63","2018-12-24","9","9","9","9","2800","2018","12","52","Monday"
"L63","2018-12-25","9","9","9","9","22000","2018","12","52","Tuesday"
"L63","2018-12-26","9","9","9","9","21200","2018","12","52","Wednesday"
"L63","2018-12-27","10","10","9","9","37510","2018","12","52","Thursday"
"L63","2018-12-28","9.2","9.2","9.2","9","35","2018","12","52","Friday"
"L63","2019-01-03","9.2","9.2","9","9","10","2019","01","1","Thursday"
"L63","2019-01-08","9.2","9.2","9","9","45","2019","01","2","Tuesday"
"L63","2019-01-11","8.8","8.8","8.8","8.8","3365","2019","01","2","Friday"
"L63","2019-01-16","9","9","9","9","6900","2019","01","3","Wednesday"
"L63","2019-02-25","8.5","8.5","8.5","8.5","5000","2019","02","9","Monday"
"L63","2019-02-28","8.5","8.5","8.5","8.5","5000","2019","02","9","Thursday"
"L63","2019-03-19","7.4","7.4","7.4","7.4","10800","2019","03","12","Tuesday"
"L63","2019-03-29","7.4","7.4","7.4","7.4","100","2019","03","13","Friday"
"L63","2019-04-03","6.3","6.3","6.3","6.3","100","2019","04","14","Wednesday"
"L63","2019-05-29","5.7","5.7","5.7","5.7","400","2019","05","22","Wednesday"
"L63","2019-06-10","6.5","6.5","6.5","6.5","200","2019","06","24","Monday"
"L63","2019-06-11","7.4","7.4","7.4","7.4","100","2019","06","24","Tuesday"
