symbol,date,open,high,low,close,volume,year,month,week,weekday
"LBM","2006-12-21","6.72","6.72","6.4","6.4","5560","2006","12","51","Thursday"
"LBM","2006-12-22","6.4","6.4","6.08","6.08","10","2006","12","51","Friday"
"LBM","2006-12-25","5.78","5.78","5.78","5.78","2860","2006","12","52","Monday"
"LBM","2006-12-26","5.49","5.49","5.49","5.49","10060","2006","12","52","Tuesday"
"LBM","2006-12-27","5.22","5.22","5.22","5.22","12900","2006","12","52","Wednesday"
"LBM","2006-12-28","4.97","4.97","4.97","4.97","1500","2006","12","52","Thursday"
"LBM","2006-12-29","4.97","4.97","4.74","4.74","550","2006","12","52","Friday"
"LBM","2007-01-02","4.74","4.74","4.5","4.5","10","2007","01","1","Tuesday"
"LBM","2007-01-03","4.5","4.5","4.28","4.28","510","2007","01","1","Wednesday"
"LBM","2007-01-04","4.08","4.08","4.08","4.08","10","2007","01","1","Thursday"
"LBM","2007-01-05","4.08","4.08","3.89","3.89","71290","2007","01","1","Friday"
"LBM","2007-01-08","4.08","4.08","4.08","4.08","39040","2007","01","2","Monday"
"LBM","2007-01-09","4.28","4.28","4.28","4.28","79720","2007","01","2","Tuesday"
"LBM","2007-01-10","4.28","4.28","4.21","4.21","50820","2007","01","2","Wednesday"
"LBM","2007-01-11","4.21","4.21","4.21","4.21","3740","2007","01","2","Thursday"
"LBM","2007-01-12","4.03","4.03","4.01","4.01","5300","2007","01","2","Friday"
"LBM","2007-01-15","4.01","4.01","3.84","3.84","3310","2007","01","3","Monday"
"LBM","2007-01-16","3.66","3.66","3.66","3.66","18700","2007","01","3","Tuesday"
"LBM","2007-01-17","3.72","3.72","3.49","3.72","5400","2007","01","3","Wednesday"
"LBM","2007-01-18","3.72","3.72","3.69","3.71","6600","2007","01","3","Thursday"
"LBM","2007-01-19","3.54","3.71","3.54","3.71","14600","2007","01","3","Friday"
"LBM","2007-01-22","3.71","3.71","3.52","3.52","4100","2007","01","4","Monday"
"LBM","2007-01-23","3.52","3.52","3.35","3.35","10210","2007","01","4","Tuesday"
"LBM","2007-01-24","3.37","3.37","3.35","3.35","18100","2007","01","4","Wednesday"
"LBM","2007-01-25","3.5","3.5","3.5","3.5","4900","2007","01","4","Thursday"
"LBM","2007-01-26","3.5","3.67","3.5","3.67","20450","2007","01","4","Friday"
"LBM","2007-01-29","3.67","3.67","3.54","3.54","12710","2007","01","5","Monday"
"LBM","2007-01-30","3.54","3.54","3.54","3.54","3310","2007","01","5","Tuesday"
"LBM","2007-01-31","3.54","3.54","3.45","3.45","1540","2007","01","5","Wednesday"
"LBM","2007-02-01","3.45","3.5","3.45","3.45","1340","2007","02","5","Thursday"
"LBM","2007-02-02","3.45","3.45","3.45","3.45","940","2007","02","5","Friday"
"LBM","2007-02-05","3.54","3.62","3.32","3.62","10030","2007","02","6","Monday"
"LBM","2007-02-06","3.79","3.79","3.71","3.79","29430","2007","02","6","Tuesday"
"LBM","2007-02-07","3.88","3.96","3.88","3.96","22850","2007","02","6","Wednesday"
"LBM","2007-02-08","4.14","4.14","4.14","4.14","29810","2007","02","6","Thursday"
"LBM","2007-02-09","4.35","4.35","4.35","4.35","29840","2007","02","6","Friday"
"LBM","2007-02-12","4.55","4.55","4.55","4.55","33190","2007","02","7","Monday"
"LBM","2007-02-13","4.55","4.55","4.46","4.46","17260","2007","02","7","Tuesday"
"LBM","2007-02-14","4.46","4.46","4.25","4.36","10400","2007","02","7","Wednesday"
"LBM","2007-02-15","4.55","4.55","4.36","4.36","7020","2007","02","7","Thursday"
"LBM","2007-02-26","4.57","4.57","4.55","4.57","5570","2007","02","9","Monday"
"LBM","2007-02-27","4.79","4.79","4.55","4.55","21880","2007","02","9","Tuesday"
"LBM","2007-02-28","4.33","4.38","4.33","4.38","13930","2007","02","9","Wednesday"
"LBM","2007-03-01","4.38","4.38","4.3","4.33","8320","2007","03","9","Thursday"
"LBM","2007-03-02","4.33","4.33","4.3","4.3","15650","2007","03","9","Friday"
"LBM","2007-03-05","4.38","4.5","4.38","4.5","21660","2007","03","10","Monday"
"LBM","2007-03-06","4.72","4.72","4.72","4.72","79240","2007","03","10","Tuesday"
"LBM","2007-03-07","4.95","4.95","4.95","4.95","10610","2007","03","10","Wednesday"
"LBM","2007-03-08","5.05","5.19","5.05","5.19","6220","2007","03","10","Thursday"
"LBM","2007-03-09","5.44","5.44","5.44","5.44","7620","2007","03","10","Friday"
"LBM","2007-03-12","5.44","5.71","5.44","5.71","13540","2007","03","11","Monday"
"LBM","2007-03-13","5.73","5.98","5.73","5.98","51260","2007","03","11","Tuesday"
"LBM","2007-03-14","6.27","6.27","6.27","6.27","101730","2007","03","11","Wednesday"
"LBM","2007-03-15","5.96","5.96","5.96","5.96","24050","2007","03","11","Thursday"
"LBM","2007-03-16","5.68","5.73","5.68","5.73","50120","2007","03","11","Friday"
"LBM","2007-03-19","5.9","6.01","5.9","6.01","15590","2007","03","12","Monday"
"LBM","2007-03-20","6.3","6.3","6.3","6.3","49420","2007","03","12","Tuesday"
"LBM","2007-03-21","6.61","6.61","6.4","6.4","66230","2007","03","12","Wednesday"
"LBM","2007-03-22","6.24","6.24","6.08","6.08","17760","2007","03","12","Thursday"
"LBM","2007-03-23","5.81","5.81","5.78","5.78","14090","2007","03","12","Friday"
"LBM","2007-03-26","5.78","5.78","5.49","5.49","18110","2007","03","13","Monday"
"LBM","2007-03-27","5.39","5.39","5.22","5.22","1060","2007","03","13","Tuesday"
"LBM","2007-03-28","4.97","4.97","4.97","4.97","3400","2007","03","13","Wednesday"
"LBM","2007-03-29","4.97","5.21","4.97","5.21","3730","2007","03","13","Thursday"
"LBM","2007-03-30","5.39","5.46","5.39","5.46","31480","2007","03","13","Friday"
"LBM","2007-04-02","5.46","5.46","5.19","5.21","10210","2007","04","14","Monday"
"LBM","2007-04-03","5.05","5.05","5.05","5.05","8650","2007","04","14","Tuesday"
"LBM","2007-04-04","4.87","5.31","4.87","5.31","7590","2007","04","14","Wednesday"
"LBM","2007-04-05","5.05","5.05","5.05","5.05","9350","2007","04","14","Thursday"
"LBM","2007-04-06","4.89","5.05","4.89","5.05","5600","2007","04","14","Friday"
"LBM","2007-04-09","4.8","4.8","4.8","4.8","7760","2007","04","15","Monday"
"LBM","2007-04-10","4.63","4.63","4.57","4.57","6650","2007","04","15","Tuesday"
"LBM","2007-04-11","4.72","4.72","4.57","4.72","8260","2007","04","15","Wednesday"
"LBM","2007-04-12","4.72","4.72","4.72","4.72","1260","2007","04","15","Thursday"
"LBM","2007-04-13","4.72","4.72","4.72","4.72","890","2007","04","15","Friday"
"LBM","2007-04-16","4.72","4.72","4.48","4.48","4620","2007","04","16","Monday"
"LBM","2007-04-17","4.38","4.38","4.26","4.26","9570","2007","04","16","Tuesday"
"LBM","2007-04-18","4.26","4.46","4.26","4.42","3850","2007","04","16","Wednesday"
"LBM","2007-04-19","4.42","4.63","4.42","4.6","9520","2007","04","16","Thursday"
"LBM","2007-04-20","4.63","4.63","4.63","4.63","6090","2007","04","16","Friday"
"LBM","2007-04-23","4.63","4.63","4.63","4.63","4510","2007","04","17","Monday"
"LBM","2007-04-24","4.42","4.42","4.42","4.42","5860","2007","04","17","Tuesday"
"LBM","2007-04-25","4.42","4.63","4.42","4.63","11620","2007","04","17","Wednesday"
