symbol,date,open,high,low,close,volume,year,month,week,weekday
"LGL","2009-10-08","19.01","19.28","19.01","19.28","11030","2009","10","41","Thursday"
"LGL","2009-10-09","20.24","20.24","20.24","20.24","27020","2009","10","41","Friday"
"LGL","2009-10-12","21.2","21.2","21.2","21.2","36550","2009","10","42","Monday"
"LGL","2009-10-13","22.22","22.22","22.22","22.22","21130","2009","10","42","Tuesday"
"LGL","2009-10-14","23.29","23.29","23.29","23.29","35100","2009","10","42","Wednesday"
"LGL","2009-10-15","24.42","24.42","24.42","24.42","3090","2009","10","42","Thursday"
"LGL","2009-10-16","25.59","25.59","25.59","25.59","460","2009","10","42","Friday"
"LGL","2009-10-19","26.77","26.77","26.77","26.77","15160","2009","10","43","Monday"
"LGL","2009-10-20","28.11","28.11","28.11","28.11","29790","2009","10","43","Tuesday"
"LGL","2009-10-21","29.45","29.45","29.45","29.45","46910","2009","10","43","Wednesday"
"LGL","2009-10-22","30.79","30.79","30.79","30.79","50780","2009","10","43","Thursday"
"LGL","2009-10-23","32.13","32.13","30.79","31.59","510140","2009","10","43","Friday"
"LGL","2009-10-26","30.79","32.66","30.79","31.59","352540","2009","10","44","Monday"
"LGL","2009-10-27","30.52","31.32","30.25","30.25","180970","2009","10","44","Tuesday"
"LGL","2009-10-28","28.91","28.91","28.91","28.91","130310","2009","10","44","Wednesday"
"LGL","2009-10-29","27.58","27.58","27.58","27.58","25650","2009","10","44","Thursday"
"LGL","2009-10-30","27.58","28.91","26.24","28.91","626330","2009","10","44","Friday"
"LGL","2009-11-02","28.91","29.18","27.58","28.91","208100","2009","11","45","Monday"
"LGL","2009-11-03","28.38","28.91","27.58","27.58","110470","2009","11","45","Tuesday"
"LGL","2009-11-04","26.24","27.31","26.24","26.24","183260","2009","11","45","Wednesday"
"LGL","2009-11-05","25.27","26.67","24.95","25.81","244680","2009","11","45","Thursday"
"LGL","2009-11-06","27.04","27.04","26.77","27.04","346780","2009","11","45","Friday"
"LGL","2009-11-09","26.24","27.04","25.7","25.97","140630","2009","11","46","Monday"
"LGL","2009-11-10","26.4","26.4","24.68","24.68","100670","2009","11","46","Tuesday"
"LGL","2009-11-11","24.68","25.43","24.63","25.17","85700","2009","11","46","Wednesday"
"LGL","2009-11-12","25.17","26.08","25.17","25.17","110670","2009","11","46","Thursday"
"LGL","2009-11-13","25.17","26.4","24.9","26.4","205200","2009","11","46","Friday"
"LGL","2009-11-16","27.58","27.58","27.31","27.58","319240","2009","11","47","Monday"
"LGL","2009-11-17","27.84","27.84","26.29","26.29","159120","2009","11","47","Tuesday"
"LGL","2009-11-18","26.29","26.29","25.43","26.24","117600","2009","11","47","Wednesday"
"LGL","2009-11-19","26.5","27.31","26.24","27.31","428310","2009","11","47","Thursday"
"LGL","2009-11-20","27.04","27.84","26.24","26.24","164720","2009","11","47","Friday"
"LGL","2009-11-23","26.72","26.72","25.11","25.17","76060","2009","11","48","Monday"
"LGL","2009-11-24","25.97","25.97","23.99","23.99","127190","2009","11","48","Tuesday"
"LGL","2009-11-25","22.81","24.1","22.81","22.81","121240","2009","11","48","Wednesday"
"LGL","2009-11-26","21.69","21.69","21.69","21.69","8050","2009","11","48","Thursday"
"LGL","2009-11-27","20.61","22.49","20.61","20.61","195300","2009","11","48","Friday"
"LGL","2009-11-30","19.6","20.99","19.6","19.6","105670","2009","11","49","Monday"
"LGL","2009-12-01","20.35","20.56","20.35","20.35","169980","2009","12","49","Tuesday"
"LGL","2009-12-02","19.54","20.35","19.33","19.33","91100","2009","12","49","Wednesday"
"LGL","2009-12-03","18.8","20.13","18.47","18.8","31870","2009","12","49","Thursday"
"LGL","2009-12-04","19.38","19.38","18.69","18.85","31420","2009","12","49","Friday"
"LGL","2009-12-07","18.74","18.85","18.74","18.85","45300","2009","12","50","Monday"
"LGL","2009-12-08","18.85","18.85","17.94","17.94","56280","2009","12","50","Tuesday"
"LGL","2009-12-09","17.08","17.08","17.08","17.08","21920","2009","12","50","Wednesday"
"LGL","2009-12-10","16.6","16.6","16.28","16.28","24370","2009","12","50","Thursday"
"LGL","2009-12-11","15.47","15.47","15.47","15.47","6960","2009","12","50","Friday"
"LGL","2009-12-14","14.72","15.47","14.72","14.72","92740","2009","12","51","Monday"
"LGL","2009-12-15","14.19","14.46","14.03","14.19","112180","2009","12","51","Tuesday"
"LGL","2009-12-16","13.65","13.65","13.49","13.49","92980","2009","12","51","Wednesday"
"LGL","2009-12-17","12.9","13.49","12.85","13.49","111800","2009","12","51","Thursday"
"LGL","2009-12-18","14.08","14.14","14.08","14.14","70460","2009","12","51","Friday"
"LGL","2009-12-21","14.83","14.83","14.72","14.83","101790","2009","12","52","Monday"
"LGL","2009-12-22","15.21","15.53","14.83","14.89","83660","2009","12","52","Tuesday"
"LGL","2009-12-23","14.72","15.53","14.72","15.53","111530","2009","12","52","Wednesday"
"LGL","2009-12-24","15.69","16.28","15.53","16.28","104220","2009","12","52","Thursday"
"LGL","2009-12-25","17.08","17.08","17.08","17.08","31180","2009","12","52","Friday"
"LGL","2009-12-28","17.67","17.88","16.6","17.88","130060","2009","12","53","Monday"
"LGL","2009-12-29","17.83","18.58","17.62","17.88","107440","2009","12","53","Tuesday"
"LGL","2009-12-30","17.94","18.74","17.83","18.47","152680","2009","12","53","Wednesday"
"LGL","2009-12-31","19.28","19.38","19.01","19.28","103640","2009","12","53","Thursday"
"LGL","2010-01-04","20.13","20.24","20.03","20.24","51620","2010","01","2","Monday"
"LGL","2010-01-05","21.2","21.2","21.2","21.2","58230","2010","01","2","Tuesday"
"LGL","2010-01-06","20.67","22.22","20.67","22.22","219800","2010","01","2","Wednesday"
"LGL","2010-01-07","22.86","23.29","22.22","23.29","208940","2010","01","2","Thursday"
"LGL","2010-01-08","23.56","23.56","22.17","22.17","84400","2010","01","2","Friday"
"LGL","2010-01-11","21.15","21.42","21.1","21.1","48730","2010","01","3","Monday"
"LGL","2010-01-12","20.08","20.08","20.08","20.08","49520","2010","01","3","Tuesday"
"LGL","2010-01-13","19.12","19.12","19.12","19.12","149120","2010","01","3","Wednesday"
"LGL","2010-01-14","19.81","20.03","19.12","20.03","148600","2010","01","3","Thursday"
"LGL","2010-01-15","19.38","20.35","19.12","19.12","55220","2010","01","3","Friday"
"LGL","2010-01-18","19.12","19.12","18.21","18.21","90030","2010","01","4","Monday"
"LGL","2010-01-19","17.72","18.74","17.72","18.63","185660","2010","01","4","Tuesday"
"LGL","2010-01-20","19.54","19.54","19.01","19.54","213810","2010","01","4","Wednesday"
"LGL","2010-01-21","19.7","20.08","18.74","19.28","97370","2010","01","4","Thursday"
"LGL","2010-01-22","18.58","19.54","18.58","19.17","102480","2010","01","4","Friday"
"LGL","2010-01-25","18.58","19.28","18.31","18.47","71770","2010","01","5","Monday"
"LGL","2010-01-26","19.28","19.38","19.01","19.38","151740","2010","01","5","Tuesday"
