symbol,date,open,high,low,close,volume,year,month,week,weekday
"LGM","2019-12-19","10.3","10.3","10.3","10.3","100","2019","12","51","Thursday"
"LGM","2019-12-20","11.8","11.8","11.8","11.8","100","2019","12","51","Friday"
"LGM","2019-12-23","13.5","13.5","13.5","13.5","600","2019","12","52","Monday"
"LGM","2019-12-24","15.5","15.5","15.5","15.5","200","2019","12","52","Tuesday"
"LGM","2019-12-25","17.8","17.8","17.8","17.8","800","2019","12","52","Wednesday"
"LGM","2019-12-26","20.4","20.4","20","20","1100","2019","12","52","Thursday"
"LGM","2019-12-27","20","20","20","20","300","2019","12","52","Friday"
"LGM","2020-01-02","17","17","17","17","100","2020","01","1","Thursday"
"LGM","2020-01-07","14.5","14.5","14.5","14.5","200","2020","01","2","Tuesday"
"LGM","2020-01-08","13","13","13","13","17500","2020","01","2","Wednesday"
"LGM","2020-01-22","14.8","14.8","14.8","14.8","100","2020","01","4","Wednesday"
"LGM","2020-01-30","17","17","16.9","16.9","800","2020","01","5","Thursday"
"LGM","2020-02-04","18.9","18.9","18.9","18.9","100","2020","02","6","Tuesday"
"LGM","2020-03-05","16.1","16.1","16.1","16.1","700","2020","03","10","Thursday"
"LGM","2020-04-13","13.7","13.7","13.7","13.7","100","2020","04","16","Monday"
"LGM","2020-04-16","14.9","14.9","14.9","14.9","100","2020","04","16","Thursday"
"LGM","2020-04-23","13","13","13","13","200","2020","04","17","Thursday"
"LGM","2020-05-13","14.7","14.7","13.9","14","700","2020","05","20","Wednesday"
"LGM","2020-06-11","14","14","14","14","100","2020","06","24","Thursday"
"LGM","2020-08-03","12","12","12","12","500","2020","08","32","Monday"
"LGM","2020-08-14","11.9","12","11.9","12","16300","2020","08","33","Friday"
"LGM","2020-12-18","12.5","13.8","12.5","13.8","2600","2020","12","51","Friday"
"LGM","2021-01-11","12","12","12","12","500","2021","01","3","Monday"
"LGM","2021-01-14","11.9","11.9","11.9","11.9","500","2021","01","3","Thursday"
"LGM","2021-01-15","10.3","10.3","10.2","10.2","3200","2021","01","3","Friday"
"LGM","2021-01-18","10","10","10","10","200","2021","01","4","Monday"
"LGM","2021-01-19","9.8","9.8","8.6","8.6","900","2021","01","4","Tuesday"
"LGM","2021-03-01","9.4","9.4","9.4","9.4","100","2021","03","10","Monday"
"LGM","2021-03-17","8","9.5","8","9.5","1300","2021","03","12","Wednesday"
"LGM","2021-03-18","9.3","9.3","7.7","7.7","1600","2021","03","12","Thursday"
"LGM","2021-03-23","7","7","7","7","200","2021","03","13","Tuesday"
"LGM","2021-04-15","7.9","7.9","7.9","7.9","700","2021","04","16","Thursday"
"LGM","2021-04-26","8.3","8.3","8.3","8.3","200","2021","04","18","Monday"
"LGM","2021-06-09","8.3","8.3","8.3","8.3","700","2021","06","24","Wednesday"
"LGM","2021-06-18","9.5","9.5","9.5","9.5","300","2021","06","25","Friday"
"LGM","2021-06-28","9.5","9.5","9.5","9.5","400","2021","06","27","Monday"
"LGM","2021-10-22","9.5","9.5","9.5","9.5","400","2021","10","43","Friday"
"LGM","2021-11-19","9.5","9.5","9.5","9.5","100","2021","11","47","Friday"
"LGM","2021-12-24","8.1","8.1","8.1","8.1","1700","2021","12","52","Friday"
"LGM","2021-12-31","7","7","7","7","200","2021","12","53","Friday"
"LGM","2022-01-07","8","8","8","8","200","2022","01","1","Friday"
"LGM","2022-01-18","9","9","9","9","12400","2022","01","3","Tuesday"
"LGM","2022-01-27","8","8","8","8","100","2022","01","4","Thursday"
"LGM","2022-01-28","7.5","7.5","7","7","800","2022","01","4","Friday"
"LGM","2022-02-10","8","8","8","8","700","2022","02","6","Thursday"
"LGM","2022-02-11","6.8","6.8","6.8","6.8","2000","2022","02","6","Friday"
"LGM","2022-02-16","6.1","6.1","5.8","5.8","1000","2022","02","7","Wednesday"
"LGM","2022-02-22","6.3","6.3","6.3","6.3","100","2022","02","8","Tuesday"
"LGM","2022-02-23","7.2","7.2","7.2","7.2","100","2022","02","8","Wednesday"
"LGM","2022-02-24","7.4","7.4","7.4","7.4","100","2022","02","8","Thursday"
"LGM","2022-03-01","6.5","6.5","6.5","6.5","100","2022","03","9","Tuesday"
"LGM","2022-03-03","6.5","7.4","6.5","7.4","700","2022","03","9","Thursday"
"LGM","2022-03-04","7.5","7.5","7.5","7.5","100","2022","03","9","Friday"
"LGM","2022-03-07","8.6","8.6","8.6","8.6","1500","2022","03","10","Monday"
"LGM","2022-03-08","9.8","9.8","9.8","9.8","100","2022","03","10","Tuesday"
"LGM","2022-03-09","11.2","11.2","11","11.2","1200","2022","03","10","Wednesday"
"LGM","2022-03-10","12.7","12.7","12.6","12.7","20800","2022","03","10","Thursday"
"LGM","2022-03-11","14.4","14.6","14.4","14.6","2100","2022","03","10","Friday"
"LGM","2022-03-14","16.6","16.7","16.6","16.7","2500","2022","03","11","Monday"
"LGM","2022-03-15","16.8","19.2","16.7","19.2","20200","2022","03","11","Tuesday"
"LGM","2022-03-16","21.5","21.6","21.5","21.6","7818","2022","03","11","Wednesday"
"LGM","2022-03-17","24.8","24.8","24.8","24.8","11200","2022","03","11","Thursday"
"LGM","2022-03-18","28.5","28.5","24.2","27.7","15000","2022","03","11","Friday"
"LGM","2022-03-21","24.1","24.1","24.1","24.1","4907","2022","03","12","Monday"
"LGM","2022-03-22","20.5","20.5","20.5","20.5","1418","2022","03","12","Tuesday"
"LGM","2022-03-23","17.5","17.5","17.5","17.5","5519","2022","03","12","Wednesday"
"LGM","2022-03-24","14.9","14.9","14.9","14.9","9174","2022","03","12","Thursday"
"LGM","2022-03-25","12.7","17.1","12.7","17.1","17400","2022","03","12","Friday"
"LGM","2022-03-28","16.7","16.7","16.7","16.7","8900","2022","03","13","Monday"
"LGM","2022-03-29","19.2","19.2","14.2","18","6400","2022","03","13","Tuesday"
"LGM","2022-03-30","16.4","17","15.1","16.5","11200","2022","03","13","Wednesday"
"LGM","2022-03-31","14.3","18.6","14.3","16.7","4200","2022","03","13","Thursday"
"LGM","2022-04-01","15","16.8","15","16.8","12200","2022","04","13","Friday"
"LGM","2022-04-04","15.2","16.6","13.8","16.6","2500","2022","04","14","Monday"
"LGM","2022-04-05","14.7","14.7","14.1","14.1","6600","2022","04","14","Tuesday"
"LGM","2022-04-06","15.9","15.9","13.4","13.4","2600","2022","04","14","Wednesday"
"LGM","2022-04-07","14","14","12.5","12.6","500","2022","04","14","Thursday"
"LGM","2022-04-08","12.9","12.9","12.9","12.9","700","2022","04","14","Friday"
"LGM","2022-04-13","12.3","12.3","11","11","200","2022","04","15","Wednesday"
"LGM","2022-04-15","11","12","10","12","2200","2022","04","15","Friday"
"LGM","2022-04-19","9.3","9.5","9.3","9.5","1700","2022","04","16","Tuesday"
"LGM","2022-04-21","8.1","8.1","8.1","8.1","4400","2022","04","16","Thursday"
"LGM","2022-04-22","9.3","9.3","9.3","9.3","2000","2022","04","16","Friday"
"LGM","2022-04-26","9.2","9.2","9.2","9.2","100","2022","04","17","Tuesday"
"LGM","2022-04-27","9.2","10.5","9.1","10.5","500","2022","04","17","Wednesday"
"LGM","2022-04-28","9.3","9.4","9.3","9.4","1900","2022","04","17","Thursday"
"LGM","2022-04-29","8","10.8","8","8.2","1600","2022","04","17","Friday"
"LGM","2022-05-04","10.1","10.1","10","10.1","3700","2022","05","18","Wednesday"
"LGM","2022-05-05","9.9","9.9","8.6","8.6","900","2022","05","18","Thursday"
"LGM","2022-05-09","8.2","8.2","8","8","3000","2022","05","19","Monday"
"LGM","2022-05-11","8.1","9.3","8.1","9.3","1500","2022","05","19","Wednesday"
"LGM","2022-05-18","9.2","9.2","9.2","9.2","700","2022","05","20","Wednesday"
"LGM","2022-05-19","8","8","8","8","1000","2022","05","20","Thursday"
"LGM","2022-05-20","8","8","8","8","700","2022","05","20","Friday"
"LGM","2022-05-25","8.2","9","8.2","9","700","2022","05","21","Wednesday"
"LGM","2022-05-26","10","10","8","8.1","3105","2022","05","21","Thursday"
"LGM","2022-05-30","7.1","9.5","7.1","9.5","3300","2022","05","22","Monday"
"LGM","2022-05-31","9.1","9.1","9.1","9.1","300","2022","05","22","Tuesday"
"LGM","2022-06-01","8","8","8","8","302","2022","06","22","Wednesday"
"LGM","2022-06-02","8","8","8","8","63","2022","06","22","Thursday"
"LGM","2022-06-07","7","9.2","7","9.1","700","2022","06","23","Tuesday"
"LGM","2022-06-08","8","8","8","8","308","2022","06","23","Wednesday"
"LGM","2022-06-10","7","7","7","7","100","2022","06","23","Friday"
"LGM","2022-06-15","8","8","8","8","200","2022","06","24","Wednesday"
"LGM","2022-06-17","9.2","9.2","9.1","9.2","5800","2022","06","24","Friday"
"LGM","2022-06-20","10.5","10.5","10.5","10.5","16200","2022","06","25","Monday"
"LGM","2022-06-22","9","11","9","11","5100","2022","06","25","Wednesday"
"LGM","2022-06-23","10.8","10.8","10.2","10.2","500","2022","06","25","Thursday"
"LGM","2022-06-24","11","12","11","12","1900","2022","06","25","Friday"
"LGM","2022-06-28","11.7","11.7","11.7","11.7","100","2022","06","26","Tuesday"
"LGM","2022-06-29","10.5","10.5","10.5","10.5","1000","2022","06","26","Wednesday"
"LGM","2022-06-30","10.5","10.5","10.5","10.5","200","2022","06","26","Thursday"
"LGM","2022-07-04","10.8","10.8","10.8","10.8","1000","2022","07","27","Monday"
"LGM","2022-07-05","9.2","9.2","9.2","9.2","503","2022","07","27","Tuesday"
"LGM","2022-07-07","9.2","10.5","9.2","10.5","1300","2022","07","27","Thursday"
"LGM","2022-07-08","10.4","11.9","10.4","11.9","1000","2022","07","27","Friday"
"LGM","2022-07-11","12.5","13","12.5","13","103600","2022","07","28","Monday"
"LGM","2022-07-12","13.8","14.3","13.8","14.3","4700","2022","07","28","Tuesday"
"LGM","2022-07-13","15","16.2","15","16.2","58200","2022","07","28","Wednesday"
"LGM","2022-07-14","16.2","16.2","16.2","16.2","38600","2022","07","28","Thursday"
"LGM","2022-07-15","16.2","16.2","16.2","16.2","5100","2022","07","28","Friday"
"LGM","2022-07-18","13.9","14","13.9","13.9","101700","2022","07","29","Monday"
"LGM","2022-07-19","13.9","14","13.9","13.9","16100","2022","07","29","Tuesday"
"LGM","2022-07-20","13","13","13","13","110","2022","07","29","Wednesday"
"LGM","2022-07-21","13","13","13","13","60000","2022","07","29","Thursday"
"LGM","2022-07-22","12","12","12","12","46000","2022","07","29","Friday"
"LGM","2022-07-25","12","12","12","12","37300","2022","07","30","Monday"
"LGM","2022-07-26","12","12","12","12","3200","2022","07","30","Tuesday"
"LGM","2022-07-27","12","12","12","12","900","2022","07","30","Wednesday"
"LGM","2022-07-28","12","12","12","12","103900","2022","07","30","Thursday"
"LGM","2022-07-29","12","12","12","12","109200","2022","07","30","Friday"
"LGM","2022-08-02","12","12","12","12","4104","2022","08","31","Tuesday"
"LGM","2022-08-03","10.2","11.8","10.2","10.3","47106","2022","08","31","Wednesday"
"LGM","2022-08-04","8.8","11.8","8.8","11.8","9700","2022","08","31","Thursday"
"LGM","2022-08-05","8.8","11.8","8.8","11.8","1300","2022","08","31","Friday"
"LGM","2022-08-08","8.9","8.9","8.9","8.9","43100","2022","08","32","Monday"
"LGM","2022-08-09","10.2","10.2","10.2","10.2","32200","2022","08","32","Tuesday"
"LGM","2022-08-10","10.2","10.2","10.2","10.2","2000","2022","08","32","Wednesday"
"LGM","2022-08-11","10.2","10.2","10.2","10.2","224900","2022","08","32","Thursday"
"LGM","2022-08-12","10.2","10.2","10.2","10.2","154900","2022","08","32","Friday"
"LGM","2022-08-15","9","9","9","9","5921","2022","08","33","Monday"
"LGM","2022-08-17","10.3","10.3","10.3","10.3","4200","2022","08","33","Wednesday"
"LGM","2022-08-18","10.3","11.8","10.3","11.8","6300","2022","08","33","Thursday"
"LGM","2022-08-19","10.3","11.8","10.3","11.8","77200","2022","08","33","Friday"
"LGM","2022-08-30","13.3","13.3","13.3","13.3","100","2022","08","35","Tuesday"
"LGM","2022-08-31","11.4","15.2","11.4","11.4","700","2022","08","35","Wednesday"
"LGM","2022-09-05","10.3","10.3","10.3","10.3","100","2022","09","36","Monday"
"LGM","2022-09-06","10","11.8","10","11.8","67200","2022","09","36","Tuesday"
"LGM","2022-09-07","12.9","12.9","12.9","12.9","200","2022","09","36","Wednesday"
"LGM","2022-09-08","14.8","14.8","14.8","14.8","300","2022","09","36","Thursday"
"LGM","2022-09-09","17","17","12.6","12.6","7400","2022","09","36","Friday"
"LGM","2022-09-13","16.1","16.1","16.1","16.1","1600","2022","09","37","Tuesday"
"LGM","2022-09-14","18.5","18.5","18.5","18.5","10500","2022","09","37","Wednesday"
"LGM","2022-09-15","18.5","18.5","18.5","18.5","1300","2022","09","37","Thursday"
"LGM","2022-09-16","18.5","18.5","15.8","15.8","3900","2022","09","37","Friday"
"LGM","2022-09-19","18.4","18.4","18.4","18.4","2600","2022","09","38","Monday"
"LGM","2022-09-20","18","18","18","18","1000","2022","09","38","Tuesday"
"LGM","2022-09-23","15.4","15.4","15.4","15.4","1800","2022","09","38","Friday"
"LGM","2022-09-26","15.4","15.4","13.3","13.3","4000","2022","09","39","Monday"
"LGM","2022-09-27","13.8","13.8","12.1","12.1","2100","2022","09","39","Tuesday"
"LGM","2022-09-28","10.5","10.5","10.5","10.5","100","2022","09","39","Wednesday"
"LGM","2022-09-30","9.1","9.1","9","9","1800","2022","09","39","Friday"
"LGM","2022-10-03","9.1","9.1","9.1","9.1","100","2022","10","40","Monday"
"LGM","2022-10-04","8","9.1","8","8.6","8100","2022","10","40","Tuesday"
"LGM","2022-10-05","9.5","9.5","9.5","9.5","2000","2022","10","40","Wednesday"
"LGM","2022-10-06","10.9","10.9","8.6","8.6","5100","2022","10","40","Thursday"
"LGM","2022-10-13","8","8","8","8","1800","2022","10","41","Thursday"
"LGM","2022-10-17","8","8","8","8","100","2022","10","42","Monday"
"LGM","2022-10-20","9.2","9.2","9.2","9.2","100","2022","10","42","Thursday"
"LGM","2022-10-21","7.9","7.9","7.9","7.9","500","2022","10","42","Friday"
"LGM","2022-10-26","7","7","7","7","100","2022","10","43","Wednesday"
"LGM","2022-10-27","6","6","6","6","100","2022","10","43","Thursday"
"LGM","2022-10-28","5.7","5.7","5.7","5.7","100","2022","10","43","Friday"
"LGM","2022-11-07","6.5","6.5","6.5","6.5","100","2022","11","45","Monday"
"LGM","2022-11-14","6.5","6.5","5.9","5.9","1500","2022","11","46","Monday"
"LGM","2022-11-15","7.2","7.2","5.6","5.6","600","2022","11","46","Tuesday"
"LGM","2022-11-16","5.6","5.6","5.6","5.6","1800","2022","11","46","Wednesday"
"LGM","2022-11-22","6.4","6.4","6.4","6.4","100","2022","11","47","Tuesday"
"LGM","2022-11-23","5.6","5.7","5.6","5.6","4000","2022","11","47","Wednesday"
"LGM","2022-11-24","6.4","6.4","6.4","6.4","100","2022","11","47","Thursday"
"LGM","2022-11-25","7.3","7.3","5.6","5.6","600","2022","11","47","Friday"
"LGM","2022-11-28","6.7","6.7","6.7","6.7","2500","2022","11","48","Monday"
"LGM","2022-11-29","5.8","5.8","5.8","5.8","1000","2022","11","48","Tuesday"
"LGM","2022-12-01","5.4","6.6","5.3","6.6","2500","2022","12","48","Thursday"
