symbol,date,open,high,low,close,volume
"LIX","2009-12-10","6.65","7.23","6.65","7.05","44150"
"LIX","2009-12-11","7.23","7.23","6.77","6.88","49210"
"LIX","2009-12-14","7.23","7.23","6.65","7.11","16910"
"LIX","2009-12-15","7.11","7.11","6.77","7.11","13870"
"LIX","2009-12-16","6.77","6.88","6.77","6.77","4010"
"LIX","2009-12-17","6.48","6.48","6.48","6.48","4000"
"LIX","2009-12-18","6.19","6.48","6.19","6.48","67190"
"LIX","2009-12-21","6.48","6.71","6.19","6.65","24900"
"LIX","2009-12-22","6.54","6.65","6.42","6.59","29960"
"LIX","2009-12-23","6.59","6.65","6.42","6.65","10550"
"LIX","2009-12-24","6.65","6.65","6.42","6.42","35710"
"LIX","2009-12-25","6.54","6.65","6.31","6.65","28710"
"LIX","2009-12-28","6.83","6.83","6.65","6.65","30120"
"LIX","2009-12-29","6.77","6.77","6.54","6.54","11600"
"LIX","2009-12-30","6.65","6.83","6.65","6.83","48250"
"LIX","2009-12-31","7.11","7.11","7.05","7.11","109870"
"LIX","2010-01-04","7.46","7.46","7.46","7.46","24610"
"LIX","2010-01-05","7.8","7.8","7.8","7.8","29130"
"LIX","2010-01-06","8.03","8.14","8.03","8.14","130030"
"LIX","2010-01-07","8.37","8.37","7.8","8.14","19130"
"LIX","2010-01-08","8.03","8.09","7.86","7.86","37030"
"LIX","2010-01-11","7.74","7.8","7.57","7.57","41770"
"LIX","2010-01-12","7.57","7.74","7.34","7.34","31700"
"LIX","2010-01-13","7.23","7.57","7.11","7.23","66030"
"LIX","2010-01-14","7.57","7.57","7.46","7.57","31770"
"LIX","2010-01-15","7.68","7.68","7.51","7.63","9850"
"LIX","2010-01-18","7.46","7.46","7.28","7.28","19470"
"LIX","2010-01-19","7.28","7.4","7.23","7.34","13860"
"LIX","2010-01-20","7.23","7.46","7.23","7.23","33840"
"LIX","2010-01-21","6.88","7.23","6.88","6.88","30880"
"LIX","2010-01-22","6.71","6.94","6.65","6.94","8120"
"LIX","2010-01-25","7.05","7.05","6.88","6.94","3820"
"LIX","2010-01-26","7.28","7.28","7.28","7.28","18080"
"LIX","2010-01-27","7.4","7.4","7.28","7.34","21250"
"LIX","2010-01-28","7.46","7.46","7.05","7.17","1400"
"LIX","2010-01-29","7.17","7.28","6.94","7.23","11720"
"LIX","2010-02-01","7.46","7.46","7.23","7.23","2050"
"LIX","2010-02-02","7.23","7.23","7.17","7.17","8960"
"LIX","2010-02-03","7.17","7.23","7.11","7.23","5950"
"LIX","2010-02-04","7.05","7.28","7.05","7.23","13260"
"LIX","2010-02-05","7.23","7.23","7.23","7.23","660"
"LIX","2010-02-08","7.23","7.23","7.05","7.05","2870"
"LIX","2010-02-09","7","7.11","6.94","6.94","8440"
"LIX","2010-02-10","7.11","7.17","7","7.17","2830"
"LIX","2010-02-11","7.11","7.23","7.05","7.17","10480"
"LIX","2010-02-12","7.34","7.34","7.17","7.28","4640"
"LIX","2010-02-22","7.34","7.34","7.23","7.34","1450"
"LIX","2010-02-23","7.23","7.23","7","7","17580"
"LIX","2010-02-24","6.88","6.88","6.83","6.83","26540"
"LIX","2010-02-25","7.11","7.11","7","7","1600"
"LIX","2010-02-26","7.05","7.05","7.05","7.05","1990"
"LIX","2010-03-01","7.11","7.11","7.05","7.11","3820"
"LIX","2010-03-02","7.11","7.11","7.05","7.05","5090"
"LIX","2010-03-03","7.11","7.11","7.05","7.11","4280"
"LIX","2010-03-04","7.11","7.23","7.11","7.17","10440"
"LIX","2010-03-05","7.11","7.23","7.11","7.17","17570"
"LIX","2010-03-08","7.17","7.34","7.17","7.17","5520"
"LIX","2010-03-09","7.17","7.34","7.17","7.34","11380"
"LIX","2010-03-10","7.34","7.4","7.17","7.4","27370"
"LIX","2010-03-11","7.57","7.74","7.51","7.74","109830"
"LIX","2010-03-12","8.03","8.09","7.86","8.03","58950"
"LIX","2010-03-15","8.03","8.26","7.8","8.14","41570"
"LIX","2010-03-16","7.8","7.91","7.74","7.74","30030"
"LIX","2010-03-17","7.68","7.91","7.4","7.68","50370"
"LIX","2010-03-18","7.68","7.68","7.34","7.68","15540"
"LIX","2010-03-19","7.4","7.68","7.34","7.4","12970"
"LIX","2010-03-22","7.4","7.4","7.23","7.28","9420"
"LIX","2010-03-23","7","7.23","6.94","7","34560"
"LIX","2010-03-24","7.11","7.28","7.05","7.28","66410"
"LIX","2010-03-25","7.28","7.28","7.05","7.28","3510"
"LIX","2010-03-26","7.28","7.28","7.17","7.28","10560"
"LIX","2010-03-29","7.23","7.51","7.23","7.23","2840"
"LIX","2010-03-30","7.23","7.23","7","7","23240"
"LIX","2010-03-31","7.11","7.11","6.83","7.11","11020"
"LIX","2010-04-01","7.17","7.34","6.88","7.23","22220"
"LIX","2010-04-02","7.23","7.28","7.23","7.23","50600"
"LIX","2010-04-05","7.28","7.46","7.28","7.46","31390"
"LIX","2010-04-06","7.46","7.46","7.34","7.34","22100"
"LIX","2010-04-07","7.23","7.4","7.23","7.4","16990"
"LIX","2010-04-08","7.4","7.4","7.28","7.4","54490"
"LIX","2010-04-09","7.4","7.74","7.4","7.57","53360"
"LIX","2010-04-12","7.68","7.91","7.63","7.91","176410"
"LIX","2010-04-13","8.09","8.26","7.91","8.26","320080"
"LIX","2010-04-14","8.54","8.66","8.26","8.66","309030"
"LIX","2010-04-15","8.78","8.78","8.54","8.66","90940"
"LIX","2010-04-16","8.54","8.72","8.37","8.49","122900"
"LIX","2010-04-19","8.43","8.54","8.26","8.49","106890"
"LIX","2010-04-20","8.49","8.89","8.49","8.89","157410"
"LIX","2010-04-21","9.18","9.18","8.89","8.95","42260"
"LIX","2010-04-22","8.95","9.06","8.83","8.95","72830"
"LIX","2010-04-26","8.78","8.95","8.78","8.78","59670"
"LIX","2010-04-27","8.78","8.78","8.6","8.78","37200"
"LIX","2010-04-28","8.54","8.72","8.54","8.72","45470"
"LIX","2010-04-29","8.9","9.14","8.78","8.9","42860"
"LIX","2010-05-04","8.78","8.96","8.78","8.9","41200"
"LIX","2010-05-05","8.72","8.9","8.72","8.9","11240"
"LIX","2010-05-06","8.84","8.84","8.78","8.78","14010"
"LIX","2010-05-07","8.78","8.78","8.6","8.78","39250"
"LIX","2010-05-10","8.48","8.96","8.48","8.96","50610"
"LIX","2010-05-11","9.14","9.37","8.96","9.37","169020"
"LIX","2010-05-12","9.37","9.37","9.02","9.08","14440"
"LIX","2010-05-13","9.08","9.2","9.08","9.14","23420"
"LIX","2010-05-14","9.14","9.2","9.14","9.14","41940"
"LIX","2010-05-17","9.31","9.31","8.96","8.96","33970"
"LIX","2010-05-18","8.72","9.14","8.72","9.14","1870"
"LIX","2010-05-19","8.84","8.96","8.78","8.84","26950"
"LIX","2010-05-20","8.78","8.9","8.72","8.9","31500"
"LIX","2010-05-21","8.54","8.78","8.48","8.48","154300"
"LIX","2010-05-24","8.48","8.6","8.48","8.6","16000"
"LIX","2010-05-25","8.72","8.72","8.36","8.36","11010"
"LIX","2010-05-26","8.6","8.78","8.6","8.78","3800"
"LIX","2010-05-27","8.6","8.84","8.42","8.84","20010"
"LIX","2010-05-28","8.96","8.96","8.84","8.84","700"
"LIX","2010-05-31","8.84","8.84","8.84","8.84","100"
"LIX","2010-06-01","8.84","8.84","8.72","8.84","3960"
"LIX","2010-06-02","8.72","8.96","8.72","8.96","4720"
"LIX","2010-06-03","9.08","9.08","8.84","8.84","7100"
"LIX","2010-06-04","8.84","8.84","8.84","8.84","16200"
"LIX","2010-06-07","8.6","8.78","8.48","8.78","5910"
"LIX","2010-06-08","8.48","8.78","8.48","8.78","4200"
"LIX","2010-06-09","8.72","8.72","8.72","8.72","1000"
"LIX","2010-06-10","8.72","8.72","8.72","8.72","7860"
"LIX","2010-06-11","8.84","8.84","8.84","8.78","600"
"LIX","2010-06-14","8.96","8.96","8.66","8.78","4080"
"LIX","2010-06-15","8.72","8.72","8.72","8.72","5580"
"LIX","2010-06-16","8.84","8.84","8.84","8.84","50"
"LIX","2010-06-17","8.78","8.96","8.78","8.84","5940"
"LIX","2010-06-18","8.84","8.96","8.84","8.84","18630"
"LIX","2010-06-21","8.84","8.84","8.78","8.84","13720"
"LIX","2010-06-22","8.78","8.9","8.78","8.9","50940"
"LIX","2010-06-23","8.84","8.84","8.78","8.84","22010"
"LIX","2010-06-24","8.84","8.84","8.78","8.84","44020"
"LIX","2010-06-25","8.84","8.84","8.78","8.84","33650"
"LIX","2010-06-28","8.84","8.84","8.84","8.84","300"
"LIX","2010-06-29","8.66","8.84","8.66","8.72","1560"
"LIX","2010-06-30","8.72","8.84","8.6","8.84","10500"
"LIX","2010-07-01","8.72","8.84","8.66","8.66","13420"
"LIX","2010-07-02","8.72","8.72","8.72","8.72","1950"
"LIX","2010-07-05","8.84","8.84","8.84","8.84","10"
"LIX","2010-07-06","8.66","8.84","8.66","8.84","2020"
"LIX","2010-07-07","8.84","8.84","8.72","8.72","1110"
"LIX","2010-07-08","8.84","8.84","8.84","8.84","15750"
"LIX","2010-07-09","8.84","8.9","8.84","8.9","4460"
"LIX","2010-07-13","8.96","8.96","8.84","8.84","3010"
"LIX","2010-07-15","8.96","8.96","8.84","8.84","21110"
"LIX","2010-07-16","8.84","8.84","8.84","8.84","8050"
"LIX","2010-07-19","8.78","8.78","8.78","8.78","500"
"LIX","2010-07-20","8.72","8.72","8.66","8.66","11970"
"LIX","2010-07-21","8.6","8.6","8.6","8.6","1500"
"LIX","2010-07-22","8.54","8.54","8.54","8.54","10170"
"LIX","2010-07-23","8.54","8.6","8.54","8.6","1000"
"LIX","2010-07-26","8.6","8.6","8.54","8.54","6200"
"LIX","2010-07-27","8.54","8.54","8.54","8.54","4300"
"LIX","2010-07-28","8.6","8.6","8.6","8.6","300"
"LIX","2010-07-29","8.6","8.6","8.6","8.6","16080"
"LIX","2010-07-30","8.48","8.6","8.24","8.24","9180"
"LIX","2010-08-02","8.6","8.6","8.48","8.48","27800"
"LIX","2010-08-03","8.48","8.48","8.48","8.48","1130"
"LIX","2010-08-06","8.48","8.48","8.48","8.48","28100"
"LIX","2010-08-10","8.24","8.48","8.24","8.48","36300"
"LIX","2010-08-11","8.48","8.48","8.48","8.48","10"
"LIX","2010-08-12","8.36","8.36","8.24","8.24","24440"
"LIX","2010-08-13","7.94","8.3","7.94","8.3","1110"
"LIX","2010-08-16","8.24","8.36","8.24","8.36","21010"
"LIX","2010-08-17","8.36","8.36","8.24","8.36","28820"
"LIX","2010-08-18","8.36","8.36","8.36","8.36","17490"
"LIX","2010-08-19","8.36","8.36","8.36","8.36","1270"
"LIX","2010-08-20","8.36","8.36","8.36","8.36","740"
"LIX","2010-08-23","8.24","8.36","8.24","8.36","20010"
"LIX","2010-08-24","8.12","8.24","8.12","8.24","630"
"LIX","2010-08-25","7.88","7.88","7.88","7.88","15000"
"LIX","2010-08-26","8.12","8.12","7.88","7.88","110"
"LIX","2010-08-27","8.24","8.24","7.52","8.24","13510"
"LIX","2010-08-30","8.24","8.24","8.24","8.24","15000"
"LIX","2010-08-31","8.24","8.24","8.24","8.24","16000"
"LIX","2010-09-01","8.24","8.24","8.24","8.24","15020"
"LIX","2010-09-06","8.24","8.24","8.24","8.24","10500"
"LIX","2010-09-08","8.24","8.24","8.24","8.24","1520"
"LIX","2010-09-10","7.88","7.88","7.88","7.88","2520"
"LIX","2010-09-14","7.88","8.12","7.88","8.12","25000"
"LIX","2010-09-16","8.12","8.12","7.88","7.88","10510"
"LIX","2010-09-17","8.12","8.12","8.12","8.12","10"
"LIX","2010-09-21","7.88","7.88","7.88","7.88","10000"
"LIX","2010-09-22","7.76","7.76","7.76","7.76","300"
"LIX","2010-09-23","7.4","7.88","7.4","7.88","17970"
"LIX","2010-09-24","7.52","8.12","7.52","8.12","510"
"LIX","2010-09-27","8.24","8.24","8.24","8.24","440"
"LIX","2010-09-29","8.06","8.06","8.06","8.06","10"
"LIX","2010-10-06","8","8","8","8","10000"
"LIX","2010-10-07","7.7","7.7","7.7","7.7","10"
"LIX","2010-10-08","7.7","7.7","7.7","7.7","100"
"LIX","2010-10-11","8.06","8.06","8.06","8.06","10"
"LIX","2010-10-18","7.88","8","7.7","8","10110"
"LIX","2010-10-19","7.64","7.88","7.64","7.88","16000"
"LIX","2010-10-20","7.52","7.52","7.52","7.52","5180"
"LIX","2010-10-21","7.52","7.52","7.52","7.52","2000"
"LIX","2010-10-22","7.76","7.76","7.76","7.76","10"
"LIX","2010-10-27","7.52","7.52","7.52","7.52","500"
"LIX","2010-10-28","7.17","7.17","7.17","7.17","10"
"LIX","2010-10-29","7.52","7.52","7.52","7.52","30000"
"LIX","2010-11-04","7.17","7.17","7.17","7.17","1000"
