symbol,date,open,high,low,close,volume
"LMC","2017-09-21","14","14","13.6","14","5300"
"LMC","2017-09-22","14","15.2","14","15.2","1300"
"LMC","2017-09-25","15.1","15.1","15.1","15.1","500"
"LMC","2017-09-26","14.9","14.9","14.3","14.3","2600"
"LMC","2017-09-27","13.5","13.5","13.5","13.5","200"
"LMC","2017-09-28","13.1","13.1","12.7","12.7","600"
"LMC","2017-09-29","14.8","14.8","14.8","14.8","100"
"LMC","2017-10-04","13","13","13","13","100"
"LMC","2017-10-05","13.1","13.1","13.1","13.1","200"
"LMC","2017-10-09","13.1","13.1","13.1","13.1","100"
"LMC","2017-10-10","13","15","13","13.5","2700"
"LMC","2017-10-11","13.5","13.5","13.5","13.5","200"
"LMC","2017-10-12","13.6","13.6","13.6","13.6","200"
"LMC","2017-10-13","13.7","13.7","13.7","13.7","100"
"LMC","2017-10-20","13.7","13.7","13.7","13.7","300"
"LMC","2017-10-24","13.8","13.8","13.8","13.8","200"
"LMC","2017-10-25","13.7","13.7","13.7","13.7","200"
"LMC","2017-10-27","13.7","13.7","13.7","13.7","100"
"LMC","2017-11-02","12","12","12","12","100"
"LMC","2017-11-06","11.8","11.8","11.8","11.8","200"
"LMC","2017-11-08","12.5","12.5","12.5","12.5","100"
"LMC","2017-11-13","12","12","12","12","100"
"LMC","2017-11-15","12","12","12","12","100"
"LMC","2017-11-21","12.2","12.2","12.2","12.2","100"
"LMC","2017-11-24","12.5","12.5","12.5","12.5","100"
"LMC","2017-11-27","12","12","12","12","100"
"LMC","2017-12-04","12","12","12","12","1000"
"LMC","2017-12-12","11","11","10.5","10.5","300"
"LMC","2017-12-14","10.3","10.4","10.3","10.4","300"
"LMC","2017-12-15","10.3","10.3","10.3","10.3","100"
"LMC","2017-12-18","11.8","11.8","11.8","11.8","200"
"LMC","2017-12-19","10.3","10.3","10.3","10.3","100"
"LMC","2017-12-20","10.1","10.1","10.1","10.1","100"
"LMC","2017-12-21","9.5","9.5","9.5","9.5","100"
"LMC","2017-12-22","8.5","8.5","8.5","8.5","200"
"LMC","2017-12-26","8.3","8.3","8.3","8.3","200"
"LMC","2017-12-27","8.5","8.5","8.5","8.5","200"
"LMC","2017-12-28","8.8","9","8.8","9","500"
"LMC","2017-12-29","9.5","9.5","9.5","9.5","200"
"LMC","2018-01-02","10","10","10","10","200"
"LMC","2018-01-03","11","11.5","11","11.5","600"
"LMC","2018-01-08","12.9","12.9","12.9","12.9","300"
"LMC","2018-01-10","14.5","14.5","14.5","14.5","900"
"LMC","2018-01-11","14.5","14.5","14.5","14.5","100"
"LMC","2018-01-12","14.2","14.2","14","14","300"
"LMC","2018-01-15","14.2","14.2","14","14","700"
"LMC","2018-01-18","14.2","14.2","14.2","14.2","800"
"LMC","2018-01-19","14.1","14.1","14.1","14.1","600"
"LMC","2018-01-25","14.2","14.2","14.2","14.2","200"
"LMC","2018-01-26","14.2","14.2","14.2","14.2","1000"
"LMC","2018-01-29","14.2","14.2","14.2","14.2","300"
"LMC","2018-02-09","14.5","14.5","14.5","14.5","200"
"LMC","2018-04-04","20.3","20.3","20.3","20.3","100"
"LMC","2018-04-06","18","18","18","18","300"
"LMC","2018-08-20","11.1","11.1","11","11","300"
