symbol,date,open,high,low,close,volume,year,month,week,weekday
"LSG","2022-05-12","15.4","15.4","13","13.5","62100","2022","05","19","Thursday"
"LSG","2022-05-13","14.3","16","12.2","12.2","34050","2022","05","19","Friday"
"LSG","2022-05-16","12","12","11","11","184119","2022","05","20","Monday"
"LSG","2022-05-17","10.1","10.1","9.7","9.7","33950","2022","05","20","Tuesday"
"LSG","2022-05-18","8.7","9.6","8.5","8.9","15924","2022","05","20","Wednesday"
"LSG","2022-05-19","8.8","9","8.5","8.8","25335","2022","05","20","Thursday"
"LSG","2022-05-20","8.7","9.6","8.7","9.4","30655","2022","05","20","Friday"
"LSG","2022-05-23","9.1","9.6","9.1","9.1","12864","2022","05","21","Monday"
"LSG","2022-05-24","9.3","9.4","8.9","9","22488","2022","05","21","Tuesday"
"LSG","2022-05-25","9.2","9.2","8.8","8.9","43715","2022","05","21","Wednesday"
"LSG","2022-05-26","9","9.5","8.4","8.8","12286","2022","05","21","Thursday"
"LSG","2022-05-27","8.6","8.8","8.1","8.8","20031","2022","05","21","Friday"
"LSG","2022-05-30","8.5","8.5","7.9","8.4","15649","2022","05","22","Monday"
"LSG","2022-05-31","8.4","9.1","8","8.1","9452","2022","05","22","Tuesday"
"LSG","2022-06-01","8.1","8.2","7.6","8.1","22738","2022","06","22","Wednesday"
"LSG","2022-06-02","7.8","8.2","7.7","8.2","9815","2022","06","22","Thursday"
"LSG","2022-06-03","7.9","8.3","7.9","7.9","7582","2022","06","22","Friday"
"LSG","2022-06-06","8.2","8.4","7.6","8.1","14731","2022","06","23","Monday"
"LSG","2022-06-07","8.3","8.4","7.8","8","20213","2022","06","23","Tuesday"
"LSG","2022-06-08","7.8","8","7.6","8","3850","2022","06","23","Wednesday"
"LSG","2022-06-09","8","8.3","8","8.3","41025","2022","06","23","Thursday"
"LSG","2022-06-10","7.9","8.1","7.9","8.1","9187","2022","06","23","Friday"
"LSG","2022-06-13","7.9","8.3","7.8","7.9","13078","2022","06","24","Monday"
"LSG","2022-06-14","7.8","9","7.1","9","12030","2022","06","24","Tuesday"
"LSG","2022-06-15","7.8","7.8","6.9","7.7","10205","2022","06","24","Wednesday"
"LSG","2022-06-16","7.5","8.1","7.4","7.4","1213","2022","06","24","Thursday"
"LSG","2022-06-17","7.1","7.6","6.7","7.6","8710","2022","06","24","Friday"
"LSG","2022-06-20","7.6","7.8","7","7.7","12305","2022","06","25","Monday"
"LSG","2022-06-21","7.5","7.9","7.4","7.9","7406","2022","06","25","Tuesday"
"LSG","2022-06-22","7.9","7.9","7.2","7.7","4763","2022","06","25","Wednesday"
"LSG","2022-06-23","6.5","8.3","6.5","8.2","19408","2022","06","25","Thursday"
"LSG","2022-06-24","8.3","8.6","7.5","8.5","2912","2022","06","25","Friday"
"LSG","2022-06-27","8","8.2","7","8.2","4295","2022","06","26","Monday"
"LSG","2022-06-28","7.7","8.5","7.7","8.4","2963","2022","06","26","Tuesday"
"LSG","2022-06-29","8.3","9.2","8.3","8.5","1595","2022","06","26","Wednesday"
"LSG","2022-06-30","8","8.9","8","8","7165","2022","06","26","Thursday"
"LSG","2022-07-01","8.1","8.1","8","8","2400","2022","07","26","Friday"
"LSG","2022-07-04","8","8.1","8","8","26124","2022","07","27","Monday"
"LSG","2022-07-05","8.1","8.1","8","8.1","747","2022","07","27","Tuesday"
"LSG","2022-07-06","8","8","7.7","7.7","50680","2022","07","27","Wednesday"
"LSG","2022-07-08","8","8.3","8","8.3","7425","2022","07","27","Friday"
"LSG","2022-07-11","8.3","8.9","7.5","8.5","2454","2022","07","28","Monday"
"LSG","2022-07-12","7.7","8.2","7","8.2","4457","2022","07","28","Tuesday"
"LSG","2022-07-13","8.1","8.1","7.7","8","1901","2022","07","28","Wednesday"
"LSG","2022-07-14","7.3","7.3","7.1","7.3","3239","2022","07","28","Thursday"
"LSG","2022-07-15","7.9","7.9","7.2","7.4","2583","2022","07","28","Friday"
"LSG","2022-07-18","7.2","7.6","7.2","7.6","1576","2022","07","29","Monday"
"LSG","2022-07-19","7.4","7.4","7.2","7.3","7952","2022","07","29","Tuesday"
"LSG","2022-07-20","7.3","7.9","7.3","7.8","18389","2022","07","29","Wednesday"
"LSG","2022-07-21","7.7","7.9","6.4","7.7","7551","2022","07","29","Thursday"
"LSG","2022-07-22","7.4","7.4","7.3","7.3","3960","2022","07","29","Friday"
"LSG","2022-07-25","7.4","7.4","7.1","7.3","4771","2022","07","30","Monday"
"LSG","2022-07-26","7.3","7.3","7.1","7.1","2771","2022","07","30","Tuesday"
"LSG","2022-07-27","7.3","7.9","7.2","7.7","8440","2022","07","30","Wednesday"
"LSG","2022-07-28","7.7","7.9","7.2","7.7","5996","2022","07","30","Thursday"
"LSG","2022-07-29","7.6","7.9","7.4","7.9","3335","2022","07","30","Friday"
"LSG","2022-08-01","7.5","7.6","7.5","7.6","1769","2022","08","31","Monday"
"LSG","2022-08-02","7.5","7.5","7.5","7.5","1611","2022","08","31","Tuesday"
"LSG","2022-08-03","7.5","7.5","7.5","7.5","480","2022","08","31","Wednesday"
"LSG","2022-08-04","7.7","8","7.6","8","13331","2022","08","31","Thursday"
"LSG","2022-08-05","8","8","7.8","8","3680","2022","08","31","Friday"
"LSG","2022-08-08","8","8","7.3","8","3883","2022","08","32","Monday"
"LSG","2022-08-09","7.7","7.7","7.5","7.5","1657","2022","08","32","Tuesday"
"LSG","2022-08-10","7.5","7.8","7.5","7.8","4421","2022","08","32","Wednesday"
"LSG","2022-08-11","7.7","7.8","7.7","7.8","3483","2022","08","32","Thursday"
"LSG","2022-08-12","7.5","7.9","7.5","7.7","4100","2022","08","32","Friday"
"LSG","2022-08-15","7.9","8","7.7","8","10731","2022","08","33","Monday"
"LSG","2022-08-16","7.9","8","7.8","7.8","7103","2022","08","33","Tuesday"
"LSG","2022-08-17","7.8","8.1","7.7","8.1","6970","2022","08","33","Wednesday"
"LSG","2022-08-18","8","8.1","7.8","8.1","12300","2022","08","33","Thursday"
"LSG","2022-08-19","8","8.1","7.3","7.5","6681","2022","08","33","Friday"
"LSG","2022-08-22","7.3","7.5","7.1","7.5","2695","2022","08","34","Monday"
"LSG","2022-08-23","7.4","7.6","7.4","7.6","1533","2022","08","34","Tuesday"
"LSG","2022-08-24","7.2","8.2","7","8.2","13400","2022","08","34","Wednesday"
"LSG","2022-08-25","7.8","8","7.4","8","21200","2022","08","34","Thursday"
"LSG","2022-08-26","7.5","7.9","7.4","7.9","2000","2022","08","34","Friday"
"LSG","2022-08-29","7.5","7.9","7.2","7.9","11800","2022","08","35","Monday"
"LSG","2022-08-30","7.8","8","7.8","8","2100","2022","08","35","Tuesday"
"LSG","2022-08-31","8","8","7.4","7.5","3000","2022","08","35","Wednesday"
"LSG","2022-09-05","7.8","7.9","7.5","7.5","4000","2022","09","36","Monday"
"LSG","2022-09-06","7.5","7.8","7.3","7.6","6000","2022","09","36","Tuesday"
"LSG","2022-09-07","7.6","7.9","7.5","7.9","6300","2022","09","36","Wednesday"
"LSG","2022-09-08","7.8","7.8","7.5","7.6","11000","2022","09","36","Thursday"
"LSG","2022-09-09","7.5","7.7","7.5","7.5","2000","2022","09","36","Friday"
"LSG","2022-09-12","7.7","8","7.7","7.8","12600","2022","09","37","Monday"
"LSG","2022-09-13","7.5","7.8","7.5","7.6","2100","2022","09","37","Tuesday"
"LSG","2022-09-14","7.5","7.6","7.5","7.5","4700","2022","09","37","Wednesday"
"LSG","2022-09-15","7.5","7.7","7.5","7.5","5900","2022","09","37","Thursday"
"LSG","2022-09-16","7.6","8.7","7.6","8","60900","2022","09","37","Friday"
"LSG","2022-09-19","7.7","8.3","7.7","8.3","1300","2022","09","38","Monday"
"LSG","2022-09-20","7.8","8","7.6","8","28800","2022","09","38","Tuesday"
"LSG","2022-09-21","8","8.2","8","8.1","11400","2022","09","38","Wednesday"
"LSG","2022-09-22","8.1","8.5","8","8","1800","2022","09","38","Thursday"
"LSG","2022-09-23","8.1","8.2","7.9","8","4900","2022","09","38","Friday"
"LSG","2022-09-26","7.7","8.2","7.5","7.6","9400","2022","09","39","Monday"
"LSG","2022-09-27","7.8","7.8","7.5","7.8","7400","2022","09","39","Tuesday"
"LSG","2022-09-28","7.5","8.1","7.5","7.8","8900","2022","09","39","Wednesday"
"LSG","2022-09-29","8.1","8.1","7.5","7.5","3100","2022","09","39","Thursday"
"LSG","2022-09-30","7.7","7.7","7.6","7.7","6900","2022","09","39","Friday"
"LSG","2022-10-03","7.5","7.6","7.5","7.5","19200","2022","10","40","Monday"
"LSG","2022-10-04","7.5","7.5","7.4","7.4","9000","2022","10","40","Tuesday"
"LSG","2022-10-05","7.4","7.5","7.4","7.4","2200","2022","10","40","Wednesday"
"LSG","2022-10-06","7.4","8","7.2","7.6","4100","2022","10","40","Thursday"
"LSG","2022-10-07","7.9","8.2","7.5","8.1","30500","2022","10","40","Friday"
"LSG","2022-10-10","7.3","7.6","7.3","7.6","19200","2022","10","41","Monday"
"LSG","2022-10-11","7.5","8.1","7","7","31800","2022","10","41","Tuesday"
"LSG","2022-10-12","7.5","7.5","7.4","7.5","4800","2022","10","41","Wednesday"
"LSG","2022-10-13","7.5","8.1","7.5","7.5","14500","2022","10","41","Thursday"
"LSG","2022-10-14","8.1","8.1","7.5","7.6","4100","2022","10","41","Friday"
"LSG","2022-10-17","7.4","7.4","7.3","7.3","1000","2022","10","42","Monday"
"LSG","2022-10-18","7.5","7.5","7.3","7.3","1900","2022","10","42","Tuesday"
"LSG","2022-10-19","7.9","8.1","7.9","8","30300","2022","10","42","Wednesday"
"LSG","2022-10-20","7.6","7.6","7.6","7.6","400","2022","10","42","Thursday"
"LSG","2022-10-21","7.6","8","7.4","7.6","20400","2022","10","42","Friday"
"LSG","2022-10-25","7.9","7.9","7.3","7.4","21800","2022","10","43","Tuesday"
"LSG","2022-10-26","7","7.6","7","7.3","6900","2022","10","43","Wednesday"
"LSG","2022-10-27","7.1","7.5","7.1","7.5","5000","2022","10","43","Thursday"
"LSG","2022-10-28","7.9","7.9","7.4","7.6","1400","2022","10","43","Friday"
"LSG","2022-10-31","7.3","7.7","7.3","7.7","3300","2022","10","44","Monday"
"LSG","2022-11-01","7.9","8.1","7.9","7.9","12400","2022","11","44","Tuesday"
"LSG","2022-11-02","7.4","7.5","7.4","7.5","1000","2022","11","44","Wednesday"
"LSG","2022-11-03","7.4","7.4","7.4","7.4","100","2022","11","44","Thursday"
"LSG","2022-11-04","7.3","7.4","7.3","7.4","4100","2022","11","44","Friday"
"LSG","2022-11-07","7.2","7.5","7.1","7.1","16900","2022","11","45","Monday"
"LSG","2022-11-08","7.2","7.2","7","7.2","4400","2022","11","45","Tuesday"
"LSG","2022-11-09","7.1","8.1","7","7.3","22300","2022","11","45","Wednesday"
"LSG","2022-11-10","7.7","8.1","7","7","9300","2022","11","45","Thursday"
"LSG","2022-11-11","7","7.3","7","7","1800","2022","11","45","Friday"
"LSG","2022-11-14","6.7","7.3","6.2","7.1","4500","2022","11","46","Monday"
"LSG","2022-11-15","6.9","7.2","6.8","7","26000","2022","11","46","Tuesday"
"LSG","2022-11-16","6.9","7.9","5.9","7.3","10800","2022","11","46","Wednesday"
"LSG","2022-11-17","7.3","7.3","7","7.3","900","2022","11","46","Thursday"
"LSG","2022-11-18","6.5","8","6.4","6.7","18300","2022","11","46","Friday"
"LSG","2022-11-21","7.3","7.3","6.8","7.1","1800","2022","11","47","Monday"
"LSG","2022-11-22","6.8","7.4","6.7","7.4","20400","2022","11","47","Tuesday"
"LSG","2022-11-23","7.3","7.3","6.5","7.1","3700","2022","11","47","Wednesday"
"LSG","2022-11-24","7.1","7.1","7.1","7.1","7000","2022","11","47","Thursday"
"LSG","2022-11-25","7.1","7.2","6.3","7.2","39500","2022","11","47","Friday"
"LSG","2022-11-28","7","7","6.7","6.7","5400","2022","11","48","Monday"
"LSG","2022-11-29","7","7.8","7","7.5","13100","2022","11","48","Tuesday"
"LSG","2022-11-30","7","7.2","6.8","6.8","6100","2022","11","48","Wednesday"
"LSG","2022-12-01","6.9","7.4","6.7","7.2","36400","2022","12","48","Thursday"
"LSG","2022-12-02","7","7.2","6.7","6.9","7800","2022","12","48","Friday"
"LSG","2022-12-05","6.8","7.1","6.6","7","5100","2022","12","49","Monday"
"LSG","2022-12-06","6.6","7","6.6","6.7","5800","2022","12","49","Tuesday"
"LSG","2022-12-07","6.6","6.9","6.6","6.9","600","2022","12","49","Wednesday"
