symbol,date,open,high,low,close,volume
"LTC","2006-12-14","20.45","20.45","20.45","35.39","333"
"LTC","2006-12-19","20.45","20.45","20.45","35.79","1333"
"LTC","2006-12-20","20.45","20.45","20.45","35.71","166"
"LTC","2006-12-21","21.23","21.23","21.23","36.97","166"
"LTC","2006-12-27","20.45","20.45","20.45","36.18","1000"
"LTC","2007-01-02","18.88","18.88","18.88","33.03","1666"
"LTC","2007-01-03","18.88","18.88","18.88","32.64","833"
"LTC","2007-01-08","18.88","18.88","18.88","32.64","166"
"LTC","2007-01-09","18.88","18.88","18.88","33.03","166"
"LTC","2007-01-10","18.88","18.88","18.88","33.03","2500"
"LTC","2007-01-11","19.66","19.66","18.09","31.46","1333"
"LTC","2007-01-16","17.3","17.3","17.3","30.67","333"
"LTC","2007-01-17","18.09","18.09","18.09","31.46","500"
"LTC","2007-01-18","18.88","18.88","18.09","31.46","1500"
"LTC","2007-01-19","17.3","17.3","17.3","30.67","333"
"LTC","2007-01-24","16.52","16.52","16.52","28.31","833"
"LTC","2007-01-25","18.09","18.09","16.52","28.31","4166"
"LTC","2007-01-26","17.3","17.3","16.52","28.31","3000"
"LTC","2007-01-31","16.52","16.52","16.52","29.1","1500"
"LTC","2007-02-01","18.09","18.09","17.3","29.89","6666"
"LTC","2007-02-02","18.09","18.09","18.09","31.46","833"
"LTC","2007-02-05","18.88","19.66","18.88","33.82","1500"
"LTC","2007-02-06","21.23","21.23","21.23","36.81","7166"
"LTC","2007-02-07","23.59","23.59","23.59","40.43","18500"
"LTC","2007-02-08","24.38","24.38","24.38","42.23","5833"
"LTC","2007-02-09","26.74","26.74","24.38","45.62","14833"
"LTC","2007-02-12","26.74","29.89","26.74","44.83","9833"
"LTC","2007-02-13","26.74","26.74","26.74","44.83","3666"
"LTC","2007-02-14","26.74","26.74","26.74","44.59","500"
"LTC","2007-02-15","26.74","26.74","26.74","44.59","4166"
"LTC","2007-02-26","26.74","28.31","26.74","47.19","9166"
"LTC","2007-02-27","29.89","29.89","29.89","50.18","8833"
"LTC","2007-02-28","33.03","33.03","26.74","54.27","20000"
"LTC","2007-03-01","31.46","31.46","31.46","51.91","16000"
"LTC","2007-03-02","30.67","34.61","29.89","50.73","16166"
"LTC","2007-03-05","33.03","33.03","30.67","54.27","17333"
"LTC","2007-03-06","33.82","34.61","33.82","56.63","15333"
"LTC","2007-03-07","32.25","36.18","32.25","57.41","12833"
"LTC","2007-03-08","36.97","36.97","35.39","61.66","14333"
"LTC","2007-03-09","40.11","40.11","38.54","64.49","19833"
"LTC","2007-03-12","38.54","39.33","36.97","63.71","20166"
"LTC","2007-03-13","38.54","40.9","36.97","68.03","25833"
"LTC","2007-03-14","42.47","42.47","38.54","66.07","36000"
"LTC","2007-03-15","41.68","45.62","41.68","76.45","33000"
"LTC","2007-03-16","48.76","48.76","46.4","81.87","13666"
"LTC","2007-03-19","52.7","52.7","51.91","88.09","34666"
"LTC","2007-03-20","56.63","58.2","47.19","88.48","37500"
"LTC","2007-03-21","53.48","53.48","50.34","88.87","20000"
"LTC","2007-03-22","52.7","52.7","50.34","84.94","3666"
"LTC","2007-03-23","50.34","51.12","49.55","82.58","5166"
"LTC","2007-03-26","55.05","55.05","51.91","92.02","25333"
"LTC","2007-03-27","60.56","60.56","53.48","92.02","22666"
"LTC","2007-03-28","60.56","62.13","55.05","94.38","6500"
"LTC","2007-03-29","56.63","61.35","54.27","94.38","13666"
"LTC","2007-03-30","61.35","61.35","58.99","99.89","17000"
"LTC","2007-04-02","60.56","60.56","58.99","98.31","4000"
"LTC","2007-04-03","66.07","66.07","59.77","60.09","800"
"LTC","2007-04-04","61.35","64.49","61.35","64.49","1200"
"LTC","2007-04-05","66.85","66.85","62.92","64.49","2400"
"LTC","2007-04-06","64.49","64.49","61.35","64.49","2400"
"LTC","2007-04-09","64.49","64.49","62.13","62.05","800"
"LTC","2007-04-10","58.99","58.99","56.63","57.81","1500"
"LTC","2007-04-11","55.05","56.63","54.27","54.27","2400"
"LTC","2007-04-12","51.12","51.12","49.55","49.55","1700"
"LTC","2007-04-13","47.19","47.19","44.83","45.07","900"
"LTC","2007-04-16","40.9","40.9","40.9","41.21","200"
"LTC","2007-04-17","36.97","37.75","36.97","37.12","2600"
"LTC","2007-04-18","33.82","34.61","33.82","34.21","1400"
"LTC","2007-04-19","36.97","36.97","36.97","37.2","500"
