symbol,date,open,high,low,close,volume
"MA1","2020-06-29","28.83","29.28","28.83","29.28","2000"
"MA1","2020-07-06","27.03","27.03","27.03","27.03","500"
"MA1","2020-07-07","26.13","27.03","26.13","27.03","500"
"MA1","2020-07-08","27.03","27.03","27.03","27.03","200"
"MA1","2020-07-09","27.03","27.21","27.03","27.21","600"
"MA1","2020-07-10","27.03","27.93","27.03","27.93","400"
"MA1","2020-07-13","27.93","27.93","27.93","27.93","200"
"MA1","2020-07-14","23.79","27.93","23.79","27.93","5500"
"MA1","2020-07-15","23.52","23.52","23.52","23.52","700"
"MA1","2020-07-16","21.63","21.63","20.72","20.72","200"
"MA1","2020-07-22","21.17","21.17","21.17","21.17","200"
"MA1","2020-08-04","22.53","22.53","20.72","20.72","12000"
"MA1","2020-08-07","21.17","21.17","21.17","21.17","500"
"MA1","2020-08-19","21.17","21.17","21.17","21.17","500"
"MA1","2020-08-20","18.11","18.11","18.11","18.11","100"
"MA1","2020-08-21","15.5","15.5","15.5","15.5","100"
"MA1","2020-08-24","17.75","17.75","17.75","17.75","100"
"MA1","2020-08-25","20.27","20.27","19.82","19.82","700"
"MA1","2020-08-26","21.63","21.63","20.72","20.72","1600"
"MA1","2020-08-27","21.63","21.63","21.63","21.63","500"
"MA1","2020-08-28","21.71","21.71","21.71","21.71","1000"
"MA1","2020-08-31","21.8","21.8","21.8","21.8","300"
"MA1","2020-09-01","21.89","21.89","21.89","21.89","100"
"MA1","2020-09-03","21.89","21.89","21.89","21.89","500"
"MA1","2020-09-04","22.53","22.53","22.53","22.53","1000"
"MA1","2020-09-07","22.53","22.53","22.53","22.53","100"
"MA1","2020-09-10","22.53","22.53","22.53","22.53","2100"
"MA1","2020-09-11","22.53","22.53","22.53","22.53","400"
"MA1","2020-09-17","22.53","22.53","22.53","22.53","100"
"MA1","2020-09-22","22.53","22.53","22.53","22.53","500"
"MA1","2020-09-23","19.28","25.86","19.28","25.86","200"
"MA1","2020-09-25","19.28","19.28","19.28","19.28","100"
"MA1","2020-09-28","16.49","22.17","16.49","22.17","200"
"MA1","2020-10-01","22.26","22.26","22.26","22.26","100"
"MA1","2020-10-05","22.98","22.98","22.98","22.98","100"
"MA1","2020-10-06","22.98","22.98","22.98","22.98","100"
"MA1","2020-10-22","22.98","22.98","22.98","22.98","500"
"MA1","2020-10-23","22.98","22.98","22.98","22.98","500"
"MA1","2020-10-26","23.88","23.88","23.88","23.88","100"
"MA1","2020-10-30","23.88","23.88","23.88","23.88","700"
"MA1","2020-11-04","23.88","23.88","23.88","23.88","5000"
"MA1","2020-11-05","23.88","23.88","23.88","23.88","2000"
"MA1","2020-11-06","23.43","23.43","23.43","23.43","100"
"MA1","2020-11-24","21.55","21.55","21.55","21.55","1300"
"MA1","2020-12-22","24.65","24.65","24.65","24.65","100"
"MA1","2021-01-07","26.24","26.24","26.24","26.24","100"
"MA1","2021-02-08","26.24","26.24","26.24","26.24","200"
"MA1","2021-02-24","22.3","22.3","22.3","22.3","100"
"MA1","2021-02-25","24.83","24.83","19.68","19.68","200"
"MA1","2021-02-26","22.49","22.49","22.49","22.49","1500"
"MA1","2021-03-01","22.49","22.49","19.77","19.77","1100"
"MA1","2021-03-02","22.49","23.43","22.49","23.43","2400"
"MA1","2021-03-03","22.49","22.49","22.49","22.49","1500"
"MA1","2021-03-05","19.87","19.87","19.87","19.87","100"
"MA1","2021-03-08","22.77","22.77","22.77","22.77","500"
"MA1","2021-03-09","19.96","19.96","19.96","19.96","100"
"MA1","2021-03-10","22.87","22.87","22.87","22.87","1500"
"MA1","2021-03-11","20.62","20.62","20.62","20.62","100"
"MA1","2021-03-12","18.74","23.71","18.74","22.77","1400"
"MA1","2021-03-15","25.3","25.3","25.3","25.3","400"
"MA1","2021-03-16","25.3","25.3","25.3","25.3","500"
"MA1","2021-03-17","25.3","25.3","25.3","25.3","600"
"MA1","2021-03-18","25.3","25.77","25.3","25.77","1000"
"MA1","2021-03-22","25.58","25.58","25.58","25.58","500"
"MA1","2021-03-23","25.77","25.77","25.77","25.77","500"
"MA1","2021-03-26","25.77","25.77","25.77","25.77","500"
"MA1","2021-03-29","22.12","22.12","22.12","22.12","100"
"MA1","2021-03-30","25.4","25.4","25.4","25.4","100"
"MA1","2021-03-31","22.12","23.43","22.12","22.3","3300"
"MA1","2021-04-01","22.12","25.3","22.12","25.3","1100"
"MA1","2021-04-02","21.46","21.46","21.46","21.46","200"
"MA1","2021-04-05","20.52","24.65","20.52","24.65","300"
"MA1","2021-04-06","23.43","23.43","23.43","23.43","1000"
"MA1","2021-04-08","23.52","23.52","23.52","23.52","700"
"MA1","2021-04-13","21.55","24.36","21.55","24.36","1100"
"MA1","2021-04-14","24.36","24.36","24.36","24.36","1000"
"MA1","2021-04-16","24.36","24.36","24.36","24.36","1100"
"MA1","2021-04-20","24.36","24.36","24.36","24.36","1000"
"MA1","2021-04-22","21.65","24.36","21.65","24.36","1100"
"MA1","2021-04-23","24.36","24.36","24.36","24.36","4000"
