symbol,date,open,high,low,close,volume,year,month,week,weekday
"MAC","2009-12-24","10.66","11.2","10.08","10.08","15300","2009","12","52","Thursday"
"MAC","2009-12-25","9.92","9.92","9.92","9.92","6600","2009","12","52","Friday"
"MAC","2009-12-28","9.23","9.23","9.23","9.23","100","2009","12","53","Monday"
"MAC","2009-12-29","8.59","8.59","8.59","8.59","1700","2009","12","53","Tuesday"
"MAC","2009-12-30","8","8","8","8","500","2009","12","53","Wednesday"
"MAC","2009-12-31","7.47","7.52","7.47","7.47","43100","2009","12","53","Thursday"
"MAC","2010-01-04","7.09","7.95","7.09","7.95","40600","2010","01","2","Monday"
"MAC","2010-01-05","8.32","8.32","8","8","6500","2010","01","2","Tuesday"
"MAC","2010-01-06","7.73","8","7.73","8","400","2010","01","2","Wednesday"
"MAC","2010-01-07","7.73","7.73","7.25","7.31","19800","2010","01","2","Thursday"
"MAC","2010-01-08","7.68","7.84","7.25","7.25","24300","2010","01","2","Friday"
"MAC","2010-01-11","7.73","7.73","7.36","7.47","5200","2010","01","3","Monday"
"MAC","2010-01-12","7.47","7.47","7.2","7.2","16500","2010","01","3","Tuesday"
"MAC","2010-01-13","7.84","7.84","6.93","7.63","7700","2010","01","3","Wednesday"
"MAC","2010-01-14","7.47","7.79","7.47","7.79","39300","2010","01","3","Thursday"
"MAC","2010-01-15","8.11","8.16","8.11","8.16","67200","2010","01","3","Friday"
"MAC","2010-01-18","8.64","8.64","7.79","8.16","15500","2010","01","4","Monday"
"MAC","2010-01-19","8.53","8.53","7.89","8.43","6700","2010","01","4","Tuesday"
"MAC","2010-01-20","7.89","7.95","7.84","7.95","21800","2010","01","4","Wednesday"
"MAC","2010-01-21","7.79","8","7.52","7.73","10100","2010","01","4","Thursday"
"MAC","2010-01-22","7.25","8.11","7.25","8.11","18600","2010","01","4","Friday"
"MAC","2010-01-25","7.47","8.11","7.47","8.05","10400","2010","01","5","Monday"
"MAC","2010-01-26","8.27","8.43","8","8.27","15500","2010","01","5","Tuesday"
"MAC","2010-01-27","8.11","8.11","7.89","8","5100","2010","01","5","Wednesday"
"MAC","2010-01-28","7.63","7.73","7.47","7.73","15300","2010","01","5","Thursday"
"MAC","2010-01-29","7.57","7.57","7.57","7.57","3100","2010","01","5","Friday"
"MAC","2010-02-01","7.89","7.89","7.89","7.89","100","2010","02","6","Monday"
"MAC","2010-02-02","7.89","7.89","7.84","7.84","800","2010","02","6","Tuesday"
"MAC","2010-02-03","8","8","8","8","1000","2010","02","6","Wednesday"
"MAC","2010-02-04","7.95","7.95","7.95","7.95","600","2010","02","6","Thursday"
"MAC","2010-02-05","7.73","7.95","7.63","7.63","3500","2010","02","6","Friday"
"MAC","2010-02-08","7.47","7.47","7.31","7.31","12900","2010","02","7","Monday"
"MAC","2010-02-09","7.47","7.47","7.47","7.47","200","2010","02","7","Tuesday"
"MAC","2010-02-10","7.47","7.47","7.47","7.47","5000","2010","02","7","Wednesday"
"MAC","2010-02-11","7.47","7.47","7.47","7.47","1000","2010","02","7","Thursday"
"MAC","2010-02-12","7.47","7.63","7.47","7.52","15400","2010","02","7","Friday"
"MAC","2010-02-22","7.47","8","7.47","7.52","2800","2010","02","9","Monday"
"MAC","2010-02-23","7.47","7.47","7.09","7.09","3400","2010","02","9","Tuesday"
"MAC","2010-02-24","7.47","7.47","6.93","6.93","2400","2010","02","9","Wednesday"
"MAC","2010-02-25","7.57","7.57","7.57","7.57","100","2010","02","9","Thursday"
"MAC","2010-02-26","7.52","7.52","7.52","7.52","1000","2010","02","9","Friday"
"MAC","2010-03-01","7.52","7.52","7.52","7.52","900","2010","03","10","Monday"
"MAC","2010-03-02","7.52","7.52","7.15","7.15","2000","2010","03","10","Tuesday"
"MAC","2010-03-03","7.47","7.47","7.36","7.41","4700","2010","03","10","Wednesday"
"MAC","2010-03-04","6.93","6.93","6.93","6.93","500","2010","03","10","Thursday"
"MAC","2010-03-05","6.93","7.09","6.93","7.04","10100","2010","03","10","Friday"
"MAC","2010-03-08","7.15","7.52","7.04","7.52","26300","2010","03","11","Monday"
"MAC","2010-03-09","7.63","7.63","7.52","7.63","43000","2010","03","11","Tuesday"
"MAC","2010-03-10","7.89","7.89","7.89","7.89","200","2010","03","11","Wednesday"
"MAC","2010-03-11","7.47","7.57","7.47","7.52","4600","2010","03","11","Thursday"
"MAC","2010-03-12","7.47","7.52","7.47","7.47","9900","2010","03","11","Friday"
"MAC","2010-03-15","7.47","7.47","7.31","7.47","19900","2010","03","12","Monday"
"MAC","2010-03-16","7.47","7.84","7.36","7.52","14800","2010","03","12","Tuesday"
"MAC","2010-03-17","7.95","8.05","7.73","8.05","73200","2010","03","12","Wednesday"
"MAC","2010-03-18","8.59","8.59","8.53","8.59","81700","2010","03","12","Thursday"
"MAC","2010-03-19","9.17","9.17","9.07","9.17","181000","2010","03","12","Friday"
"MAC","2010-03-22","9.81","9.81","9.28","9.81","258400","2010","03","13","Monday"
"MAC","2010-03-23","10.35","10.35","9.87","10.35","211800","2010","03","13","Tuesday"
"MAC","2010-03-24","10.82","10.82","9.65","10.03","105600","2010","03","13","Wednesday"
"MAC","2010-03-25","9.87","9.87","9.28","9.28","175900","2010","03","13","Thursday"
"MAC","2010-03-26","9.55","9.97","9.55","9.97","166900","2010","03","13","Friday"
"MAC","2010-03-29","10.61","10.61","10.13","10.61","469800","2010","03","14","Monday"
"MAC","2010-03-30","11.25","11.25","11.2","11.25","423300","2010","03","14","Tuesday"
"MAC","2010-03-31","12","12","11.63","11.73","519600","2010","03","14","Wednesday"
"MAC","2010-04-01","11.14","11.89","11.14","11.57","313400","2010","04","14","Thursday"
"MAC","2010-04-02","11.3","12.05","10.93","12.05","392500","2010","04","14","Friday"
"MAC","2010-04-05","12.74","12.74","12.74","12.74","155600","2010","04","15","Monday"
"MAC","2010-04-06","13.6","13.6","13.12","13.6","236800","2010","04","15","Tuesday"
"MAC","2010-04-07","14.51","14.51","14.35","14.51","225500","2010","04","15","Wednesday"
"MAC","2010-04-08","15.46","15.52","14.66","15.52","839000","2010","04","15","Thursday"
"MAC","2010-04-09","16.37","16.48","15.3","15.57","359600","2010","04","15","Friday"
"MAC","2010-04-12","16","17.17","14.93","14.93","400500","2010","04","16","Monday"
"MAC","2010-04-13","14.35","15.46","14.35","14.93","386100","2010","04","16","Tuesday"
"MAC","2010-04-14","14.51","15.41","14.51","15.41","56000","2010","04","16","Wednesday"
"MAC","2010-04-15","16.37","16.37","16.37","16.37","31100","2010","04","16","Thursday"
"MAC","2010-04-16","17.49","17.49","17.49","17.49","31400","2010","04","16","Friday"
"MAC","2010-04-19","18.66","18.66","17.6","18.66","434000","2010","04","17","Monday"
"MAC","2010-04-20","19.89","19.89","19.84","19.89","338200","2010","04","17","Tuesday"
"MAC","2010-04-21","21.22","21.28","19.52","21.22","531100","2010","04","17","Wednesday"
"MAC","2010-04-22","22.13","22.34","19.73","19.78","360200","2010","04","17","Thursday"
"MAC","2010-04-26","19.84","21.92","19.46","21.28","363500","2010","04","18","Monday"
"MAC","2010-04-27","21.33","21.65","20.58","21.06","244400","2010","04","18","Tuesday"
"MAC","2010-04-28","20.53","20.58","19.68","20","363200","2010","04","18","Wednesday"
"MAC","2010-04-29","19.73","21.22","19.46","21.22","570500","2010","04","18","Thursday"
"MAC","2010-05-04","22.4","22.4","20.69","22.4","412100","2010","05","19","Tuesday"
"MAC","2010-05-05","21.38","21.86","20.8","21.06","151900","2010","05","19","Wednesday"
"MAC","2010-05-06","20.8","22.4","20.05","21.44","234300","2010","05","19","Thursday"
"MAC","2010-05-07","21.12","21.86","19.68","20","359600","2010","05","19","Friday"
"MAC","2010-05-10","19.04","19.73","19.04","19.04","205300","2010","05","20","Monday"
"MAC","2010-05-11","19.09","20.42","17.76","18.08","210900","2010","05","20","Tuesday"
"MAC","2010-05-12","17.6","17.76","17.6","17.6","7000","2010","05","20","Wednesday"
"MAC","2010-05-13","16.37","17.55","16.37","16.37","127600","2010","05","20","Thursday"
"MAC","2010-05-14","15.3","16.27","15.3","15.89","233700","2010","05","20","Friday"
"MAC","2010-05-17","15.79","16.53","15.09","15.46","167600","2010","05","21","Monday"
"MAC","2010-05-18","14.98","15.46","14.93","14.93","40200","2010","05","21","Tuesday"
"MAC","2010-05-19","14.03","14.13","13.92","13.92","6900","2010","05","21","Wednesday"
"MAC","2010-05-20","13.87","13.87","12.96","12.96","247700","2010","05","21","Thursday"
"MAC","2010-05-21","12.16","12.16","12.16","12.16","19400","2010","05","21","Friday"
"MAC","2010-05-24","11.36","12.8","11.36","11.57","112700","2010","05","22","Monday"
"MAC","2010-05-25","10.72","12.27","10.72","11.89","137100","2010","05","22","Tuesday"
"MAC","2010-05-26","12","12.48","11.89","12.48","24500","2010","05","22","Wednesday"
"MAC","2010-05-27","13.17","13.17","13.06","13.17","108000","2010","05","22","Thursday"
"MAC","2010-05-28","14.08","14.08","14.08","14.08","3800","2010","05","22","Friday"
"MAC","2010-05-31","15.04","15.04","14.66","15.04","312100","2010","05","23","Monday"
"MAC","2010-06-01","15.73","15.73","14.13","15.68","182200","2010","06","23","Tuesday"
"MAC","2010-06-02","15.25","16.32","14.93","16.11","171800","2010","06","23","Wednesday"
"MAC","2010-06-03","16.8","16.85","15.09","15.09","96800","2010","06","23","Thursday"
"MAC","2010-06-04","14.77","15.46","14.61","14.77","160500","2010","06","23","Friday"
"MAC","2010-06-07","13.87","14.35","13.87","13.87","77500","2010","06","24","Monday"
"MAC","2010-06-08","12.9","14.66","12.9","13.87","162900","2010","06","24","Tuesday"
"MAC","2010-06-09","14.35","14.45","14.24","14.45","160600","2010","06","24","Wednesday"
"MAC","2010-06-10","14.4","14.88","14.13","14.45","51100","2010","06","24","Thursday"
"MAC","2010-06-11","15.3","15.36","13.97","14.4","94200","2010","06","24","Friday"
"MAC","2010-06-14","14.13","15.57","14.13","15.57","243600","2010","06","25","Monday"
