symbol,date,open,high,low,close,volume,year,month,week,weekday
"MAS","2009-09-23","6.01","6.01","6.01","6.01","100","2009","09","39","Wednesday"
"MAS","2009-10-15","6.58","6.58","6.58","6.58","5000","2009","10","42","Thursday"
"MAS","2009-10-19","7.21","7.21","7.21","7.21","2000","2009","10","43","Monday"
"MAS","2009-10-20","7.79","7.91","7.79","7.91","3500","2009","10","43","Tuesday"
"MAS","2009-10-22","8.61","8.61","8.61","8.61","3300","2009","10","43","Thursday"
"MAS","2009-10-26","7.75","7.75","7.75","7.75","1000","2009","10","44","Monday"
"MAS","2009-10-29","8.52","8.52","8.52","8.52","100","2009","10","44","Thursday"
"MAS","2009-10-30","9.21","9.21","9.21","9.21","500","2009","10","44","Friday"
"MAS","2009-11-03","9.47","9.47","8.9","8.9","200","2009","11","45","Tuesday"
"MAS","2009-11-04","9.37","9.37","9.37","9.37","1500","2009","11","45","Wednesday"
"MAS","2009-11-09","9.37","9.37","9.37","9.37","1500","2009","11","46","Monday"
"MAS","2009-11-10","8.9","8.9","8.9","8.9","300","2009","11","46","Tuesday"
"MAS","2010-03-09","7.31","7.31","7.31","7.31","200","2010","03","11","Tuesday"
"MAS","2010-03-11","6.58","6.58","6.58","6.58","100","2010","03","11","Thursday"
"MAS","2010-03-12","5.94","5.94","5.94","5.94","100","2010","03","11","Friday"
"MAS","2010-03-16","5.37","5.37","5.37","5.37","100","2010","03","12","Tuesday"
"MAS","2010-03-17","4.86","4.86","4.86","4.86","100","2010","03","12","Wednesday"
"MAS","2010-03-18","4.39","4.93","4.39","4.93","210","2010","03","12","Thursday"
"MAS","2010-03-19","4.23","4.23","4.23","4.23","100","2010","03","12","Friday"
"MAS","2010-03-24","4.61","4.61","4.61","4.61","110","2010","03","13","Wednesday"
"MAS","2010-04-07","4.29","4.29","4.29","4.29","1000","2010","04","15","Wednesday"
"MAS","2010-04-08","4.7","4.7","4.7","4.7","100","2010","04","15","Thursday"
"MAS","2010-04-12","4.61","4.61","4.61","4.61","500","2010","04","16","Monday"
"MAS","2010-04-15","4.58","4.58","4.58","4.58","200","2010","04","16","Thursday"
"MAS","2010-04-20","4.29","4.45","4.29","4.45","2000","2010","04","17","Tuesday"
"MAS","2010-04-21","4.8","4.8","4.29","4.29","200","2010","04","17","Wednesday"
"MAS","2010-04-28","4.51","4.51","4.51","4.51","1000","2010","04","18","Wednesday"
"MAS","2010-05-04","4.07","4.07","4.07","4.07","50","2010","05","19","Tuesday"
"MAS","2010-05-06","4.19","4.45","4.19","4.45","1200","2010","05","19","Thursday"
"MAS","2010-05-07","4.64","4.64","4.29","4.29","1010","2010","05","19","Friday"
"MAS","2010-05-10","4.13","4.7","4.13","4.7","6110","2010","05","20","Monday"
"MAS","2010-05-11","4.29","4.29","4.29","4.29","1000","2010","05","20","Tuesday"
"MAS","2010-05-13","4.7","4.7","4.7","4.7","100","2010","05","20","Thursday"
"MAS","2010-05-20","4.7","4.7","4.7","4.7","500","2010","05","21","Thursday"
"MAS","2010-05-21","4.64","4.64","4.64","4.64","200","2010","05","21","Friday"
"MAS","2010-05-25","4.64","4.64","4.64","4.64","150","2010","05","22","Tuesday"
"MAS","2010-05-27","4.51","4.51","4.19","4.19","600","2010","05","22","Thursday"
"MAS","2010-05-31","4.61","4.61","4.13","4.29","1700","2010","05","23","Monday"
"MAS","2010-06-01","4.48","4.48","4.48","4.48","200","2010","06","23","Tuesday"
"MAS","2010-06-02","4.04","4.04","4.04","4.04","2000","2010","06","23","Wednesday"
"MAS","2010-06-03","3.85","4.26","3.85","4.26","2000","2010","06","23","Thursday"
"MAS","2010-06-07","4.35","4.35","4.35","4.35","100","2010","06","24","Monday"
"MAS","2010-06-08","3.94","3.94","3.94","3.94","9000","2010","06","24","Tuesday"
"MAS","2010-06-10","3.91","3.91","3.91","3.91","20","2010","06","24","Thursday"
"MAS","2010-06-14","3.81","4.29","3.81","3.81","4000","2010","06","25","Monday"
"MAS","2010-06-15","4.32","4.32","4.32","4.32","100","2010","06","25","Tuesday"
"MAS","2010-06-17","3.91","3.91","3.91","3.91","700","2010","06","25","Thursday"
"MAS","2010-06-18","3.81","3.81","3.81","3.81","200","2010","06","25","Friday"
"MAS","2010-06-21","3.81","3.81","3.81","3.81","3000","2010","06","26","Monday"
"MAS","2010-06-22","4.19","4.19","3.81","3.81","400","2010","06","26","Tuesday"
"MAS","2010-06-24","3.91","4.23","3.91","4.23","400","2010","06","26","Thursday"
"MAS","2010-06-25","4.39","4.39","4.13","4.13","1500","2010","06","26","Friday"
"MAS","2010-06-28","4.58","4.58","4.58","4.58","100","2010","06","27","Monday"
"MAS","2010-06-29","4.13","4.13","4.13","4.13","3000","2010","06","27","Tuesday"
"MAS","2010-07-01","4.32","4.32","4.32","4.32","100","2010","07","27","Thursday"
"MAS","2010-07-02","4.45","4.73","4.45","4.73","14000","2010","07","27","Friday"
"MAS","2010-07-05","5.18","5.18","5.18","5.18","4510","2010","07","28","Monday"
"MAS","2010-07-06","5.69","5.69","5.69","5.69","4800","2010","07","28","Tuesday"
"MAS","2010-07-07","5.56","6.23","5.56","6.23","19253","2010","07","28","Wednesday"
"MAS","2010-07-08","6.48","6.48","6.29","6.29","147","2010","07","28","Thursday"
"MAS","2010-07-09","6.51","6.83","6.07","6.07","3719","2010","07","28","Friday"
"MAS","2010-07-12","6.26","6.86","6.26","6.8","1371","2010","07","29","Monday"
"MAS","2010-07-13","6.86","6.86","6.86","6.86","10","2010","07","29","Tuesday"
"MAS","2010-07-14","7.53","7.53","6.67","6.67","530","2010","07","29","Wednesday"
"MAS","2010-07-15","7.41","7.41","6.51","6.51","1100","2010","07","29","Thursday"
"MAS","2010-07-19","5.82","6.96","5.82","6.96","1700","2010","07","30","Monday"
"MAS","2010-07-20","6.29","6.29","6.29","6.29","100","2010","07","30","Tuesday"
"MAS","2010-07-21","5.69","5.69","5.69","5.69","1200","2010","07","30","Wednesday"
"MAS","2010-07-22","5.4","5.4","5.4","5.4","1100","2010","07","30","Thursday"
"MAS","2010-07-23","4.86","4.86","4.86","4.86","3000","2010","07","30","Friday"
"MAS","2010-07-26","5.34","5.34","5.34","5.34","100","2010","07","31","Monday"
"MAS","2010-07-27","5.85","5.85","5.85","5.85","100","2010","07","31","Tuesday"
"MAS","2010-07-29","5.28","5.28","5.28","5.28","300","2010","07","31","Thursday"
"MAS","2010-08-02","4.51","4.51","4.48","4.48","1000","2010","08","32","Monday"
"MAS","2010-08-04","4.29","4.29","4.29","4.29","1200","2010","08","32","Wednesday"
"MAS","2010-08-06","4.45","4.45","4.45","4.45","100","2010","08","32","Friday"
"MAS","2010-08-09","4.13","4.29","4.13","4.29","2800","2010","08","33","Monday"
"MAS","2010-08-10","3.88","3.88","3.88","3.88","1100","2010","08","33","Tuesday"
"MAS","2010-08-11","4.26","4.26","4.26","4.26","3900","2010","08","33","Wednesday"
"MAS","2010-08-12","4.23","4.23","4.23","4.23","5000","2010","08","33","Thursday"
"MAS","2010-08-20","3.94","3.94","3.94","3.94","1200","2010","08","34","Friday"
"MAS","2010-08-23","4","4","4","4","1000","2010","08","35","Monday"
"MAS","2010-08-30","4.35","4.39","4.35","4.39","400","2010","08","36","Monday"
"MAS","2010-08-31","4.8","4.8","4.8","4.8","100","2010","08","36","Tuesday"
"MAS","2010-09-08","4.77","4.77","4.77","4.77","100","2010","09","37","Wednesday"
"MAS","2010-09-13","4.32","4.32","4.32","4.32","200","2010","09","38","Monday"
"MAS","2010-09-14","4.73","4.73","4.73","4.73","100","2010","09","38","Tuesday"
"MAS","2010-09-15","4.93","4.93","4.93","4.93","500","2010","09","38","Wednesday"
"MAS","2010-09-16","4.45","4.45","4.45","4.45","100","2010","09","38","Thursday"
"MAS","2010-09-17","4.29","4.29","4.29","4.29","300","2010","09","38","Friday"
"MAS","2010-09-20","4.7","4.7","4.39","4.39","200","2010","09","39","Monday"
"MAS","2010-09-21","4.39","4.39","4.13","4.13","1900","2010","09","39","Tuesday"
"MAS","2010-09-22","4.29","4.39","4.29","4.39","800","2010","09","39","Wednesday"
"MAS","2010-09-28","4.29","4.29","4.29","4.29","300","2010","09","40","Tuesday"
"MAS","2010-09-29","3.97","3.97","3.97","3.97","100","2010","09","40","Wednesday"
"MAS","2010-09-30","3.97","3.97","3.97","3.97","1000","2010","09","40","Thursday"
"MAS","2010-10-01","3.81","3.97","3.81","3.97","2500","2010","10","40","Friday"
"MAS","2010-10-05","3.62","3.62","3.62","3.62","100","2010","10","41","Tuesday"
"MAS","2010-10-06","3.97","3.97","3.97","3.97","100","2010","10","41","Wednesday"
"MAS","2010-10-07","4.13","4.13","4.13","4.13","600","2010","10","41","Thursday"
"MAS","2010-10-08","4.45","4.45","4.45","4.45","100","2010","10","41","Friday"
"MAS","2010-10-11","4.13","4.13","4.13","4.13","2400","2010","10","42","Monday"
"MAS","2010-10-12","3.81","3.81","3.81","3.81","4500","2010","10","42","Tuesday"
"MAS","2010-10-13","3.5","3.5","3.5","3.5","100","2010","10","42","Wednesday"
"MAS","2010-10-18","3.85","3.85","3.85","3.85","300","2010","10","43","Monday"
"MAS","2010-10-20","4.1","4.1","4.1","4.1","100","2010","10","43","Wednesday"
"MAS","2010-10-29","3.75","3.75","3.75","3.75","3300","2010","10","44","Friday"
"MAS","2010-11-02","4.1","4.1","4.1","4.1","200","2010","11","45","Tuesday"
"MAS","2010-11-03","4.29","4.29","4.29","4.29","200","2010","11","45","Wednesday"
"MAS","2010-11-09","4.45","4.45","4.45","4.45","200","2010","11","46","Tuesday"
"MAS","2010-11-12","4","4","4","4","500","2010","11","46","Friday"
"MAS","2010-11-15","3.65","3.65","3.62","3.62","2600","2010","11","47","Monday"
"MAS","2010-11-16","3.43","3.43","3.43","3.43","400","2010","11","47","Tuesday"
"MAS","2010-11-18","3.75","3.75","3.75","3.75","2000","2010","11","47","Thursday"
"MAS","2010-11-29","3.4","3.4","3.4","3.75","7100","2010","11","49","Monday"
"MAS","2010-11-30","3.53","3.72","3.24","3.24","4000","2010","11","49","Tuesday"
