symbol,date,open,high,low,close,volume,year,month,week,weekday
"MCC","2010-04-26","12.4","13.56","11.66","11.66","5800","2010","04","18","Monday"
"MCC","2010-04-27","12.79","13.17","12.01","12.2","6500","2010","04","18","Tuesday"
"MCC","2010-04-28","12.2","12.4","11.82","11.82","4900","2010","04","18","Wednesday"
"MCC","2010-04-29","12.2","12.2","12.01","12.2","12200","2010","04","18","Thursday"
"MCC","2010-05-04","12.13","12.13","11.62","12.05","1800","2010","05","19","Tuesday"
"MCC","2010-05-05","11.93","12.4","11.93","12.36","8900","2010","05","19","Wednesday"
"MCC","2010-05-06","12.4","12.4","12.4","12.4","12000","2010","05","19","Thursday"
"MCC","2010-05-07","11.62","12.4","11.62","12.4","1600","2010","05","19","Friday"
"MCC","2010-05-10","11.82","12.17","11.82","12.17","5400","2010","05","20","Monday"
"MCC","2010-05-11","12.13","12.13","11.62","11.62","18200","2010","05","20","Tuesday"
"MCC","2010-05-12","11.82","11.89","11.82","11.82","24100","2010","05","20","Wednesday"
"MCC","2010-05-13","11.43","11.43","11.43","11.43","200","2010","05","20","Thursday"
"MCC","2010-05-14","11.82","12.2","11.78","12.2","10100","2010","05","20","Friday"
"MCC","2010-05-17","11.47","11.86","11.47","11.47","400","2010","05","21","Monday"
"MCC","2010-05-18","11.7","11.7","11.7","11.7","100","2010","05","21","Tuesday"
"MCC","2010-05-19","11.7","11.7","10.89","10.89","2500","2010","05","21","Wednesday"
"MCC","2010-05-20","10.85","11.82","10.85","11.82","10700","2010","05","21","Thursday"
"MCC","2010-05-21","11.04","11.04","10.31","10.85","12100","2010","05","21","Friday"
"MCC","2010-05-24","10.07","10.07","9.92","9.92","2400","2010","05","22","Monday"
"MCC","2010-05-25","9.8","9.8","9.26","9.26","30400","2010","05","22","Tuesday"
"MCC","2010-05-26","9.88","9.88","9.72","9.88","6000","2010","05","22","Wednesday"
"MCC","2010-05-27","10.27","10.46","9.3","10.46","4400","2010","05","22","Thursday"
"MCC","2010-05-28","10.81","10.85","10.81","10.85","3900","2010","05","22","Friday"
"MCC","2010-05-31","10.54","10.58","10.54","10.58","1300","2010","05","23","Monday"
"MCC","2010-06-01","10.85","10.85","10.77","10.77","300","2010","06","23","Tuesday"
"MCC","2010-06-02","10.81","10.81","10.5","10.81","2400","2010","06","23","Wednesday"
"MCC","2010-06-03","11.16","11.16","11.16","11.16","100","2010","06","23","Thursday"
"MCC","2010-06-04","10.5","10.5","10.5","10.5","1000","2010","06","23","Friday"
"MCC","2010-06-07","9.84","10.5","9.8","9.8","4700","2010","06","24","Monday"
"MCC","2010-06-08","10.04","10.5","10.04","10.5","2000","2010","06","24","Tuesday"
"MCC","2010-06-09","10.46","10.46","10.46","10.46","100","2010","06","24","Wednesday"
"MCC","2010-06-10","10.42","10.42","10.42","10.42","1000","2010","06","24","Thursday"
"MCC","2010-06-11","9.76","9.76","9.76","9.76","100","2010","06","24","Friday"
"MCC","2010-06-14","10.07","10.42","10.07","10.42","1300","2010","06","25","Monday"
"MCC","2010-06-15","11.04","11.04","10.46","10.46","1200","2010","06","25","Tuesday"
"MCC","2010-06-16","10.07","10.42","10.07","10.07","18700","2010","06","25","Wednesday"
"MCC","2010-06-17","10.69","10.69","10.07","10.11","4900","2010","06","25","Thursday"
"MCC","2010-06-18","10.07","10.07","10.07","10.07","200","2010","06","25","Friday"
"MCC","2010-06-21","10.11","10.11","10.07","10.07","800","2010","06","26","Monday"
"MCC","2010-06-22","10.07","10.46","9.69","10.46","1300","2010","06","26","Tuesday"
"MCC","2010-06-23","9.88","10.42","9.88","10.42","2700","2010","06","26","Wednesday"
"MCC","2010-06-24","9.92","9.92","9.84","9.84","9200","2010","06","26","Thursday"
"MCC","2010-06-25","9.69","9.69","9.69","9.69","600","2010","06","26","Friday"
"MCC","2010-06-28","10.35","10.35","9.69","9.69","1100","2010","06","27","Monday"
"MCC","2010-06-29","10.27","10.27","10.07","10.07","1200","2010","06","27","Tuesday"
"MCC","2010-06-30","9.69","9.69","9.49","9.69","2300","2010","06","27","Wednesday"
"MCC","2010-07-01","9.69","9.69","9.41","9.41","4000","2010","07","27","Thursday"
"MCC","2010-07-02","9.49","9.65","9.38","9.38","4300","2010","07","27","Friday"
"MCC","2010-07-05","10","10.11","9.41","9.41","2200","2010","07","28","Monday"
"MCC","2010-07-06","9.57","9.57","9.3","9.3","4300","2010","07","28","Tuesday"
"MCC","2010-07-07","10.07","10.07","10.07","10.07","100","2010","07","28","Wednesday"
"MCC","2010-07-08","9.38","9.38","9.38","9.38","13000","2010","07","28","Thursday"
"MCC","2010-07-09","9.69","9.69","9.69","9.69","100","2010","07","28","Friday"
"MCC","2010-07-12","10.11","10.11","9.3","9.38","6200","2010","07","29","Monday"
"MCC","2010-07-13","10","10","9.38","9.38","4800","2010","07","29","Tuesday"
"MCC","2010-07-14","9.69","9.69","9.3","9.38","6100","2010","07","29","Wednesday"
"MCC","2010-07-15","9.57","9.57","9.3","9.3","300","2010","07","29","Thursday"
"MCC","2010-07-16","9.69","9.69","9.69","9.69","100","2010","07","29","Friday"
"MCC","2010-07-19","9.38","9.38","9.3","9.38","3200","2010","07","30","Monday"
"MCC","2010-07-20","9.34","9.49","9.3","9.49","5200","2010","07","30","Tuesday"
"MCC","2010-07-21","9.65","9.65","9.38","9.38","1400","2010","07","30","Wednesday"
"MCC","2010-07-22","9.45","9.45","9.3","9.3","4000","2010","07","30","Thursday"
"MCC","2010-07-23","9.69","9.69","9.69","9.69","100","2010","07","30","Friday"
"MCC","2010-07-26","9.11","9.26","9.11","9.26","2200","2010","07","31","Monday"
"MCC","2010-07-27","9.49","9.49","8.6","8.6","3100","2010","07","31","Tuesday"
"MCC","2010-07-28","8.72","8.79","8.6","8.64","69900","2010","07","31","Wednesday"
"MCC","2010-07-29","9.18","9.18","9.11","9.18","17500","2010","07","31","Thursday"
"MCC","2010-07-30","9.8","9.8","9.3","9.3","2300","2010","07","31","Friday"
"MCC","2010-08-02","9.76","9.76","9.53","9.53","1200","2010","08","32","Monday"
"MCC","2010-08-03","8.99","9.3","8.91","8.91","6900","2010","08","32","Tuesday"
"MCC","2010-08-04","8.64","8.91","8.37","8.91","5000","2010","08","32","Wednesday"
"MCC","2010-08-05","8.99","8.99","8.99","8.99","100","2010","08","32","Thursday"
"MCC","2010-08-06","9.3","9.3","9.3","9.3","100","2010","08","32","Friday"
"MCC","2010-08-09","9.34","9.34","8.68","8.68","9200","2010","08","33","Monday"
"MCC","2010-08-10","8.18","8.18","8.18","8.18","4700","2010","08","33","Tuesday"
"MCC","2010-08-11","8.48","8.48","8.48","8.48","100","2010","08","33","Wednesday"
"MCC","2010-08-13","8.48","8.48","8.48","8.48","2000","2010","08","33","Friday"
"MCC","2010-08-16","9.07","9.07","9.07","9.07","1500","2010","08","34","Monday"
"MCC","2010-08-17","9.49","9.49","9.41","9.41","10600","2010","08","34","Tuesday"
"MCC","2010-08-18","8.76","8.76","8.76","8.76","3200","2010","08","34","Wednesday"
"MCC","2010-08-19","8.91","8.99","8.76","8.99","28500","2010","08","34","Thursday"
"MCC","2010-08-23","8.72","8.72","8.72","8.72","2500","2010","08","35","Monday"
"MCC","2010-08-24","8.18","8.91","8.18","8.91","2900","2010","08","35","Tuesday"
"MCC","2010-08-25","8.64","8.84","8.64","8.84","7000","2010","08","35","Wednesday"
"MCC","2010-08-26","8.84","8.84","8.84","8.84","2000","2010","08","35","Thursday"
"MCC","2010-08-27","8.84","9.04","8.24","9.04","9900","2010","08","35","Friday"
"MCC","2010-08-30","8.88","8.92","8.88","8.88","5500","2010","08","36","Monday"
"MCC","2010-08-31","8.84","8.84","8.84","8.84","2200","2010","08","36","Tuesday"
"MCC","2010-09-01","8.84","8.92","8.84","8.88","7600","2010","09","36","Wednesday"
"MCC","2010-09-06","9.4","9.44","9.4","9.44","1700","2010","09","37","Monday"
"MCC","2010-09-07","9.64","10.01","9.44","9.85","5700","2010","09","37","Tuesday"
"MCC","2010-09-08","9.64","9.64","9.64","9.64","6500","2010","09","37","Wednesday"
"MCC","2010-09-09","10.01","10.01","9.85","9.85","5800","2010","09","37","Thursday"
"MCC","2010-09-10","9.85","9.85","9.85","9.85","5000","2010","09","37","Friday"
"MCC","2010-09-13","10.05","10.05","9.89","9.89","800","2010","09","38","Monday"
"MCC","2010-09-14","10.05","10.05","10.05","10.05","3000","2010","09","38","Tuesday"
"MCC","2010-09-17","10.05","10.05","10.05","10.05","800","2010","09","38","Friday"
"MCC","2010-09-20","10.05","10.13","10.05","10.13","2400","2010","09","39","Monday"
"MCC","2010-09-21","10.05","10.05","10.05","10.05","6000","2010","09","39","Tuesday"
"MCC","2010-09-22","10.45","10.45","9.85","9.85","12900","2010","09","39","Wednesday"
"MCC","2010-09-23","10.05","10.05","10.05","10.05","10000","2010","09","39","Thursday"
"MCC","2010-09-24","10.05","10.05","10.05","10.05","8000","2010","09","39","Friday"
"MCC","2010-09-27","10.05","10.05","10.05","10.05","2000","2010","09","40","Monday"
