symbol,date,open,high,low,close,volume,year,month,week,weekday
"MEF","2012-02-24","0.57","0.57","0.57","0.57","100","2012","02","8","Friday"
"MEF","2012-02-27","0.51","0.51","0.51","0.51","200","2012","02","9","Monday"
"MEF","2012-02-28","0.46","0.46","0.46","0.46","100","2012","02","9","Tuesday"
"MEF","2012-02-29","0.42","0.42","0.42","0.42","100","2012","02","9","Wednesday"
"MEF","2012-03-01","0.39","0.39","0.39","0.39","200","2012","03","9","Thursday"
"MEF","2012-03-02","0.36","0.36","0.36","0.36","200","2012","03","9","Friday"
"MEF","2012-03-06","0.36","0.36","0.36","0.36","32300","2012","03","10","Tuesday"
"MEF","2012-06-01","0.13","0.13","0.13","0.13","10000","2012","06","22","Friday"
"MEF","2015-07-22","0.9","0.9","0.9","0.9","100","2015","07","30","Wednesday"
"MEF","2017-12-08","1.2","1.2","1.2","1.2","100","2017","12","49","Friday"
"MEF","2019-05-02","1.6","1.6","1.6","1.6","100","2019","05","18","Thursday"
