symbol,date,open,high,low,close,volume,year,month,week,weekday
"MKV","2008-11-21","11.95","14.51","11.86","14.17","143400","2008","11","47","Friday"
"MKV","2008-11-24","13.91","13.91","13.91","13.91","18500","2008","11","48","Monday"
"MKV","2008-11-25","14.85","14.85","14.6","14.85","66100","2008","11","48","Tuesday"
"MKV","2008-11-26","15.53","15.53","13.83","14.94","19600","2008","11","48","Wednesday"
"MKV","2008-11-27","13.83","13.83","13.83","13.83","100","2008","11","48","Thursday"
"MKV","2008-11-28","12.89","13.14","12.89","12.89","45300","2008","11","48","Friday"
"MKV","2008-12-01","12.03","12.72","12.03","12.03","7500","2008","12","49","Monday"
"MKV","2008-12-02","11.27","11.27","11.27","11.27","100","2008","12","49","Tuesday"
"MKV","2008-12-03","10.5","10.5","10.84","10.58","84300","2008","12","49","Wednesday"
"MKV","2008-12-04","10.84","11.18","11.18","11.18","36100","2008","12","49","Thursday"
"MKV","2008-12-05","11.95","11.27","11.95","11.61","20100","2008","12","49","Friday"
"MKV","2008-12-08","10.93","10.58","10.93","10.75","11900","2008","12","50","Monday"
"MKV","2008-12-09","11.01","10.75","11.01","10.75","45200","2008","12","50","Tuesday"
"MKV","2008-12-10","11.1","10.16","11.1","10.07","24400","2008","12","50","Wednesday"
"MKV","2008-12-11","10.07","9.73","10.16","9.81","52100","2008","12","50","Thursday"
"MKV","2008-12-12","9.81","10.24","10.33","10.33","27300","2008","12","50","Friday"
"MKV","2008-12-15","10.41","10.07","10.93","9.73","35300","2008","12","51","Monday"
"MKV","2008-12-16","9.64","9.39","9.64","9.39","10500","2008","12","51","Tuesday"
"MKV","2008-12-17","9.13","9.3","8.79","8.88","24900","2008","12","51","Wednesday"
"MKV","2008-12-18","8.88","9.39","8.62","9.3","21300","2008","12","51","Thursday"
"MKV","2008-12-19","8.71","9.13","8.71","9.13","16500","2008","12","51","Friday"
"MKV","2008-12-22","9.39","9.39","8.96","8.96","19500","2008","12","52","Monday"
"MKV","2008-12-23","8.71","8.79","8.54","8.54","19100","2008","12","52","Tuesday"
"MKV","2008-12-24","8.62","8.62","8.36","8.62","16000","2008","12","52","Wednesday"
"MKV","2008-12-25","8.54","8.54","8.54","8.54","7700","2008","12","52","Thursday"
"MKV","2008-12-26","8.54","8.71","8.45","8.71","6600","2008","12","52","Friday"
"MKV","2008-12-29","8.36","8.54","8.36","8.45","16800","2008","12","1","Monday"
"MKV","2008-12-30","8.54","8.54","8.54","8.54","9500","2008","12","1","Tuesday"
"MKV","2008-12-31","8.71","8.71","8.54","8.62","15800","2008","12","1","Wednesday"
"MKV","2009-01-02","8.54","8.71","8.45","8.62","12900","2009","01","1","Friday"
"MKV","2009-01-05","8.54","8.54","8.54","8.54","3200","2009","01","2","Monday"
"MKV","2009-01-06","8.54","8.62","8.54","8.62","4400","2009","01","2","Tuesday"
"MKV","2009-01-07","8.62","8.62","8.54","8.54","10900","2009","01","2","Wednesday"
"MKV","2009-01-08","8.11","8.62","8.11","8.62","3600","2009","01","2","Thursday"
"MKV","2009-01-09","8.54","8.54","8.45","8.45","3600","2009","01","2","Friday"
"MKV","2009-01-12","8.36","8.36","8.36","8.36","5500","2009","01","3","Monday"
"MKV","2009-01-13","8.02","8.11","7.94","8.11","1500","2009","01","3","Tuesday"
"MKV","2009-01-14","8.19","8.19","8.19","8.19","200","2009","01","3","Wednesday"
"MKV","2009-01-15","8.19","8.45","8.02","8.45","5500","2009","01","3","Thursday"
"MKV","2009-01-16","8.54","8.54","8.54","8.54","100","2009","01","3","Friday"
"MKV","2009-01-19","8.02","8.11","8.02","8.11","2700","2009","01","4","Monday"
"MKV","2009-01-20","8.02","8.36","8.02","8.11","2500","2009","01","4","Tuesday"
"MKV","2009-01-21","8.19","8.19","8.19","8.19","2200","2009","01","4","Wednesday"
"MKV","2009-01-22","8.36","8.36","8.36","8.36","100","2009","01","4","Thursday"
"MKV","2009-01-23","8.02","8.19","8.02","8.19","10100","2009","01","4","Friday"
"MKV","2009-02-02","8.02","8.02","8.02","8.02","2500","2009","02","6","Monday"
"MKV","2009-02-03","8.11","8.11","8.11","8.11","200","2009","02","6","Tuesday"
"MKV","2009-02-04","8.28","8.28","8.28","8.28","100","2009","02","6","Wednesday"
"MKV","2009-02-05","7.94","7.94","7.77","7.77","4600","2009","02","6","Thursday"
"MKV","2009-02-06","8.11","8.11","7.68","8.02","1800","2009","02","6","Friday"
"MKV","2009-02-10","7.77","7.77","7.68","7.68","4400","2009","02","7","Tuesday"
"MKV","2009-02-11","7.68","7.68","7.68","7.68","2900","2009","02","7","Wednesday"
"MKV","2009-02-12","7.94","7.94","7.94","7.94","100","2009","02","7","Thursday"
"MKV","2009-02-13","8.45","8.45","7.94","7.94","400","2009","02","7","Friday"
"MKV","2009-02-16","8.71","8.71","8.11","8.11","1000","2009","02","8","Monday"
"MKV","2009-02-17","8.11","8.11","8.11","8.11","500","2009","02","8","Tuesday"
"MKV","2009-02-18","7.6","7.6","7.6","7.6","200","2009","02","8","Wednesday"
"MKV","2009-02-19","8.02","8.02","7.25","7.6","5900","2009","02","8","Thursday"
"MKV","2009-02-20","7.08","7.08","6.83","7","2800","2009","02","8","Friday"
"MKV","2009-02-23","7.25","7.25","6.57","6.57","900","2009","02","9","Monday"
"MKV","2009-02-24","7.08","7.08","6.23","6.23","2900","2009","02","9","Tuesday"
"MKV","2009-02-25","6.57","6.74","6.57","6.74","1800","2009","02","9","Wednesday"
"MKV","2009-02-26","7.08","7.08","6.74","6.74","500","2009","02","9","Thursday"
"MKV","2009-02-27","6.66","6.83","6.49","6.66","3500","2009","02","9","Friday"
"MKV","2009-03-02","6.83","7","6.23","6.23","400","2009","03","10","Monday"
"MKV","2009-03-03","6.23","6.23","6.14","6.14","12300","2009","03","10","Tuesday"
"MKV","2009-03-04","6.49","6.49","6.49","6.49","200","2009","03","10","Wednesday"
"MKV","2009-03-05","6.57","6.57","6.4","6.4","2100","2009","03","10","Thursday"
"MKV","2009-03-06","6.74","6.83","6.74","6.74","800","2009","03","10","Friday"
"MKV","2009-03-09","7.17","7.17","6.83","6.83","800","2009","03","11","Monday"
"MKV","2009-03-10","7.17","7.17","7.17","7.17","300","2009","03","11","Tuesday"
"MKV","2009-03-11","7.42","7.42","7.42","7.42","100","2009","03","11","Wednesday"
"MKV","2009-03-12","6.91","7.42","6.91","7.42","600","2009","03","11","Thursday"
"MKV","2009-03-13","7.25","7.25","7.25","7.25","100","2009","03","11","Friday"
"MKV","2009-03-16","7.6","7.6","7.6","7.6","200","2009","03","12","Monday"
"MKV","2009-03-17","7.34","7.34","7.08","7.08","5300","2009","03","12","Tuesday"
"MKV","2009-03-18","7.17","7.17","7","7","1600","2009","03","12","Wednesday"
"MKV","2009-03-19","6.74","6.74","6.74","6.74","600","2009","03","12","Thursday"
"MKV","2009-03-20","6.32","6.57","6.32","6.4","2700","2009","03","12","Friday"
