symbol,date,open,high,low,close,volume,year,month,week,weekday
"MQN","2018-06-22","16.3","16.3","16.3","16.3","100","2018","06","25","Friday"
"MQN","2018-06-25","16.3","16.3","16.3","16.3","200","2018","06","26","Monday"
"MQN","2018-06-26","16.3","16.3","15.33","15.33","2133","2018","06","26","Tuesday"
"MQN","2018-06-27","15.33","15.33","15.33","15.33","235","2018","06","26","Wednesday"
"MQN","2018-06-28","13.16","13.47","13.16","13.47","600","2018","06","26","Thursday"
"MQN","2018-06-29","12.07","12.07","12.07","12.07","200","2018","06","26","Friday"
"MQN","2018-07-03","13.59","13.78","12.65","12.96","1900","2018","07","27","Tuesday"
"MQN","2018-07-04","13.24","13.24","13.24","13.24","400","2018","07","27","Wednesday"
"MQN","2018-07-05","14.01","14.01","14.01","14.01","200","2018","07","27","Thursday"
"MQN","2018-07-06","13.7","15.91","13.7","15.91","1200","2018","07","27","Friday"
"MQN","2018-07-09","13.66","13.66","13.66","13.66","500","2018","07","28","Monday"
"MQN","2018-07-10","13.97","15.53","11.92","15.53","4400","2018","07","28","Tuesday"
"MQN","2018-07-11","15.14","16.19","14.28","15.88","2200","2018","07","28","Wednesday"
"MQN","2018-07-12","14.32","14.32","14.01","14.01","1400","2018","07","28","Thursday"
"MQN","2018-07-13","13.82","13.82","13.82","13.82","400","2018","07","28","Friday"
"MQN","2018-07-16","13.62","14.17","13.62","14.17","9700","2018","07","29","Monday"
"MQN","2018-07-17","14.01","14.83","14.01","14.21","5900","2018","07","29","Tuesday"
"MQN","2018-07-18","14.87","14.9","14.17","14.9","400","2018","07","29","Wednesday"
"MQN","2018-07-19","13.2","14.17","12.34","13.59","5450","2018","07","29","Thursday"
"MQN","2018-07-20","15.1","15.1","12.81","13.2","3600","2018","07","29","Friday"
"MQN","2018-07-23","14.17","14.17","13","13.28","10300","2018","07","30","Monday"
"MQN","2018-07-24","13.04","13.59","13.04","13.47","6000","2018","07","30","Tuesday"
"MQN","2018-07-25","13.74","13.74","12.85","13.28","10800","2018","07","30","Wednesday"
"MQN","2018-07-26","12.42","12.81","12.3","12.42","5600","2018","07","30","Thursday"
"MQN","2018-07-27","10.95","12.58","10.95","11.68","5000","2018","07","30","Friday"
"MQN","2018-07-30","11.1","12.77","11.1","12.03","9600","2018","07","31","Monday"
"MQN","2018-07-31","11.29","12.03","11.29","12.03","5500","2018","07","31","Tuesday"
"MQN","2018-08-01","9.94","12.93","9.94","11.72","500","2018","08","31","Wednesday"
"MQN","2018-08-02","11.68","12.03","11.1","11.41","12100","2018","08","31","Thursday"
"MQN","2018-08-03","11.29","11.84","11.29","11.45","2600","2018","08","31","Friday"
"MQN","2018-08-06","10.91","11.99","10.91","11.84","1400","2018","08","32","Monday"
"MQN","2018-08-07","11.26","12.03","11.26","12.03","9420","2018","08","32","Tuesday"
"MQN","2018-08-08","12.42","12.73","12.19","12.19","6900","2018","08","32","Wednesday"
"MQN","2018-08-09","11.84","11.84","11.84","11.84","1000","2018","08","32","Thursday"
"MQN","2018-08-10","12.3","12.3","11.76","11.76","3700","2018","08","32","Friday"
"MQN","2018-08-13","10.71","12.19","10.71","11.84","4210","2018","08","33","Monday"
"MQN","2018-08-14","11.64","11.64","11.64","11.64","1200","2018","08","33","Tuesday"
"MQN","2018-08-15","12.42","12.42","11.68","11.72","3900","2018","08","33","Wednesday"
"MQN","2018-08-16","11.68","12.38","11.29","11.92","6000","2018","08","33","Thursday"
"MQN","2018-08-17","11.49","11.88","11.49","11.88","2400","2018","08","33","Friday"
"MQN","2018-08-20","11.84","12.03","11.84","12.03","2800","2018","08","34","Monday"
"MQN","2018-08-21","12.38","12.5","12.38","12.42","4400","2018","08","34","Tuesday"
"MQN","2018-08-22","12.42","12.42","12.42","12.42","1100","2018","08","34","Wednesday"
"MQN","2018-08-23","12.42","13","12.11","12.11","2700","2018","08","34","Thursday"
"MQN","2018-08-24","11.88","12.77","11.88","12.3","3100","2018","08","34","Friday"
"MQN","2018-08-27","12.03","14.01","12.03","14.01","24420","2018","08","35","Monday"
"MQN","2018-08-28","15.53","15.6","14.75","14.75","2000","2018","08","35","Tuesday"
"MQN","2018-08-29","13.04","14.36","12.81","14.36","4910","2018","08","35","Wednesday"
"MQN","2018-08-30","13.59","14.36","13.59","14.36","1700","2018","08","35","Thursday"
"MQN","2018-08-31","11.92","14.36","11.92","14.36","6100","2018","08","35","Friday"
"MQN","2018-09-04","12.42","13.78","12.03","13.78","1600","2018","09","36","Tuesday"
"MQN","2018-09-05","12.81","13.2","12.81","13.2","3400","2018","09","36","Wednesday"
"MQN","2018-09-06","12.42","14.17","12.42","13.35","7300","2018","09","36","Thursday"
"MQN","2018-09-07","13.59","13.78","13.59","13.78","2100","2018","09","36","Friday"
"MQN","2018-09-10","13.43","13.97","13.43","13.97","1450","2018","09","37","Monday"
"MQN","2018-09-11","13.9","13.97","13.9","13.97","700","2018","09","37","Tuesday"
"MQN","2018-09-12","14.17","14.17","13.47","13.47","3200","2018","09","37","Wednesday"
"MQN","2018-09-13","13.62","13.97","13.62","13.78","900","2018","09","37","Thursday"
"MQN","2018-09-14","11.92","14.17","11.92","13.97","900","2018","09","37","Friday"
"MQN","2018-09-17","13.62","13.97","13.62","13.97","6500","2018","09","38","Monday"
"MQN","2018-09-18","13.2","14.44","13.08","13.66","3900","2018","09","38","Tuesday"
"MQN","2018-09-19","14.17","14.36","14.17","14.36","3300","2018","09","38","Wednesday"
"MQN","2018-09-20","14.36","14.36","14.36","14.36","1500","2018","09","38","Thursday"
"MQN","2018-09-21","14.21","14.75","14.21","14.75","8300","2018","09","38","Friday"
"MQN","2018-09-24","14.75","14.75","14.44","14.44","3100","2018","09","39","Monday"
"MQN","2018-09-25","14.75","15.91","14.75","15.91","29400","2018","09","39","Tuesday"
"MQN","2018-09-26","15.91","16.26","15.91","16.26","15450","2018","09","39","Wednesday"
"MQN","2018-09-27","16.26","16.3","15.91","15.91","1540","2018","09","39","Thursday"
"MQN","2018-09-28","15.72","16.11","15.72","15.76","6860","2018","09","39","Friday"
"MQN","2018-10-01","15.91","15.91","15.37","15.37","3200","2018","10","40","Monday"
"MQN","2018-10-02","15.33","15.53","15.29","15.29","7600","2018","10","40","Tuesday"
"MQN","2018-10-04","15.33","16.19","15.33","15.91","20000","2018","10","40","Thursday"
"MQN","2018-10-05","16.11","17.47","16.11","16.69","14060","2018","10","40","Friday"
"MQN","2018-10-08","16.69","17.08","16.69","17.08","4570","2018","10","41","Monday"
"MQN","2018-10-09","16.5","16.89","16.5","16.81","2900","2018","10","41","Tuesday"
"MQN","2018-10-10","16.81","16.81","16.69","16.81","4100","2018","10","41","Wednesday"
"MQN","2018-10-11","16.3","16.69","15.56","16.69","7000","2018","10","41","Thursday"
"MQN","2018-10-12","16.3","16.65","16.3","16.5","5279","2018","10","41","Friday"
"MQN","2018-10-15","16.5","16.69","16.34","16.38","11861","2018","10","42","Monday"
"MQN","2018-10-16","17.48","17.48","16.7","16.7","4260","2018","10","42","Tuesday"
"MQN","2018-10-17","17.52","17.85","17.52","17.64","1900","2018","10","42","Wednesday"
"MQN","2018-10-18","16.9","17.03","16.9","17.03","1600","2018","10","42","Thursday"
"MQN","2018-10-22","16.94","16.94","16.7","16.7","200","2018","10","43","Monday"
"MQN","2018-10-23","16.29","16.49","16.24","16.33","9144","2018","10","43","Tuesday"
"MQN","2018-10-24","16.33","16.33","16.08","16.08","7300","2018","10","43","Wednesday"
"MQN","2018-10-26","16.7","16.7","16.49","16.49","600","2018","10","43","Friday"
