symbol,date,open,high,low,close,volume,year,month,week,weekday
"MTB","2022-03-24","5.79","5.79","5.79","5.79","15800","2022","03","12","Thursday"
"MTB","2022-05-09","8.11","8.11","3.47","3.47","1000","2022","05","19","Monday"
"MTB","2022-05-18","4.83","4.83","4.83","4.83","100","2022","05","20","Wednesday"
"MTB","2022-05-19","4.15","4.15","4.15","4.15","200","2022","05","20","Thursday"
"MTB","2022-05-20","4.15","4.15","4.15","4.15","37000","2022","05","20","Friday"
"MTB","2022-05-23","4.15","4.15","4.15","4.15","52300","2022","05","21","Monday"
"MTB","2022-05-31","4.3","4.3","4.3","4.3","1000","2022","05","22","Tuesday"
"MTB","2022-06-17","4.3","4.3","4.3","4.3","3000","2022","06","24","Friday"
"MTB","2022-06-24","3.6","3.6","3.6","3.6","100","2022","06","25","Friday"
"MTB","2022-07-25","4.1","4.1","4.1","4.1","100","2022","07","30","Monday"
"MTB","2022-08-05","4.1","4.1","4.1","4.1","1000","2022","08","31","Friday"
"MTB","2022-08-11","4.7","4.7","4.7","4.7","100","2022","08","32","Thursday"
"MTB","2022-09-21","6.5","6.5","6.5","6.5","100","2022","09","38","Wednesday"
"MTB","2022-09-26","7.4","7.4","7.4","7.4","300","2022","09","39","Monday"
"MTB","2023-01-31","10","10","10","10","500","2023","01","5","Tuesday"
